item_id,tier,item_name,buff_id,buff_name,trigger,proc_chance,proc_icd_ms,proc_ppm,duration_ms,stats_granted
19288,,Darkmoon Card: Blue Dragon,23684,Aura of the Blue Dragon (23688),proc,0.02,,,15000,
23835,,Gnomish Poultryizer,30507,Poultryizer (30507),on_use,,,,,
23836,,Goblin Rocket Launcher,46567,Rocket Launch (46567),on_use,,,,3000,
24114,,Braided Eternium Chain,31025,Braided Eternium Chain (31025),on_use,,,,1800000,melee_crit=28
24116,,Eye of the Night,31033,Eye of the Night (31033),on_use,,,,1800000,
24121,,Chain of the Twilight Owl,31035,Chain of the Twilight Owl (31035),on_use,,,,1800000,spell_crit=44.153846
24390,,Auslese's Light Channeler,31794,Focused Mind (31794),on_use,,,,10000,
25620,,Ancient Crystal Talisman,32355,Focused Power (32355),on_use,,,,20000,healing_power=104|spell_damage=104
25634,,Oshu'gun Relic,32367,Power of Prayer (32367),on_use,,,,20000,healing_power=213|spell_damage=71
25937,,Terokkar Tablet of Precision,39200,Heroism (39200),on_use,,,,15000,attack_power=140|ranged_attack_power=140
27484,,Libram of Avengement,34260,Justice (34258),proc,1,,,5000,spell_crit=53|melee_crit=53
27683,,Quagmirran's Eye,33370,Spell Haste (33297),proc,0.1,45000,,6000,spell_haste=320
27815,,Totem of the Astral Winds,34244,Increased Windfury Weapon (34244),,,,,-1,
27828,,Warp-Scarab Brooch,33400,Accelerated Mending (33400),on_use,,,,20000,healing_power=282|spell_damage=94
27917,,Libram of the Eternal Rest,34252,Improved Consecration (34252),,,,,-1,
28034,,Hourglass of the Unraveller,33649,Rage of the Unraveller (33648),proc,0.1,50000,,10000,attack_power=300|ranged_attack_power=300
28041,,Bladefist's Breadth,33667,Ferocity (33667),on_use,,,,15000,attack_power=200|ranged_attack_power=200
28121,,Icon of Unyielding Courage,34106,Armor Penetration (34106),on_use,,,,20000,armor_pen=600
28190,,Scarab of the Infinite Cycle,33370,Spell Haste (33953),proc,0.1,45000,,6000,spell_haste=320
28223,,Arcanist's Stone,34000,The Arcanist's Stone (34000),on_use,,,,20000,healing_power=167|spell_damage=167
28248,,Totem of the Void,34230,Increased Lightning Damage (34230),,,,,-1,
28288,,Abacus of Violent Odds,33807,Haste (33807),on_use,,,,10000,melee_haste=260
