item_id,tier,source,source_note,name,icon,slot,armor_type,hand_type,weapon_type,ranged_weapon_type,set_name,class_allowlist,has_effect,sockets,socket_bonus,weapon_min,weapon_max,weapon_speed,url,strength,agility,stamina,intellect,healing_power,spell_damage,arcane_damage,fire_damage,frost_damage,holy_damage,nature_damage,shadow_damage,spell_hit,spell_crit,spell_haste,spell_pen,spirit,attack_power,ranged_attack_power,feral_attack_power,melee_hit,melee_crit,melee_haste,armor_pen,expertise,defense,block_rating,block_value,dodge,parry,resilience,armor,bonus_armor
19288,,drop,,Darkmoon Card: Blue Dragon,inv_misc_ticket_tarot_bluedragon_01,Trinket,,,,,,,yes,,,,,,https://www.wowhead.com/tbc/item=19288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21846,,crafted,"Crafted, Tailoring",Spellfire Belt,inv_belt_04,Waist,Cloth,,,,Wrath of Spellfire,,,Yellow|Blue,stamina=4,,,,https://www.wowhead.com/tbc/item=21846,,,,18,,,50,50,,,,,,18,,,,,,,,,,,,,,,,,,100,
21847,,crafted,"Crafted, Tailoring",Spellfire Gloves,inv_gauntlets_19,Hands,Cloth,,,,Wrath of Spellfire,,,Yellow|Blue,stamina=4,,,,https://www.wowhead.com/tbc/item=21847,,,,10,,,50,50,,,,,,23,,,,,,,,,,,,,,,,,,111,
21848,,crafted,"Crafted, Tailoring",Spellfire Robe,inv_chest_cloth_02,Chest,Cloth,,,,Wrath of Spellfire,,,Yellow|Blue,stamina=4,,,,https://www.wowhead.com/tbc/item=21848,,,,17,,,72,72,,,,,,28,,,,,,,,,,,,,,,,,,178,
21869,,crafted,"Crafted, Tailoring",Frozen Shadoweave Shoulders,inv_shoulder_25,Shoulder,Cloth,,,,Shadow's Embrace,,,Yellow|Blue,spell_hit=3,,,,https://www.wowhead.com/tbc/item=21869,,,21,15,,,,,50,,,50,,,,,,,,,,,,,,,,,,,,133,
21870,,crafted,"Crafted, Tailoring",Frozen Shadoweave Boots,inv_boots_cloth_03,Feet,Cloth,,,,Shadow's Embrace,,,Yellow|Blue,spell_hit=3,,,,https://www.wowhead.com/tbc/item=21870,,,15,9,,,,,57,,,57,,,,,,,,,,,,,,,,,,,,122,
21871,,crafted,"Crafted, Tailoring",Frozen Shadoweave Robe,inv_chest_cloth_08,Chest,Cloth,,,,Shadow's Embrace,,,Yellow|Blue,spell_hit=3,,,,https://www.wowhead.com/tbc/item=21871,,,30,20,,,,,72,,,72,,,,,,,,,,,,,,,,,,,,178,
21873,,crafted,"Crafted, Tailoring",Primal Mooncloth Belt,inv_belt_31,Waist,Cloth,,,,Primal Mooncloth,,,Yellow|Blue,intellect=3,,,,https://www.wowhead.com/tbc/item=21873,,,,12,81,27,,,,,,,,,,,11,,,,,,,,,,,,,,,109,
21874,,crafted,"Crafted, Tailoring",Primal Mooncloth Shoulders,inv_shoulder_02,Shoulder,Cloth,,,,Primal Mooncloth,,,,,,,,https://www.wowhead.com/tbc/item=21874,,,,16,92,31,,,,,,,,,,,15,,,,,,,,,,,,,,,133,
21875,,crafted,"Crafted, Tailoring",Primal Mooncloth Robe,inv_chest_cloth_04,Chest,Cloth,,,,Primal Mooncloth,,,Yellow|Blue,intellect=3,,,,https://www.wowhead.com/tbc/item=21875,,,,20,121,41,,,,,,,,,,,20,,,,,,,,,,,,,,,202,
23518,,crafted,"Crafted, Blacksmithing",Felsteel Leggings,inv_pants_plate_06,Legs,Plate,,,,Faith in Felsteel,,,Yellow|Red|Blue,dodge=4,,,,https://www.wowhead.com/tbc/item=23518,,,39,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,1010,247
23538,,crafted,"Crafted, Blacksmithing",Bracers of the Green Fortress,inv_bracer_06,Wrist,Plate,,,,,,,,,,,,https://www.wowhead.com/tbc/item=23538,,,39,,,,,,,,,,,,,,,,,,,,,,,17,,,10,,,581,
23540,,crafted,"Crafted, Blacksmithing",Felsteel Longblade,inv_sword_59,Weapon,,One Hand,Sword,,,,,,,128,239,2.2,https://www.wowhead.com/tbc/item=23540,,26,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23543,,crafted,"Crafted, Blacksmithing",Felsteel Reaper,inv_axe_02,Weapon,,Two Hand,Axe,,,,,,,295,443,3.4,https://www.wowhead.com/tbc/item=23543,,,,,,,,,,,,,,,,,,112,112,,,30,,,,,,,,,,,
23544,,crafted,"Crafted, Blacksmithing",Runic Hammer,inv_hammer_09,Weapon,,One Hand,Mace,,,,,,,140,261,2.4,https://www.wowhead.com/tbc/item=23544,,,16,,,,,,,,,,,,,,,50,50,,,,,,,,,,,,,,
23554,,crafted,"Crafted, Blacksmithing",Eternium Runed Blade,inv_weapon_shortblade_05,Weapon,,Main Hand,Dagger,,,,,,,28,113,1.7,https://www.wowhead.com/tbc/item=23554,,,,19,168,168,,,,,,,,21,,,,,,,,,,,,,,,,,,,
23556,,crafted,"Crafted, Blacksmithing",Hand of Eternity,inv_mace_16,Weapon,,Main Hand,Mace,,,,,,,35,131,1.9,https://www.wowhead.com/tbc/item=23556,,,,20,317,106,,,,,,,,,,,,,,,,,,,,,,,,,,,
23835,,crafted,"Crafted, Engineering",Gnomish Poultryizer,inv_misc_enggizmos_06,Trinket,,,,,,,yes,,,,,,https://www.wowhead.com/tbc/item=23835,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23836,,crafted,"Crafted, Engineering",Goblin Rocket Launcher,inv_gizmo_rocketlauncher,Trinket,,,,,,,yes,,,,,,https://www.wowhead.com/tbc/item=23836,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24114,,crafted,"Crafted, Jewelcrafting",Braided Eternium Chain,inv_jewelry_necklace_07,Neck,,,,,,,yes,,,,,,https://www.wowhead.com/tbc/item=24114,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,
