item_id,item_name,slug,channel,video_id,start_seconds,end_seconds,mentions,ambiguous,matched_by,cite_url
24114,Braided Eternium Chain,jambrosay-feral-druid-p3-p4-loot,Jambrosay,88I8chIOGIg,224,289,1,no,name,https://www.youtube.com/watch?v=88I8chIOGIg&t=224s
24114,Braided Eternium Chain,simonize-rogue-p3-p4-bis,SimonizeShow,LlksG4eBm2c,207,272,1,no,name,https://www.youtube.com/watch?v=LlksG4eBm2c&t=207s
24121,Chain of the Twilight Owl,crix-warlock-p3-t6-gearing,Crix,NI2xuOP6aZE,208,273,1,no,name,https://www.youtube.com/watch?v=NI2xuOP6aZE&t=208s
24259,Vengeance Wrap,anker64-fury-warrior-p3-bis,Anker_64,U_Cd8uy07vw,1765,1839,2,no,name,https://www.youtube.com/watch?v=U_Cd8uy07vw&t=1765s
24259,Vengeance Wrap,gandii-arms-warrior-black-temple-gearing,Gandii_warrior,kR9BpYJ2OTM,216,321,5,no,name,https://www.youtube.com/watch?v=kR9BpYJ2OTM&t=216s
24259,Vengeance Wrap,jurpi-before-phase-3-launches,Jurpi,hYtIujtjRN8,483,548,1,no,name,https://www.youtube.com/watch?v=hYtIujtjRN8&t=483s
27917,Libram of the Eternal Rest,subtlefw-prot-paladin-p3-bis,SubtleFW,ZVALsT8eZOQ,1174,1239,1,no,name,https://www.youtube.com/watch?v=ZVALsT8eZOQ&t=1174s
28034,Hourglass of the Unraveller,kaghoe-how-to-gear-bear-druid-tank,Kaghoegaming,wL9aBMOIQUA,108,173,1,yes,alias,https://www.youtube.com/watch?v=wL9aBMOIQUA&t=108s
28034,Hourglass of the Unraveller,kaghoe-how-to-gear-bear-druid-tank,Kaghoegaming,wL9aBMOIQUA,598,671,2,yes,alias,https://www.youtube.com/watch?v=wL9aBMOIQUA&t=598s
28034,Hourglass of the Unraveller,kaghoe-how-to-gear-bear-druid-tank,Kaghoegaming,wL9aBMOIQUA,741,806,1,yes,alias,https://www.youtube.com/watch?v=wL9aBMOIQUA&t=741s
28182,Helm of the Claw,silvite-feral-tank-101,SilviteSoltis,Zb2wvOPDk3M,378,443,1,no,name,https://www.youtube.com/watch?v=Zb2wvOPDk3M&t=378s
28245,Pendant of Dominance,devtanks-prot-paladin-p3-gear,DevTanks,23n12xEA4AQ,241,334,2,no,name,https://www.youtube.com/watch?v=23n12xEA4AQ&t=241s
28245,Pendant of Dominance,subtlefw-prot-paladin-p3-bis,SubtleFW,ZVALsT8eZOQ,106,171,1,no,name,https://www.youtube.com/watch?v=ZVALsT8eZOQ&t=106s
28245,Pendant of Dominance,subtlefw-prot-paladin-p3-bis,SubtleFW,ZVALsT8eZOQ,1617,1682,1,no,name,https://www.youtube.com/watch?v=ZVALsT8eZOQ&t=1617s
28430,Lionheart Executioner,zatar-black-temple-item-priority,Zatar (Classic Wow Builds),6SWlWDYTkvU,4732,4797,1,no,name,https://www.youtube.com/watch?v=6SWlWDYTkvU&t=4732s
28476,Gladiator's Maul,griftin-feral-season-2-mace-bis,Griftin,a0LdmAafzUU,97,187,3,no,name,https://www.youtube.com/watch?v=a0LdmAafzUU&t=97s
28505,Gauntlets of Renewed Hope,costin-holy-paladin-top-5-t5-items,Costin Gaming,Ko-mq1NP_jk,351,425,2,no,name,https://www.youtube.com/watch?v=Ko-mq1NP_jk&t=351s
28522,Shard of the Virtuous,costin-holy-paladin-top-5-t5-items,Costin Gaming,Ko-mq1NP_jk,321,386,1,no,name,https://www.youtube.com/watch?v=Ko-mq1NP_jk&t=321s
28530,Brooch of Unquenchable Fury,devtanks-prot-paladin-p3-gear,DevTanks,23n12xEA4AQ,280,345,1,no,name,https://www.youtube.com/watch?v=23n12xEA4AQ&t=280s
28566,Crimson Girdle of the Indomitable,devtanks-prot-paladin-p3-gear,DevTanks,23n12xEA4AQ,813,878,1,yes,alias,https://www.youtube.com/watch?v=23n12xEA4AQ&t=813s
28579,Romulo's Poison Vial,defcamp-melderon-shaman-endgame-guide,Defcamp & Melderon TV,pufsqEiYxSg,2268,2333,1,no,name,https://www.youtube.com/watch?v=pufsqEiYxSg&t=2268s
28587,Legacy,anker64-fury-warrior-p3-bis,Anker_64,U_Cd8uy07vw,2358,2423,1,yes,name,https://www.youtube.com/watch?v=U_Cd8uy07vw&t=2358s
28587,Legacy,crix-warlock-p3-t6-gearing,Crix,NI2xuOP6aZE,494,559,1,yes,name,https://www.youtube.com/watch?v=NI2xuOP6aZE&t=494s
28590,Ribbon of Sacrifice,costin-holy-paladin-top-5-t5-items,Costin Gaming,Ko-mq1NP_jk,508,587,2,no,name,https://www.youtube.com/watch?v=Ko-mq1NP_jk&t=508s
28657,Fool's Bane,defcamp-melderon-shaman-endgame-guide,Defcamp & Melderon TV,pufsqEiYxSg,5500,5575,2,no,name,https://www.youtube.com/watch?v=pufsqEiYxSg&t=5500s
28660,Gilded Thorium Cloak,subtlefw-prot-paladin-p3-bis,SubtleFW,ZVALsT8eZOQ,228,293,1,no,name,https://www.youtube.com/watch?v=ZVALsT8eZOQ&t=228s
28672,Drape of the Dark Reavers,zatar-tier-6-rogue-item-priority,Zatar (Classic Wow Builds),L5AXKvQgWy8,530,595,1,no,name,https://www.youtube.com/watch?v=L5AXKvQgWy8&t=530s
28733,Girdle of Truth,costin-holy-paladin-top-5-t5-items,Costin Gaming,Ko-mq1NP_jk,378,471,2,no,name,https://www.youtube.com/watch?v=Ko-mq1NP_jk&t=378s
28741,Skulker's Greaves,jambrosay-feral-druid-p3-p4-loot,Jambrosay,88I8chIOGIg,474,539,1,no,name,https://www.youtube.com/watch?v=88I8chIOGIg&t=474s
28741,Skulker's Greaves,zatar-mount-hyjal-item-priority,Zatar (Classic Wow Builds),B3zgswtk6T8,2950,3015,1,no,name,https://www.youtube.com/watch?v=B3zgswtk6T8&t=2950s
28741,Skulker's Greaves,zatar-tier-6-rogue-item-priority,Zatar (Classic Wow Builds),L5AXKvQgWy8,649,714,1,no,name,https://www.youtube.com/watch?v=L5AXKvQgWy8&t=649s
28751,Heart-Flame Leggings,costin-holy-paladin-top-5-t5-items,Costin Gaming,Ko-mq1NP_jk,417,482,1,no,name,https://www.youtube.com/watch?v=Ko-mq1NP_jk&t=417s
28765,Stainless Cloak of the Pure Hearted,costin-holy-paladin-top-5-t5-items,Costin Gaming,Ko-mq1NP_jk,191,256,1,yes,alias,https://www.youtube.com/watch?v=Ko-mq1NP_jk&t=191s
28766,Ruby Drape of the Mysticant,crix-warlock-how-to-gear-for-t6,Crix,2Uxcxsmj4jI,395,460,1,yes,alias,https://www.youtube.com/watch?v=2Uxcxsmj4jI&t=395s
28766,Ruby Drape of the Mysticant,subtlefw-prot-paladin-p3-bis,SubtleFW,ZVALsT8eZOQ,193,258,1,yes,alias,https://www.youtube.com/watch?v=ZVALsT8eZOQ&t=193s
28766,Ruby Drape of the Mysticant,subtlefw-prot-paladin-p3-bis,SubtleFW,ZVALsT8eZOQ,1457,1522,1,yes,alias,https://www.youtube.com/watch?v=ZVALsT8eZOQ&t=1457s
28767,The Decapitator,defcamp-melderon-shaman-endgame-guide,Defcamp & Melderon TV,pufsqEiYxSg,5499,5575,2,no,name,https://www.youtube.com/watch?v=pufsqEiYxSg&t=5499s
28785,The Lightning Capacitor,defcamp-melderon-shaman-endgame-guide,Defcamp & Melderon TV,pufsqEiYxSg,2153,2275,2,no,name,https://www.youtube.com/watch?v=pufsqEiYxSg&t=2153s
29064,Justicar Pauldrons,costin-holy-paladin-top-5-t5-items,Costin Gaming,Ko-mq1NP_jk,151,216,1,no,name,https://www.youtube.com/watch?v=Ko-mq1NP_jk&t=151s
29099,Greaves of Malorne,kaghoe-how-to-gear-bear-druid-tank,Kaghoegaming,wL9aBMOIQUA,558,623,1,no,name,https://www.youtube.com/watch?v=wL9aBMOIQUA&t=558s
29171,Earthwarden,kaghoe-how-to-gear-bear-druid-tank,Kaghoegaming,wL9aBMOIQUA,187,252,1,yes,name,https://www.youtube.com/watch?v=wL9aBMOIQUA&t=187s
29171,Earthwarden,silvite-feral-tank-101,SilviteSoltis,Zb2wvOPDk3M,426,491,1,yes,name,https://www.youtube.com/watch?v=Zb2wvOPDk3M&t=426s
29272,Orb of the Soul-Eater,drue-shadow-priest-p3-bis,Drue,ljx7ExV-HdE,1257,1371,2,no,name,https://www.youtube.com/watch?v=ljx7ExV-HdE&t=1257s
29273,Khadgar's Knapsack,defcamp-melderon-shaman-endgame-guide,Defcamp & Melderon TV,pufsqEiYxSg,3344,3409,1,no,name,https://www.youtube.com/watch?v=pufsqEiYxSg&t=3344s
29274,Tears of Heaven,nohitjerome-resto-druid-bis-phase-3,NOHITJEROME,8R9T2zfvRs4,961,1026,1,no,name,https://www.youtube.com/watch?v=8R9T2zfvRs4&t=961s
29287,Violet Signet of the Archmage,fearstreet-arcane-mage-p3-bis,Fearstreet 528,CRRwWdMbacQ,18,83,1,no,name,https://www.youtube.com/watch?v=CRRwWdMbacQ&t=18s
29294,Band of Eternity,classic-gho-balance-druid-p3-bis,Classic Gho,sc_yD4KJAYQ,403,468,1,no,name,https://www.youtube.com/watch?v=sc_yD4KJAYQ&t=403s
29294,Band of Eternity,crix-warlock-how-to-gear-for-t6,Crix,2Uxcxsmj4jI,331,396,1,no,name,https://www.youtube.com/watch?v=2Uxcxsmj4jI&t=331s
29294,Band of Eternity,crix-warlock-p3-t6-gearing,Crix,NI2xuOP6aZE,556,621,1,no,name,https://www.youtube.com/watch?v=NI2xuOP6aZE&t=556s
29301,Band of the Eternal Champion,griftin-feral-druid-p3-loot-guide,Griftin,Flgbx9eII7U,504,569,1,no,name,https://www.youtube.com/watch?v=Flgbx9eII7U&t=504s
29301,Band of the Eternal Champion,jambrosay-arms-warrior-p3-p4-loot,Jambrosay,sPikzqMJKUk,520,619,2,no,name,https://www.youtube.com/watch?v=sPikzqMJKUk&t=520s
29301,Band of the Eternal Champion,jambrosay-bm-hunter-p3-p4-loot,Jambrosay,VpQyyTCc89M,652,717,1,no,name,https://www.youtube.com/watch?v=VpQyyTCc89M&t=652s
29301,Band of the Eternal Champion,jambrosay-feral-druid-p3-p4-loot,Jambrosay,88I8chIOGIg,178,243,1,no,name,https://www.youtube.com/watch?v=88I8chIOGIg&t=178s
29301,Band of the Eternal Champion,jambrosay-feral-druid-p3-p4-loot,Jambrosay,88I8chIOGIg,634,699,1,no,name,https://www.youtube.com/watch?v=88I8chIOGIg&t=634s
29301,Band of the Eternal Champion,jambrosay-feral-druid-p3-p4-loot,Jambrosay,88I8chIOGIg,786,851,1,no,name,https://www.youtube.com/watch?v=88I8chIOGIg&t=786s
