0.08	4.64	so let's talk holy paladin a holy
2.64	3.68	paladin does unfortunately fall from
4.72	4.48	grace in tbc they are
6.32	3.68	fantastic but you only normally take one
9.20	1.92	or two
10.00	2.96	now this does not mean that they're
11.12	3.68	completely useless in fact they are
12.96	3.28	quite mandatory to have at least one as
14.80	1.84	the holy paddling will be able to take
16.24	2.24	both
16.64	3.04	improved wisdom and improved might
18.48	3.68	allowing them to buff
19.68	4.00	respectively whatever one they want
22.16	3.60	whereas then the prop palin and the rep
23.68	3.68	palin can buff the opposite things that
25.76	4.08	don't need improvements like kings
27.36	4.48	salvation
29.84	3.76	so why exactly have holy paladins kind
31.84	2.56	of fallen from grace now the main thing
33.60	2.80	is is that pro
34.40	3.44	and retribution become extremely viable
36.40	3.20	in tpc in fact
37.84	3.92	almost mandatory to have at least one of
39.60	3.28	each meaning that they can cover two of
41.76	3.76	the three
42.88	3.28	slash floor blessings that need to be
45.52	3.52	covered
46.16	5.12	on top of that shamans kind of get added
49.04	2.72	into the mix and they are also fantastic
51.28	3.04	as well
51.76	4.88	so your lack of aoe healing kind of is
54.32	4.40	your downfall whereas priests and
56.64	4.80	jaimens have chain heel and afraid of
58.72	3.20	healing and druids are just fantastic at
61.44	2.16	spread
61.92	4.00	healing the tanks at all times so
63.60	4.24	paddling's kind of full there
65.92	3.60	however don't get discouraged they are
67.84	2.40	still fantastic to have at least one of
69.52	2.16	and will
70.24	3.04	basically be the bread and butter of
71.68	2.32	keeping your tanks alive most of the
73.28	2.96	time
74.00	4.48	so let's talk a little bit about races
76.24	5.92	is there any massive advantage
78.48	7.36	no not really blood elves
82.16	5.44	are pretty damn good they provide an aoe
85.84	3.04	silence which is fantastic for dungeons
87.60	4.32	and it's probably
88.88	4.32	best in slot for uh pvp whereas dwarfs
91.92	3.20	are able to remove some of the most
93.20	3.44	nastiest buffs in the game
95.12	3.84	this doesn't mean humans are bad either
96.64	3.76	humans are still fantastic but
98.96	3.36	at that point it's more of a what do you
100.40	6.08	prefer the look of on your screen for
102.32	6.08	12 hours a day god i play too much wow
106.48	3.44	so let's dive into talents now
108.40	3.04	everybody's got a bloody opinion
109.92	3.44	every single person's like no this is
111.44	3.84	better this is better because the talent
113.36	3.36	system breeds that sort of thing
115.28	3.84	you can change little bits here and
116.72	3.12	there but this build on screen now will
119.12	2.56	show you
119.84	3.52	basically the basics of it this is the
121.68	3.12	foundation if you wish to change this in
123.36	2.72	the future when you get more comfortable
124.80	4.00	with holy paladins
126.08	4.00	you do you boo boo but this will get you
128.80	3.76	started
130.08	3.52	for gearing your holy paladin is super
132.56	3.68	super easy
133.60	3.68	it's healing power create an mp5
136.24	3.52	intellect and then
137.28	4.56	haste now the main reason for this is
139.76	3.92	that healing power is king in most times
141.84	5.04	intellect is fantastic if you've got
143.68	5.44	really really long fights now
146.88	3.44	in the tbc classic versions of bosses i
149.12	2.48	don't think the fights are going to be
150.32	3.36	extremely long some
151.60	3.28	might be but not all of them whereas on
153.68	2.72	endless at the moment
154.88	3.28	our fights are extremely long because
156.40	2.88	bosses have like three times the health
158.16	2.88	they're supposed to have
159.28	3.84	so i have quite a bit more intellect
161.04	5.12	than i do healing power
163.12	4.88	but that's just longevity in tbc classic
166.16	4.08	unless they buff the boss's health
168.00	3.60	majorly i don't think this will change
170.24	2.48	it will be literally healing power
171.60	3.44	create mp5
172.72	4.24	intellect and then haste now it's very
175.04	3.76	important to note spirit is absolutely
176.96	3.36	dog crap for you you don't have
178.80	3.12	meditation which allows a portion of
180.32	2.40	your mana to regenerate even while
181.92	3.20	casting like
182.72	3.44	druids and priests do so you lose out on
185.12	4.64	the bonus of spirit
186.16	5.92	this means that you need mp5 not spirit
189.76	3.92	remember crit is also mp5 because you
192.08	4.96	gain portion of the mana back
193.68	4.64	when you crit oh the reason haste isn't
197.04	3.52	that good is because you cast
198.32	4.32	ridiculously fast anyway so casting
200.56	4.72	faster sometimes isn't really a bonus
202.64	4.16	so this is why haste is at the bottom so
205.28	2.56	talking with stats i'm going to put in
206.80	3.36	the description below
207.84	3.92	two links to two different 70 upgrades
210.16	3.52	dot com um
211.76	3.36	basically sheets this will show you all
213.68	3.92	of the gear and enchants and
