5.57	4.43	[Applause]
7.84	5.36	what's up everyone it's blast back here
10.00	5.76	with my phase 3 and phase 4 bis video
13.20	3.92	for the ret pve scenario
15.76	4.08	in this video we're going to be talking
17.12	4.08	about what's biss in phase 3 as well as
19.84	3.68	the upgrades that are available in
21.20	4.80	zulemon in phase 4. there are still a
23.52	5.12	lot of items from phase 2 in the phase 3
26.00	6.08	and phase 4 setups so running back to
28.64	5.52	tier v instances might be in your future
32.08	4.72	let's start with the helmets there are a
34.16	4.64	couple main available helmets while one
36.80	3.12	is one of the most sought after items in
38.80	2.64	the game
39.92	4.16	the main helmet that you will be going
41.44	5.60	after is cursed vision of sargeras which
44.08	5.28	drops off of illidan in black temple
47.04	5.20	cursed vision is great and comparable to
49.36	5.04	the ng goggles in sunwell plateau
52.24	4.80	this will be your best and slot helmet
54.40	4.72	it also looks absolutely amazing
57.04	4.64	the second helmet is forest prowler's
59.12	4.08	home which drops off of illidari council
61.68	4.08	and black temple
63.20	5.12	unfortunately this helmet is one of the
65.76	3.84	ugliest in the game but provides a ton
68.32	3.04	of crit
69.60	4.16	this is a good helm if you aren't in
71.36	4.72	line for cursed vision and do not need
73.76	4.08	the hit from the hit option helm of the
76.08	3.84	illidari shatterer
77.84	3.92	helm of the illidari shatterer which
79.92	4.24	drops off of the illidari council in
81.76	4.72	black temple is helpful if you need 6
84.16	3.52	percent hit or are lacking hit in the
86.48	3.44	first place
87.68	5.52	you will be fighting warriors rogues
89.92	5.04	hunters and enhance for cursed vision
93.20	3.84	if you can get your hands on a helm of
94.96	5.76	the illidari shatterer or a forest
97.04	6.32	prowler's helm i would not pass it up
100.72	4.96	for the 3 hit set you will be aiming for
103.36	5.28	the necklace that drops off of the ssc
105.68	4.88	trash mobs pendant of the perilous
108.64	4.72	this neck was rare for me while farming
110.56	4.00	tier 5 so it may still take some time to
113.36	3.36	obtain
114.56	4.00	if you need the hit in this slot you
116.72	3.68	should be aiming for choker of endless
118.56	2.88	nightmares from supremacy and black
120.40	2.48	temple
121.44	3.04	this is another item that will be
122.88	3.20	contested as well
124.48	3.68	this is why going for pendant of the
126.08	4.00	perilous is better in the long run for
128.16	4.16	us
