0.00	6.24	yo it's go and welcome to the video with
2.96	4.88	phase three potentially being almost a
6.24	3.68	month away i thought i'd go ahead and
7.84	4.16	get a couple of sets ready that i might
9.92	5.36	be interested in getting for my best in
12.00	6.00	slot so i have one set with tier six
15.28	5.92	pieces to get the four piece set bonus
18.00	5.60	then i also made a haste set so i i
21.20	5.12	tried to look for some information on
23.60	5.92	how haste gonna help us out i couldn't
26.32	5.84	really find anything so if you know of a
29.52	5.12	place that says you know how much haste
32.16	5.28	you need to get an extra tick on
34.64	4.32	moonfire or anything useful like that
37.44	3.44	you could let me know in the comments
38.96	4.00	but since i'm not sure about haste this
40.88	3.76	set right here might be the one that i
42.96	4.16	end up going after so i'll talk about
44.64	6.08	this one first and right off the bat not
47.12	6.88	all pieces will be available of the set
50.72	5.76	until sun well the belts boots and
54.00	4.80	bracers we have to wait until sunrise
56.48	6.00	comes out i ended up getting the best
58.80	5.68	gloves helm and shoulders and have
62.48	4.08	leggings of channeled elements for the
64.48	5.20	legs now although having the four piece
66.56	4.96	set bonus from tier v is really fun does
69.68	3.28	a lot of extra damage on starfire it's
71.52	3.20	going to be hard to tell you know
72.96	3.52	exactly which one is better which four
74.72	4.64	piece that's better come sunwell we
76.48	5.04	might be wanting to have four piece of
79.36	4.32	each set so that we can have all the
81.52	4.08	bonuses but i think not having to put
83.68	4.08	moonfire up as often and that five
85.60	5.04	percent crit on starfire might outweigh
87.76	5.76	it so i'll probably go for this set once
90.64	5.28	i get the four piece kind of like how i
93.52	4.80	waited until i had the four set in tier
95.92	5.52	five to equip them one big thing with
98.32	5.68	this tier is there's a lot of hit now on
101.44	5.20	a lot of pieces so it's pretty easy to
104.00	5.44	get hit cap so that made me pick some
106.64	5.20	pieces over others for instance the cowl
109.44	5.12	of illidari highlord you know great
111.84	5.28	piece a lot of crit which is really
114.56	4.72	enticing but overall with the whole set
117.12	4.64	together that would give me an extra
119.28	4.80	eight hit which i'm already over capped
121.76	5.20	so i took that into account as well as
124.08	5.44	the spirit i really like spirit and how
126.96	5.04	it helps mana regen and if we ever did
129.52	4.16	get an improved divine spirit priest
132.00	3.20	then it would just be you know three
133.68	3.76	more spell power right there just on the
135.20	5.04	island this was a tough slot to you know
137.44	5.36	pick which one but i went with the tier
140.24	4.08	helm again with the hit the translucent
142.80	3.60	spell thread
144.32	3.76	might show more balance
146.40	3.92	points but a couple things it doesn't
148.08	4.32	have stamp or int i really like having
150.32	4.72	intellect stamina is always a plus the
152.40	5.60	same amount of crit and with our talent
155.04	3.84	that intellect gives us for spell power
158.00	3.20	so
158.88	4.32	almost identical spell power as well so
161.20	3.44	it's just having that extra end which
163.20	4.00	gives a little grit
164.64	4.64	extra stamina since we don't really need
167.20	4.16	that hit in order to get that four piece
169.28	3.92	shoulders there isn't anything too too
171.36	3.84	close you know spell pen we don't really
173.20	4.80	need the hateful mantle does have a lot
175.20	4.80	of crit compared to the tier and you
178.00	3.52	know nine more spell power but really
180.00	5.04	intellect wise you got to take into
181.52	5.20	account tier has 13 more intellect which
185.04	4.24	is you know three more spell powers are
186.72	4.40	up to what 49 spell power now and we'll
189.28	4.24	be getting the socket bonus so another
191.12	4.08	four overall kind of evens that out and
193.52	3.92	again a little bit more spirit here when
195.20	4.48	we get to it you know the legs is just a
197.44	4.48	bigger upgrade to choose the non-tier
199.68	5.20	piece for the like slot now clockwise
201.92	5.04	standard spell power grid and stamp
204.88	3.60	we've got a haste option as well which
206.96	3.04	will be in the haste set if i ever get
208.48	3.92	the investments of the sea witch then
210.00	4.72	this is just a minor little upgrade from
212.40	4.00	that but vestments has a lot more hit
214.72	4.00	which we won't be needing with the
216.40	4.64	intellect difference it might be about
218.72	4.96	the same amount of crit overall but
221.04	5.04	extra spell power spirit
223.68	4.72	and stamina all the good stuff so i
226.08	5.84	chose not to go for the
