0.08	5.44	yo it's go and welcome to the video
2.24	5.68	you're looking at my current horde druid
5.52	4.08	for tdc i just switched from alliance to
7.92	3.92	horde so this is going to be my new main
9.60	4.32	character since i'm starting over fresh
11.84	4.64	and horde doesn't have that extra one
13.92	5.20	percent hit from the dry eye racial i
16.48	5.20	went back looked at some gear sets i had
19.12	3.84	in mind for phase three bis and i wanted
21.68	4.16	to show you guys you know what i'm
22.96	5.04	thinking of trying to go for to have at
25.84	4.48	the end of the phase the set might not
28.00	4.00	make too much sense until i'm almost
30.32	4.08	fully geared so i won't even know is
32.00	3.92	this really worth it for a couple of
34.40	3.28	months from now i think it's going to be
35.92	4.40	an interesting build and i'll go ahead
37.68	4.72	and go over the key points of what it's
40.32	4.48	going to allow us to do so there's a
42.40	5.76	couple of options you can pick offset
44.80	6.24	pieces tier five four piece bonus or the
48.16	4.08	new tier six four piece bonus and then
51.04	3.20	you know once you figure out which of
52.24	4.08	those you want then you have to pick do
54.24	4.08	you want crit rating stacked or do you
56.32	4.32	want to start stacking some paste what i
58.32	4.88	ended up doing was going for the tier
60.64	4.72	five four piece and stacking haste
63.20	4.88	instead of crit so with this set i'm
65.36	4.64	point zero four percent from the hit cap
68.08	3.68	for a horde which is thirteen percent
70.00	4.64	three percent from the elemental shaman
71.76	5.52	totem gets you to 16. this set does have
74.64	4.88	two pieces of healing gear the botanist
77.28	3.60	gloves and the shroud of the highborn i
79.52	3.60	don't even know how many dealers this
80.88	4.48	guild runs with five or six you know
83.12	3.44	would i be seventh in line are there any
85.36	2.80	other casters that are going to be
86.56	4.08	interested in these two pieces as well
88.16	5.60	but i'll be needing to upgrade almost
90.64	5.28	every other slot anyways so it takes a
93.76	4.32	longer time to get those two specific
95.92	4.16	slots you know no big deal but right now
98.08	4.08	the four piece bonus unless all the
100.08	4.08	stars align and you get nature's grace
102.16	4.72	proc for all of your starfires it's
104.16	4.88	gonna benefit three star fires
106.88	4.48	after you moon fire and then the fourth
109.04	5.60	one's not going to get that 10 benefit
111.36	5.20	because moonfire will finish its last
114.64	4.24	tick before the cast of your fourth
116.56	4.16	starfire goes off so with this haste
118.88	4.08	15.85
120.72	4.16	what that does to our rotation if we
122.96	3.84	have one moon fire and then four
124.88	3.76	starfires even if you don't have any
126.80	4.08	nature's grace procs you're still gonna
128.64	4.80	be under that 12 seconds to benefit
130.88	5.68	those four star fires instead of three
133.44	5.92	that's the moon fire usually 1.5 seconds
136.56	4.88	the global cooldown but with that 15.85
139.36	4.32	haste it reduces it down same with the
141.44	4.00	starfire usually three seconds fifteen
143.68	4.32	point eight five percent haste added to
145.44	4.40	that brings it down to two point five
148.00	3.76	and so we don't really need that full
149.84	3.68	fifteen point eight five percent anyways
151.76	3.76	even if we're not getting both of these
153.52	3.68	pieces even if we get one that might be
155.52	3.52	enough or you know if we don't even get
157.20	3.52	either of those two but we are able to
159.04	3.52	get everything else if we get two three
160.72	3.92	nature's grace starfires in that
162.56	5.28	rotation it should still allow us to
164.64	6.00	benefit for starfires so this ash tongue
167.84	6.16	talisman really benefits with the haste
170.64	6.00	as well the starfire having a 25 chance
