0.08	5.20	yo let's go and welcome to the video i'm
2.56	5.28	on the tbc ptr right now they've got the
5.28	5.28	phase three gear available to
7.84	6.08	put on and test so a couple things that
10.56	4.16	i wanted to look at was the ring proc
13.92	3.04	from
14.72	4.64	the exalted scale was shifting sands
16.96	4.32	which online says it has a one minute
19.36	3.52	cooldown that seems to be pretty true
21.28	4.56	but another one i was really curious
22.88	4.96	about was the ashton talisman i saw
25.84	3.76	online that said there was a 10 second
27.84	3.28	internal cooldown that lasts for eight
29.60	3.52	seconds so i was like man it might have
31.12	4.16	to break up time it turns out that there
33.12	4.48	is no internal cooldown this thing could
35.28	4.24	have like full uptime it can proc and
37.60	4.24	then during the eight seconds it can
39.52	5.20	re-proc and refresh back up to eight
41.84	5.20	seconds again so i'll put all this gear
44.72	5.04	in the description it's basically the
47.04	5.76	same exact as my best and slot that i
49.76	5.28	had put together other than the cloak i
52.80	5.20	switched to sprout of a highborne for a
55.04	5.20	little bit extra haste so this 13
58.00	4.48	guarantees that if i don't have any
60.24	4.32	nature's grace procs or any other paste
62.48	5.52	buffs i will have
64.56	5.92	four starfires benefit from the tier v
68.00	4.48	four piece set bonus without this haste
70.48	3.84	like right now for me i
72.48	4.56	am only guaranteed three that's one of
74.32	5.04	the main thresholds i was trying to see
77.04	4.72	if i could get to to warrant keeping
79.36	4.40	tier five over tier six that is possible
81.76	4.32	i know for sure i will not get all this
83.76	4.64	gear before zolomon comes out and maybe
86.08	5.92	even before sunwell comes out but for
88.40	5.44	now that 13 is gonna be like my focus i
92.00	4.40	also think it might be at least another
93.84	4.88	month until i get the ashton talisman
96.40	5.04	but i will equip this as soon as i can
98.72	5.20	i'll do a little example here see how
101.44	3.28	lucky we get with those procs assuming
103.92	3.76	it's
104.72	4.72	like a fight where we popped everything
107.68	6.68	right at the start you know blood plus
109.44	4.92	skull destro pot everything immediately
140.64	4.16	so running back and looking at it again
142.96	4.00	here we had the ring proc off the first
144.80	4.64	starfire and then
146.96	3.76	you trinket shortly after but then we
149.44	4.00	got two
150.72	6.32	huge crits with everything up just under
153.44	6.16	7k this is almost a thousand more damage
157.04	4.08	than without having these four up so it
159.60	3.76	seems the ring
161.12	4.24	does kind of prop your first couple of
163.36	4.64	casts pretty consistently i think it
165.36	4.72	procked about a minute and 15 seconds
168.00	4.48	after it had procked the first time you
170.08	4.08	can see here with this one this is the
172.48	3.68	ashton talisman
174.16	5.12	it procs gets down to two seconds
176.16	5.04	refreshes back up to eight refreshes
179.28	3.92	back up again so after doing my little
181.20	4.24	bit of testing i'm pretty happy and
183.20	4.24	confident with the gear choice that i
185.44	4.48	picked for best in slot
187.44	4.88	with the ideas behind why i picked it
189.92	4.80	feels really smooth to me but i know a
192.32	3.92	lot of people out there choose tier six
194.72	3.28	you're one of those people and you hop
196.24	4.16	on the ptr and do some testing let me
198.00	4.96	know how your set feels and thanks for
200.40	2.56	hanging out
