0.64	3.68	welcome everyone christine here with my
2.40	3.92	holy paladin gearing guide for world of
4.32	4.00	warcraft burn crusade classic fourth
6.32	3.60	tier four and tier five what's the kind
8.32	3.36	of gear we should have had by the time
9.92	4.32	tier four ended and what's the kind of
11.68	4.80	gear you should aim for in tier five now
14.24	4.16	that it's coming out one thing to
16.48	5.12	mention here is with regards to
18.40	6.64	professions in that i have deliberately
21.60	6.24	not included profession gear gearing in
25.04	4.24	this guide why is that well because poly
27.84	3.04	paladins have a great deal of
29.28	3.20	flexibility with professions you can go
30.88	3.84	tailor you can go alchemy you can go
32.48	4.64	leather working hell even engineering
34.72	4.72	especially with the tier 5 helmet or
37.12	4.40	rather with the phase 2 engineering
39.44	5.84	helmet assuming it's actually going to
41.52	5.68	be in there as we assume it is
45.28	3.68	engineering can be useful so there's
47.20	3.28	flexibility i'd say leather working is
48.96	2.96	probably going to be a goat it's
50.48	4.08	probably a go-to for a lot of holy
51.92	4.40	paladins but there is a great deal of
54.56	4.00	value and tailoring as well with say
56.32	4.80	primal moon cloth but i will talk about
58.56	4.48	these items but for these actual lists
61.12	4.40	i've avoided including those those kind
63.04	4.00	of items and by the way this is one of
65.52	3.20	the reasons why people should actually
67.04	3.44	watch the videos instead of oh can you
68.72	4.16	give me a girling list well i can give
70.48	4.88	you a gearing list but the reason
72.88	4.80	a reason i picked certain choices versus
75.36	4.32	others is is something that i spell out
77.68	3.44	in these videos so i strongly recommend
79.68	2.72	you watch it instead of just going by
81.12	3.60	the list
82.40	3.28	so anyway helmet four tier four just a
84.72	3.04	card
85.68	5.44	very five healing helm enchant 18
87.76	5.52	healing uh jamming it seems like jamming
91.12	3.76	for pure healing is the go-to for holy
93.28	3.84	paladins both tier four and tier five
94.88	4.64	based on what i've seen but there is
97.12	4.00	going to come a point uh where you're
99.52	3.92	probably going to want to go with
101.12	4.56	intellect i think that's with tier 6
103.44	4.00	maybe sun will maybe even as far
105.68	3.28	down as sunwell plateau but there is
107.44	3.84	going to come a point where holy paladin
108.96	5.28	is well uh chain changed or jamming
111.28	5.76	around not now however now jamming for
114.24	4.64	healing is the go-to so 18 healing i
117.04	3.04	hope you have a good bank account if
118.88	3.20	you're interested in gearing the holy
120.08	3.92	paladin because you will absolutely need
122.08	5.36	it for the gems alone
124.00	6.24	so 18 healing red gems as well as the 26
127.44	4.88	ceiling metagen for the tier 4 helmet
130.24	3.92	and you also want the two set of tier 4
132.32	4.00	and you want to be the one judging bless
134.16	3.52	judgment of light for the extra healing
136.32	3.92	on it
137.68	5.44	neck well with the necklace
140.24	6.00	you do have a do marker choice that is
143.12	5.68	better just extra healing intellect but
146.24	5.36	world bosses are some things that maybe
148.80	4.32	one or two kills on a server control so
151.60	3.84	if you're not in one of those guilds
153.12	4.72	you're kind of kind of screwed you can
155.44	4.72	also go with the t5 girl or you could
157.84	4.64	have gotten the seasonal slave ben's
160.16	4.48	neck or the neck necklace of eternal
162.48	4.08	hope from badges of justice but embers
164.64	4.16	per talisman from nightbane is a pretty
166.56	4.56	solid choice if you don't have access to
168.80	4.72	doomwalker
171.12	4.24	shoulders justicar pauldrons there is a
173.52	3.60	strong argument to be made and one that
175.36	4.16	i will make for going with primal
177.12	4.64	mooncloth if you are a tailor the
179.52	3.76	freeset is powerful the items themselves
181.76	3.44	are really powerful in terms of the
183.28	3.44	healing they provide yeah they don't
185.20	4.00	have gems but they're still really
186.72	4.32	powerful items in their own right and
189.20	4.40	more than make up for it
191.04	4.32	but but outside that you can go with
193.60	3.76	tier four pretty strong and you want to
195.36	4.16	get the two set the two set is also
197.36	4.80	pretty much worth it as well so don't
199.52	4.16	ignore that particular aspect
202.16	3.44	you can also get the pauldrons of
203.68	3.28	justice seeker but they're not
205.60	3.60	as good
206.96	4.32	and nowhere near as good as the tier
209.20	4.72	four shoulders
211.28	5.36	cloak stainless cloak of pure hatred
213.92	5.04	from prince malcazar outside of that
216.64	3.60	like you do have the opera cloak you do
218.96	3.84	have a
220.24	4.96	world a world drop cloak you don't have
222.80	4.88	a bunch of choices but the one and
225.20	5.12	honestly the life-giving cloak the one
227.68	4.40	that drops from from that's a war drop
230.32	3.12	is probably the actual best choice but
232.08	3.36	realistically how many people are going
233.44	3.60	to get that i say staying on scrolk of
235.44	4.32	the pure heart that is probably the most
237.04	4.64	realistic one but yeah if you can get
239.76	3.60	if you can get the life giving cloaking
241.68	4.48	you lose some stamina you lose some
243.36	4.16	intellect but it and you lose a bit of
246.16	4.16	mp5 but
247.52	5.44	is more healing is 11 more healing and
250.32	5.20	that's more than more than worth it two
252.96	3.92	percent reduce threat on cloak fret is a
255.52	2.64	bigger deal
256.88	2.64	for healers than you might believe
258.16	2.80	especially as a holy paladin because
259.52	3.12	there are some fights where quite a few
260.96	2.96	fights where you're going to take damage
262.64	3.68	where you can't take damage as a healer
263.92	4.48	and you might want to use righteous fury
266.32	4.80	improve righteous fury so you're gonna
268.40	4.24	do a lot more healing threat wise uh not
271.12	2.72	all that often but that is also
272.64	3.36	something to consider so having these
273.84	4.40	kind of fred uh for a reduction chance
