6.28	2.40	Real quick, I'd like to give a massive
7.44	2.52	shout out to all the homies on Patreon
8.68	2.56	who chose to support the cult and help
9.96	2.16	keep the lights on. If you want more
11.24	2.12	information on how to support the
12.12	2.80	channel and get your name up here at
13.36	4.96	these [ __ ] chads, check out the video
14.92	3.40	description below. All right.
19.36	3.44	Hey guys, what's up? Today we're going
20.80	3.68	to do an affliction DPS guide. I'll go
22.80	3.44	over everything from talents, gears,
24.48	3.36	consumables, rotation, and everything
26.24	2.80	else. I'm not going to lie to you guys.
27.84	2.64	I've recently been playing affliction in
29.04	2.80	my guild since we wrote that who does
30.48	2.88	curses and on my weeks I just go as
31.84	3.80	affliction and I'm having a [ __ ]
33.36	4.12	blast. Even though the DPS is lower than
35.64	2.64	destro, you really still can pump and I
37.48	2.48	think the difference from a
38.28	3.96	knowledgeable affliction warlock playing
39.96	4.12	correctly versus one who's sad and just
42.24	3.80	bitching about having to be affliction
44.08	3.28	is paramount. During these past few
46.04	2.68	times playing, I've noticed there's a
47.36	2.84	little finesse to playing affliction in
48.72	3.64	comparison to destro warlock where we
50.20	3.76	just spam shadow bolts all day. So yeah,
52.36	2.80	that's what this video is.
53.96	2.80	I hope you enjoy it and before we begin,
55.16	3.16	please just scroll down like not even a
56.76	3.28	half a [ __ ] scroll wheel and hit that
58.32	3.56	big ass red button for me to subscribe
60.04	3.56	to the channel because you love me and I
61.88	3.12	love you. Also hit the comments for any
63.60	2.60	questions or just head over to my stream
65.00	2.08	where I stream all types of warlock
66.20	2.60	content on Twitch at
67.08	4.44	twitch.tv/krippsvibe.
68.80	3.88	All right, let's get started.
71.52	3.32	Before we begin,
72.68	4.24	allow me to touch on the importance of
74.84	3.44	or lack thereof bringing an affliction
76.92	2.72	warlock to your raid.
78.28	3.12	To keep this part short, currently in
79.64	3.68	tier six content the utility from shadow
81.40	3.96	embrace is just not needed nor is the
83.32	3.24	blood pact stamina buff from the imp.
85.36	2.76	Thus the only reason you'd bring an
86.56	3.32	affliction warlock is for malediction,
88.12	2.96	for the 3% more on cursed of elements.
89.88	3.12	And only if you're kind of like in a
91.08	3.16	parsing guild do you really need this? A
93.00	2.92	majority of the people are trying to go
94.24	2.68	as fast as they can in their raids,
95.92	2.56	whereas you could just have an
96.92	3.08	affliction warlock go destro and make up
98.48	2.68	that damage difference. And that's also
100.00	2.20	only if you have a lot of casters,
101.16	2.28	right?
102.20	2.84	But what about the new Sunwell raid
103.44	4.12	launching soon? Well, that's where my
105.04	3.84	answer changes drastically actually. Not
107.56	3.56	only do we plan to run an affliction
