10.08	4.32	you wanna do me a favor and go uh hit
12.24	5.36	that uh subscribe button there for me
14.40	4.80	before we start there but yeah
17.60	2.88	hey guys i just wanted to do a short one
19.20	3.44	today regarding what spec i'm running
20.48	3.52	and tier six currently is destruction i
22.64	3.60	get asked a lot about my specs so i'll
24.00	3.60	touch on it briefly before we begin know
26.24	2.72	that you do not have to play this spec
27.60	2.96	you can play whatever the [ __ ] you want
28.96	3.44	there's sims and hours of talks on this
30.56	3.68	subject in a warlock discord so go ahead
32.40	3.04	and poke around if you want to also if
34.24	2.48	you're a fire destro then your spec
35.44	2.96	remains the same as it's been pretty
36.72	3.36	much forever now there's a change to the
38.40	3.28	destro meta in terms of specs in my
40.08	3.12	opinion before it would logically make
41.68	3.52	sense to run the emo build while keeping
43.20	4.48	up emulate while many of us phased that
45.20	4.16	out during tier 5 for the catapult spec
47.68	3.20	some people fall asleep simply spamming
49.36	3.60	shadow bolts so they remained the
50.88	3.84	emulation build which was completely
52.96	3.12	fine as it was as it not only brought
54.72	3.52	some spice into your rotation with
56.08	4.24	emulate but you also got conflag an
58.24	4.72	excellent finisher and a fun ability to
60.32	4.48	use on the move however tier 6 the sims
62.96	3.84	and damage between the two specs starts
64.80	3.92	to widen while not much of course as the
66.80	3.68	emo can flag build is still very good
68.72	4.56	but the gap is widening and part of that
70.48	4.40	reason is our 264 set with this four set
73.28	3.60	our shadow bolts are doing six percent
74.88	4.96	more damage last i checked that equated
76.88	4.08	to roughly 120 to 130 spell power this
79.84	3.36	means that you want to be casting as
80.96	4.40	many shadows as you possibly can so for
83.20	4.24	all those reasons combined this is the
85.36	3.60	suggested spec and for those wondering
87.44	3.12	even with a fire mage keeping up
88.96	3.52	improved scorch it's not worth keeping
90.56	3.68	up in blade now of course i'm not saying
92.48	3.52	to never use emulate there's cheeky
94.24	4.56	times when even i use it it's just very
96.00	4.16	rare and for those without four piece t6
98.80	2.96	well i personally still would not use
100.16	3.04	the emulation build but that one's up to
101.76	2.88	you if you do choose to use the email
103.20	2.96	build and it's right here on the right
104.64	3.92	just screenshot it and i'll also have a
106.16	4.24	link in the description for it as well
108.56	3.60	anyways this is the spec myself and many
110.40	3.76	others run and what we suggest everybody
112.16	3.76	run now a couple things here before you
114.16	3.36	see cataclysm and get scared away know
115.92	3.20	that there's literally nowhere else to
117.52	3.52	put these points and reducing the mana
119.12	3.52	cost of your shadow bolt by five percent
121.04	3.76	even if that does seem small is better
122.64	3.84	than nothing plus even if you put those
124.80	4.24	points into improved immolate or ember
126.48	4.40	storm it's still more dps spam shadow
129.04	2.64	bolt especially once you get your force
130.88	2.48	at
131.68	3.36	next nether protection it's one of the
133.36	3.44	most broken talents and super slept on
135.04	3.28	to be honest it gives you a 30 chance to
136.80	3.36	become immune for four seconds when hit
138.32	3.60	by a fire or a shadow spell which is
140.16	3.12	frequent and also during those immunes
141.92	3.28	you do not get any pushback on your
143.28	3.68	casts which is beautiful also this
145.20	3.20	talent becomes extremely helpful in za
146.96	2.96	and sunwell
148.40	3.20	now a big issue with nether protection
149.92	3.36	is warlock tanking as soon as something
151.60	3.44	your tank hits you and that procs nether
153.28	3.52	protection that boss will stop wasting
155.04	4.08	its time on you just like a bop from a
156.80	4.08	paladin at this stage of the game most
159.12	3.68	warlocks aren't tanking anything due to
160.88	3.12	how easy the content is but just in case
162.80	3.12	you were watching this and you are a
164.00	3.20	warlock tank then simply remove these
165.92	3.20	three points and nether protection and
167.20	3.36	move them into improved steering pain as
169.12	3.52	you typically cast a few of those to
170.56	4.00	start tanking oh yeah lastly before we
172.64	3.36	go to touch on the demonology tree
174.56	2.88	there's not much variation for you to
176.00	2.56	choose from outside of your improved
177.44	2.64	health stones talk to your other
178.56	3.04	warlocks in your raid and make sure
180.08	3.12	between you guys that you guys have all
181.60	3.92	three ranks of hellstones other than
183.20	3.36	that not much variation
185.52	2.24	that's it for this one guys i just
186.56	2.72	wanted a quick short one to go over the
187.76	2.80	destruction spec as always let me know
189.28	2.80	if you guys want any videos done and let
190.56	2.80	me know in the comments okay you can
192.08	2.72	come by the stream and ask any questions
193.36	2.56	you want or just come and vibe meet some
194.80	3.76	new homies bro i'll stream all the
195.92	4.00	[ __ ] time twitch.tv subscribes please
198.56	3.44	toss a like on this video and subscribe
199.92	5.72	if you're not already cheers my pumpers
202.00	3.64	see you on the next one
213.12	2.08	you
