6.24	2.40	real quick i'd like to give a massive
7.44	2.56	shout out to all the homies on patreon
8.64	2.56	who chose to support the cult and help
10.00	2.16	keep the lights on if you want more
11.20	2.16	information on how to support the
12.16	2.80	channel and get your name up here at
13.36	4.72	these [ __ ] chads check out the video
14.96	3.12	description below all right
18.24	3.28	yo what's up pumpers now that all the
20.00	2.72	raid guys in progress is done i can take
21.52	2.96	a break from them and focus on some
22.72	3.92	warlock stuff starting with something i
24.48	3.68	get asked a ton about and that's gearing
26.64	2.72	well i think we all know what big pieces
28.16	2.48	we want but we also know that it might
29.36	2.64	be a while until they drop and that we
30.64	2.88	win them over the many other casters
32.00	3.20	that won our loot right what about in
33.52	2.96	the meantime well maybe this will help a
35.20	3.36	little bit i'm gonna go over my thought
36.48	3.44	process when i'm gearing in the tier six
38.56	2.72	the goal is to help you maybe know what
39.92	2.80	angle to take with gearing all the new
41.28	3.28	gems and whatever else and also give you
42.72	3.28	an idea of what gear to aim for this is
44.56	2.72	what my list and what i'm personally
46.00	2.48	doing if you have questions or whatever
47.28	3.04	hit me in the comments so yeah let's get
48.48	3.20	started so i'll be using two 70 upgrade
50.32	3.04	sheets for this
51.68	3.28	our starting point right here and our
53.36	3.28	ending point okay our starting point
54.96	3.28	will be more or less phase two best in
56.64	2.96	slot i know not everybody will have all
58.24	2.80	this like i know many people have
59.60	3.36	vestments and stuff like that and those
61.04	3.60	guys i say don't trip t6 has better loot
62.96	3.68	anyway okay i'll go over alternative for
64.64	3.36	the slots as well as for the ending gear
66.64	2.96	this will be more or less phase three
68.00	3.44	best in slot and exactly what i will be
69.60	3.36	aiming for when it's all said and done
71.44	2.96	once again i know we don't have all this
72.96	4.48	gear but hey you never know you might
74.40	6.80	get lucky so first off
77.44	7.20	let me try to get this more on uh
81.20	5.92	easily accessible little uh
84.64	4.16	uh yeah go here yeah and click this one
87.12	2.64	yep figuring it out boys we're figuring
88.80	2.32	out we're gonna make this a little bit
89.76	2.64	wider here
91.12	2.08	and we can go here yeah it looks good
92.40	1.68	okay so i'm gonna have the one that
93.20	1.76	we're working on on the left and i'm
94.08	3.52	gonna have that right so you guys can
94.96	4.48	see both of them okay so
