6.00	3.12	yo guys what's up i decided to do a
7.68	2.64	little early with this uh this phase
9.12	2.56	with the gearing guides and so many of
10.32	2.88	you have asked and are curious about
11.68	3.60	what we look like in phase three so here
13.20	3.68	you go a phase three gearing guide for
15.28	2.96	you beautiful people okay same thing as
16.88	2.56	phase one and phase two i'm just gonna
18.24	3.36	show you what options we have in tier
19.44	3.36	six and uh what's best in slot so you
21.60	3.20	guys can get some guidelines and stuff
22.80	4.00	okay um note is i'm a little sick right
24.80	4.00	now so uh i don't sound normal bear with
26.80	3.68	me gotta get it done anyway right
28.80	3.28	first off before we begin
30.48	3.60	you know i gotta shout out the warlock
32.08	3.84	discord right the go-to place for any
34.08	3.60	budding or experienced warlock you can
35.92	4.08	find all relevant and most importantly
37.68	3.84	the correct information in this discord
40.00	2.80	server please feel free to stop by and
41.52	3.60	check out for yourself the link will be
42.80	3.84	below in the description
45.12	3.20	next up let's talk about gems real quick
46.64	3.52	with phase 3 launch brings in some new
48.32	3.28	gems to the game we don't get a new meta
50.16	2.88	gym but that's okay because our meta gym
51.60	2.80	is overpowered anyway but we get a bunch
53.04	3.92	of new epic gyms and [ __ ] we can put in
54.40	3.76	the other slots at first glance it might
56.96	2.64	not seem like they're big upgrades but
58.16	3.20	combine them with all your other gyms
59.60	2.96	and it's actually a huge upgrade so we
61.36	3.12	don't get a new meta gym obviously like
62.56	3.44	i said but we got a new blue gym we get
64.48	2.96	new reds we get new hit gyms we get new
66.00	3.20	you know orange gyms or whatever this is
67.44	2.96	like the veil noble topaz this is the
69.20	3.12	rune living right you see it's just
70.40	4.08	direct upgrades use these crit ones
72.32	3.20	obviously and only for your seed set
74.48	2.24	when you're full crit or you want to
75.52	2.88	split it
76.72	2.88	your blue sockets now become this you
78.40	2.48	know and we get some more gyms that come
79.60	2.40	up and with the haste gems but that
80.88	2.64	there's not gonna be out yet i mean
82.00	2.48	unless blizzard puts them out but we're
83.52	2.64	gonna assume that they're not gonna put
84.48	3.20	them out but yeah so expect some new
86.16	2.56	gyms which is kind of cool they're going
87.68	2.96	to be expensive though when they start
88.72	3.20	just adds up
90.64	2.96	now we can talk about tier 6 for a while
91.92	3.12	because as you know we
93.60	2.96	tier 5 wasn't that exciting for us
95.04	4.16	gear-wise right well let's talk about
96.56	3.84	some tier 6 stuff first off our bonuses
99.20	2.80	are two set for this
100.40	4.00	each time one of your corruption or
102.00	4.08	immolate deals damage you heal for 70
104.40	3.28	health it's absolutely ass don't even
106.08	3.44	worry about that but what's not asked is
107.68	3.52	the four piece increases the damage
109.52	5.28	dealt by your shadow bolt and incinerate
111.20	4.64	abilities by six percent that is huge
114.80	2.96	that is
115.84	3.52	the napkin math on that is about 120 to
117.76	3.60	130 spell power that's about worth okay
119.36	3.12	so it's a big deal and another new thing
121.36	2.56	that comes with this is we have eight
122.48	3.36	pieces of tear in here right instead of
123.92	4.16	the five so you have a hood gloves
125.84	3.76	legging legs and mantle right these are
128.08	2.56	the ones that you'll be most like these
129.60	1.92	are the ones you'll actually be wearing
130.64	2.16	because you're going to want the 4c
131.52	2.80	right these are actually the four piece
132.80	2.96	that you will be wearing
134.32	2.64	um these are already powered you don't
135.76	2.56	get any haste on these yet but they're
136.96	2.96	all just going to have a nice chunky
138.32	3.20	about us they have a nice good amount of
139.92	3.04	spell power on each they each have crit
141.52	2.88	that you have hit they each got a socket
142.96	3.28	it's really good and switch over the
144.40	3.68	next ones you have one more piece here
146.24	3.52	what you'll notice here is we have four
148.08	2.80	pieces but we only have one piece that
149.76	2.48	comes with black temple the rest are in
150.88	2.56	the sun well these are the ones that
152.24	2.56	actually have haste on it right we're
153.44	2.64	not quite there but we're almost there
154.80	3.44	so once we get in the sun well these are
156.08	3.60	the last bosses i included them on this
158.24	2.48	because they just went with tier six but
159.68	2.64	just know that these are in phase five
160.72	4.80	these are not out yet okay but look how
162.32	4.24	juicy they look oh oh it's beautiful and
165.52	2.32	the robe you don't really use the rope
166.56	2.24	because we have vestments like if you
167.84	2.00	don't have vestments we'll get there
168.80	2.08	when you get to the chest but the robe
169.84	2.96	is on this page because it's not really
170.88	3.76	the one you use but you can use it not
172.80	3.04	you know nothing against it yeah tier 6
174.64	2.56	pretty cool as you know tier 6 is the
175.84	2.96	one with the flapping wings and all that
