6.00	3.44	hey everyone i hope this holiday season
7.68	3.20	is treating you guys well today i've got
9.44	3.12	something a little bit different for you
10.88	3.20	i get asked quite frequently on stream
12.56	3.04	and in the warlock discord shout out to
14.08	4.00	the warlock discord it's a one-stop shop
15.60	4.00	for all warlocks link in the description
18.08	3.52	anyways i get asked all the time about
19.60	3.84	wish list and loot list and what to
21.60	3.44	spend your dkp on what piece should you
23.44	4.16	hold out for and what should you aim to
25.04	4.40	get and yada yada yada and finally the
27.60	3.52	light bulb lit up in my head
29.44	3.76	the light bulb to make a video about it
31.12	3.76	so that's what this is a video that will
33.20	4.08	hopefully help you know give the guys
34.88	4.40	that need a wish list a wishlist the dk
37.28	3.44	peers something to spin that dkp on and
39.28	2.88	the rest of us just some powerful gear
40.72	3.52	to keep in our sights as we prepare for
42.16	3.76	phase three and tier 6.
44.24	3.68	a quick note about the tier sets i'm not
45.92	4.40	going to include any tier pieces in the
47.92	4.88	list the tier 6 4 set bonus for us is
50.32	4.32	absolutely insane the two set is cheeks
52.80	3.04	but the foresight is next level and
54.64	2.80	increasing the damage of your shadow
55.84	3.76	bolts and incinerates by
57.44	4.08	which equates to roughly 120 to 130
59.60	3.76	spell power not only that but the actual
61.52	4.16	pieces of tier are decent upgrades as
63.36	4.40	well making this set absolutely
65.68	3.28	mandatory it's just hard to place it on
67.76	2.88	the list because there's four different
68.96	3.28	pieces of gear that on their own aren't
70.64	3.20	as big of an upgrade thus i'm just gonna
72.24	3.36	leave the t6 off of it and just get it
73.84	3.20	as you can i'm sure your raid leader
75.60	3.20	will have some system worked out for you
77.04	3.28	guys to get your tier pretty fast but
78.80	3.04	don't lose your if your guild gives
80.32	2.88	the first set to the prop paladin their
81.84	3.36	force that increases the damage of their
83.20	3.60	consecration by 10
85.20	4.00	meaning their aoe does more damage
86.80	4.08	meaning you can spam seed more so relax
89.20	3.04	another thing before we start this is my
90.88	2.88	opinion if you don't agree then let's
92.24	3.28	figure it out in the comments right this
93.76	3.36	is based off my past knowledge some stat
95.52	3.04	gains and some stems off my character
97.12	2.64	i'm not saying my way is the way to go
98.56	2.48	i'm just trying to help the homies out
99.76	3.28	there who just want to know what top
101.04	5.04	five items to aim for hope it helps
103.04	5.28	someone out there let's get started
106.08	3.92	all right number five so the first one
108.32	2.96	on the list or well i guess it would be
110.00	3.28	the last one i don't know whatever
111.28	3.92	either way it's the cloak by the cloak i
113.28	3.76	mean these cloaks the first one is the
115.20	3.76	cloak of illidari council with 42 spell
117.04	4.16	power and 25 crit and the second one is
118.96	5.04	the shroud of the highborn which is 23
121.20	4.32	spell power and 32 haste the cloaks are
124.00	2.96	already a spicy topic in the castle
125.52	3.20	world primary because of the healer
126.96	3.44	cloak it's got haste on it and a large
128.72	3.52	victorian casters are very hungry for
130.40	3.44	haste now i'm not here to tell you who
132.24	2.88	to give the cloak to but i will tell you
133.84	3.12	that as a warlock main cloak of the
135.12	3.68	illidari council is our best in slot
136.96	3.44	cloak
138.80	3.04	if you somehow scumbag your way into the
140.40	3.12	healing cloak it's best in slot for
141.84	4.56	seating in any matter i put either of
143.52	5.76	these cloaks in at number five
146.40	2.88	number four
150.08	3.84	number four i'm putting down rings well
152.16	3.12	it's only one ring but they're not
153.92	3.60	unique so you can actually wear two of
155.28	4.48	them and god these are such good rings
157.52	4.40	coming in at 39 spell power with a
159.76	3.44	whopping 31 haste these can last you to
161.92	2.88	the end of the game
163.20	2.96	they drop off the trash in black temple
164.80	2.96	and i don't remember ever taking too
166.16	3.60	long on private servers to obtain both
167.76	3.68	of these rings and i even saw two of
169.76	3.04	them drop on the ptr of course that
171.44	2.56	could have just been good rng and we'll
172.80	2.64	have to wait to see the drop rate on
174.00	3.04	them while keeping our finger crossed
