0.08	4.64	greetings brave traveler and as always i
2.40	4.48	hope you're having a fan freaking tastic
4.72	5.92	day today we're going to take a look at
6.88	7.36	our enhancement shaman bis set for phase
10.64	6.24	3. notice immediately there is no tier
14.24	5.68	in our best set we don't use tier it's
16.88	5.76	not very strong the set bonuses are crap
19.92	5.60	and it's a complete change from last
22.64	6.08	year in that regard it's a good thing
25.52	4.16	that we don't use tier in some ways but
28.72	3.68	also
29.68	4.16	all of these items are heavily contested
32.40	2.48	by somebody
33.84	3.60	so
34.88	4.00	enjoy the possibility of riding low on
37.44	3.68	the gear list
38.88	5.12	hopefully your raid leader will see the
41.12	4.88	potential of enhancement going forward
44.00	5.28	base three all the way through phase
46.00	5.04	five we become powerhouses though maybe
49.28	3.12	we'll get some favor if we've been a
51.04	3.68	good raider
52.40	5.36	anyways let's get right into it
54.72	4.48	first vision of sargeras obviously our
57.76	3.68	best helm
59.20	4.32	this is the only piece that i could
61.44	4.56	potentially see an argument for going
63.52	5.84	into the sky shatter cover temporarily
66.00	5.44	but inevitably this will be your best
69.36	3.36	so you could jump from your cataclysm
71.44	2.80	helm because you're going to be
72.72	2.48	replacing your four piece to your set
74.24	3.28	anyway
75.20	4.40	and go to the sky shatter cover as a
77.52	4.08	backup option since tiers pieces will
79.60	4.24	drop much more frequently than the
81.60	5.52	cursed vision of sargeras and every
83.84	5.76	physical dps basically will want this
87.12	4.16	help but consider that when you're
89.60	4.24	making your loot list you can have this
91.28	4.64	as a backup item next choker of endless
93.84	4.00	nightmares there's no discussion on it
95.92	4.32	it's pretty straightforward strongest
97.84	4.80	neck piece
100.24	4.32	this one gets a little hairy uh
102.64	3.60	expertise is a very valuable stat but
104.56	3.76	also so is haste
106.24	4.96	so we may keep our shoulder pads of the
108.32	5.36	stranger for a while and be okay with
111.20	3.76	that the haste from the shoulders is
113.68	3.04	very nice
114.96	3.28	i could see an argument to stick with
116.72	3.36	the shoulder pads of the stranger for
118.24	4.88	the entire tier
120.08	5.76	but you will miss out on 38 haste which
123.12	5.36	is a lot of haste so trade that for 10
125.84	5.20	expertise it's very close
128.48	4.16	i would say that expertise is also very
131.04	3.68	valuable i'm going to stick with these
132.64	4.96	for a while but i will inevitably switch
134.72	2.88	to the hay shoulders
138.24	5.60	shadow moon destroys drape
140.24	6.08	the obvious choice there is no other
143.84	5.20	midnight chest guard very clearly this
146.32	4.08	by a long shot
149.04	4.32	deadly cuffs
150.40	5.60	not necessarily the clear winner you can
153.36	5.12	swap these with lightning reflexes this
156.00	4.48	will give you more haste but hit rating
158.48	3.60	is something that we still want to worry
160.48	3.60	about we don't want to drop too low on
162.08	3.20	the hit rating otherwise we're just not
164.08	3.04	going to be hitting the boss we could
165.28	3.92	swing as fast as we want to but hitting
167.12	4.00	the boss is not going to be a thing i'm
169.20	3.36	gonna go with the deadly cuffs you could
171.12	5.20	make an argument for going with the
172.56	3.76	bindings of lightning reflexes here
176.72	5.92	the weapon choice is a little bit
180.24	4.16	difficult so
182.64	4.88	arguably the vengeful gladiators
184.40	6.24	cleavers are the ultimate weapons in
187.52	4.56	this regard they have 349 high-end
190.64	4.00	damage
192.08	6.32	and comparing that to what other sets
194.64	5.60	will call for is the siphon of nathrezim
198.40	3.60	very strong maces
200.24	4.56	i would say these are actually your
202.00	5.04	second base because of the proc and the
204.80	4.16	fact that they're slow and have a high
207.04	3.52	end damage cap
