0.08	3.28	hey guys dev here so today we're going
1.84	3.60	to be taking a look at prop paladin loot
3.36	4.48	for the next two raids hyjal and black
5.44	3.60	temple before we jump into the gear i
7.84	3.60	just want to take a second to just
9.04	4.00	mention my patreon if you do enjoy this
11.44	3.04	type of content or any of my content
13.04	3.76	that i make and you do want a way to
14.48	3.76	support the channel patreon links below
16.80	3.36	even a few dollars a month goes a long
18.24	4.00	way to help me create videos
20.16	4.24	so consider it all right let's go with
22.24	3.60	the gear just a car face guard this is
24.40	3.76	the cara helm at this point you should
25.84	4.32	have replaced it with tf5 crystal forge
28.16	3.44	face guard should be your go-to helm at
30.16	3.36	this point next here we're going to be
31.60	3.68	picking up lightbringer face guard which
33.52	3.52	is a direct replacement for crystal
35.28	3.84	forged face guard this is a really good
37.04	3.44	helm but there is another option as well
39.12	4.16	and that's going to be face plate of the
40.48	4.48	impenetrable so both the lightbringer
43.28	3.20	face guard and the faceplate of
44.96	4.00	impenetrable are pieces that you want to
46.48	3.84	pick up they serve different roles my
48.96	3.28	lightbringer face guard is gonna get the
50.32	4.00	spell power enchant on it it's gonna be
52.24	3.44	my threat home it's gonna be you know my
54.32	2.56	95
55.68	2.72	of the time where i'm tanking i'm
56.88	3.04	probably using this helm
58.40	3.44	face place with the impenetrable will be
59.92	3.76	getting a defense enchant and this is
61.84	2.80	going to be my really heavy tanking
63.68	3.36	piece
64.64	4.32	that i use block sets i'll also show you
67.04	3.84	some quick figures so i've got these
68.96	4.96	tables made up for every single piece
70.88	4.88	we've got uncrush and yellow avoidance
73.92	3.92	in red that includes the avoidance that
75.76	4.40	you get from defense as well we've also
77.84	4.32	got block dodge and parry displayed as
80.16	4.00	their own and these are only showing the
82.16	3.84	ratings from each piece so as you can
84.16	5.52	see faceplate of the impenetrable has an
86.00	4.56	amazing 7.69 nice percent crush which
89.68	2.40	really
90.56	3.52	stands out as one of the biggest
92.08	3.52	defensive pieces in the in the entirety
94.08	3.60	of next tier
95.60	4.48	so if you do want to get crush cap quite
97.68	4.08	easily and this is going to be the piece
100.08	3.52	that you're going to want to probably
101.76	4.16	keep on some of the time it's going to
103.60	4.24	allow you to hit that uncrushed cap
105.92	3.68	quite easily and possibly allow you to
107.84	2.96	get spell power into other pieces
109.60	2.88	because i'm using face plate of the
110.80	3.92	impenetrable on my block set i do want
112.48	4.16	to mention uh the current block helm
114.72	3.28	that we're currently running or a lot of
116.64	2.88	us are running which is face guard of
118.00	3.36	determination i know some people just go
119.52	3.52	straight to e5
121.36	4.32	but as you can see this is a massive
123.04	4.32	step up in stats from the old block helm
125.68	2.88	and it shows you just how far gear has
127.36	2.80	come
128.56	3.28	in just a few tears
130.16	3.52	all right so just to summarize those
131.84	3.36	helms really quickly we're looking for
133.68	3.12	light bring a face guard for a threat
135.20	4.48	set face got faceplate of the
136.80	4.88	impenetrable for our super defensive set
139.68	3.68	slash block set when we're doing big
141.68	3.60	trash pulls and whatnot
143.36	3.68	different enchants for different jobs
145.28	3.84	before we get too stuck in the gear i
147.04	3.52	just want to quickly touch on this one
149.12	2.96	but the importance of maintaining
150.56	3.04	different sets and different pieces for
152.08	3.52	different roles
153.60	4.24	so the notion that there is a correct
155.60	3.52	bis for a tank and i've seen a lot of
157.84	3.28	tanks they put on one set of gear for
159.12	3.36	the entire raid they switch nothing out
161.12	2.80	and that's how they play the game i
162.48	3.12	think that's a really lazy way of
163.92	3.12	playing prop valley so a lot of the
165.60	3.52	skill with prop pally comes from picking
167.04	4.24	the correct gear for the correct job
169.12	3.52	switching gear out from pull to pull
171.28	3.04	depending on what you're tanking how
172.64	4.24	much you're tanking is it a big aoe pool
174.32	4.96	is it single target you know the the
176.88	4.08	mobs in tempest keeper and uh great
179.28	3.36	examples that do the overchargeability
180.96	3.52	they can hit for about 15k you should be
182.64	3.04	switching into any any hp set for that
184.48	4.16	because you need to get her up around
185.68	4.48	like 17k to be quite comfortable so
188.64	3.12	moving into next phase if you want to be
190.16	3.60	a great protection paladin you should be
191.76	3.92	looking at lots of different pieces
193.76	3.44	creating quite a few sets
195.68	3.60	i can do another video on all the sets
197.20	2.80	that i use and how to design good sets
199.28	2.56	but
200.00	3.28	there's no just one perfect item in a
201.84	3.36	lot of these cases and you're going to
203.28	4.16	want to pick up a few options for each
205.20	4.48	slot okay so moving on to neck we're
207.44	4.00	going to use the darkness grasp next
209.68	3.12	phase just bring out a new neck pendant
211.44	3.36	of the titans
212.80	3.20	so this is a defense rating dodge and
214.80	2.48	hit rating
216.00	3.12	we'll see how that's stuck up really
217.28	5.68	quickly on our on our graph so darkness
219.12	5.92	grasp giving a 4.79 on crush
222.96	3.92	and this just doesn't really stack up
225.04	4.16	when you look at the two point five
226.88	4.24	seven percent on the avoidance table
229.20	3.28	this is the one in red
231.12	3.12	a lot of the stat budget on this item
232.48	3.76	comes from hit rating and we don't
234.24	4.48	really benefit that much from a lee hit
236.24	4.64	rating so remembering hit rating and
238.72	3.60	spell hurt rating are separate stats so
240.88	3.60	this is a much better item for your
242.32	4.00	druid or your warrior tank so you really
244.48	3.28	want to stick with darkness grasp for
246.32	2.40	your defensive option that's what i'll
247.76	3.28	be doing
248.72	5.04	let the druids and the warriors get
251.04	4.48	pendant of the titans so thinking about
253.76	3.44	what we just spoke about with different
255.52	3.60	pieces for different jobs we're going to
257.20	4.40	look at a thread option now
259.12	3.84	so three different options here first of
261.60	3.92	which is vindicator's pendant of
262.96	4.00	dominance so this is actually a pvp neck
265.52	3.60	the stats on it are pretty crazy though
266.96	3.76	we've got 35 stem with a yellow socket
269.12	3.52	so with the yellow socket you can go a
270.72	3.44	spell pair and spell hit gem it's going
272.64	4.08	to give you that extra free stamina and
274.16	3.36	really push this into a crazy threat
276.72	3.36	piece
277.52	4.16	gives you 18 resilience as well which is
280.08	4.48	really good for maintaining
281.68	4.00	credibility when you're in a super
284.56	3.52	threat set
285.68	4.16	so even breaking down the
288.08	4.08	threat pieces
289.84	4.64	further so vindicator's pendant of
292.16	3.92	dominance would be your your go-to aoe
294.48	4.00	tanking
296.08	3.92	threat neck
298.48	2.48	if you need more threat and you're on a
300.00	3.20	boss
300.96	4.40	brooch of unquenchable fury
303.20	4.40	is a really nice neck so
305.36	4.24	over one percent spell hit at level 70
307.60	3.60	you got 15 spell hit now what you need
309.60	3.36	to remember is next phase we're going to
311.20	3.20	be using exorcism a lot so that's
312.96	4.16	actually going to increase the value of
314.40	4.80	spell hit compared to what we get out of
317.12	3.76	it for this tier
319.20	3.28	so dropping a little stamina on this
320.88	4.24	piece
322.48	4.32	uh pvp neck is probably better overall
325.12	3.04	but it's worth a mention if you don't
326.80	2.64	want a pvp
328.16	2.88	the other neck that's worth a mention
329.44	3.92	real quick before we move on is pendant
331.04	4.40	to the lost ages so this has a nice
333.36	4.08	amount of stamina it's got the 36 damage
335.44	4.32	in healing where this really shines is
337.44	4.88	its use effect so it's got a 20
339.76	4.64	reduced duration on a silence or
342.32	3.60	interrupts so if you're tanking trash
344.40	3.60	that has a silence
345.92	4.16	in any of the raids this is a really
348.00	3.12	good option okay so next up come the
350.08	2.72	shoulders
351.12	3.12	so just a car shoulder guards which have
352.80	3.36	been very loyal to us they've been a
354.24	3.28	great piece next year though you're
356.16	3.04	going to be breaking that two set for
357.52	4.32	the most part
359.20	4.56	the raw stats on the new tier is just so
361.84	3.12	big you don't really want to give it up
363.76	3.84	so we're moving on to lightbringer
364.96	4.72	shoulder guards let's talk about the set
367.60	3.92	bonus a little bit before we move on so
369.68	4.08	i've heard a lot of people
371.52	3.92	um get really excited for this it says
373.76	4.72	increases the amount of gain from your
375.44	4.40	spiritual achievement by 10
378.48	2.96	so
379.84	2.96	this is brings your spiritual treatment
381.44	3.60	up to 11
382.80	5.28	not 20
385.04	5.36	so the maths on that is
388.08	4.48	a little bit janky but
390.40	4.08	i originally thought it was 20 and i was
392.56	2.80	cheering but turns out that's not the
394.48	2.32	case
395.36	3.68	so light bringing shoulder guards are
396.80	4.16	also a really great looking shoulder so
399.04	3.28	definitely something you want to pick up
400.96	4.56	so the other piece to talk about is
402.32	4.56	pauldrons of the abscissal fury
405.52	3.12	so because there's different shoulder
406.88	3.84	enchants it might be worth picking these
408.64	5.76	up they're not that great but if you
410.72	3.68	were going to put the defensive and
414.48	4.08	the defense dodge enchant on them
417.04	4.08	they may see some play in a really
418.56	4.88	defensive set but again i think threat
421.12	4.24	is going to be the governing
423.44	3.84	factor for next tier if you're planning
425.36	3.76	on maintaining things so overall
427.28	2.88	lightbringer shoulder guards are a much
429.12	2.48	better
430.16	3.76	for me personally i'll probably still be
431.60	3.84	picking up both um when i can get them i
433.92	3.60	won't be rushing for the absence of fury
435.44	3.68	if the warrior tank wants them
437.52	3.76	but i'll be going defense dodge on one
439.12	4.64	and spell power on the lightbringer
441.28	4.32	shoulder guards okay so we've got the
443.76	3.68	good old justice guard which most of us
445.60	3.44	are still running for the two set
447.44	3.76	so when you pick up your lightbringer
449.04	3.52	chest guard this will get replaced your
451.20	2.88	threat will now come from a lot more
452.56	3.04	consecration
454.08	3.60	as well as the raw stats just being so
455.60	3.76	good like we spoke about so the only
457.68	4.16	other chest that's available for this
459.36	4.88	tier is gloria the defender this is a
461.84	4.08	big defense dodge and hit rating again
464.24	3.28	it's better for the warrior tanks so if
465.92	3.76	the warrior wants this first let him
467.52	3.36	have it they get so so much more out of
469.68	2.56	hit
470.88	3.20	but if you look at the mitigation on
472.24	4.08	this one so lightbringer for the pure
474.08	3.36	avoidance is only 1.55
476.32	2.40	that's the red
477.44	4.64	red table
478.72	5.52	uh glory defender 4.45
482.08	4.32	this is a really good defensive piece
484.24	4.48	for actually dodging attacks
486.40	4.24	um but it will hurt your thread output
488.72	4.08	it will also get less mana back because
490.64	3.68	you're getting hit hit less compared to
492.80	2.80	just blocking attack not getting crushed
494.32	3.20	taking in a good amount of damage and
495.60	4.08	then getting that back as mana
497.52	3.68	so will i pick it up probably because i
499.68	3.36	do like to have a really diverse threat
501.20	4.24	kit will i be going for it first nope
503.04	4.40	let the warrior get it even if off spec
505.44	3.76	warrior wants to jump in uh pick this up
507.44	2.96	for his tanking set before you not the
509.20	3.28	end of the world light bring a chest
510.40	4.40	guard is where you're going to spend 95
512.48	4.32	percent of your time
514.80	3.68	okay for the cloaks this is a bit of a
516.80	3.12	funny one the current cloak most of us
518.48	3.36	are wearing is the last cloak the
519.92	3.44	phoenix wing cloak
521.84	5.20	the only new option
523.36	5.84	next here is preppy shot of pacification
527.04	4.40	again it's another big hit rating piece
529.20	4.00	with dodge on it not even defense on it
531.44	3.68	this time
533.20	5.20	and how they stack up
535.12	4.72	is less avoidance on the peppies
538.40	4.24	most of the staff budget on this was
539.84	5.76	spent on the 25 hit rating not something
542.64	4.80	we want warriors druids offspec warriors
545.60	4.16	again let them take this don't fight for
547.44	4.16	it it's um not even something i'm gonna
549.76	4.08	be looking at picking up for my kit so
551.60	3.44	for your cloak pvp cloak still reigns
553.84	2.72	supreme
555.04	3.36	it's probably one of the most balanced
556.56	4.00	pieces so we've got hit rating with
558.40	4.48	resilience on this one which when you're
560.56	3.68	pushing a lot of spell power pieces in
562.88	3.52	picking up a little bit of resilience to
564.24	4.64	make up for the lack of defense rating
566.40	5.44	on some pieces is really handy
568.88	3.92	however royal cloak of the sunstriders
571.84	3.76	is
572.80	3.68	probably the best aoe tanking cloak in
575.60	2.64	the game
576.48	4.40	but you might have to fight for this one
578.24	4.72	if you want to get it i personally i'm
580.88	4.16	not a fan of taking dps pieces away from
582.96	4.40	dps for pure
585.04	4.56	trash tanking so sergeant's heavy cloak
587.36	4.64	isn't that far behind when you think
589.60	3.60	about it and you don't have to make any
592.00	3.36	dps
593.20	3.92	upset to get it so if there's a spur
595.36	4.24	royal cloak the sunstriders pick it up
597.12	4.40	but if not pvp cloak will get the job
599.60	3.52	done the other one that's worth talking
601.52	3.68	about real quickly is ruby drake of the
603.12	3.52	mysticant so this is a good deal of hit
605.20	4.48	rating on it so if you're looking for a
606.64	5.36	cloak um that you can switch in
609.68	3.92	on those exorcism demon bosses this is a
612.00	4.80	good one obviously hit rating is going
613.60	6.64	to increase your threat by a fair bit
616.80	4.48	and um we're gonna get some nice uh nice
620.24	2.48	exos
621.28	2.56	the thing to think about as well when we
622.72	3.04	talk about hit writing it's not
623.84	3.52	necessarily the maximum amount of threat
625.76	4.08	it kind of works like expertise for
627.36	3.76	warrior and druid tanks so the the good
629.84	3.84	thing about expertise as well as
631.12	4.24	increasing threat is it like kind of
633.68	3.84	lifts the floor a little bit so you're
635.36	3.36	not going to have those big runs of um
637.52	3.20	when you get like you know a lot of
638.72	3.60	resists a lot of
640.72	4.00	they get a lot of dodges a lot of
642.32	4.48	parries can really [ __ ] them over early
644.72	3.76	on in the pool so that's why hit rating
646.80	4.24	is so good for us
648.48	4.80	okay so moving on to the braces next uh
651.04	3.76	quite a few options here so the current
653.28	3.28	braces you're probably running is
654.80	2.88	abrasives of dignity with a spell power
656.56	3.12	enchant and
657.68	4.56	risk guards of determination
659.68	4.56	with a stamina enchant
662.24	3.44	upgrades next here come from seekers
664.24	3.12	wrist guards so these are going to be
665.68	3.92	your your 95
667.36	5.04	uh wrists the other options of eternium
669.60	4.96	shell braces so eternium shell braces i
672.40	4.32	believe should go to warrior first given
674.56	3.52	the option because it's the only wrist
676.72	3.12	upgrade they have i would take the
678.08	4.40	second pair of these though
679.84	4.24	stamina onto the eternium shells spell
682.48	2.88	power onto the seekers wrist guards and
684.08	3.44	you've got yourself
685.36	3.60	two really nice pairs of braces there
687.52	3.60	for different jobs
688.96	3.84	seekers wrist guards obviously really
691.12	3.20	good palate and this is what i'm really
692.80	3.36	happy to see you know you've got your
694.32	4.24	defense rating shield block rating and
696.16	4.68	spell power it's like finally great gear
698.56	6.32	for the pallies it's looking really
700.84	6.20	good turning michele brace plates 2.57
704.88	4.16	avoidance you've only got one percent on
707.04	3.20	the seekers wrist cards but nearly five
709.04	2.96	percent
710.24	4.24	towards your crush cap so they are
712.00	4.08	really good just different braces guys
714.48	3.76	different jobs so you're tanking a lot
716.08	3.60	of trash or you're tanking some huge
718.24	3.28	hard hitting boss
719.68	3.76	again you might not have the option of
721.52	3.36	always going for the super defensive
723.44	2.72	options if you need to keep your thread
724.88	2.72	output high
726.16	4.56	but all these little tools in the
727.60	5.36	toolbox you know really can help you out
730.72	3.84	especially as we move into sunwell okay
732.96	3.60	so for the hands
734.56	3.60	crystal forge handguards this is what
736.56	3.84	i've been wearing 95 of the time right
738.16	3.84	now in my super mitigation set though i
740.40	2.48	do have royal gauntlets of the silver
742.00	2.72	moon
742.88	3.76	next here we've got the lightbringer
744.72	3.20	handguards and these are really nice
746.64	3.36	hands so
747.92	3.28	i'm going to be wearing these 95 at time
750.00	4.16	these are going to be my you know my
751.20	4.80	balance set my threat set hands
754.16	3.28	haven't decided what gem i'm going in
756.00	3.12	maybe you're glowing for some stamina
757.44	3.28	spell power probably something like that
759.12	3.60	if you're a past queen
760.72	3.68	you'll have to smash passes spell power
762.72	4.00	enchant if you actually want to maximize
764.40	3.68	your threat two percent threat
766.72	4.24	uh gauntlets of enforcement are the
768.08	4.80	other options this tier these are 100 a
770.96	3.36	warrior item please do not bid on these
772.88	3.28	please do not try and convince your loot
774.32	4.00	council these are good for you they are
776.16	3.76	not let the warriors get them beautiful
778.32	3.76	expertise which warriors get a lot of
779.92	3.68	value out of and defense
782.08	2.80	a little bit of shield block value as
783.60	3.12	well for the
784.88	3.84	it increases the shield's thumb a little
786.72	4.56	bit we don't really get any offensive
788.72	5.12	threat out of that so great warrior
791.28	4.80	hands good to see but not for us
793.84	4.32	okay so this is how the hands stack up
796.08	4.40	we've got the light bringers sitting
798.16	4.40	ahead for
800.48	4.96	mitigation and
802.56	5.04	on par with the crystal forge in terms
805.44	3.76	of your crash cap
807.60	4.16	and most pieces here are going to be
809.20	3.92	climbing in terms of crush cap so you're
811.76	4.56	probably going to be ended up with like
813.12	5.20	a lot of bonus stats so if a piece loses
816.32	3.12	a 0.1 percent from crush it's not the
818.32	3.04	end of the world
819.44	3.84	not when you're picking up such a big
821.36	4.56	amount of avoidance and it's going to
823.28	4.72	make you feel tankier overall so
825.92	3.44	okay belts there are sony belts there
828.00	3.20	are enough belts you could wear one
829.36	2.80	around your head as a as a headscarf to
831.20	2.56	be honest
832.16	3.52	okay so current belts we're currently
833.76	4.08	running crimson girdle of the and domino
835.68	3.76	from a rose is still a great belt this
837.84	3.68	belt is actually a little bit over tuned
839.44	4.24	for when it came out belts the guardian
841.52	4.32	is a good threat option
843.68	3.84	um the best defensive belt in the game
845.84	3.60	right now is god lived in vulnerable
847.52	3.84	from ssc
849.44	5.12	um new belts that are coming out so
851.36	4.56	girdle of mighty resolve so this is uh
854.56	3.68	obviously a piece designed for paladin
855.92	4.56	we've got defense block rating block
858.24	4.72	value and damage and healing the other
860.48	4.08	belt that exists scarlet stability so
862.96	4.96	these have the same amount of stamina on
864.56	5.28	them so 15 56 56
867.92	4.24	the girdler stability is a little bit
869.84	4.08	better for warrior but it's not really
872.16	3.60	even worth taking as a paladin at this
873.92	4.00	point good almighty resolve is just so
875.76	3.20	good so nearly five percent towards our
877.92	3.36	crush cap
878.96	4.48	um their girdle stability doesn't really
881.28	3.28	come with a huge amount
883.44	2.72	of
884.56	3.04	avoidance like a lot of the pieces we
886.16	3.20	look at we're like okay this one is good
887.60	2.64	for avoidance this one is good for
889.36	2.40	threat
890.24	3.52	gerdle mighty resolve just feels
891.76	3.28	stronger in every way shape and form
893.76	3.44	it's got a lot of
895.04	3.92	shield block value but doesn't really
897.20	3.20	lean into us so
898.96	4.56	good luck stability for the warriors go
900.40	5.28	to the mighty resolve for the paladins
903.52	3.84	not too much loot discussion there nice
905.68	2.88	and easy it's nice when it's like that
907.36	3.12	one
908.56	3.84	okay so moving on to the legs
910.48	3.04	so we've got the tier 6 the light
912.40	3.20	bringers
913.52	3.28	so these have a nice amount of stem
915.60	3.44	they've got the defense they've got the
916.80	4.16	dodge they've got the damage and healing
919.04	4.56	and then we also have these really
920.96	4.64	interestingly and quite strange legs
923.60	4.00	predatorians leg guards
925.60	3.68	so they have a massive amount of stamina
927.60	3.68	75 stamina
929.28	3.76	dodge parry hit
931.28	3.12	no defense on a tanking piece which is
933.04	2.80	quite interesting
934.40	3.04	so warriors are probably finding at this
935.84	3.04	point that they've got so much defense
937.44	3.36	that they don't need to put defense on
938.88	4.08	every single piece so this is where i
940.80	3.92	think this piece was designed for
942.96	3.60	so this is definitely a warrior first
944.72	4.80	piece however i'll be picking up the
946.56	6.28	second of these and going all blue gems
949.52	4.96	with a stamina and an edgy
952.84	3.56	enchant
954.48	3.76	uh for my lightbringer leg guards i'm
956.40	3.12	going to be going spell power and
958.24	2.72	stamina the
959.52	3.84	the caster one
960.96	5.88	use these as my threat set use predators
963.36	5.68	like like guards as my defensive set
966.84	4.20	the uh
969.04	4.16	praetorians leg guards are actually a
971.04	4.72	little bit behind lightbringers in terms
973.20	4.00	of their raw avoidance but the amount of
975.76	2.72	stamina that we're going to stack onto
977.20	3.28	those is just going to be absolutely
978.48	4.72	nutty so it's going to increase our ehp
980.48	4.24	which is really nice but most of the
983.20	3.04	time i'll be spending my life in the
984.72	3.28	lightbringers and only wearing the
986.24	3.44	predatorians if i need to get super
988.00	4.00	tanky quite an interesting pick on the
989.68	4.16	legs though so let's move on pick up
992.00	3.68	both of those don't steal the first
993.84	3.52	praetorians like guards from the warrior
995.68	2.64	if they want them all right moving on to
997.36	2.48	boots
998.32	3.44	so i'll quickly just show you the two
999.84	3.76	blacksmithing options these only really
1001.76	3.20	count if you're a blacksmith
1003.60	3.20	most of you should be in boots of the
1004.96	3.36	resilient or if you've not got lucky on
1006.80	3.20	these you'll probably be in battle scars
1008.32	3.28	from cara so boots of the resilient
1010.00	2.96	still holding up really well so i've
1011.60	2.40	actually been asked quite a few times
1012.96	2.80	this week
