1.00	4.96	Hey guys, welcome to another video.
3.92	6.24	In this video, I'll talk about the phase
5.96	6.08	three Arcane Mage BIS list.
10.16	3.36	Now, this will not be a long video as
12.04	3.12	there are not many things you'll need to
13.52	3.80	upgrade.
15.16	4.20	For example, if you're phase two BIS
17.32	4.60	right now, these are the items you will
19.36	4.64	not be upgrading in phase three.
21.92	5.00	This includes the head, neck, shoulder,
24.00	6.00	chest, back, hands, the reputation ring
26.92	4.60	from Hyjal, and your mage trinket.
30.00	4.20	Now, let's talk about what you will be
31.52	4.96	upgrading with small upgrades followed
34.20	4.12	by big upgrades.
36.48	3.72	Let's start with the ring. You will be
38.32	4.44	replacing your Violet Signet of the
40.20	4.84	Archmage with Ring of the Ancient
42.76	4.20	Knowledge, which drops from trash in
45.04	4.88	Black Temple. This is going to be about
46.96	4.64	a 20 to 30 DPS upgrade.
49.92	4.28	For your wrist, you'll be replacing
51.60	5.08	Mindstorm Wristbands with Cuffs of
54.20	4.32	Devastation, which drops from the first
56.68	3.84	boss of Mount Hyjal.
58.52	4.92	This will also be a 20 to 30 DPS
60.52	5.04	increase, but for me, it's going to be a
63.44	4.20	100 DPS increase since I'm using the
65.56	4.44	Bracers of Havoc.
67.64	5.04	For legs, we will be replacing our T5
70.00	5.76	legs with our T6 legs. This will be an
72.68	5.84	upgrade of about 20 to 40 DPS. This
75.76	4.76	drops from the Council in Black Temple.
78.52	4.04	If you want, you can replace your Royal
80.52	4.52	Cloak of the Sunstriders with Cloak of
82.56	4.96	the Illidari Council, which also drops
85.04	3.92	from the Council in Black Temple. But,
87.52	5.36	it is going to be a very small upgrade,
88.96	5.80	about 0 to 10 DPS upgrade.
92.88	4.08	Now, let's talk about some big upgrades
94.76	3.76	like the boots. You'll be replacing
96.96	3.64	Velvet Boots of the Guardian with
98.52	4.36	Slippers of the Sea Caller, which drops
100.60	3.24	from the first boss of Black Temple.
102.88	4.68	This is going to be a pretty big
103.84	5.60	upgrade, about 50 to 80 DPS upgrade.
107.56	4.52	For belt, we will be replacing Belt of
109.44	5.12	Blasting with Anatharon's New
112.08	4.92	This is also a 50 to 80 DPS upgrade for
114.56	4.76	a couple of reasons. Not only does this
117.00	5.44	belt have more spell power and crit, but
119.32	5.24	also 23 intellect on top of those.
122.44	4.08	Now, the next two items both drop from
124.56	4.80	Illidan. First, for the weapon, we
126.52	5.32	replace our Nexus-Key with the Zhardoom,
129.36	4.96	Greatstaff of the Devourer. This will be
131.84	4.72	a 50 to 100 DPS increase and will
134.32	4.64	probably be the biggest upgrade of this
136.56	4.40	expansion. Now, for the trinket, we'll
138.96	3.68	be replacing our badge trinket with the
140.96	4.08	Skull of Gul'dan,
142.64	5.16	which is also about a 50 to 100 DPS
145.04	4.96	increase. Now, the Ashtongue Talisman of
147.80	4.04	Insight is also a great trinket,
150.00	3.64	especially for AoE damage and also
151.84	3.56	especially when your other trinkets are
153.64	3.76	on cool down.
155.40	4.72	If you want to know what to prioritize
157.40	4.76	to upgrade in the next expansion,
160.12	3.64	if you are BIS phase two, this is the
162.16	4.04	priority you should be making for your
163.76	4.16	upgrades. If you are not BIS, then use
166.20	3.36	your own judgment to determine what you
167.92	3.40	want.
169.56	4.12	But, if you ask me, the biggest upgrade
171.32	4.36	a mage can have is just getting a couple
173.68	4.04	of druids to join your raid because
175.68	4.16	having those extra innervates that
177.72	3.24	allows you to use destruction potions in
179.84	3.56	fights
180.96	5.28	is just insane.
183.40	4.84	Now, I will post the simulation website
186.24	3.88	and the 70 upgrades link in the
188.24	4.48	description, so you can check it out for
190.12	2.60	yourself.
193.24	4.00	So, that's it. Like I said, this is
195.00	3.84	going to be a short video.
197.24	4.92	Thank you for watching. Make sure to
198.84	6.80	subscribe for more mage content,
202.16	3.48	and see you in the next video.
