0.16	3.84	Hey guys, what's going on? Gandhi here.
2.40	4.96	In today's video, we're going to be
4.00	6.16	taking a look at the phase three loot
7.36	4.80	pryo. Kind of like a shopping list of
10.16	4.64	things that you want to get going into
12.16	4.88	Black Temple. We are about one month
14.80	6.08	away from Black Temple. A release date
17.04	6.56	should be dropping any day now.
20.88	5.76	And like I said, this video is going to
23.60	6.16	be going over the quote unquote BIS list
26.64	6.64	for TBC Arms Warrior.
29.76	6.56	Now, a quick disclaimer.
33.28	6.56	You guys can obviously go to Wowhead and
36.32	6.48	search up this list warrior TBC. Take a
39.84	5.68	look and realize that there are
42.80	4.16	items on this list.
45.52	2.96	You can go take a look and see that
46.96	3.76	there's things on the Wowhead list that
48.48	4.80	are not on this sheet. You can go take a
50.72	4.88	look and see
53.28	4.24	multiple different variations, different
55.60	3.52	opinions, different thoughts on what you
57.52	4.40	should gear towards as a two-handed
59.12	5.12	warrior in TBC Classic. A lot of that
61.92	6.32	information is very outdated. It is from
64.24	6.40	2022. Point of this video is to clear up
68.24	4.88	a lot of things to share my opinion,
70.64	4.72	share my two cents, share with you guys
73.12	5.12	publicly what I plan to do come next
75.36	5.12	phase and give you guys this resource as
78.24	3.92	early as possible. That way you can kind
80.48	4.08	of communicate with your raid leader,
82.16	4.80	your loot council of what you want, what
84.56	4.96	you don't want, what you'd pass on for
86.96	4.88	this and that.
89.52	6.16	Now to dive right in going into this
91.84	5.44	phase, the head slot is very contested.
95.68	4.88	Onslaught Battlehem is going to be our
97.28	6.72	best option behind Sivos. Now, let's
100.56	7.04	note come next phase, we get a ton of
104.00	6.16	hit options when it comes to gearing.
107.60	5.68	Onslaught is special because it has zero
110.16	7.92	hit rating on it. It is a very powerful
113.28	7.76	item whereas Seos has 21 hit rating. Now
118.08	5.20	seos is a very very good item and it
121.04	4.80	actually scales better for us next phase
123.28	4.48	in ZA when we actually get to drop some
125.84	6.00	of the hit rating we are overwhelmed
127.76	6.72	with come phase three.
131.84	4.80	So what I would recommend to do is to
134.48	4.56	let your rail leader know hey I don't
136.64	4.56	need come phase three. However I do
139.04	3.92	would like pryo come phase 4. Now to
141.20	4.56	move on to our neck piece. Choker
142.96	5.28	straight blaze is our base. Do not let
145.76	4.16	anyone tell you otherwise.
148.24	4.32	The second alternative is choker of
149.92	5.04	endless nightmares. This is again
152.56	3.92	another hit item that we do not need as
154.96	3.28	arms warrior. We are absolutely
156.48	4.56	overwhelmed with hits. So, we do not
158.24	4.40	need that item. Alternatively, there are
161.04	6.00	other stats that we love on this neck
162.64	6.56	piece such as armor pin and stamina.
167.04	3.44	Going into our shoulder piece. A lot of
169.20	2.88	you guys would expect onslaught
170.48	4.08	shoulders to be in this slot and do not
172.08	5.68	get me wrong. Onslaught shoulders are
174.56	5.04	very, very, very good. However, me
177.76	4.64	personally, I'm going to continue to run
179.60	5.60	the expertise hard cap set. That way, I
182.40	4.56	cannot be dodged at all. I'm going to be
185.20	4.56	running shoulder pads of the stranger,
186.96	6.08	belt of 100 death, which is anyways, and
189.76	6.16	a controversial shape shifter sign. Now,
193.04	4.64	to continue on the shoulder slots, I am
195.92	3.20	taking stranger. It was our abyss last
197.68	4.32	phase, and I'm contin to wear it with my
199.12	4.32	saffron enchant come next phase.
202.00	3.92	However, you cannot go wrong with
203.44	4.00	onslaught shoulder pads. An additional
205.92	3.76	reason why I'm sticking with stranger is
207.44	5.12	because onslaught shoulder pads are very
209.68	6.32	highly contested. Honestly, more
212.56	4.96	contested than seos. Every hunter, every
216.00	3.84	shaman in your raid is going to want
217.52	4.56	tier gear, every warrior. So, that's
219.84	3.92	about 8 to 10 to 12 people that you need
222.08	4.32	to get tier gear, and they all want it
223.76	4.56	as soon as possible. Unlike in phase two
226.40	3.84	where no one except shamans really cared
228.32	6.08	about tier which we didn't even share it
230.24	6.08	with them so it was not an issue for us.
234.40	5.36	Now
236.32	4.48	MVP of TBC WOW is our vengeance wrap. We
239.76	3.52	are going to continue to wear vengeance
240.80	4.48	wrap come this phase. The reason we're
243.28	4.72	wearing vengeance wrap is again shadow
245.28	4.56	moon slayer's drape is very good. It is
248.00	4.40	a good item. However, we do not need the
249.84	5.04	hit. With us not needing the hit yet in
252.40	4.88	phase three, it is only a four to seven
254.88	3.52	DPS increase, which playing an arms
257.28	3.84	warrior, when we're talking about four
258.40	4.08	to seven DPS, it is very, very minimal.
261.12	4.40	And there are other things that you can
262.48	6.32	do as a player and mechanic mechanically
265.52	4.88	to increase your DPS 10folds. So, we're
268.80	2.64	going to stick with the vengeance wrap.
270.40	2.40	We're going to give this thing a little
271.44	3.76	trophy and we're going to wear it until
272.80	3.92	we get Dory's embrace come phase 4. That
275.20	2.96	is the second reason we are not going to
276.72	4.08	drop this vengeance wrap is because we
278.16	5.12	get such a great non-hit alternative
280.80	5.04	come next phase which should come
283.28	5.84	shortly after phase three as a filler
285.84	6.24	and catchup raid for black temple.
289.12	5.04	Now moving on to our chest basion kings.
292.08	4.48	This is going to be our abyss wreck set
294.16	4.24	chest. If you are a parse warrior, you
296.56	4.56	only care about parsing bosses. This
298.40	5.36	chest is absolutely disgusting with the
301.12	4.96	onuse proc on the screen shown. Pairing
303.76	4.96	that with recklessness in any phase of a
306.08	5.36	boss is absolutely disgusting and is
308.72	4.64	absolutely unmatched. If you are doing
311.44	4.64	speedruns or you care about overall
313.36	4.56	damage or you'd like to do trash parses,
316.08	3.92	it is worth noting that onslaught chest
317.92	4.32	is very, very good. If you're running
320.00	4.32	for medium parses, etc., onslaught is
322.24	4.08	worth getting.
324.32	4.08	Now, a second disclaimer I'd like to
326.32	4.96	make in this video is as a warrior, no
328.40	5.92	matter what spec you are, tank, DPS,
331.28	6.16	arms, fury, whatever, you need to do PvP
334.32	4.72	arena fives come next phase,
337.44	4.16	specifically fives, cuz you need the
339.04	4.88	points. Tier gear is very contested. We
341.60	4.00	wear two to three pieces um as filler
343.92	3.36	gear until you get other items.
345.60	3.44	Especially as fury, you tend to go three
347.28	3.92	to four piece depending on what gear set
349.04	4.88	you are running. That being said, the
351.20	5.04	PvP tier tokens are actually very, very
353.92	4.80	good this phase. The reason for that is
356.24	4.88	they all have armor pen on them and it
358.72	4.32	is very good early on to stack that arp.
361.12	4.24	So, until you get onslaught helm, until
363.04	4.96	you get divine red, until you get grips,
