4.84	2.96	Hey guys, Griffin here and today I want
6.16	3.20	to talk to you about gems in phase
7.80	3.36	three. So, if you're not aware with the
9.36	3.36	scale of the sands reputation coming out
11.16	5.08	in phase three, we're getting a bunch of
12.72	4.96	new jewel crafting patterns. So, uh the
16.24	2.80	good thing about them is they're pretty
17.68	2.88	easy to get. You pretty much just need
19.04	4.08	friendly for the main ones, you know,
20.56	4.12	and then the most the the last of them
23.12	3.68	are in revered.
24.68	4.44	The hard part of the gems themselves,
26.80	5.60	they're only in Mount Hyjal and you have
29.12	5.60	to down bosses to get access to the
32.40	4.92	ancient gem veins and then hope for the
34.72	4.16	gems to drop that you want. Uh and then
37.32	4.04	the loot council has to do assign it to
38.88	4.24	you. It's a little bit trickier. So,
41.36	3.52	no, not everyone's all of a sudden phase
43.12	3.12	three going to get all new gems in every
44.88	2.84	single slot. It's going to take some
46.24	3.72	time and it's going to take some
47.72	4.16	planning on loot councils and guilds uh
49.96	3.76	parts. Uh but the good thing is that
51.88	3.60	hopefully the prices of the old gems
53.72	4.84	should drop. So, if you're considering
55.48	5.12	buying like a a cheap gem or a a nice
58.56	4.20	gem for a new piece of gear you just
60.60	4.12	got, maybe you wait until phase three
62.76	3.44	because those other gems are should drop
64.72	2.56	in price to make it a little bit easier
66.20	3.32	for you.
67.28	4.48	Uh now, I am going to add a link in the
69.52	4.32	description to a list of all the new
71.76	3.28	patterns so you can take a look and see
73.84	2.72	uh what kind of upgrades you're getting.
75.04	3.96	Essentially, it's, you know, one or two
76.56	4.72	points or maybe three. So, uh for
79.00	4.76	example, this eight agility I have, it's
81.28	4.80	going to turn to 10 agility. Um the 12
83.76	4.16	stamina is going to go to 15 stamina and
86.08	4.04	I know I have the C already has 15
87.92	4.40	stamina, but that one is unique equipped
90.12	3.44	whereas the new 15 stamina is not. So,
92.32	2.76	you're going to be able to put it in
93.56	2.88	every single, you know, piece of gear
95.08	3.24	you've got.
96.44	3.44	Uh so, yeah, go ahead and take a look at
98.32	3.24	that. Get an idea of what you're going
99.88	4.00	to be doing and hopefully your loot
101.56	4.20	council or your GM or whoever's in
103.88	3.40	charge has a plan for how to hand them
105.76	3.48	out cuz that is going to get a little
107.28	2.92	bit hectic. Uh but yeah, I just wanted
109.24	2.84	to get this out there give you guys a
110.20	3.40	heads up and again in case you're
112.08	3.44	thinking about replacing a gem right
113.60	3.72	now, maybe wait a little bit. Anyway,
115.52	3.40	guys, I've got videos coming out
117.32	3.20	hopefully for the next couple weeks, so
118.92	3.36	keep it eye out. They're all going to be
120.52	2.88	related to phase three, and if you guys
122.28	2.80	have any questions, go ahead and throw
123.40	3.08	them in the comments. If you like this
125.08	3.28	kind of content, feel free to like and
126.48	4.16	subscribe, and as always, guys, take
128.36	2.28	care.
