5.52	3.36	hey guys grifton here and today i want
6.80	3.60	to talk to you about avoidance tanking
8.88	3.12	so first i'm going to talk about what it
10.40	3.60	is and then i'm going to talk about how
12.00	3.60	you achieve it and then of course about
14.00	3.20	how to get the avoidance cap or what the
15.60	2.96	avoidance cap is
17.20	4.08	so first let's just go ahead and talk
18.56	4.96	about what is avoidance tanking
21.28	4.00	essentially it's just tanking with
23.52	4.16	enough dodge and miss so that you don't
25.28	5.28	take any damage against a melee target
27.68	4.16	now this will not work against a caster
30.56	2.80	or anything like that so if you're going
31.84	2.64	up against a caster this isn't even a
33.36	2.88	thing
34.48	4.64	really this is more of like a fun thing
36.24	4.88	to do not a serious uh
39.12	3.68	you know tanking
41.12	3.76	strategy this is more of like hey look
42.80	3.60	how much gear i have kind of bragg
44.88	3.28	but yeah so essentially you just build
46.40	3.76	up enough dodge and miss that you just
48.16	3.28	don't take any damage
50.16	3.12	now there's
51.44	4.80	three ways to go about building this up
53.28	4.48	there's gear there are buffs and there
56.24	2.72	are debuffs
57.76	2.56	now i'm going to go through each of
58.96	2.72	those so for gear it's pretty
60.32	3.44	straightforward you're going to go for
61.68	4.24	stuff with really high agility really
63.76	4.08	good dodge if they've got it
65.92	2.88	and then some defense mainly agility
67.84	2.56	it's going to be your go-to so like
68.80	2.96	necklace the deep's got a lot of agility
70.40	3.60	for a neck
71.76	3.68	belt a deep shadow same thing 32 agility
74.00	3.28	plus two slots
75.44	3.20	um yeah stuff like that's really good
77.28	3.28	edge walkers if you don't have this
78.64	2.88	already it's back in cara you can grab
80.56	4.72	this
81.52	4.96	um this green amber band of eluding
85.28	2.40	i think it's one of the best rings you
86.48	2.88	can get for
87.68	3.76	avoidance and you can pick it up now
89.36	3.92	again this is this is phase two so like
91.44	3.60	some of the gear choices they they're
93.28	2.96	probably going to be improved um but i'm
95.04	3.12	limited so i just kind of want to give
96.24	4.40	you an example but yeah so you're going
98.16	4.88	to grab gear to get your your dodge and
100.64	4.40	your miss up using agility
103.04	4.64	uh defense and dodge in that order of
105.04	4.48	priority agilities first defense is uh
107.68	3.68	more for filling it out because it does
109.52	3.92	help dodge and miss
111.36	4.72	and then you've got things that have
113.44	4.32	dodge in them like the rings or moro's
116.08	3.84	lucky pocket watch
117.76	4.40	okay so now you've got the gear now
119.92	3.68	let's talk about the buffs so
122.16	2.96	first of all your self buffs you've got
123.60	3.44	your mark of the wild
125.12	4.16	major agility
127.04	4.64	well-fed agility and your scroll of
129.28	4.16	agility those four things are gonna help
131.68	4.48	you a lot the other buffs you wanna make
133.44	4.80	sure to get are blessing of kings
136.16	4.00	and your grace of air totem you wanna
138.24	3.92	make sure that's down at all times and
140.16	3.60	there's two debuffs there is i'm gonna
142.16	4.24	put them on the screen here there's
143.76	5.04	scorpion sting from a hunter and
146.40	5.60	uh insect swarm from a boomkin and you
148.80	4.80	want those up 100 uptime and those are
152.00	3.44	gonna give you five percent plus two
153.60	3.52	percent a total of seven percent and the
155.44	4.24	grease of air is going to give you i
157.12	4.48	think 77 agility if you get it improved
159.68	3.20	i think it's over it's more like 88
161.60	3.84	agility
162.88	4.72	which is gonna give you a nice four
165.44	3.44	four more dodge
167.60	3.12	regardless you're gonna want them up at
168.88	2.64	all times in order to achieve your dodge
170.72	3.04	cap
171.52	4.08	okay so that's how you get it now what
173.76	3.68	is the dodge cab or i should say the
175.60	3.68	avoidance cap because miss is a very
177.44	6.08	very big factor here so the avoidance
179.28	6.80	cap for bears is 101.2
183.52	5.20	now i have heard a lot of things i know
186.08	6.08	102.4 said i say 102.4 a lot too and
188.72	5.44	there's good reason for it um but 101.2
192.16	3.76	for avoidance tanking is a bear and i'm
