4.96	3.68	hey guys griffin here and today i want
6.40	4.24	to talk about phase three i know a lot
8.64	3.52	of us are still early days of phase two
10.64	3.84	maybe struggling with vash or haven't
12.16	3.68	done kt yet but i promise you this
14.48	3.28	information is something you need to
15.84	4.32	know now so that you can prepare
17.76	4.24	yourself for phase three going forward
20.16	3.28	and you don't feel overwhelmed when
22.00	3.68	phase three gets announced because there
23.44	4.56	is a lot that happens in phase three
25.68	4.56	that you as a bear or even a feral need
28.00	4.56	to be aware of so first let's talk about
30.24	5.04	attunement so you should be already
32.56	4.08	attuned for everything except for oops
35.28	3.76	let me click the right thing there you
36.64	3.60	go except for mount hyjal and black
39.04	2.56	temple
40.24	2.80	mount hydro is actually really easy if
41.60	3.52	you haven't done this yet all you have
43.04	4.56	to do is go to um caverns in time out in
45.12	4.40	daenerys talk to sora dormi he gives you
47.60	3.52	the vitals fraternity you kill lady vash
49.52	3.44	and kel'thus pick up the items turn it
51.12	3.68	in and you are officially attuned for
52.96	3.52	mount hyjal super simple this can be
54.80	3.52	done we have not killed celtics yet
56.48	3.12	which is why i'm not completely attuned
58.32	3.60	but you should definitely be able to get
59.60	4.08	a tuned right now all the way to the end
61.92	2.88	black temple is another
63.68	3.20	is the other one you want to worry about
64.80	3.36	and it is a different story okay so
66.88	2.88	first if you haven't started any of this
68.16	3.76	yet you really should there's a lot to
69.76	4.16	it so either with alder sky you start a
71.92	3.52	different spot um use the tune it'll
73.92	2.72	help you get through this you need to go
75.44	2.56	through shadow moon valley lots of
76.64	4.00	quests alcatraz
78.00	3.68	you have to eventually kill alar this
80.64	3.60	one's kind of annoying because you
81.68	4.40	actually have to put a costume on
84.24	4.40	and as a bear or even as a feral it's
86.08	4.56	weird because you can't see your form
88.64	3.84	um and it threw me off when i did this
90.64	3.44	um so just be p be prepared for that
92.48	3.60	annoyingness but you only have to do it
94.08	3.76	once once you kill alar you turn that in
96.08	3.60	and then all you have left is to kill
97.84	3.20	rage winter chill which you can't do
99.68	3.28	because they're in mount heijl so this
101.04	3.76	is as far as you should be able to get
102.96	3.52	right now for black temple but as soon
104.80	3.12	as mount hyjal opens up you should be
106.48	2.88	able to kill rage winner chill finish
107.92	3.12	this up and make sure you have this
109.36	3.76	quest in your
111.04	4.48	in your logs ready to go
113.12	3.68	okay so that's for a two-minute and
115.52	2.64	that's very important so just keep your
116.80	3.12	mind on those make sure you get them
118.16	2.72	done get this ad on the tune it's very
119.92	2.80	helpful
120.88	3.36	okay so the next part is going to be
122.72	3.28	badge gear
124.24	2.80	okay so there's two parts of badge here
126.00	2.80	the first part i'm gonna talk about is
127.04	3.28	fire resist um there's actually a little
128.80	3.20	bit more to this but i'll i'll kind of
130.32	3.28	start with the gear itself
132.00	3.76	there's four pieces of fire resist
133.60	4.16	you're gonna need um illidan is pretty
135.76	3.92	much gonna require all bears to be
137.76	4.48	tanking the infernal so they're fire
139.68	5.20	elementals um so you're going to need
142.24	4.56	365 fire resist this is 200 right here
144.88	4.00	unenchanted
146.80	5.12	it's pretty easy to get fully
148.88	4.64	365 with these four pieces
151.92	3.12	the other items you might want to
153.52	3.04	obviously these are a priority but like
155.04	4.24	some other items you should have are
156.56	4.16	phoenix fireband and amulet of the torn
159.28	4.32	heart now if you're wondering where you
160.72	3.92	got these uh these both came from
163.60	3.76	um
164.64	4.24	sorry i'm liking uh they came from the i
167.36	4.72	quest so actually let me show you on a
168.88	5.20	tune so if you were attuned to the eye
172.08	3.60	then you did the quest that they gave
174.08	4.24	you these items the first one is called
175.68	4.32	cipher of damnation which is right here
178.32	3.68	um you should have gotten i think it's
180.00	4.40	actually at the end of it but yeah right
182.00	4.16	here this is the quest you get to get
184.40	3.84	you talk to khadgar he gives you the i
186.16	4.24	believe it's the phoenix fireband and
188.24	3.60	then further down you do the trial of
190.40	3.36	the nauru i might have these backwards
191.84	3.84	by the way the trial of the naaru and it
193.76	3.60	gives you the amulet of the torah heart
195.68	3.84	or the other way around either way if
197.36	4.64	you don't have the the ring or the neck
199.52	4.80	don't stress about it um you can item
202.00	4.32	restore it if you deleted it or if you
204.32	3.20	just don't want to deal with that you
206.32	2.88	can get
207.52	2.96	like off pieces it's not that big of a
209.20	3.52	deal don't stress about it like these
210.48	3.84	are all my pieces i still have my drake
212.72	3.68	fire amulet from
214.32	4.24	classic um i have my seal of ascension
216.40	4.32	from classic these are not great pieces
218.56	4.40	but they are fire resist and i also have
220.72	3.68	a lesser arcanum of resilience which is
222.96	2.72	gonna you know go on my legs that's an
224.40	3.68	extra 20. i might not use it though
225.68	5.52	because the enchant for legs is so nice
228.08	4.16	and tpc but anyway um so let's get let's
231.20	3.04	get back to what i was actually talking
232.24	4.32	about close this okay so you've got your
234.24	3.60	four pieces for um
236.56	2.96	for illidan
237.84	2.96	the reason you can't maintain illidan is
239.52	3.36	because of sheer
240.80	3.84	i'll put the the spell on the screen so
242.88	4.16	you can see uh how it works pretty much
244.64	4.56	it's gonna lower your health by 60
247.04	4.56	but it's easily blockable by a warrior
249.20	3.92	so warriors just tank this uh if you get
251.60	3.92	your dodge high enough technically you
253.12	4.08	can avoidance tank this except you're
255.52	4.56	then going to be threat starved and it
257.20	5.12	creates its own problems um so for now
260.08	3.84	just if you're if you're in the mindset
262.32	3.04	that you want to take it
263.92	3.20	just accept the fact that a warrior is
265.36	3.20	probably doing it or even a paladin for
267.12	3.76	the same reason a shield just makes that
268.56	3.76	so much easier um okay and that's that's
270.88	3.36	the big one for the badges that's a
272.32	3.20	hundred badges now
274.24	2.80	the other thing which is more of a
275.52	4.24	question mark right now is there might
277.04	3.76	be more items that come out for phase
279.76	2.40	three
280.80	4.08	with badge items and there might be
282.16	5.84	upgrades for you uh so they're not out
284.88	5.36	yet so you want to just wait for them to
288.00	4.00	in case they do come out and have badges
290.24	4.08	ready so if you're if you're currently
292.00	5.52	like me i'm at three badges let's do
294.32	5.44	that um i'm at three badges i need a ton
297.52	4.16	more just to get my fire is a set so i'm
299.76	3.20	going to start doing heroics more often
301.68	2.72	which is something i really haven't been
302.96	2.24	doing very much um you're probably in
304.40	2.48	the same boat you've probably been
305.20	4.24	putting it off maybe raid logging this
306.88	4.48	is the time to get those heroics done
309.44	3.44	you need over a hundred
311.36	3.44	don't don't slouch on this you don't
312.88	3.44	want to be scrambling you know week of
314.80	4.48	phase three trying to get enough pieces
316.32	5.68	just to get these items uh yeah so keep
319.28	4.96	that in mind badges okay third one is
322.00	4.56	going to be pvp gear i know you guys
324.24	4.00	love me talking about pvp gear
326.56	4.40	here let me put on this is my current
328.24	4.48	tank side i wear veterans dragon hide
330.96	3.76	veterans leather boots
332.72	3.60	veterans leather belts i wear all three
334.72	2.88	of those right now i even have the
336.32	3.68	veterans pendant of triumph which i'm
337.60	4.00	not wearing but i plan to wear if i get
340.00	3.36	an upgraded
341.60	2.96	like if i get the belt of a thousand
343.36	3.60	deaths this thing's probably going to go
344.56	5.12	on that's how great those pvp pieces are
346.96	6.08	like because you can see i'm 2.32 plus
349.68	5.84	2.28 which is actually exactly 2.6 i
353.04	4.00	cannot be critically hit it's perfect
355.52	3.20	um i know a lot of people they don't
357.04	3.28	like to do the pvp thing they're not a
358.72	3.04	big fan i'm telling you battlegrounds
360.32	3.52	aren't that big of a deal
361.76	4.40	jump in one do the daily once a day
363.84	4.08	it'll take you i mean assuming you win
366.16	2.56	10 15 20 minutes
367.92	2.40	um
368.72	4.72	it might take a little longer to be fair
370.32	5.20	but it's worth it these these items make
373.44	3.52	everything else like a choice i know a
375.52	3.92	lot of people that have they don't have
376.96	4.32	pvp gear they have to use their trinkets
379.44	4.32	for you know they have to use the
381.28	4.16	time-lapse shard or the adamantite
383.76	4.16	figurine because they need defense and
385.44	4.72	they can't get it anywhere else
387.92	4.24	by having pvp gear i'm able to pretty
390.16	3.36	much put whatever trinkets i want i have
392.16	2.88	the shape shift just signet which you
393.52	3.60	usually can't do you usually have to run
395.04	5.60	double defense trinket or double defense
397.12	5.36	rings if you if you hesitated last time
400.64	4.40	now is the time to start getting some
402.48	4.32	pvp you know just get a little bit in
405.04	3.36	you only need even if you only get one
406.80	2.64	or two pieces it's going to help you out
408.40	2.32	so much
409.44	3.28	and now is the time to do it don't wait
410.72	4.16	until later so that's the pvp there's
412.72	4.80	one more thing it's more of a caveat and
414.88	6.24	it's also going to depend a lot on
417.52	5.52	what we get but it is a big heads up so
421.12	4.00	um it's gonna be shadow resist gear i'll
423.04	4.32	put up on the screen shadow resist
425.12	4.64	uh i have one piece of shadow resist
427.36	3.76	gear so far now for most of the fights
429.76	3.12	you don't actually need shadow resist
431.12	3.44	gear um the main fight that you need it
432.88	3.20	on if you're tanking you don't need any
434.56	2.80	um you're just gonna be a kind of like a
436.08	3.36	tank soaker
437.36	3.52	um but you might wanna still get it just
439.44	3.60	in case you're required yeah i got a
440.88	5.04	ring a shadow resist ring um in case
443.04	4.24	you're required to um you know like not
445.92	3.76	tank they're like hey we need you to do
447.28	4.40	this if you're more of a a cat that
449.68	3.60	every once well bear tanks you might
451.68	3.20	want to get shadows this gear now get
453.28	3.28	some greens get a couple blues get
454.88	3.28	whatever you can get crafted
456.56	2.88	because there is a fight where
458.16	2.72	everyone's going to need shadow resist
459.44	2.96	gear even if you just want to make a
460.88	3.52	profit on the auction house just grab a
462.40	3.36	couple pieces and sit on them and then
464.40	2.80	if you find out you don't need to use
465.76	3.44	the shadow resist just sell it and make
467.20	4.48	a huge profit on the gold as you can see
469.20	4.64	i'm running low on gold right now so i
471.68	3.68	could definitely use the investment um
473.84	2.72	but yeah like shadow resist is more of a
475.36	3.84	caveat i wouldn't worry about it too
476.56	5.52	much obviously the attunement the badges
479.20	4.88	and the pvp um
482.08	4.56	honor is more important right now but i
484.08	4.00	do want you guys to get on it now uh
486.64	2.80	don't wait until the last second i tell
488.08	2.72	you it's going to be worthwhile
489.44	3.04	especially with a lot of downtime we
490.80	3.68	have right now everyone's just running
492.48	3.44	ssc and tk and nothing else do some
494.48	4.24	heroics i don't know if there's many on
495.92	4.48	my server like we've we've got maybe i
498.72	4.96	don't know this middle of the day six
500.40	4.80	seven heroics it's not bad anyway
503.68	2.96	uh thanks guys for watching if you have
505.20	2.56	any questions about anything i put out
506.64	2.32	today just go ahead and throw them in
507.76	3.20	the comments to try to respond as
508.96	4.64	quickly as possible um i've been
510.96	5.12	streaming all of my raids um
513.60	4.64	tuesday through thursday night i use i'm
516.08	4.72	easter standard time and i do 8 30
518.24	4.64	usually 8 30 or 9 o'clock until 11 30
520.80	4.96	eastern standard time so feel free to
522.88	3.84	hop on and watch um i am not a huge
525.76	2.80	pumper
526.72	4.40	um we're not a huge pumper guild or
528.56	4.72	we're more of a casual normal guild so
531.12	3.36	if you're struggling come and watch us
533.28	2.88	you'll see the exact same thing you're
534.48	3.52	probably going through um and hopefully
536.16	4.08	get some tips or learn some there's a
538.00	4.80	lot of people that um in chat offer
540.24	4.64	suggestions to me um that have done it
542.80	4.64	before like we did kt for the first time
544.88	3.92	last night and um we had witcher i don't
547.44	4.32	know if you know who he is he was giving
548.80	4.48	me um some tips on how to tank i forgot
551.76	4.40	the dude's name the guy that throws the
553.28	4.88	bombs uh really helpful even if it's not
556.16	3.76	for me it might be helpful for you uh
558.16	5.56	but yeah anyway guys thanks for stopping
559.92	3.80	by and take care
