4.40	3.52	hey guys grifton here and today we are
5.76	3.92	doing the feral loot list for phase
7.92	4.16	three that's going to include black
9.68	3.76	temple and mount hyjal sorry i put this
12.08	3.92	off but it's been a busy week with the
13.44	4.16	ptr and the phase two nerfs and the
16.00	3.12	holidays in the way so there are a few
17.60	3.20	things i want to discuss before we begin
19.12	3.12	regarding the loop because there are
20.80	3.52	some unique features to some of this
22.24	3.76	gear i want to get out of the way keep
24.32	4.16	in mind these are my opinions and you're
26.00	4.32	welcome to disagree with me okay first
28.48	3.36	there is haste gear now so you're going
30.32	2.80	to start seeing gear with haste on it
31.84	3.20	now if you go back to the days of
33.12	3.28	classic vanilla haste was your bread and
35.04	3.68	butter that was referred to as attack
36.40	3.76	speed literally farming those malls all
38.72	4.80	day so you could increase the attack
40.16	5.20	speed now in in tbc haste isn't that big
43.52	3.52	of a deal for bear because we aren't
45.36	3.84	relying on our auto attack anymore we
47.04	4.16	have buttons to press mangle swipe last
49.20	3.44	right so i'm skewing away from haste if
51.20	3.04	you want to go down that haste route let
52.64	3.84	me know how it goes i love your
54.24	4.08	experience especially if you are a feral
56.48	5.28	dps purely and you decide to do the
58.32	5.44	hasting okay second is armor penetration
61.76	3.76	so it's not called that officially yet
63.76	3.36	but you'll start seeing gear with things
65.52	3.52	like your attacks ignore x of your
67.12	3.76	opponent's armor and this stat can be
69.04	4.16	great for all physical damage dealers
70.88	4.24	however in order for it to become great
73.20	3.36	you need a lot of it the first off
75.12	3.36	pieces will likely go to the hunters and
76.56	4.16	the rogues take them when you can but i
78.48	4.40	wouldn't put them as high prio or abyss
80.72	3.44	for yourself just try to get them again
82.88	2.88	feel free to disagree with me and do
84.16	4.08	your own thing let me know if it works
85.76	4.16	out i have no shame in being wrong okay
88.24	3.44	and third this one's pretty familiar by
89.92	3.76	now to your gear like to just get it out
91.68	3.28	of the way you will want tear gear in
93.68	2.80	phase three i'm going to put that out
94.96	4.40	there now so we don't have to address it
96.48	4.88	for each piece now there are five pieces
99.36	4.32	of tear gear in phase three and phase
101.36	4.48	five there will be three pieces giving a
103.68	4.16	total of eight pieces for one set this
105.84	3.68	will allow for more flexibility if you
107.84	3.92	want to swap out tier and still get the
109.52	4.08	set bonuses but we have a while before
111.76	4.16	that's a concern the set bonuses for our
113.60	4.32	tier year are pretty solid though
115.92	3.52	for both the two and the four set bonus
117.92	3.68	so you'll likely be wearing the full set
119.44	3.44	or maybe four piece with expertise
121.60	3.68	gloves now keep in mind you will be
122.88	5.28	wearing this for a long time because uh
