4.08	3.36	hey guys griffin here and today i want
5.44	4.40	to talk to you about my phase three
7.44	4.80	bisque gear list now this is not a best
9.84	4.16	in slot get these pieces video i don't
12.24	3.12	believe in that mentality as a tank
14.00	4.16	instead i'm going to show you what i
15.36	4.80	hope to be wearing at the end of phase 3
18.16	4.64	and explain why i chose what i did and
20.16	4.32	possibly um some alternative pieces i
22.80	3.60	might grab along the way
24.48	3.84	your gear may look completely different
26.40	3.60	from mine depending on the amount of pvp
28.32	3.52	you do and the priorities you have for
30.00	3.52	your stats you may have the mall weapon
31.84	3.76	for marinas or you may be trying to get
33.52	3.60	armor cap either choice will change how
35.60	3.84	your gear sets look compared to mine and
37.12	5.04	that's perfectly fine this video is just
39.44	4.40	meant to give you an idea on what i'm
42.16	3.28	focusing on in the hopes that you will
43.84	3.52	make a better informed decision on your
45.44	3.52	own gear now with that explained let's
47.36	5.52	get into it so first i want to talk
48.96	5.76	about my stat priorities uh so
52.88	5.60	the order of priority for me is crit
54.72	5.44	immunity armor hit and hp i will not
58.48	3.12	sacrifice my crit marinade for the other
60.16	3.04	three however the other three are
61.60	3.76	flexible for me when it comes to
63.20	6.96	priority so as you can see with the iron
65.36	7.44	skin which is 0.76 uh the 0.57 percent
70.16	4.24	of resilience plus the 0.32 doesn't show
72.80	3.68	here but that's what it is from defense
74.40	4.32	i'll be sitting at around 2.65 which i'm
76.48	5.52	completely happy with now for armor i'm
78.72	4.80	sitting at uh right around 28 000 for my
82.00	3.36	standard taking set this is pretty
83.52	4.08	common for me anyway now i know some
85.36	4.96	people like to get up into the 30k area
87.60	4.48	and others dip down to the 25k or even
90.32	2.80	down lower than that as long as you
92.08	2.48	aren't dying and you don't feel like
93.12	5.44	you're getting chunked you'll probably
94.56	5.76	be fine uh the next thing is hit so
98.56	5.04	now with improved fairy fire from the
100.32	5.52	boomkin plus the uh shaman racial i only
103.60	5.12	need about five percent hit i'm a little
105.84	4.56	under uh but it's fine i did choose some
108.72	3.84	hidden edgy gems here to make it a
110.40	5.12	little bit easier but if i end up going
112.56	5.20	over or some gear changes i'll just swap
115.52	3.60	down to not be over the cap
117.76	2.72	because i'd rather be a little bit under
119.12	3.28	than over
120.48	4.48	the last priority is health so as you
122.40	4.80	can see i'm at 14 000
124.96	4.64	now i know a lot of peop bears try to
127.20	4.64	push that 20k health health pool uh but
129.60	5.04	i personally feel fine at around 17k i
131.84	4.16	do have a 20k health pool gear set uh
134.64	3.36	but i rarely ever wear it because it
136.00	4.64	does lose quite a bit threat um so the
138.00	4.56	14.5 k here is fine for me remember this
140.64	3.84	is at the end of phase three not the
142.56	4.00	beginning so i might prioritize more
144.48	4.08	health and progression and then as i get
146.56	4.48	better gear scale it back a bit and have
148.56	4.32	a bigger threat presence uh now with all
151.04	4.00	that prioritizing out of the way let's
152.88	4.56	talk about the actual gear so first
155.04	4.16	let's talk tier um in this set i'm
157.44	4.96	wearing four out of five i'm hoping to
159.20	5.04	have all five pieces um to get in phase
162.40	3.68	three like all five that you can get and
164.24	4.32	then i'll swap to the expertise gloves
166.08	4.56	once i can the tier is really solid and
168.56	3.68	i hope to get it early on
170.64	4.16	but yeah so next i want to talk about
172.24	3.92	pvp gear because it is kind of crucial
174.80	3.36	so
176.16	3.76	uh and this is going to be a video in
178.16	3.52	and of itself so keep your eyes out for
179.92	3.52	that but i do have self to touch on this
181.68	4.08	so for now i'm going to tell you why i
183.44	5.20	chose what i did for pvp i have the neck
185.76	5.44	embracer showing here uh
188.64	4.64	however i also plan to get the ring let
191.20	6.84	me show this really quick to you uh one
193.28	4.76	sec i'll just click on this one
198.96	4.16	right here
201.04	3.68	uh this will allow me to swap out the
203.12	3.20	violet signet ring for more crit
204.72	3.36	immunity um because it does have that
206.32	3.76	resilience it has more threat and a
208.08	3.76	little bit more armor pen a very little
210.08	3.44	armor pen but i'm not currently showing
211.84	3.20	this on my list because i don't know yet
213.52	3.68	if i want to sacrifice the amount of
215.04	4.16	armor you get from the violet cygnet
217.20	3.68	this would probably be situational at
219.20	3.44	best um
220.88	4.08	i really like the comfortable place i am
222.64	4.24	with my armor however
224.96	3.68	elementals don't really care about armor
226.88	3.84	so if you are doing an elemental fight
228.64	4.00	it might be a smart move to swap to
230.72	3.12	something that's more it has the same
232.64	4.16	amount of stamina but maybe more
233.84	4.16	beneficial when it comes to threat
236.80	3.44	okay
238.00	5.12	uh if you are wanting to get crit immune
240.24	5.52	another way the pvp boots and belt are
243.12	4.24	still really good um i'm not showing
245.76	3.52	them here obviously but i'll likely
247.36	4.00	start phase three with those if i can
249.28	4.08	afford it the reason i don't have them
251.36	3.36	here is because i want the belt of 100
253.36	3.60	deaths
254.72	4.00	and the shadow masters boots and they
256.96	4.40	just require sacrifice on those two
258.72	4.40	slots so this is how i i worked it out
261.36	3.60	now for the weapon i went with the
263.12	4.88	pillar of ferocity if you're going for
264.96	4.32	the pure dps the pvp maul is better plus
268.00	3.52	it has that resilience which makes it
269.28	4.32	easier to get creamy but i likely won't
271.52	4.16	get them all and just use this very nice
273.60	3.44	staff instead i've made it work in this
275.68	3.04	gear set and i'm sure you'll find a way
277.04	3.20	to make it work as well if you're lucky
278.72	2.88	enough to get them all pretty much all
280.24	3.04	your choices will be slightly different
281.60	3.12	because you'll have an easier time
283.28	3.28	getting credimune and you won't have to
284.72	2.96	make kind of some of the sacrifices i
286.56	3.84	had to do
287.68	5.04	okay so for the cloak i have the uh
290.40	4.40	thalassian i think that's how you say it
292.72	3.76	uh the thalassian wilder cloak from kt
294.80	4.08	this is a solid threat cloak but i
296.48	5.12	always have the gilded thorium
298.88	5.04	uh in my bags you know just in case if
301.60	4.64	you ever need a little boost defense or
303.92	4.00	armor and or armor i should say uh and
306.24	2.96	this is great for like a terran tanking
307.92	2.40	fight where he's hitting you really hard
309.20	2.64	and you just want to make sure hey
310.32	2.80	you're crit immune and b you've got tons
311.84	2.88	of armor
313.12	3.44	so yeah i always have a ton of extra
314.72	3.44	stuff in my bags i did touch on rings a
316.56	3.04	little bit but i kind of want to focus
318.16	2.64	on the band of eternal champion really
319.60	3.76	quick
320.80	5.28	um this is the phase 3 rep ring the
323.36	4.08	stats and chance on hit make it very
326.08	2.64	nice though i won't be shocked if a lot
327.44	3.12	of people are going to stick with the
328.72	3.52	shapeshifter signet or there's a couple
330.56	3.68	other rings out there
332.24	3.44	that are good for a threat ring of
334.24	2.96	deceitful intent might be a nice one if
335.68	3.52	you're trying to get some more hit
337.20	3.28	but honestly like this this i really
339.20	2.80	like this ring i'm definitely going to
340.48	3.04	at least start trying it out as soon as
342.00	3.36	i get it maxed out because it will take
343.52	4.72	a little bit to get exalted
345.36	5.04	um yeah so the trinket choices here are
348.24	4.40	probably my most unsure
350.40	4.48	i changed my trinkets even on my current
352.64	3.92	tank set about once a week there are so
354.88	3.20	many good choices and combinations and
356.56	3.36	the trinkets are great for quickly
358.08	3.52	changing your gear stats if you need
359.92	3.20	armor the badge is always a great choice
361.60	3.60	and then it has an on use which makes it
363.12	4.64	helpful for threat too madness which
365.20	4.48	comes out in phase three is a probably
367.76	3.60	gonna a highly contested one but it's a
369.68	2.88	great threat trinket especially if
371.36	2.40	you're starting to build up that armor
372.56	2.72	pen it's just gonna boost it a little
373.76	4.00	bit more but if you're looking for
375.28	4.00	defense the shadow moon insignia which
377.76	2.64	i'm going to be having in my bags at
379.28	3.12	least i hope to
380.40	4.48	uh it's a great trinket especially if
382.40	4.40	you're not a non-pvp here defense dodge
384.88	3.84	and it's got the the last stand which is
386.80	3.20	what i call that um that you increase
388.72	2.24	your maximum health it's called the last
390.00	2.64	stand
390.96	3.84	uh but yeah just in case you need a
392.64	4.56	quick boost uh to your health pool i
394.80	4.64	always carry some stem trinkets um
397.20	4.16	usually like the uh
399.44	4.08	i don't know they're called like the
401.36	3.36	you know just the the bale brew charm
403.52	3.76	and the bright brew charm i mean just
404.72	4.48	really nice stats um obviously we think
407.28	4.00	the dark moon cards are supposed to come
409.20	4.72	out in phase three so keep an eye out
411.28	4.00	for those uh mainly the probably one you
413.92	2.64	want to look at is vengeance so holy
415.28	2.96	paladin's probably be carrying those
416.56	3.04	around um i wouldn't put too much stress
418.24	3.04	on it you're talking a little bit of
419.60	4.40	extra stamina and
421.28	4.56	you're not aoe tanking so that 10 chance
424.00	3.84	isn't that big of a deal for you
425.84	4.00	um but hey if you get it get it it'll
427.84	3.28	probably work out um so yeah like that's
429.84	3.20	trinkets i just
431.12	3.36	i like these ones right here but i
433.04	2.48	wouldn't be surprised if you saw me
434.48	2.16	wearing
435.52	2.40	man
436.64	2.64	trying to think of like what i would put
437.92	5.20	on
439.28	3.84	bloodlust brooch and maybe
443.28	3.60	romulos
445.44	3.84	yeah like i could be wearing that next
446.88	4.16	week um i could be if i'm just getting
449.28	3.20	hit really hard i might do like
451.04	2.96	something like that where i've got a
452.48	3.04	little bit hit and a little bit of
454.00	2.88	stamina i mean that's the beauty of
455.52	4.08	trinkets and i've said this in many of
456.88	3.76	my videos i like having trinkets free of
459.60	2.40	defense
460.64	3.36	restrictions like if you have to wear a
462.00	3.04	defense piece like if you're stuck
464.00	3.76	wearing this
465.04	4.48	it's a fine piece but it really limits
467.76	3.60	your flexibility when it comes to
469.52	3.84	swapping these out so i always like to
471.36	2.96	have those free up to do some cooler
473.36	2.00	things
474.32	2.56	but still i'm still going to get the
475.36	4.56	shadow moon signal it is a really nice
476.88	5.36	trinket uh yeah and last is the idol so
479.92	5.36	in this set i do have the idol of the
482.24	5.12	white stag however i will for sure be
485.28	3.92	using the raven idol a lot especially if
487.36	3.52	i'm buffing the hunter group as they
489.20	3.28	start to get even more sweaty in phase
490.88	2.80	three and boosting them is always a
492.48	3.92	great choice
493.68	5.12	now um just overall for gems i did go
496.40	4.72	for the most part with generic blue is
498.80	4.56	stam red is edgy and yellow i went with
501.12	4.16	some orange hi edgy gems now when it
503.36	3.60	comes to gens i tend to feel them out as
505.28	3.52	i go if i find myself a little low on
506.96	3.36	stamina i don't mind putting a few extra
508.80	3.52	purples in the red slots or if i want
510.32	4.32	the extra edgy i don't mind breaking a
512.32	3.44	few gem socket bonuses to get it like
514.64	4.00	for example
515.76	3.92	um the socket bonus for this is for
518.64	2.88	strength
519.68	3.36	i mean if you really want to go crazy
521.52	3.60	you could throw a bunch of stamina or a
523.04	3.92	bunch of aging in here and that strength
525.12	3.36	you're never gonna know it's gone
526.96	3.28	i'm not saying do that i'm saying
528.48	3.68	obviously don't stress about losing four
530.24	3.52	strength if you want to uh now for the
532.16	3.84	enchants the choices i made are pretty
533.76	5.52	standard with two exceptions
536.00	5.28	i know 15 resilience is debatable
539.28	5.04	but i've really been trying to get uh
541.28	4.64	out of wearing an extra defense or pvp
544.32	3.20	item so i'm probably gonna stick with
545.92	2.80	this for now it seems to be working okay
547.52	3.12	for me
548.72	4.88	i know it's more common to do the plus
550.64	4.64	six stats uh but i again i i really
553.60	3.44	wanted to limit the amount of pvp pieces
555.28	4.48	i had and this kind of was like a
557.04	4.56	shortcut to it uh the other oddball sort
559.76	3.36	of is the boot enchant and this is
561.60	3.28	actually i see a lot of different ones
563.12	4.88	on here uh on this i've got the cat
564.88	5.28	sweetness swiftness i'm sorry however
568.00	4.56	if you look um dexterity is really
570.16	4.08	popular it's got that 12 edgy to it and
572.56	3.76	the other one i see a lot is bore speed
574.24	3.68	2. now i was using bore speed especially
576.32	3.28	during progression because it gives you
577.92	3.20	that stamina plus movement speed which
579.60	3.28	is always helpful for a tank to have a
581.12	4.00	little bit extra movement speed
582.88	4.08	um i went with cat swiftness for this
585.12	3.76	set just because i like the idea of that
586.96	3.20	little bit of extra edgy instead and not
588.88	3.36	stressing out about an extra nine
590.16	4.48	stamina i know it's really like you know
592.24	4.72	you're talking six edgy or nine stamina
594.64	4.32	it's a it's a gem socket choice you know
596.96	3.68	at that point but i know a lot of people
598.96	3.76	also go dexterity i just want to explain
600.64	3.28	why i chose what i chose oh there's also
602.72	2.64	fortitude i don't know if you want if
603.92	2.72	you want to go pure stamina obviously
605.36	4.08	you can do that too
606.64	4.72	uh but yeah that's everything i wanted
609.44	3.52	to talk about um i
611.36	4.64	again if your gear looks completely
612.96	5.52	different um don't be concerned as long
616.00	4.24	as you accept the choices you made and
618.48	3.28	the priorities you make and they work
620.24	3.12	out for you it's going to work out for
621.76	3.76	you in the end um i just want to give
623.36	3.84	you guys an idea of what i'm looking at
625.52	3.76	wearing throughout phase three or
627.20	6.08	especially towards the end um to kind of
629.28	6.32	give myself a business to give to uh my
633.28	3.60	my my guild leaders so i can be like hey
635.60	4.08	i want this piece this piece and this
636.88	5.44	piece um obviously this this isn't the
639.68	4.00	full list because i like trinkets i i'm
642.32	4.56	probably gonna have shadow moon insignia
643.68	5.12	am i gonna have madness i don't know yet
646.88	3.28	i am actually complaining i'm not
648.80	2.88	prioritizing madness because there's
650.16	2.80	gonna be so many people going after it i
651.68	3.20	don't even want
652.96	3.68	to stress about that but if you want to
654.88	3.20	go full threat this is probably a good
656.64	3.60	choice for you
658.08	3.68	things like that anyway guys um i'm
660.24	3.12	going to be making some more videos
661.76	4.00	talking about gear in the very near
663.36	5.20	future specifically focus on phase three
665.76	4.96	i do have a pvp only video coming out
668.56	3.68	talking about what pvp gear i plan on
670.72	3.68	getting how much it's gonna cost how
672.24	4.16	much i'm putting aside and
674.40	3.44	what choices i have to make
676.40	2.32	in each piece
677.84	2.64	but yeah that should be coming out
678.72	3.36	pretty soon so if you like that kind of
680.48	3.68	content or if you like this kind of
682.08	4.08	content feel free to subscribe and like
684.16	2.80	the video it'll really help me out uh
686.16	2.32	but
686.96	4.88	yeah guys thanks for coming and as
688.48	3.36	always take care
