4.92	3.80	Hey guys, Griffin here and today I want
6.56	4.40	to talk about the differences between
8.72	4.68	the Pillar of Ferocity and the Season 2
10.96	4.24	Merciless Gladiator's Maul. So, in my
13.40	3.60	loot video I talked about how the Maul
15.20	3.92	is technically the best weapon you can
17.00	3.36	currently get in Phase 3 and I want to
19.12	2.96	kind of justify that so you have an
20.36	3.08	understanding of why it's better. I
22.08	2.68	don't want to say the Pillar of Ferocity
23.44	3.76	is not a good weapon. Again, if you
24.76	4.28	didn't do arenas, I didn't do arenas. If
27.20	3.44	you didn't do arenas, it's not a big
29.04	3.68	deal that you don't have this, but I
30.64	4.04	want to explain why it's a really good
32.72	3.24	weapon to have if you can get it. If you
34.68	3.32	have the arena points right now, I would
35.96	3.64	throw them down. And even if it's early
38.00	3.72	Season 3 and you end up having the arena
39.60	4.08	points, you might want to pick it up
41.72	3.92	unless you're really willing to wait for
43.68	4.84	the the Season 3
45.64	4.88	you know, 30-some hundred arena point
48.52	4.80	weapon. Okay, so let's just let's just
50.52	5.88	break it down. So, first let's do the
53.32	6.64	Merciless Gladiator's Maul.
56.40	5.28	So, it's got 1,010 attack power, but it
59.96	3.64	also has that strength, which is going
61.68	4.04	to convert to 84 attack power. If you
63.60	4.16	just multiply by two, it's pretty simple
65.72	3.08	exchange there. The next up is the hit
67.76	4.24	rating, which is actually going to give
68.80	4.32	you 2.9 * 18, which is roughly
72.00	3.32	52.
73.12	3.28	And then 42
75.32	2.72	critical strike rating, which you're
76.40	3.48	going to multiply by 1.9 as an
78.04	4.36	equivalency and give you 80 attack
79.88	4.72	power. So, you've got 1,010 attack
82.40	4.36	power, 84 attack power, 52 attack power,
84.60	3.88	and 80 attack power. The reason we do
86.76	3.32	these equivalencies is so that we can do
88.48	3.16	these kinds of comparisons. These
90.08	2.60	numbers come from Nerd Egghead. These
91.64	2.76	were
92.68	3.68	formulated
94.40	5.36	in Phase 1. However, they still are
96.36	5.92	pretty close to justifiable. So, 1226
99.76	4.32	is the total attack power equivalency.
102.28	4.64	So, now let's jump down to the Pillar of
104.08	4.16	Ferocity. We've got 1059 right off the
106.92	3.16	bat.
108.24	3.68	Plus 47 strength, which is going to
110.08	4.20	convert to 94 attack power, giving you a
111.92	5.20	total of 1,153
114.28	5.12	attack power. Now, the in just pure
117.12	5.00	damage, the Gladiator's Maul is going to
119.40	4.28	do slightly more. However,
122.12	5.20	if you're looking at the other half of
123.68	4.72	it, it's more of a choose your own
127.32	2.84	choose your own adventure, we'll call
128.40	3.48	it. So, the Gladiator's Maul does not
130.16	4.72	have as much stamina, but what it does
131.88	5.20	have is resilience and a lot of it. 33
134.88	3.84	resilience is enough to replace a belt.
137.08	3.16	So, if you're rocking belts of 100
138.72	3.40	deaths trying to figure out how to fit
140.24	3.68	your resilience now that you can't use a
142.12	3.20	pair of belts for it, the Gladiator's
143.92	2.96	Maul is going to slide right in and take
145.32	3.76	the place of the belt, allowing you to
146.88	4.28	wear the bracers and the boots or or the
149.08	4.40	the neck to cover that resilience gap
151.16	4.40	that you've been kind of uh uh a little
153.48	3.40	short on now that you have the belts of
155.56	3.60	100 deaths.
156.88	3.96	So, that 33 resilience is huge. Now, if
159.16	3.76	you're looking for more armor, the
160.84	4.32	Pillar of Ferocity has 491 armor,
162.92	4.40	equivalent to about just under 2,000
165.16	5.00	armor, which is good, too, and it has a
167.32	4.04	ton of stamina, 96 stamina on it, which
170.16	2.76	is also going to help you your
171.36	3.12	survivability
172.92	2.84	uh or your EHP.
174.48	3.80	Uh so,
175.76	5.44	if you have your defense or a resilience
178.28	5.48	in other places, the Maul is going to be
181.20	5.60	the better weapon for damage, but it
183.76	4.88	might not be necessary for your defense.
186.80	3.40	However,
188.64	3.72	because it's the better damage and it
190.20	3.76	has that resilience, overall it is the
192.36	3.92	better weapon. I hope that makes sense.
193.96	5.28	I hope that clears up any confusion on
196.28	4.88	why the the S2 Maul is in so hot of
199.24	3.88	demand, uh but also why the Pillar of
201.16	4.28	Ferocity is still a really good weapon,
203.12	3.88	uh just slightly under the Merciless
205.44	3.40	Gladiator's Maul. Anyway, guys, I hope
207.00	2.96	that video was helpful. I hope you guys
208.84	2.48	fully understand. If you have any
209.96	3.20	questions, go ahead and throw them in
211.32	5.48	the comments and I will respond. Thanks,
213.16	3.64	guys, and as always, take care.
