0.16	3.52	hey guys being a warlock in the bernie
2.08	3.60	crusade is one of the most rewarding
3.68	3.68	things in my life right now it's really
5.68	4.32	hard to play warlock so i wanted to make
7.36	4.24	an in-depth guide going into staggering
10.00	4.16	detail for all that you need to know
11.60	4.56	about playing the battle for mount hyjal
14.16	3.20	first boss is rage winter snow but
16.16	3.28	before we get to him we need to
17.36	4.00	successfully kill eight trash waves that
19.44	4.16	come rushing up make sure you have seed
21.36	3.68	of corruption on your bar guys it's a
23.60	4.24	really good spell i don't know if you
25.04	5.12	know you're gonna cast seed seed seed
27.84	3.20	seed seed seed and then life tap to full
30.16	3.68	mana
31.04	4.40	you can macro in to yell
33.84	3.44	heal me every time you life tap and your
35.44	4.40	healers will really appreciate the heads
37.28	4.32	up lost time spread out cast shadow bolt
39.84	4.48	don't stand your chin
41.60	4.72	next boss is anna theron oh boy this
44.32	4.08	boss is complicated spread out make sure
46.32	3.68	you are casting shadow bolt did i
48.40	3.68	mention there's trash for each of these
50.00	3.44	bosses so make sure you seed but more
52.08	3.20	importantly you want to roll need on
53.44	3.68	crimson spindles that's the most
55.28	3.68	important part of this raid you can
57.12	4.56	remember this tip because
58.96	5.20	need rhymes with seed and that's all
61.68	4.72	that i will be casting on trash
64.16	4.08	it's casual time you'll want to spread
66.40	3.36	out and cast shadow ball also live chat
68.24	2.96	make sure you call out loudly in voice
69.76	4.80	chat that you need heals because you are
71.20	5.36	tapping the boss after that is asklore
74.56	4.16	and we have a new spell that we're going
76.56	3.68	to cast this time it's super exciting
78.72	3.44	right
80.24	3.76	so make a soul stone
82.16	3.44	and cast on the person that gets doomed
84.00	2.72	spread out cast shadow bolt don't stand
85.60	2.40	in fire
86.72	3.20	all right now it's time for the final
88.00	2.88	boss you're gonna get your feather tears
89.92	3.28	from
90.88	4.16	tyrande and boy you guys are in for a
93.20	4.48	treat with this one you spread out cast
95.04	4.08	shadow bolt and don't stand on fire but
97.68	2.88	wait there's more
99.12	2.88	if you find yourself flying through the
100.56	4.32	air click your tears because you're
102.00	5.28	crying and it keeps you not dead
104.88	4.16	make sure you hug the tremor totem or
107.28	3.60	will the forsaken so that you can do
109.04	3.52	more shadow bolts that's it you
110.88	3.20	successfully cleared the raid now
112.56	2.80	collect your purples and log out until
114.08	3.04	next week
115.36	3.04	if you found this video super helpful
117.12	2.16	give it a like
118.40	2.72	and
119.28	3.36	subscribe and
121.12	4.52	um
122.64	3.00	bye
