0.24	4.56	hey guys it's jamboros and i'm back with
2.08	4.56	my fourth video uh as part of my series
4.80	3.92	of the loot guide for physical dps and
6.64	4.56	phase three and phase four today i'll be
8.72	4.48	doing beast mastery hunter uh hopefully
11.20	4.64	this should give all you hunters out
13.20	4.32	there a good idea of what items are best
15.84	3.68	for you which ones are still good for
17.52	3.04	you and which ones you don't really want
19.52	2.64	to touch
20.56	3.12	uh to start out with a few of the sims
22.16	4.64	and parameters the different methodology
23.68	4.88	i used i did use six's simulator
26.80	2.88	he did a great job with this really easy
28.56	2.72	to use
29.68	3.52	very clear
31.28	4.80	i also use a lot of resources from
33.20	4.80	veramos who posts on the hunter discord
36.08	3.92	he almost did all the work
38.00	3.68	anyways i just want i still use my own
40.00	3.12	numbers
41.68	2.72	just because i wanted to keep all the
43.12	3.04	different parameters between all the
44.40	4.56	different classes correct
46.16	5.20	uh speaking of which i did use a night
48.96	3.84	elf everything is a 180 second duration
51.36	2.96	for all the fights just like all the
52.80	3.20	other classes
54.32	3.60	7 700 armor
56.00	3.76	humanoid boss it's all purely single
57.92	4.48	target
59.76	4.32	all appropriate buffs raid buffs
62.40	4.80	no battle chickens
64.08	4.88	and no melee weaving which is a big part
67.20	3.92	of this there's no melee weaving
68.96	4.24	involved
71.12	4.24	the top three items of the tier per slot
73.20	3.92	will be simmed for comparison with some
75.36	3.04	exceptions for like ring and trinket
77.12	3.84	combinations
78.40	4.48	um all these sims used complete gear
80.96	5.68	sets and didn't just sim
82.88	6.08	uh individual items so for example
86.64	4.24	if changing gems around for optimize for
88.96	4.72	hit rating
90.88	5.04	or different pieces to make up for hit
93.68	4.96	rating for example or two-piece or
95.92	3.60	four-piece bonuses
98.64	2.72	the
99.52	3.84	tier five this is used to simulate the
101.36	3.60	opening of mount hydra and black temple
103.36	4.40	and what will be the biggest upgrades
104.96	5.04	right off the bat um
107.76	4.56	because of that uh tier five stuff will
110.00	4.72	use rare gems except for the replace
112.32	5.28	item which will be able to use epic gems
114.72	4.48	same thing from when i sim from tier 6
117.60	3.28	downwards
119.20	5.28	they'll all use epic gems because it'll
120.88	5.28	be available once phase 3 releases
124.48	3.60	all right so we'll get going with the
126.16	4.24	talents here this is a very basic spec
128.08	4.80	4120
130.40	4.48	this is the tier v fist which uses a
132.88	3.84	four piece tier five so you'll have to
134.88	3.28	break that at some point we will want to
136.72	3.84	upgrade everything
138.16	4.32	uh tier six does use a four piece as
140.56	4.56	well
142.48	4.64	speaking of which as a side note
145.12	4.80	hunters probably used more items from
147.12	4.48	phase four uh zulaman than any of the
149.92	3.28	other classes i did anything with notice
151.60	5.12	the two daggers
153.20	5.92	the ring and the trinket
156.72	5.28	before we start comparing individual
159.12	4.40	items in the slots uh
162.00	3.52	hunter's had a pretty hard time
163.52	3.68	navigating the hit cap
165.52	4.16	there's a lot of different police pieces
167.20	4.40	you can replace
169.68	3.60	i ranked them here for hit pieces and
171.60	3.84	non-hit pieces
173.28	4.56	um the number one hit piece i like to
175.44	4.80	use was the choker of endless nightmares
177.84	3.92	uh that adds hit so if you replace
180.24	4.32	anything that takes away hit this is
181.76	4.24	your best substitute piece
184.56	2.56	second of that is the bone weave girdle
186.00	3.36	and third of that is madness of the
187.12	4.16	betrayer
189.36	4.08	with the non-hit pieces
191.28	4.48	if you really wanted a drop hit
193.44	4.40	um the cloak slot was the best place to
195.76	4.08	do this is that one is from phase two
197.84	3.76	and the other is an easy to get item
199.84	3.68	from phase four
201.60	3.68	for the helm slot we've got curse
203.52	3.20	fisherman sargeras coming in at number
205.28	3.52	one
206.72	4.08	well ahead of its second place forest
208.80	4.40	prowler's helm just like
210.80	4.64	all the other physical dps classes
213.20	4.88	however four throwers helm keep that
215.44	5.04	item in mind uh it is a good second
218.08	5.28	option for your off piece once you get
220.48	4.16	tier six uh there's one other option
223.36	3.12	which we'll get to when we get to that
224.64	5.28	slot um
226.48	5.44	tier six helm is not particularly great
229.92	4.16	uh has mp5 on it
231.92	4.24	um colin falls behind between all the
234.08	4.16	other options
236.16	4.48	you can see here too in full bits
238.24	5.44	forest prowler's helm is still 21 whole
240.64	3.92	dps behind cursed vision of sargeras
243.68	3.04	but
244.56	4.80	you could do worse that's just such a
246.72	2.64	strong item
249.92	5.20	all the necks here um
252.40	5.68	they're all really close uh this is one
255.12	5.76	of the most changed out slots uh which
258.08	4.88	you'll balance around your hit rating
260.88	4.80	um they all have some merits they're all
262.96	5.52	within just a few dps of each other
265.68	5.92	uh same thing in fulbus serrated blades
268.48	6.32	has armor pen endless nightmares has hit
271.60	4.96	and uh the talonicus pendant from phase
274.80	3.92	two is just a really strong item in
276.56	4.24	general uh
278.72	4.80	serrated blades will be the best
280.80	4.88	the more armor pen you have
283.52	3.52	or if you really need the hit
285.68	3.84	that'll be valued more you'll use
287.04	4.16	endless nightmares more or if you need
289.52	2.56	neither or have a lower amount of armor
291.20	5.44	pen
292.08	6.00	the phase 2 this will still be best
296.64	3.76	for the shoulders
298.08	5.76	uh the tier six is really the way to go
300.40	5.84	here the akama shade of akama
303.84	3.76	shoulders can have a little bit of value
306.24	3.28	right off the bat
307.60	4.88	uh but the leather working crafted ones
309.52	6.00	are just really really far behind
312.48	4.64	and in full best they fall way behind
315.52	2.96	nothing comes close
317.12	3.28	uh
318.48	3.36	tier six is really the only way to go
320.40	2.96	and the only item that you should be
321.84	3.76	replacing
323.36	3.44	your old shoulders with
325.60	3.04	in this slot
326.80	5.44	the cloak slot is another one of those
328.64	5.76	more interchangeable item slots
332.24	3.36	as you can see here straight up from
