0.00	2.88	hey guys it's jam press and i'm back
1.20	3.36	with another video as part of my phase
2.88	3.76	three and phase four loot guys for
4.56	4.08	physical dps this time we'll be doing
6.64	3.12	feral dps even though nobody really
8.64	2.88	plays it
9.76	3.44	uh just kidding
11.52	2.88	uh well hopefully you'll get a good idea
13.20	2.72	of which of the new items in these
14.40	3.28	phases you'll want to be aiming for and
15.92	5.04	help keep yourself or any loot councils
17.68	4.48	doing some research well informed
20.96	3.76	getting into the different sims
22.16	4.40	parameters in general methodology i only
24.72	4.72	really had one option here and it was
26.56	5.12	the tbc cat sim to be completely honest
29.44	3.44	i had a pretty hard time with the sim i
31.68	4.08	don't want to do you have to download
32.88	4.72	something that looks like virus.exe
35.76	4.00	but you have to manually enter every
37.60	3.84	stat and sim that takes forever to run
39.76	3.04	uh while using this i definitely had
41.44	4.80	some questions about the value of hit
42.80	5.44	expertise and armor pen for cat dps uh
46.24	4.00	plus the feral dps community has a bit
48.24	3.52	of a reputation for uh
50.24	3.12	getting things wrong
51.76	3.20	uh to their credit i suppose they
53.36	2.56	correct themselves when they realize
54.96	1.92	they are
55.92	3.44	wrong
56.88	3.84	eventually either way this is the only
59.36	3.12	tool we have available so all
60.72	5.36	simulations will run according to the
62.48	4.96	current theory crafting consensus
66.08	4.16	all the sims were done as a night elf
67.44	4.00	druid with a 180 second fight duration
70.24	2.72	just like i've used for all the other
71.44	2.80	class loot guys to keep an accurate
72.96	2.80	comparison
74.24	3.92	it's all purely single target and all
75.76	4.24	the sims are 7 700 armor
78.16	5.12	humanoid with all appropriate cooldowns
80.00	5.04	raids raid buffs party buffs and debuffs
83.28	3.76	battle chickens are not used in the case
85.04	4.80	of these sims especially since warcraft
87.04	4.96	logs recently banned their usage
89.84	4.16	the top three items of the tier will be
92.00	3.84	simmed for comparison
94.00	3.52	some exceptions for rings and trinket
95.84	3.68	combinations
97.52	5.04	sims will use complete gear sets they
99.52	5.04	don't just sim individual items
102.56	4.32	for example when swapping pieces for
104.56	5.28	testing other item slots may be changed
106.88	4.32	to keep a maximum dps output
109.84	3.28	for example
111.20	3.60	switching one item out that's not being
113.12	4.16	compared to keep a two piece or four
114.80	5.28	piece bonus or changing gems around to
117.28	4.16	optimize hit rating
120.08	3.04	the tier five best will be used to
121.44	3.44	simulate the opening of tier six the
123.12	3.44	mount hygiene black temple
124.88	2.88	they will use rare gems in all slots
126.56	3.44	except for the items that are being
127.76	5.04	replaced which will use epic gems
130.00	4.80	uh in a full tier six base comparison
132.80	3.92	that simulates the end of the tier and
