0.96	4.16	hey guys it's jambrose uh i'm back for
3.36	4.08	my third video today
5.12	5.20	uh in my phase three phase four loot
7.44	5.12	guide uh for a physical dps series today
10.32	3.68	we'll be doing ret paladin uh hopefully
12.56	4.00	i'll be able to give you a good idea of
14.00	4.48	what's good or not good for red paladin
16.56	4.56	for either you what you might be aiming
18.48	6.80	for or any uh loot council guilds
21.12	5.20	um and where to prioritize certain items
25.28	2.40	let's get started with like the
26.32	3.92	different sims parameters and
27.68	5.68	methodology i used i ended up using bear
30.24	5.60	norse spreadsheet for paladin there were
33.36	3.60	a few other options here that i could
35.84	3.92	have used
36.96	5.20	but one in particular was undervaluing
39.76	5.36	expertise and the other one was
42.16	4.16	incorrectly valuing hit this is the best
45.12	2.64	i could find
46.32	3.20	to really
47.76	2.88	get what i wanted
49.52	3.76	um
50.64	4.72	i'm going to be using a human paladin
53.28	3.68	all the fights are going to be 180
55.36	2.64	second duration just like i'm going to
56.96	2.16	use for the rest of all the other
58.00	4.08	classes
59.12	4.80	uh 7700 armor level 73
62.08	4.72	humanoid boss and the whole thing is
63.92	5.28	purely single target
66.80	5.76	uh all appropriate raid buffs
69.20	5.92	uh party buffs and raid debuffs are
72.56	3.44	included um these are the groups down
75.12	2.80	here
76.00	5.84	uh it'll be in group one with the feral
77.92	3.92	fury combat enhancement shaman
82.08	3.36	this sim or
84.16	3.04	comparison
85.44	3.44	we'll compare the top three items of the
87.20	2.80	tier per slot
88.88	2.88	um
90.00	3.28	with some exceptions for rings and
91.76	2.88	trinket combinations which will be up to
93.28	3.36	about five
94.64	4.72	and it uses complete gear sets and
96.64	3.84	doesn't just sim individual items
99.36	2.40	um
100.48	2.96	for example
101.76	3.60	especially for red paladin we're kind of
103.44	2.80	going to be building around their hit
105.36	3.68	cap
106.24	5.28	which is only three percent um because
109.04	5.04	most guilds will be carrying a boomkin
111.52	4.40	with them
114.08	3.76	the tier five best is used to simulate
115.92	3.76	the opening of mount hyjal and black
117.84	3.68	temple and what would be the largest
119.68	4.48	upgrades right off the bat
121.52	4.72	uh it'll be using epic gems in the new
124.16	3.92	gear but rare gems and all the old gear
126.24	3.36	since epic gems were not available yet
128.08	4.08	in phase 2
129.60	4.16	and tier 6 bits is used to simulate the
132.16	3.12	end of the tier and how much of an
133.76	3.44	upgrade or downgrade certain items would
135.28	3.92	be in a final gear set
137.20	3.52	um and epic gems will be used without
139.20	3.44	exception there
140.72	3.76	these are the talents varied standard
142.64	3.68	spec you really only have one or two
144.48	3.52	points to play with and none of them
146.32	4.16	will really significantly affect your
148.00	5.12	dps
150.48	3.68	this is the tier five
153.12	4.88	this
154.16	5.52	uh it is all off pieces none of them are
158.00	3.44	gonna be using the set bonuses even
159.68	3.20	though the tier five chest is there
161.44	2.96	because it's really the only good piece
162.88	2.80	in tier five
164.40	3.28	um
165.68	3.20	that will be the same case with tier six
167.68	4.00	because these are gonna be all off
168.88	5.20	pieces as well there is a potential way
171.68	4.80	that you could use the two piece tier
174.08	3.92	six in the set but i'll get to that when
176.48	3.52	we get to the certain slots where you
178.00	3.28	would use it
180.00	3.20	all right getting started we'll start
181.28	3.36	with the helmet slot
183.20	3.12	previously you had been using
184.64	3.76	engineering goggles
186.32	3.60	most ret paladins probably went
188.40	4.24	engineering it's probably the biggest
189.92	4.32	dps increase for profession you can have
192.64	4.56	but even if you didn't there's still
194.24	4.40	three good options here to upgrade to
197.20	3.52	far and away
198.64	3.68	the best is going to be cursed vision
200.72	3.84	just like it's best for pretty much
202.32	4.40	every physical dps class
204.56	4.48	but uh the other two are
206.72	4.32	significantly behind but there's still
209.04	4.24	upgrades
211.04	5.44	it's a little deceiving actually in full
213.28	5.76	tier six bits uh forge prowlers pulls
216.48	4.56	ahead a little bit of illidari shatterer
219.04	4.32	um however it requires the choke liver
221.04	4.40	and choker of endless nightmares um
223.36	4.48	we're operating around a three percent
225.44	2.40	hit cap
227.92	3.84	and even with the hit
230.08	4.00	on endless nightmares it's still
231.76	5.60	technically this even if all of that hit
234.08	5.44	rating is wasted it's still ahead of
237.36	3.28	your other options although
239.52	4.40	only by
240.64	6.32	granted one or two dps
243.92	4.88	however actually having the choker
246.96	4.40	of endless nightmares opens up a lot of
248.80	4.48	other gearing options for you
251.36	2.96	so you never really go under that hit
253.28	3.36	gap
254.32	3.84	um just like in tier 6 best they're all
256.64	4.80	right around the same
258.16	5.60	serrated blades is pretty equal to it
261.44	3.68	but that's with all of that hit rating
263.76	2.32	wasted
265.12	3.52	um
266.08	5.44	if you need that hit rating it opens up
268.64	4.64	many more options
271.52	3.12	uh in the shoulder slot you were
273.28	2.64	previously wearing shoulder pads as a
274.64	3.28	stranger and
275.92	4.24	still this
277.92	4.32	technically swift strike
280.16	5.60	if you replace it one to one and fold to
282.24	5.04	your five bits it's a few dps upgrade
285.76	3.68	but that requires leather working and
287.28	4.80	those things are bind on pickup
289.44	4.16	and are not
292.08	4.40	gonna be this
293.60	5.12	in your full tier six
296.48	4.40	going on to the cloak you were using
298.72	5.92	razer scale you have two other options
300.88	5.76	here but they're both phase four options
304.64	3.12	so going through black temple and mount
306.64	3.60	hyjal
307.76	4.48	you'll still be wearing this cloak
310.24	3.76	however clogged fiends when it comes out
312.24	3.60	from the first chest and zulaman is a
314.00	3.12	large upgrade and should be one of the
315.84	4.56	first things you should be going for
317.12	3.28	once phase 4 releases
321.12	6.56	cloak of darkness is just behind it
324.56	6.96	um so there's not really much of a point
327.68	6.56	in crafting it and spending that gold
331.52	5.12	you have to buy that epic gem for it
334.24	3.36	it's not particularly worth it the blue
336.64	4.48	slot
337.60	5.44	in is worth something um to activate a
341.12	3.76	meta gem but
343.04	3.60	in a full setup you're not really going
344.88	3.92	to need it
346.64	4.56	moving on to the chess piece slot you
348.80	4.32	will be replacing the tier 5 that you
351.20	2.80	were previously wearing
353.12	2.64	to
354.00	4.48	a couple options you have the midnight
355.76	4.72	chest guard off archimonde or you can
358.48	2.96	choose to pick tier six
360.48	3.20	um
361.44	4.00	if you do want to get the two-piece this
363.68	3.04	is probably one of the slots you should
365.44	4.32	do it
366.72	6.32	um they're pretty close with only like
369.76	5.68	one or two dps difference between them
373.04	3.92	in full tier six best
375.44	3.28	to use
376.96	3.92	the tier piece you're going to want to
378.72	4.32	have choker bandless nightmares again
380.88	4.72	that makes up for the missing hit
383.04	4.40	um the hit on the chest guard the
385.60	3.92	midnight chest card is eight higher and
387.44	5.44	you're gonna want that eight to really
389.52	5.12	make it worth it uh they sim about even
392.88	4.32	between tier 6 and the archimonde
394.64	4.40	breastplate
397.20	4.16	however you'll want to use
399.04	4.88	another tier 6 piece and it will be a
401.36	4.96	weaker in comparison to give you that
403.92	2.40	bonus
406.64	5.36	with the wrists you this is one of the
409.36	5.12	easiest upgrade slots uh bindings of
412.00	5.28	lightning reflexes it's a boe from
414.48	3.84	leatherworking and is a pretty major
417.28	3.60	upgrade
418.32	4.80	it's really easy
420.88	4.24	it's technically better than swift steel
423.12	4.08	and their shackles from winter chill are
425.12	4.56	really not worth it
427.20	4.48	um reflects that as well and full tier
429.68	4.24	six fifths swift seals a couple dps
431.68	4.48	behind don't even bother
433.92	4.80	the bindings of lightning reflexes are
436.16	4.56	just better
438.72	4.08	for the gloves you were wearing steering
440.72	2.88	grip previously and will continue to do
442.80	4.48	so
443.60	4.64	uh grips of damiation is pretty close
447.28	2.32	but
448.24	3.28	isn't as good
449.60	5.04	i would keep an eye on the grips of
451.52	5.92	silent justice the armor pen is not
454.64	4.64	completely worthless in a tier 5 and
457.44	4.48	tier 6 setup
459.28	5.28	from full best in slot it was falling
461.92	4.56	behind however if nobody else needs it i
464.56	4.16	would definitely try to take it because
466.48	4.24	more armor pen starts to show up heading
468.72	3.92	into phase five and at some point may
470.72	4.24	actually be an upgrade
472.64	4.48	for you and your transition to a phase
474.96	5.28	five bis
477.12	4.88	uh another holdover from last phase the
480.24	3.92	belt of 100 deaths
482.00	4.96	uh nothing even really comes close to
484.16	4.56	this shadow walker's cord the money belt
486.96	5.28	they're way behind
488.72	6.00	you really really really want this belt
492.24	4.80	nothing just comes close
494.72	4.32	uh for the legs
497.04	4.24	you were using murderous intent for but
499.04	3.20	this is probably your biggest upgraded
501.28	2.00	slot
502.24	3.60	um
503.28	4.96	if you did take the tier 6 chest piece
505.84	4.24	you'll want to replace this
508.24	3.68	with the legs here
510.08	3.36	they're not as good as bow stitched or
511.92	3.12	divine retribution
513.44	4.88	however if you're aiming for that two
515.04	5.20	piece this is where you'll take it
518.32	2.88	divine retribution kind of surprised me
520.24	3.12	a little bit
521.20	3.20	about how it stacks up against bow
523.36	3.52	stitched
524.40	5.44	uh especially in a full tier six bit
526.88	4.40	setup it technically came out about two
529.84	3.20	dps ahead
531.28	3.12	um what i did find interesting about
533.04	3.36	this setup
534.40	3.36	is that enables the choker serrated
536.40	3.68	blades
537.76	3.60	which is the armor pen neck whereas
540.08	2.88	previously
541.36	2.80	endless nightmares
542.96	4.24	was this
544.16	5.12	it actually pushes serrated blades up a
547.20	4.72	little bit more the more armor pen you
549.28	4.96	have the more valuable it becomes
551.92	5.04	this is an interesting setup warriors
554.24	4.00	are going to want these legs
556.96	3.20	past that
558.24	3.52	their plate armor pen nobody else is
560.16	3.12	really going to want them
561.76	3.52	if you're lucky enough to get a couple
563.28	5.28	drops i would actually take these just
565.28	5.76	in case simm it out yourself
568.56	4.32	more armor pen gear
571.04	4.00	see how it goes
572.88	3.76	there more of it will come out when
575.04	2.88	phase five
576.64	3.52	you might be able to get some like
577.92	4.00	temporary usage out of these
580.16	3.20	i think that'd be a good opportunity a
581.92	4.32	little bit of testing
583.36	2.88	i'd love to see it
586.48	4.00	in the boot slot you were wearing the
588.32	4.32	cobra lash boots you have a couple
590.48	5.12	options here for upgrades
592.64	5.04	they're both good large upgrades
595.60	4.88	shadow masters comes out
597.68	6.64	ahead dread boots are also good however
600.48	5.76	i believe they're also best for warriors
604.32	3.28	shadow masters however is also very
606.24	3.92	contested
607.60	5.20	um in full tier six bits
610.16	3.76	these they get a little bit closer
612.80	3.36	whichever one you're able to get your
613.92	5.68	hands on first would be great
616.16	6.48	ideally you go for shadow masters
619.60	5.12	but their leather and more classes will
622.64	4.96	want them
624.72	4.80	in terms of rings you still have your
627.60	4.56	shape shifters signet
629.52	5.36	lower city exalted expertise is just
632.16	4.80	really highly valued for rhett paladin
634.88	4.80	um you're also using the ancestral ring
636.96	4.56	of conquest from phase two
639.68	4.48	uh if you can tell here you have a few
641.52	5.20	other options uh the rep ring banner
644.16	4.48	devastation which drops off trash
646.72	3.84	unstoppable aggressors use the gertog
648.64	3.44	signature primal wrath which is a phase
650.56	3.12	4 ring
652.08	4.56	they're all come up pretty even with
653.68	5.28	shape shifters they're all plus or minus
656.64	4.08	within 3 dps
658.96	3.68	ancestral ring is another case a lot of
660.72	4.80	these are upgrades over that
662.64	4.96	um in full tier six here's a nice little
665.52	3.84	chart uh and all these comparisons and i
667.60	4.72	was really surprised by how close
669.36	5.28	everything is the only one that's not
672.32	4.72	that kind of falls farther behind is the
674.64	4.56	band of the eternal champion um that is
677.04	4.56	your mount hyjal rep ring
679.20	4.32	and all four of the other rings
681.60	3.68	are basically interchangeable they're
683.52	3.20	all plus or minus
685.28	4.08	two dps
686.72	4.40	uh which is actually pretty remarkable
