0.00	5.36	We now know that phase three of TBC
2.48	5.08	anniversary will come August 27th, even
5.36	4.24	though we had that really weird leak
7.56	5.48	from Blizzard CS that said it would be
9.60	5.16	August 13th, but it wasn't. With that
13.04	4.24	being said, there's still time to make
14.76	4.40	sure you are prepared as you once again
17.28	4.00	travel back in time to the Battle of
19.16	4.40	Mount Hyjal and battle your way through
21.28	4.04	the Black Temple. And in this video,
23.56	4.48	we'll make sure you know everything you
25.32	4.76	need to do before phase three. I have
28.04	3.76	all of this written down on my article
30.08	3.36	at Method, which I've included in the
31.80	3.52	description. So, make sure you check
33.44	3.96	that out as well and bookmark it so you
35.32	4.28	can keep it on hand as you prepare for
37.40	4.04	next month. Before we get started, make
39.60	3.52	sure you like the video and sub if
41.44	4.20	you're new to the channel. Use code
43.12	4.92	Dirty to get 10% off your first order of
45.64	4.56	Every Dato's Coffee. My promo codes are
48.04	4.20	for coffee, by the way, not for buying
50.20	5.32	gold. As a content creator, you should
52.24	5.44	not promote buying gold. And check out
55.52	4.92	our new Classic Wow and Classic Plus
57.68	4.68	podcast Pull 10 with co-host Jordi and
60.44	5.00	Ren Cognitio. With that being said,
62.36	6.72	let's get started. So, first, make sure
65.44	5.68	you are attuned. Do not be that guild
69.08	4.80	member who tells his raid leader that
71.12	4.84	he's not attuned the day before launch.
73.88	4.36	If I was your GM, you would just be
75.96	4.44	permabenched. The Hyjal attunement is
78.24	4.08	very simple. You just need to be revered
80.40	4.24	with the Keepers of Time, grab the quest
82.32	4.64	from Soridormi, and then loot Vashj and
84.64	4.72	Kael'thas, and boom, you are attuned.
86.96	4.72	For Black Temple, it's a much longer
89.36	4.68	chain starting in Shadowmoon Valley in
91.68	4.92	the Scryer or Aldor hub. And it starts
94.04	4.08	with the Tablets of Baa'ri. I think
96.60	3.88	that's how you pronounce it. And it's
98.12	4.68	not a hard quest chain, it's just
100.48	3.96	tedious. There are a couple parts where
102.80	3.88	you'll need a group, one for clearing
104.44	4.20	the Arcatraz. This can be done on
106.68	3.48	normal. You don't need to do heroic like
108.64	3.68	the Tempest Keep attunement. And then
110.16	4.04	the quest after is a group quest in
112.32	4.00	Shadowmoon Valley. After that, you'll
114.20	4.12	have to put on a disguise and kill Al'ar
116.32	3.60	in Tempest Keep. Don't forget to put
118.32	3.48	your disguise on and then you'll
119.92	4.76	eventually get the quest and artifact
121.80	4.92	from the past and you are set for now.
124.68	4.24	You are not attuned to Black Temple yet
126.72	4.20	because that last quest requires killing
128.92	4.12	and looting Rage Winterchill who is the
130.92	3.96	first boss of Battle of Mount Hyjal.
133.04	3.80	After that, you'll get a couple more
134.88	3.40	quests that are just talking quests and
136.84	3.56	then you'll become attuned to Black
138.28	4.48	Temple and receive the medallion of the
140.40	5.32	Karabor and this medallion is super
142.76	5.40	important because I don't think this
145.72	4.68	will become account bound even though
148.16	4.04	attunements are. So, even though you've
150.40	3.36	become attuned to all your characters,
152.20	4.00	when one of your characters does the
153.76	5.08	attunement, all of your characters want
156.20	4.48	that medallion as it provides 40 shadow
158.84	3.96	resistance and you'll want a shadow
160.68	3.84	resistance set for one of the encounters
162.80	3.84	in Black Temple which we'll talk about
164.52	4.88	later in this video. It's not a hard
166.64	4.64	attunement. It's not nearly as tedious
169.40	3.60	as the Tempest Keep attunement so make
171.28	3.72	sure you do it. You will get some gold
173.00	4.32	out of it and every character you want
175.00	5.00	to raid on needs to do it for that neck.
177.32	4.56	Next, reputation farming. Yes, I know,
180.00	3.64	unfortunate, you have to play the game
181.88	3.64	outside of raiding and just like the
183.64	4.44	last section, you will want to do this
185.52	4.60	on every character that you want to raid
188.08	4.32	on if they use flasks instead of
190.12	3.68	elixirs. And there are three reputations
192.40	3.32	that you'll want to be exalted with
193.80	4.40	before phase three, the Sha'tar,
195.72	4.24	Cenarion Expedition and the Aldor or the
198.20	3.56	Scryers. The reason is once you're
199.96	3.56	exalted with these three factions,
201.76	4.00	you'll be able to access the vendor
203.52	4.44	either Arcanist Soorath the Scryers or
205.76	5.00	Ha'do the Composer for the Aldor and buy
207.96	4.92	Shath'rar versions of every single flask
210.76	4.48	that exists in TBC. These will be in
212.88	4.44	exchange for a Mark of the Illidari, a
215.24	4.28	new token that drops off trash mobs in
217.32	4.48	phase three raids. Again, if you are a
219.52	4.36	flask user over elixirs and you're in a
221.80	4.24	guild, this will save you a good amount
223.88	4.48	of gold on your weekly raiding bill. For
226.04	4.08	the Sha'tar, spam run the Botanica. For
228.36	3.68	Cenarion Expedition, spam run the
230.12	3.76	Steamvaults. And for the Aldor or the
232.04	3.24	Scryer, you should be exalted on these
233.88	2.76	tunes because your best enchant for your
235.28	2.88	shoulders is through them, but it's just
236.64	4.00	reputation turn-ins through your
238.16	4.88	Signets, Sargeras Marks, Fel Armaments,
240.64	4.56	or Arcane Tomes. Again, you're probably
243.04	3.76	not doing much besides raid logging, so
245.20	3.56	just hop back into these dungeons and
246.80	3.88	get those reputations up. But, let's get
248.76	3.68	back to talking about why the Medallion
250.68	3.52	of the Cenarion Circle is so important.
252.44	3.88	That's for one of the final encounters
254.20	4.04	in the Black Temple, Mother Shahraz.
256.32	3.92	This goth mommy has a pretty brutal
258.24	3.84	mechanic, Fatal Attraction, where she'll
260.24	3.76	teleport three random players that
262.08	3.88	aren't the tank to a random part of the
264.00	3.68	room and deal ticking shadow damage to
265.96	4.60	those three players until all three of
267.68	4.92	them are 25 yards apart from each other.
270.56	4.88	At the start of this phase, it is highly
272.60	5.52	recommended to have 244 shadow
275.44	5.40	resistance with buffs to guarantee at
278.12	4.92	least a partial resist of every tick of
280.84	4.40	shadow damage that goes out from this
283.04	4.36	mechanic. 244
285.24	5.24	resistance is the magic number to
287.40	4.96	guarantee at least partial resistance of
290.48	4.04	that school of magic. Along with my
292.36	4.00	guide over all of phase three, I also
294.52	4.20	have a separate guide on Method's
296.36	4.56	website as well that I'll also include a
298.72	3.96	link to in the description. A priest can
300.92	3.64	buff everybody with 70 shadow
302.68	3.68	resistance, and the medallion you get
304.56	3.80	for the Black Temple attunement will
306.36	5.60	also provide an additional 40, meaning
308.36	6.88	you only need 134 resistance to provide
311.96	5.80	yourself. Every level 70 green BoE piece
315.24	4.68	of shadow protection will give 21 shadow
317.76	4.96	resistance, and this graph here that is
319.92	5.72	also on my article shows every enchant
322.72	4.92	and gem that grants shadow resistance.
325.64	3.88	The best way to min-max your shadow
327.64	4.08	resistance set while also doing the most
329.52	4.52	damage is to get additional pieces of
331.72	4.40	your phase one and two best gear and
334.04	4.72	then just gem and enchant it with shadow
336.12	4.84	resistance. And then after that, then
338.76	4.28	buy pure shadow protection pieces for
340.96	4.12	whatever else you need. It's very
343.04	4.56	important that in these sets, you who
345.08	4.72	still hit cap or spell hit cap or as
347.60	4.60	close to it as it'll be a huge loss to
349.80	4.36	your damage if you are not. You can see
352.20	3.52	here an example of a warlock set for
354.16	2.88	their shadow resistance and I'll provide
355.72	2.72	a link to that gear set in the
357.04	3.52	description. A big shout out to
358.44	3.84	Golovaras in the guild Angst Status for
360.56	3.52	sharing this with me. If your guild is
362.28	3.56	already experienced with Mother and has
364.08	3.72	cleared it in the past or most of them
365.84	3.60	have, an alternative solution will be to
367.80	4.00	use your engineering tools being the
369.44	4.32	Nigh Inviolability Belt and the Rocket
371.80	4.36	Boots instead of shadow resistance.
373.76	4.32	However, if you are inexperienced, it is
376.16	4.88	highly recommended to opt in the shadow
378.08	5.04	resistance pieces instead. There is new
381.04	3.64	shadow resistance gear in phase three
383.12	3.40	with a new reputation Ashtongue
384.68	3.96	Deathsworn, but they will be expensive
386.52	3.60	and require a rare crafting material
388.64	4.32	with the Heart of Darkness, which has a
390.12	4.84	low drop rate in both phase three raids.
392.96	4.08	So, it's best to create your own shadow
394.96	4.32	resistance set now as you may be using
397.04	4.28	it for a long time before you get any
399.28	4.60	phase three gear. Now, the best way to
401.32	4.92	get level 70 shadow resist pieces will
403.88	4.60	be to farm ethereal prison keys and open
