0.16	3.60	Black Temple and Mount Hydrol are right
1.76	4.32	around the corner, and some TBC specs
3.76	3.76	are about to become extremely valuable,
6.08	3.36	while others are going to be fighting
7.52	3.28	for a raid spot. And honestly, I think
9.44	3.76	there's a couple of specs that are
10.80	3.60	massively underrated going into phase 3.
13.20	3.76	Today, we're going to be ranking each
14.40	4.32	TBC spec from S tier all the way down to
16.96	3.52	Dtier. But there's one really important
18.72	4.00	thing to understand before we start.
20.48	3.84	This isn't purely a DPS tier list. I'm
22.72	3.20	going to be ranking each spec based on
24.32	4.80	their overall performance and raid
25.92	5.12	value, damage, utility, buffs, debuffs,
29.12	4.08	survivability, and how valuable that
31.04	4.48	spec is actually going to be inside of a
33.20	3.76	25man raid. Starting in the Dtier, we
35.52	2.80	have the subrogue. I don't think
36.96	3.44	anyone's going to be too surprised by
38.32	3.84	this. This is, of course, a PvP spec
40.40	4.24	more than anything. Really doesn't offer
42.16	4.08	anything in a serious PvE environment.
44.64	3.44	Again, that doesn't mean you can't clear
46.24	3.36	black temple as a subrogue. Of course,
48.08	3.28	you can, but there are just better
49.60	3.68	options. When you ask the specific
51.36	4.24	question of what class is more optimized
53.28	4.00	for raiding, very obviously a subrogue
55.60	3.52	against a combat rogue, you're going to
57.28	3.60	pick the combat rogue for progression
59.12	3.44	over a subro [music] rogue any day.
60.88	3.44	Next, we have the Ctier. Going to have
62.56	3.68	to go with the frost mage. This is
64.32	4.56	another spec that simply isn't designed
66.24	4.24	for your go-to PVE scenario of choice.
68.88	3.12	Arcane and fire are going to perform
70.48	2.72	much better, and we'll get into that a
72.00	2.80	little bit later. If you want to play
73.20	2.96	Frost because you enjoy it, that's
74.80	3.20	completely different. But the real
76.16	4.08	question is, what does my raid leader
78.00	3.92	want me to play in Black Temple? Frost
80.24	3.60	isn't necessarily going to be the
81.92	4.00	answer. Next in the Ctier, we have the
83.84	4.72	marksman hunter. Hunter is an amazing
85.92	4.40	class in TBC, but BM is so much stronger
88.56	3.20	that it makes the other hunter specs
90.32	3.04	look worse in comparison. [music]
91.76	3.60	Survival at least provides a valuable
93.36	4.16	raid debuff, but marksman doesn't really
95.36	4.64	get you the same compelling reason to
97.52	3.92	sacrifice a BM slot. Also, in the Ctier,
100.00	3.44	we have the assassination rogue.
101.44	3.36	Assassination isn't terrible, but again,
103.44	3.52	it's not because the class is
104.80	4.24	unplayable, it's because there are just
106.96	4.32	simply better options. Rogue is already
109.04	4.32	a very popular class and a very low
111.28	3.36	demand when it comes to raiding. Combat
113.36	2.88	is simply going to be the more
114.64	3.92	attractive spec if you're trying to get
116.24	3.92	a raid spot. Moving into Btier, we have
118.56	3.76	the fire mage, which I think is going to
120.16	3.20	be perfectly playable, but arcane is
122.32	2.96	definitely going to still have the
123.36	3.76	spotlight as the better specialization
125.28	3.28	throughout the phase. Once again, if
127.12	3.28	you're trying to optimize your raid, you
128.56	3.52	have to ask yourself the question, why
130.40	3.44	am I bringing a fire mage when I can
132.08	3.60	just bring an arcane mage? This doesn't
133.84	3.92	mean that fire is useless. It just means
135.68	3.44	the opportunity cost is higher. For
137.76	2.88	example, your warlock core could be
139.12	3.44	looking to play fire this phase, and
140.64	3.68	suddenly that improved scorch is much
142.56	3.52	more appealing to bring to your raid.
144.32	4.00	Also, in the B tier, we have the disc
146.08	4.80	priest. Disc is another spec where the
148.32	4.56	exact raid role matters a lot. You can
150.88	4.56	absolutely make a disc priest work, and
152.88	4.64	priest utility is very valuable. I think
155.44	4.08	disc priest is super slept on, but in a
157.52	4.08	highly optimized raid, you're simply
159.52	4.48	looking at other priest specializations
161.60	5.52	instead of disc. So, I'd put it in B.
164.00	5.60	Good. Absolutely. Essential, not really.
167.12	4.40	Also in the B tier is the Holy Priest. A
169.60	3.76	solid choice for healers. It is
171.52	4.40	definitely the more optimal spec to play
173.36	3.84	for priests with plenty of useful tools.
175.92	2.48	Yes, it's going to have the highest
177.20	2.72	healing output, but that doesn't
178.40	3.68	necessarily mean that it should go in
179.92	4.00	the A tier or even the S tier. They're
182.08	4.40	certainly not a bad choice. I would pick
183.92	4.32	a holy priest over a disc priest any day
186.48	2.96	of the week. They perform extremely
188.24	2.72	well, but you're definitely going to
189.44	3.20	need to put them in the shadow priest
190.96	3.44	group in order for them to truly
192.64	3.44	perform. And you might be asking, why am
194.40	3.52	I not putting them in the A tier? I
196.08	3.36	think that they just don't offer as much
197.92	3.04	utility compared to some of the other
199.44	3.52	specs you're going to see inside of that
200.96	4.08	A tier. Also in the B tier is going to
202.96	3.84	be the Holy P, which remains a very
205.04	3.28	strong healer. The problem is that when
206.80	3.36	you're looking specifically at an
208.32	4.08	optimized group for phase three, there
210.16	4.24	are a lot of competing healing options.
