1.28	4.04	Good morning, evening, or afternoon,
3.48	5.72	everybody. Today I wanted to take the
5.32	7.08	time to dive in further on how to gear a
9.20	4.68	feral druid tank, because there are a
12.40	3.40	ton of people that have a lot of
13.88	3.52	opinions on it, and there's a lot of
15.80	3.96	information out there that I think is
17.40	5.16	just a little disingenuous and wrong.
19.76	5.64	There's no real like super best correct
22.56	4.76	way to have a druid tank. There are just
25.40	3.80	Honestly, it depends what the heck
27.32	3.96	you're getting, but there are some
29.20	4.32	really important you should try your
31.28	5.28	very best to get, and that makes some
33.52	4.60	pieces incredibly more valuable than
36.56	3.04	others, and it really just depends on
38.12	4.68	the stage you're in. So, I'm going to
39.60	4.92	sort of uh start from a pre-best stage
42.80	3.56	where you're you just hit 70, you're
44.52	3.60	looking for pieces to get, why you
46.36	3.84	should get these pieces, the stat
48.12	4.52	breakdowns, and just some really key
50.20	4.88	important highlights that you should go
52.64	4.60	after and why. So, without further ado,
55.08	3.84	let's dive right into the video. So, the
57.24	3.44	very first thing I want to talk about is
58.92	4.28	just the
60.68	5.16	tankiness of a feral druid and how it
63.20	4.44	works. So, the most important asset that
65.84	4.96	a feral druid has is it's going to be
67.64	4.76	his armor, of course, but survival of
70.80	5.20	the fittest. So, this increases all
72.40	6.48	attributes by 3% and reduces the chance
76.00	5.48	you'll be critically hit by melee
78.88	5.48	attacks by 3%.
81.48	5.36	So, unlike all the other tanks in TBC,
84.36	4.04	and there's a very very good weak aura
86.84	4.44	that I think you guys should all get,
88.40	5.96	and it is the TBC tank uncrittable
91.28	5.44	uncrushable tracker. And this shows you
94.36	4.12	exactly where you are on being crit.
96.72	4.00	Now, there are two stats that go into
98.48	4.48	this, and that is your defense, which
100.72	4.52	you get from these defensive pieces, and
102.96	5.28	then resilience, which you get from any
105.24	4.92	PvP piece that you might have. And so,
108.24	5.04	you want when you're fighting a boss,
110.16	7.76	you want this missing level 73 crit
113.28	8.28	percent to be below 3%. So, an example,
117.92	7.36	I do not have it right now, but if I
121.56	6.48	were to put on my Adamantite Figurine,
125.28	5.68	that would give me it. So, I swap my
128.04	4.88	Hourglass and the Adamantite Figurine
130.96	4.28	every now and then, and that puts it on
132.92	5.24	there for me. And as you see, it brings
135.24	5.16	it below that 30%. So, it is a
138.16	5.40	hodgepodge calculation of all of your
140.40	5.32	defense, all of your resilience that you
143.56	4.92	have from these pieces of gear, and
145.72	4.64	putting them in. And what's really hard
148.48	3.64	about this, and why Druid has so many
150.36	5.16	options, and why it is so freaking
152.12	6.68	confusing, is because your best-in-slot
155.52	5.68	stat pieces, aka your tier, are just
158.80	3.64	pure stat pieces. They have insane
161.20	3.92	amounts of armor, they have insane
162.44	4.56	amounts of strength, agi, and stamina.
165.12	4.12	And the number one thing that you
167.00	4.16	actually need is none of those, and it's
169.24	4.84	expertise. However, there aren't enough
171.16	6.72	expertise items in phase one for you to
174.08	6.16	get your true expertise cap. So, it kind
177.88	4.12	of breaks down to expertise, agility,
180.24	4.40	and hit. Those are the three things you
182.00	6.32	want to go for. And I, as a Druid tank,
184.64	6.60	I shoot for the 6% soft cap of hit, just
188.32	5.04	because, once again, phase one stats and
191.24	5.36	stuff, you lose a ton of power to go to
193.36	5.40	that 9% true cap. So, sometimes you just
196.60	4.84	get resisted, and it sucks, and you
198.76	4.96	missed. But, most importantly is the
201.44	4.36	expertise. So, there are really good
203.72	3.96	expertise items that you can go after
205.80	4.12	and get. The number one being the
207.68	4.24	Earthwarden Hammer. It has defense, and
209.92	4.16	it has expertise on it, and it helps you
211.92	3.96	hit things. I love this weapon. I it is
214.08	3.96	the first thing that I would recommend
215.88	4.32	every Druid tank does is go and get
218.04	3.44	exalted with Cenarion Expedition. And
220.20	3.68	most importantly, the Cenarion
221.48	4.76	Expedition is one of the easiest ones to
223.88	4.72	get exalted with, because you can just
226.24	4.76	simply buy it with Coilfang Armaments
228.60	4.28	after you do one run of Steamvaults and
231.00	3.44	get that letter and turn it in. So, this
232.88	3.88	weapon is insanely powerful. You do
234.44	5.16	replace it towards the end game build
236.76	4.56	when you get your staff from Karazhan or
239.60	3.48	the arena staff, whichever one you
241.32	3.84	prefer. But, this one just gives a ton
243.08	3.92	of defense and a ton of expertise. The
245.16	4.04	other most important expertise item is
247.00	5.00	the shapeshifter signet, which is going
249.20	5.20	to be a very much needed best ring that
252.00	3.92	you probably don't take off ever until
254.40	4.24	we get further phases and you can get
255.92	4.24	more XP expertise. But, in phase one,
258.64	3.04	you really want to get exalted with
260.16	3.56	Lower City. Those are two items that you
261.68	4.36	can grind for every day just by doing
263.72	4.00	reps in dungeons and heroics and tanking
266.04	2.76	for people. Obviously, I'd recommend
267.72	2.84	normal, especially if you're starting
268.80	4.08	off as a tank. Get your bearings, get
270.56	4.76	out there, and get this. Then, the next
272.88	4.00	piece is actually two pieces and it is
275.32	4.96	gloves. So, you have the flesh handler's
276.88	6.04	gauntlets, which you go and do a quest
280.28	5.28	up here in Netherstorm right outside
282.92	5.92	this cave right here south of Manaforge
285.56	6.96	Ultras. And then, you also
288.84	7.68	uh get a drop from Karazhan trash,
292.52	6.20	actually, that has a really uh nice
296.52	4.76	gloves called Grips of Deafness, which
298.72	5.32	give you a ton of powerful stats along
301.28	5.12	with the expertise rating. So, those are
304.04	4.28	very, very good. And eventually, once
306.40	4.16	you get all four pieces, so like I need
308.32	4.08	my tier shoulders to really optimize
310.56	5.08	this and I'm going to lose a lot of hit
312.40	5.80	for that. Um and we'll hopefully get
315.64	4.80	Pretty much, I need to get the staff off
318.20	5.32	of Illhoof, like Some of the most
320.44	5.72	important items are going to be this
323.52	4.84	cape right here. It's so good because it
326.16	4.28	has It's essentially your mitigation
328.36	4.12	cape, just better. So, like I have a hit
330.44	4.20	cape here, the Deathshroud, and I have
332.48	3.80	this thorium weave cape, which just has
334.64	3.72	armor and stam. And this one gives you
336.28	4.52	the armor, the stam, and the defense
338.36	4.68	rating. So, it is very, very strong and
340.80	4.92	very good. And when you're going to do a
343.04	4.88	massive swap to get all of your gear,
345.72	4.04	you uh are going to want this cape.
347.92	4.24	Then, this is the weapon that you get as
349.76	4.32	your best PvE weapon. It is insanely
352.16	3.68	higher stats than the Earth Warden. It
354.08	3.92	gives you hit, it gives you a lot more
355.84	5.16	agi, gives you a lot more strength, and
358.00	4.84	it even gives you more stamina. So, this
361.00	3.68	is a very nice pick up and a piece that
362.84	4.12	you will use and that sort of balances
364.68	4.20	out the hit that you lose from the cape
366.96	3.48	here that you put on. And then with your
368.88	3.44	shoulders, you swap for your tier
370.44	4.92	shoulders, and then you really want to
372.32	4.52	get Edge Walker boots for more hits
375.36	4.16	because you're dropping the shoulders.
376.84	5.52	So, Edge Walkers for more rows as an off
379.52	4.80	piece is very nice to go after. I'm my
382.36	4.20	my This is what I'm going for for my
384.32	3.76	true bis is the Edge Walkers, the
386.56	4.08	Griptoe of Defness, and then those two
388.08	5.96	other pieces off of Illhoof, and we've
390.64	7.24	just had really bad luck, unfortunately.
394.04	6.00	And so, for going into your character,
397.88	3.72	what you really want to look for is that
400.04	4.32	and then as much stam as possible
401.60	5.52	because in phase one, you are going to
404.36	5.20	get critted like a mofo. You are not
407.12	4.32	going to have an option. You are You are
409.56	3.92	always able to be crushed as a bear
411.44	5.04	tank. But, what you're supposed to have
413.48	5.04	is a ton of stamina and a ton of armor
416.48	4.28	to be able to take that hit. So, like I
418.52	4.40	even consider taking off my expertise
420.76	4.04	there and just going even lower just so
422.92	4.00	I have a ton of armor and a ton of
424.80	4.80	stamina and I'm able to hit the boss.
426.92	5.80	And that's where all these belts, rings,
429.60	4.72	trinkets, cloaks come into the most play
432.72	4.32	and that's why I have so many of these
434.32	4.96	just as options that I potentially could
437.04	5.84	swap out at any time because they have
439.28	5.96	more hit and that hit allows me to
442.88	4.68	stay alive and hit the bosses and not
445.24	5.40	really sacrifice too much of that. In
447.56	5.04	raid without full buffs, kings fort, I'm
450.64	5.28	fooded up, I'm at sitting around between
452.60	5.44	16 and 17,000 health and I'm able to get
455.92	5.00	those. So, a lot of these pieces that
458.04	5.64	you go after are just these pure armor,
460.92	5.36	strength, agi, stam druid pieces that
463.68	4.48	are really very helpful and it's pretty
466.28	3.68	much like your tier before you have it.
468.16	3.68	Now, for PvP, I would highly recommend
469.96	4.40	you get the General Leather Bracers and
471.84	4.28	the General Leather Belt. Your armor
474.36	3.96	will not become a problem for you as you
476.12	5.24	can see I am almost at armor cap right
478.32	5.72	now. Armor cap is 32,500
481.36	7.56	armor and you get 75% reduction, but
484.04	7.68	your healers, shaman or priest, give you
488.92	5.76	a inspiration buff which gives you 25 to
491.72	4.76	16% more armor which pushes you to that
494.68	3.76	cap. So, I'm not really worried about
496.48	4.24	cap, but what I am worried about is my
498.44	4.80	hit. So, like I'm try I keep trying to
500.72	4.08	get a way to balance this out to where I
503.24	5.16	can get
504.80	5.56	uh hit cap and have the uh cap there.
508.40	4.24	So, I even went and bought this Band of
510.36	3.56	the Exorcist. I could put this on, but
512.64	3.48	we lose a lot. So, this would be
513.92	4.12	something I would use if I'm taking mag,
516.12	4.16	right? I'm a little below hit, but it
