1.84	3.12	yo
3.12	4.16	we're back of course
4.96	5.12	in the usual spot in their grand and
7.28	4.48	today of course of course
10.08	4.24	everybody's been waiting for the loot
11.76	4.88	video so here we are with the loot video
14.32	4.40	um real quick i've gotta make some
16.64	3.44	caveats of course and i'm gonna try
18.72	2.56	breeze through this as quickly as
20.08	3.76	possible
21.28	4.24	because i do know that we are looking at
23.84	3.92	a pretty long video
25.52	3.92	as it stands anyway so quick caveats
27.76	2.64	this won't be perfect it's really hard
29.44	3.44	to absorb
30.40	5.20	all the nuances right into every single
32.88	4.88	spec so some details will be missed i
35.60	3.60	try to explain myself as best i can but
37.76	2.64	at the same time i am trying to keep it
39.20	4.48	brief
40.40	5.20	secondly this is very much only on a
43.68	3.52	class context i don't know your raiders
45.60	2.72	i don't know if they're slackers pumpers
47.20	2.48	etc
48.32	2.88	so you know
49.68	3.52	take a pinch of salt with a lot of these
51.20	2.88	recommendations this is only looking at
53.20	2.48	class
54.08	3.04	nothing else
55.68	4.00	and finally
57.12	4.16	if you have any particular like real
59.68	2.72	comments to make about the loot pride
61.28	2.96	that you think are really really
62.40	3.28	important just explain it i'm happy to
64.24	3.84	edit the sheet afterwards i've made a
65.68	4.40	mistake i've made a mistake that's fine
68.08	3.52	um but just so you know i've worked a
70.08	2.96	lot on this lately
71.60	3.04	and you are going to get a few coughs by
73.04	4.80	the way been coughing for a long time
74.64	5.04	now um since being here in december so
77.84	3.28	bear with me on that but yeah lots of
79.68	3.52	research we're going to jump right in
81.12	3.44	straight away and try and get some stuff
83.20	2.96	done
84.56	3.44	so first and foremost we have braces of
86.16	3.84	martyrdom these are pretty much for your
88.00	4.48	wrestlers that have bad luck on their
90.00	5.20	best which is rejuvenating braces or
92.48	5.92	holy priests that haven't crafted their
95.20	5.04	best braces yet um likewise
98.40	4.00	due to the strength of haste shamans and
100.24	4.56	priests are gonna generally prefer all
102.40	4.08	the haste items quite exceptionally much
104.80	2.88	in terms of the crafted brothers
106.48	2.72	especially
107.68	3.76	so just a quick one there rest the
109.20	3.20	druids or holy priests are slacking a
111.44	2.56	little bit
112.40	4.00	cuffs of devastation this is a great
114.00	4.00	bracer in terms of total stats it's
116.40	3.60	great and is the best option for arcane
118.00	5.36	mage however it's not the best option
120.00	5.84	for other casters despite how good it is
123.36	3.84	spell haste is essentially crazy uh
125.84	3.44	compared to a lot of the stats that are
127.20	4.08	available at the moment or breakdowns in
129.28	4.16	stats rather that are available right
131.28	5.04	now so every other spellcaster actually
133.44	5.12	prefers braces of nimble thought so as
136.32	4.72	such we're gonna prioritize our arcane
138.56	5.68	mage here and then give it to anyone who
141.04	5.52	lacks the crafted braces that'll be obe
144.24	4.56	next we have deadly clubs similar to the
146.56	4.32	previous bracer these braces are great
148.80	4.40	but best for only one spec and that is
150.88	3.76	your warriors your dps warriors slam
153.20	3.84	this on your fury warriors first and
154.64	4.08	then probably your kebab boys then if
157.04	3.92	your enhancers lacking braces of
158.72	4.48	lightning reflexes they are likely the
160.96	4.24	next best option other than that feed
163.20	3.68	these to whoever is still waiting for
165.20	4.00	their best braces there's quite a few
166.88	3.68	options here in the leather slot
169.20	3.28	rejuvenating braces we've already
170.56	4.24	mentioned these these are the rest of
172.48	4.56	druid biss so straight to your rest of
174.80	4.48	druids and then outside of that you can
177.04	4.56	go to your slacking shamans or any
179.28	3.92	unlucky holy paladins as mentioned
181.60	3.52	wrestle shamans really want those haze
183.20	4.48	braces anyway
185.12	5.12	next on to braces of the pathfinder this
187.68	4.16	is a generic main spec over of spec
