0.36	3.84	What's up everyone? I'm Milkman JP, and
2.28	4.12	today we're ranking every spec for the
4.20	4.84	healers now of phase three of The
6.40	5.20	Burning Crusade Classic.
9.04	5.36	Make sure you guys follow me over on
11.60	5.64	Twitch at Milkman JP
14.40	4.32	for all my live streams. I try to stream
17.24	2.96	every night.
18.72	3.08	Let's get started now. There's not a
20.20	3.48	whole lot of healer specs, so this will
21.80	4.28	be a quick video. All right, we're going
23.68	3.96	to get started right into it with Holy
26.08	5.12	Priest. I'm going to be putting Holy
27.64	5.64	Priest into A tier.
31.20	4.56	Holy Priest remain one of the strongest
33.28	4.12	all-around healers. Pros:
35.76	4.76	excellent raid healing, extremely
37.40	4.60	versatile, strong emergency healing.
40.52	5.48	The only issue with them is they can run
42.00	4.92	into mana issues on long fights.
46.00	3.00	And then going down to their
46.92	4.80	counterpart, Disc Priest, I'm going to
49.00	5.00	move Disc Priest into C tier. Disc
51.72	4.32	Priest simply isn't designed for TBC
54.00	4.72	raiding. It's strong single-target
56.04	5.84	support. It's simply outclassed by Holy
58.72	6.00	in almost every raid situation.
61.88	5.60	Moving on to Resto Druid, I'm going to
64.72	5.04	put Resto Druid into A tier.
67.48	4.32	Resto Druids excel at keeping HoTs
69.76	4.56	rolling across the raid and shine in
71.80	4.72	sustained damage encounters.
74.32	4.80	Excellent raid healing, Innervate,
76.52	4.72	Battle Resurrection. Only con is they
79.12	4.88	have a low burst healing.
81.24	4.04	All right, moving on to Holy Paladin.
84.00	2.32	I'm going to use this logo here for Holy
85.28	4.04	Paladin.
86.32	5.40	Holy Paladin is A tier. Holy Paladins
89.32	4.32	are exceptional tank healers, the best
91.72	3.16	tank healer by far by the all the
93.64	3.52	healers.
94.88	6.00	Um, incredible single-target healing,
97.16	6.88	great mana efficiency with uh Wiz,
100.88	5.36	and they bring blessings.
104.04	5.24	All around great healer.
106.24	5.96	Their only issue is they stuck as a raid
109.28	7.72	healer. They cannot party heal, raid
112.20	4.80	heal whatsoever. They only tank heal.
117.40	7.12	Moving on to resto shaman and
121.64	5.28	you know I'm going to do it. Shamans are
124.52	5.00	huge in TBC.
126.92	4.24	Shaman is going to be put into S tier.
129.52	3.76	Resto shamans are among the most
131.16	4.76	valuable healers in TBC because chain
133.28	5.32	heal is amazing, especially in Mount
135.92	5.36	Hyjal and bloodlust alone guarantees
138.60	5.12	them a raid spot.
141.28	4.92	Their pros are chain heals, bloodlust,
143.72	4.00	totems, and they're extremely in high
146.20	4.04	demand.
147.72	5.04	Um the only issue is a limited mobility
150.24	5.24	while casting. Not like a resto druid,
152.76	4.44	they can't cast while moving.
155.48	4.16	Other than that, resto shamans I'm going
157.20	5.96	to put into S tier and that is going to
159.64	6.72	wrap up our healing classes.
163.16	5.60	Uh so that's my full tier six spec
166.36	5.56	list for Black Temple and Mount Hyjal.
168.76	7.04	Keep in mind, this is based on overall
171.92	7.16	raid value, not just the healing meters.
175.80	6.48	A great healer will absolutely
179.08	6.40	outperform any other healer who is not
182.28	4.72	great. So, play what you want still.
185.48	2.84	Now it's your turn.
187.00	4.32	What's the biggest hot take on this
188.32	4.68	list? Did I rank your spec too high?
191.32	3.32	Too low? Let me know in the comments.
193.00	3.64	And if you enjoyed this video, don't
194.64	5.12	forget to like, subscribe, and I'll see
196.64	3.12	you in the next one.
