0.88	4.00	and y'all my name is brent everton miss
3.20	3.04	runner joe moore the mystery in the
4.88	2.64	tribe
6.24	2.40	and today i want to talk to you all
7.52	3.84	about
8.64	4.96	resistance gear
11.36	5.28	so maybe you saw my guide on solarian
13.60	4.96	one of the bosses in tempest keep
16.64	3.36	that boss fight has been changed with
18.56	3.04	the nerfs
20.00	3.52	it has been changed in such a way that
21.60	3.44	you no longer need two arcane red
23.52	3.28	suckers
25.04	3.92	which means that if any of you followed
26.80	4.88	that guide and ended up being a soaker
28.96	3.76	well today is a special day
31.68	4.40	oops
32.72	6.88	today is a special day because i get to
36.08	6.16	eat this set into the void
39.60	2.64	or sell it
42.40	5.12	this is a whole bunch of arcane res it
44.64	4.88	was fairly expensive to put together
47.52	4.08	and there's a violet badge in them in
49.52	3.76	the bank as well so this is over 500
51.60	3.76	arcane res with the badge i'm going to
53.28	3.28	keep the badge just in case
55.36	3.68	but
56.56	3.84	yeah this was a lot of effort getting
59.04	3.12	all these pieces together getting it
60.40	3.76	enchanted
62.16	4.08	maybe you have this feeling too whenever
64.16	4.64	you go to all this effort get your set
66.24	5.28	put together and then it turns out
68.80	4.40	actually now you don't need that anymore
71.52	3.68	and you can just sell it it feels kind
73.20	3.76	of bad and maybe i'll regret this
75.20	4.40	because maybe we'll need this later on
76.96	4.32	so i just wanted to save this moment
79.60	3.68	that way at least when we make a mistake
81.28	4.08	we do it on tv
83.28	3.60	so let's go over to this nice journey
85.36	1.52	excuse name
88.64	4.64	oh i can't sell what i'm wearing on me
91.20	3.68	yeah that would be kind of dos okay
93.28	3.04	let's just
94.88	2.64	let's do this
96.32	3.51	threat said
97.52	5.36	shift five love it
99.83	3.05	[Music]
103.20	2.56	don't need them
105.84	2.32	okay
108.64	3.04	that's not arcane
113.44	4.16	are your bags organized mine are not
115.28	4.24	very organized nature rez i still wear
117.60	5.52	on hydros
119.52	6.48	that fight did not get changed too much
123.12	6.72	sell it sell it
126.00	3.84	held it off and sell it
131.44	3.84	sell it
133.36	6.24	sell it
135.28	4.32	sell it oh no bruh don't do that sell it
139.92	3.72	anyway since the fire
144.16	4.56	nature rests we keep that
146.64	4.48	arcane res
148.72	2.40	set it
154.80	3.76	i'm going to double check by trying to
156.16	3.84	put the set on
158.56	4.80	after this
160.00	3.36	got that from a quest sell it
164.40	3.44	arcane sell it
166.24	3.52	hiccups
167.84	4.72	got him
169.76	2.80	sell it arcane
174.88	2.96	all right
176.08	2.96	that looks like arcane set path of the
177.84	2.72	light i'm gonna try to equip that set
179.04	5.12	again
180.56	6.16	could not find any of this
184.16	4.48	i still have the boots on
186.72	4.48	said it
188.64	2.56	the boots
191.36	2.88	and just some boots
194.56	5.68	battle scar boots are good boots today
196.56	5.76	is a blessing these boots goodbye
200.24	4.56	goodbye arcane red set
202.32	3.92	you served us well in perhaps the boring
204.80	2.88	the most boring fight that i've ever
206.24	3.76	done blessings
207.68	3.68	wear this dress and stand over there
210.00	4.08	that's what they told me and that's what
211.36	5.20	i did and it helped us do the fight but
214.08	3.76	praise ancestors they changed the fight
216.56	2.72	but
217.84	3.04	there are other fights with resistance
219.28	3.36	ahead it has come to my attention that
220.88	3.20	for black temple we're gonna need some
222.64	3.44	fire res
224.08	5.36	so i went over to the badge vendor here
226.08	3.36	i'm gonna just show you where i got this
230.16	3.04	if you're a tank
231.44	4.84	and they call you in to do res fights
233.20	3.08	and stuff
240.08	2.74	you may need to go
241.44	3.60	over here
242.82	3.26	[Music]
245.04	4.56	to
246.08	3.52	g apostrophe eras
249.92	3.36	flip over here
251.28	3.84	to the fire res section
253.28	4.00	maybe you're a bear you can get the
255.12	4.00	leather fire res
257.28	4.08	30 badges for the chest
259.12	4.00	30 for the legs 20 for the boots and the
261.36	3.76	gloves
263.12	3.20	so you just get a couple pieces of this
265.12	3.76	i'm gonna put them on now and start
266.32	5.92	building a fire reset
268.88	3.36	item rack sits
273.04	3.36	this used to be my diamond flask set
275.28	3.68	shift eight
276.40	4.24	and then it became my arcane reset shift
278.96	5.12	eight but now
280.64	3.44	it's gonna be my fire reset
284.96	5.76	i don't have a helmet
287.20	3.52	i don't have a net i do have a neck
291.36	6.48	if i fire his neck in the bank
294.40	3.44	i don't remember where i got this
298.00	3.04	there it is
298.96	4.16	24 fire is nick
301.04	4.64	oh what's this ring phoenix fire band 35
303.12	2.56	res ring
305.76	4.64	oh hell yes
308.00	4.96	oh we're off to the races now
310.40	2.56	fire res
314.80	4.48	hmm
316.56	2.72	we'll just put on
319.52	5.28	tier 4 helm that's something
321.68	6.24	put on this
324.80	3.12	put on the tanky shoulders
328.40	4.48	i get a fire as cloak
330.96	5.28	eventually
332.88	3.36	inferno temper chest guard
337.44	3.20	eradication bracers
340.88	3.36	thunder fury and shield why not
345.36	2.72	this this
349.20	4.48	expertise is a good stat
351.36	4.64	virus ring phoenix fireband
353.68	5.28	this was from attunement i think
356.00	4.48	hope you kept this in the bank
358.96	3.84	if you're a tank
360.48	4.16	virus boots
362.80	5.20	virus pants
364.64	5.44	inferno weave red belt of battle
368.00	4.48	virus gloves
370.08	2.40	saved
372.56	3.04	now let's test it
375.68	5.96	virus by default is zero nature s is 10
378.40	3.24	as adorned
382.80	4.08	yes
384.56	2.32	yes
388.72	2.32	yes
392.48	3.00	yes
395.92	3.76	hey that looks way cooler than the
397.68	4.16	arcane rest set
399.68	5.56	damn
401.84	3.40	move to 262.
410.24	2.64	hell yes
416.32	6.00	phoenix fireband that's what i'm talking
418.08	6.40	about easy 35s we can also get some fire
422.32	3.60	res armor kits
424.48	4.32	so talk to a leather worker i'm going to
425.92	4.96	talk to braun he got the recipe for that
428.80	3.92	and you can put some armor kits on those
430.88	3.68	and then you're basically done from what
432.72	3.04	i've heard the fire rest stuff that
434.56	2.64	you're going to have to tank doesn't
435.76	3.12	mean that you have to be in full fire
437.20	4.16	res like you're tanking ragnaros or
438.88	5.28	something you just need a bit of fire
441.36	6.08	res kind of similar to tanking hydros as
444.16	5.68	either the nature or the frost tank
447.44	5.44	so you need a good bit where it says
449.84	4.48	resistance against level 70 is good but
452.88	3.60	it doesn't need to be your whole set as
454.32	4.64	far as like the arcane set going over
456.48	2.48	500
460.24	4.00	well if you have any thoughts about
462.08	4.00	selling old sets and how it hits you in
464.24	3.60	the fields or your prep that you're
466.08	3.20	doing for the next phase feel free to
467.84	3.52	share in the comments
469.28	6.44	for me brent hamperton mistrender
471.36	4.36	ancestors watch over you
