0.44	4.12	This is the most overpowered class in
3.08	3.40	the upcoming Black Temple Burning
4.56	3.68	Crusade raid. But there are other
6.48	4.16	classes that are arguably just as
8.24	4.12	overpowered and catching up really fast.
10.64	3.20	And beyond the damage, suddenly out of
12.36	3.08	nowhere, there were going to be some
13.84	3.92	classes that are instant invites in
15.44	4.44	phase three. We also can't forget about
17.76	4.28	those sweet [music] warglaives, the most
19.88	4.44	spectacularly overpowered weapon that
22.04	4.36	you'll ever see in TBC. If your class
24.32	4.36	gets them, you can be sure you're going
26.40	4.64	to be absolutely broken. Let's talk the
28.68	4.92	most overpowered classes in the ultimate
31.04	4.48	phase three DPS tier list. Starting in
33.60	3.72	the C tier, there was a spec that
35.52	4.44	basically nobody in the Burning Crusade
37.32	5.32	is playing. But all of a sudden, it does
39.96	5.20	have a mini resurgence in phase three.
42.64	4.52	We're talking about the Smite Priest.
45.16	3.60	And it's not as crazy as it sounds. You
47.16	4.08	have Divine Spirit buffing your entire
48.76	4.36	raid and Power Infusion, which basically
51.24	3.24	gives a mage a significant amount of
53.12	2.88	extra damage.
54.48	3.44	But it's really your damage that's the
56.00	4.32	problem, because even when you factor in
57.92	4.60	that extra damage from the PI, you're
60.32	4.12	still going to be doing maybe 500 less
62.52	3.92	damage than a warlock or a mage. And
64.44	4.24	that really compounds even more on AoE
66.44	4.24	fights. Still, when we're doing Hyjal
68.68	3.52	trash farms, you can bet I'm going to be
70.68	3.68	playing a Smite Priest.
72.20	4.96	Also in the C tier, we can officially
74.36	5.60	crown TBC's least known, least talked
77.16	5.20	about, and least popular spec, the Holy
79.96	4.20	Shockadin. Don't laugh, because it does
82.36	2.96	get pretty significant resurgence in
84.16	2.60	phase three.
85.32	3.92	Not too much in Black Temple, but in
86.76	5.08	Hyjal, where you could absolutely see a
89.24	4.60	Ret or a Holy Paladin. They use a dual
91.84	3.96	spec to switch in the spell power gear
93.84	4.16	and absolutely obliterate the trash
95.80	4.72	meters. Think about basically a Prot
98.00	4.44	Paladin that has like 350 more spell
100.52	4.12	power than a Prot Paladin, and they're
102.44	4.40	absolutely destroying the trash every
104.64	4.12	single pack. There are two fatal flaws,
106.84	3.20	though. The first is that you basically
108.76	3.48	have Prot Paladin levels of single
110.04	4.24	target damage, so you got to respec on
112.24	3.88	bosses or you're screwed. The second is
114.28	3.72	that you're basically a melee mage. You
116.12	3.68	are going to die a lot on the trash
118.00	3.48	packs. But hey, you're basically a melee
119.80	2.68	warlock with a seed set. It's pretty
121.48	3.04	fun.
122.48	4.76	Also in the C tier, we have a class
124.52	4.36	everybody. 100% of the population is
127.24	3.80	going to be bringing to the raids.
128.88	3.84	Anecdotally, from my 11-hour Tempest
131.04	3.68	Keep, we just failed one last night by
132.72	4.24	the way, I can tell you that boomkins
134.72	3.48	get the biggest pass of any class in
136.96	3.44	terms of gear.
138.20	3.96	People really don't care. They just want
140.40	3.96	them for the improved fairy fire. I'd
142.16	3.40	also note that boomkins always seem to
144.36	2.88	be having fun when they play their
145.56	3.32	class. Maybe it's because they've
147.24	3.72	successfully fought off the dreamstate
148.88	3.40	lobby, which only the very top guilds
150.96	3.12	are running right now. But
152.28	3.36	unfortunately, in phase three, you're
154.08	4.24	going to spend less time on your boomkin
155.64	4.44	doing big starfires and more time battle
158.32	3.80	rezzing and innovating other players and
160.08	3.92	buffing, which is probably not exactly
162.12	3.36	what you signed up for. But hey, you're
164.00	3.16	getting the invite and nobody's going to
165.48	4.20	complain about your damage. Not a bad
167.16	4.96	deal. Into the B tier, we have the ele
169.68	5.48	shaman. And everybody thinks this class
172.12	5.36	is pretty sweet. The thing is,
175.16	3.60	they have a fatal flaw, and you're going
177.48	3.52	to have to overlook it if you want to
178.76	4.76	play it. Basically, ele shamans are
181.00	4.96	coming off the glow of the peak of phase
183.52	3.96	two. They carried on Lady Vash.
185.96	3.36	Everybody who has an ele shaman in their
187.48	4.12	guild looks at them with reverence and
189.32	3.72	respect. Everybody is very grateful
191.60	3.04	they're there. They're providing
193.04	4.28	incredibly powerful buffs for the
194.64	5.04	casters, the warlocks, the mages. But
197.32	3.32	even though they're so beloved, even if
199.68	3.80	you give them something like a
200.64	4.96	Zhar'doom, they unfortunately just don't
203.48	3.72	scale well compared to other classes.
205.60	3.76	But maybe doing number one damage on an
207.20	4.24	ele shaman is missing the point. Nobody
209.36	4.32	is ever turning down an ele shaman.
211.44	3.40	Meanwhile, there's another spec that is
213.68	3.44	just going to be grateful to do
214.84	4.04	literally any damage at all, because
217.12	4.04	you're usually, unfortunately, forced to
218.88	4.48	tank. We're talking about the feral
221.16	4.36	druid, who are perhaps the gods of
223.36	3.64	tanking in TBC. When you're not tanking,
225.52	4.04	you can do something really fun. You can
227.00	3.64	get pure DPS gear on and you can pump as
229.56	2.84	a cat.
230.64	3.32	A lot of the times when we have a cat
232.40	2.72	DPS, they're near the top of the meters
233.96	3.20	in our raids.
235.12	4.24	But unfortunately, Black Temple is a
237.16	4.00	significant step up in difficulty. That
239.36	3.80	means the luxury of having a cat that
241.16	3.16	sometimes tanks kind of goes away.
243.16	2.72	Probably isn't going to just be a
244.32	3.24	built-in cat spot waiting for you, if
245.88	3.52	you know what I mean. Now, another spec
247.56	4.52	basically nobody is talking about right
249.40	4.64	now, but is actually secretly maybe a
252.08	4.04	good idea to play in phase three, the
254.04	4.36	fire mage. You look at the logs, and
256.12	4.16	yes, on paper, they're just worse than
258.40	4.48	arcane mages. But you go back to those
260.28	4.36	old VODs from 2021, and a lot of the
262.88	4.00	times the fire mages actually did kind
264.64	4.52	of crank. Earlier today, I watched a
266.88	4.52	fire mage VOD of Black Temple, and he
269.16	3.80	was often out DPSing the arcane mage.
271.40	3.84	Now, the question is, why would you play
272.96	4.04	fire when you could just play arcane?
275.24	3.36	Are there advantages? Are there reasons
277.00	3.20	behind it? Because I couldn't really
278.60	3.56	find anything substantial that would
280.20	3.48	say, "This is why you should play fire
282.16	3.12	over arcane." But maybe it's just
283.68	4.04	preference. Feel free to let me know in
285.28	4.76	the comments. And ending the B tier with
287.72	4.08	a controversial class, we got to talk
290.04	4.24	about the rogue. Anybody that thinks
291.80	4.88	about rogue, they think about Warglaives
294.28	4.32	in the Black Temple. And oh my god, it
296.68	3.36	really is going to be incredible. Tens
298.60	3.52	of thousands of players are thinking the
300.04	3.72	same way. How awesome would it be to
302.12	3.48	achieve your childhood dream of getting
303.76	3.44	Warglaives in a rogue? You actually
305.60	4.00	start to really perform on the meters,
307.20	4.60	especially by Sunwell. You can dominate
