0.16	4.00	what's up bumpers jerome here with
1.68	5.36	another classic wow tbc video today
4.16	5.28	we're talking everything resto druid pve
7.04	4.08	best in slot we'll cover all the stats
9.44	4.32	you need to know we'll explain how haste
11.12	5.20	works everything you need to know to top
13.76	5.44	the meters as a resto druid in phase
16.32	4.24	three tbc before we get started please
19.20	3.44	click that like button to hit the
20.56	3.84	subscription button and don't forget to
22.64	3.44	click that notification bell or i won't
24.40	4.84	be able to keep making videos just like
26.08	3.16	this one
30.72	3.84	all right so as you may know black
32.64	4.24	temple and hyzer are here and they're an
34.56	4.88	absolute blast i've been loving doing
36.88	4.96	these raids really nostalgic really fun
39.44	4.24	very well designed raids and i've even
41.84	2.88	been doing mount hyjal trash farming as
43.68	2.72	well
44.72	3.68	which gives you all sorts of great loot
46.40	3.28	you get epic items you get materials
48.40	2.80	which you can use for crafting and i'll
49.68	4.88	get into that later
51.20	5.04	but tldr i'm having an absolute blast i
54.56	3.44	wanted to get out a guide on restaurant
56.24	3.36	gearing and this is something that i've
58.00	3.52	really been excited about getting out
59.60	4.16	because there's so much to talk about
61.52	5.12	with resto druid gearing in phase three
63.76	4.48	we finally have a new stat that is
66.64	3.84	really really really gonna change how
68.24	3.84	you play resto druid and that's spell
70.48	4.00	haste so if you don't know what spell
72.08	4.72	haste is spell haste is a stat that's
74.48	4.56	already existed in tbc but for wrestle
76.80	4.16	druids it hasn't really had much of an
79.04	4.64	impact yet and it's about to have a
80.96	5.12	massive massive massive impact so what
83.68	3.68	haste does for arrest or druid is not
86.08	3.36	what a lot of people have said in the
87.36	3.20	past it does not increase the hot tick
89.44	2.64	rate that you get so you're not going to
90.56	3.36	be getting more heals just from your
92.08	4.08	hots increasing the tick rate that's not
93.92	4.24	going to be happening what you get from
96.16	3.68	spell haze as a resto druid is number
98.16	3.04	one you get faster spellcast so for
99.84	3.12	example your regrowth or your healing
101.20	4.16	touch are going to be faster with more
102.96	3.28	haste and number two you're going to be
105.36	2.64	getting
106.24	3.44	more global cooldowns so basically if
108.00	4.00	you have a certain threshold of spell
109.68	4.32	haste which in this case is 113 for
112.00	4.64	resto druids you'll be able to roll a
114.00	3.92	fifth life bloom and this has huge
116.64	3.28	implications for how you're gonna play
117.92	3.84	the class and the amount of extra
119.92	3.52	healing you're gonna be getting over a
121.76	4.08	the course of a fight so you may be
123.44	3.84	wondering what does rolling a fifth life
125.84	3.20	loom actually mean what does that
127.28	4.24	actually mean for a restaurant so
129.04	5.52	essentially a resto druids rotation is
131.52	5.04	going to always be sort of chained into
134.56	4.40	life bloom lifebloom is your best heal
136.56	4.00	over time it's what you are there for
138.96	3.84	you are you are pumping these massive
140.56	4.32	massive heals with light bloom your idea
142.80	4.24	your goal is to be always rolling three
144.88	3.92	life blooms on every single tank that's
147.04	3.36	gonna be taking damage so before the
148.80	3.60	fight starts you could pop out a
150.40	3.36	regrowth of rejuvenation on your tanks
152.40	2.80	and then boom you're rolling the three
153.76	3.92	life blooms on every single tank that's
155.20	4.08	gonna be taking damage so essentially
157.68	3.28	all of your global cooldowns are
159.28	3.44	constrained to re
160.96	3.84	keeping these light booms on your tank
162.72	4.16	right so let's say you have three tanks
164.80	3.68	you have a warrior two paladins so you
166.88	3.76	need to be keeping your life blooms on
168.48	4.16	all three of the tanks at all times this
170.64	3.52	means that your first global cooldown is
172.64	2.56	going to go to the first tank and it's
174.16	2.56	going to be light bloom your second
175.20	3.28	global cooldown goes to the second tank
176.72	4.00	and it's a light bloom your third global
178.48	4.24	cooldown goes to the third tank also a
180.72	4.08	lifelong so that means you have one
182.72	4.48	extra global cooldown before these light
184.80	4.16	blues fall off of the tanks to put uh
187.20	3.36	for example a lifebloom on someone else
188.96	2.64	or a rejuvenation on one of your tanks
190.56	2.88	or whatever you want to do with that
191.60	3.76	extra global cooldown essentially you
193.44	3.92	have one free spike you've got one
195.36	3.04	vacation day for every three days of
197.36	2.40	work for example
198.40	3.92	to a spell haste if you hit that
199.76	4.32	threshold of 113 what that means is you
202.32	3.28	get an extra lifebloom so that means
204.08	3.04	your first tank gets a light bloom your
205.60	3.12	second tank gets the life your third
207.12	3.44	tank is lifelong then you have a free
208.72	3.04	spot then you have a free spot then your
210.56	2.40	first tank gets a lifelong then your
211.76	2.72	second tank gets the light boom then
212.96	3.36	your third tank gets the life bloom then
214.48	4.24	you have two more free spots so what
216.32	3.84	that means is you have two extra spots
218.72	3.12	and you can do all sorts of interesting
220.16	3.28	things with that for example you could
221.84	3.60	you know keep up rejuvenation on your
223.44	3.84	tanks or you could put life looms on
225.44	3.52	other people in the raid there's a lot
227.28	4.00	of implications for that extra haste but
228.96	4.24	as you can already see that may not
231.28	3.84	always be the best possible scenario so
233.20	3.52	let's say you only have one tank he's
235.12	3.60	the only person in the raid taking any
236.72	3.68	damage at all then all of a sudden it
238.72	3.52	doesn't really make sense to lose
240.40	3.60	healing power in order to gain that
242.24	3.68	extra life loom because there's no real
244.00	4.80	point of you rolling an extra life boom
245.92	4.48	so haste is not always 100 of the time
248.80	3.36	the absolute best thing for wrestle
250.40	3.36	druid it's going to vary depending on
252.16	2.96	the fights because if only one person's
253.76	4.00	taking damage or only two people are
255.12	4.48	taking damage what's the actual point of
257.76	3.44	that extra life bloom and what's that
259.60	3.84	point of that extra vacation day for
261.20	4.48	example let's say only one or two tanks
263.44	4.00	are taking damage and that's literally
265.68	3.28	it then all of a sudden it doesn't make
267.44	3.76	sense to have that extra vacation day
268.96	3.76	you don't need five global cooldowns to
271.20	3.60	maintain your life blooms and your
272.72	4.16	rejuvenation for example you're you're
274.80	3.76	all set it's not that haste is useless
276.88	3.68	on a wrestler druid it's just that
278.56	3.76	there's very specific reasons why you
280.56	3.28	want it it's not always going to be best
282.32	3.36	in every single situation to have the
283.84	3.52	extra haste there's also diminishing
285.68	3.36	returns on a wrestler dread right now
287.36	3.68	with spell haste so for example let's
289.04	3.92	say you get to 180 spell haze this
291.04	2.96	doesn't really do that much for you
292.96	2.48	because you're not going to get that
294.00	3.60	extra vacation day right you're not
295.44	3.60	getting that extra six life loom roll
297.60	2.56	it's not going to even be that relevant
299.04	2.80	for you because you're not getting that
300.16	3.04	six life limb rule you're you're only
301.84	3.44	going to be getting a faster regrowth
303.20	4.16	for example keep in mind that when we're
305.28	4.72	talking spell haste having the bare
307.36	4.32	minimum of 113 is not always optimal
310.00	4.56	because things like ping can also get in
311.68	5.44	the way so let's say you have 113 spell
314.56	4.08	haste and your ping is is you know at an
317.12	3.84	extra 20 milliseconds compared to the
318.64	3.60	average wrestler druid all of a sudden
320.96	2.72	it's going to be even harder to roll
322.24	3.84	those lifelongs because you're cutting
323.68	4.00	it really close so you may want to have
326.08	4.16	a small extra amount of haste so let's
327.68	4.48	say 140 150 that gives you a longer
330.24	3.60	window that gives you a little more time
332.16	3.52	and so having a higher ping isn't going
333.84	3.68	to hurt you you're not going to randomly
335.68	3.84	lag out and then miss a life bloom and
337.52	3.84	there are reasons to have more than 113
339.52	3.60	spell haste for example ping is a great
341.36	3.84	a great reason but you're not going to
343.12	3.60	want to stack say 200 spell haze it's
345.20	3.60	not really going to do anything for you
346.72	4.24	and keep in mind all of the spell haste
348.80	4.32	gear pretty much with one exception
350.96	3.68	being the gloves all of these pieces are
353.12	3.28	going to have worse healing stats and
354.64	3.76	worse stats so you're not going to want
356.40	3.68	to pump a haste the way you might think
358.40	3.36	it's really there to get you to that
360.08	3.20	threshold and then from that point
361.76	3.36	forward you stack as much healing as
363.28	4.16	humanly possible now that we've
365.12	4.08	explained spell haste it's going to make
367.44	4.56	a lot more sense to gear your character
369.20	5.12	because essentially until you have 113
372.00	4.00	spell haste worth of gear it doesn't
374.32	3.68	actually make any sense for a wrestler
376.00	3.76	druid to actually bother putting any
378.00	3.60	spell haste on their character so
379.76	3.28	basically what that means is you don't
381.60	3.36	have to rush out and get a bunch of
383.04	3.92	spell haste right now you can slowly
384.96	4.24	build up your set and then once you have
386.96	4.08	enough spell haste you swap over to this
389.20	4.48	new spell hey set and so there's
391.04	5.36	basically one little tiny mini step you
393.68	4.96	can make to have more spell haze faster
396.40	4.24	and that is to have crafted gear and
398.64	3.52	there are two crafted pieces you can get
400.64	3.04	well technically there's four there's
402.16	3.60	cloth and there's leather pieces you can
403.68	3.92	get but we're gonna be going cloth
405.76	3.84	across the board here the one thing to
407.60	4.48	note on these crafted haste pieces is
409.60	4.16	that when you do have your true biss set
412.08	3.28	you're only gonna use one of the crafted
413.76	3.20	bisque pieces because otherwise you
415.36	3.76	would lose a significant amount of
416.96	4.64	healing power so it's worth it to just
419.12	4.16	have one as an intermediary if you are
421.60	4.80	missing for example one piece like the
423.28	5.76	haste gloves or the haste belt you could
426.40	4.72	temporarily swap in an extra craft a
429.04	4.16	piece and when we get to that point i
431.12	4.00	will talk about it don't worry you're
433.20	3.28	all covered in this guide the important
435.12	3.20	thing to note is that there are two
436.48	4.00	different builds i'm going to show you a
438.32	3.84	maximum healing power build which is
440.48	3.36	going to go as crazy high as you can
442.16	4.08	with the healing power
443.84	4.08	this build is going to essentially be
446.24	2.72	your your stop gap until you have more
447.92	3.52	haste
448.96	4.40	there's no real point running that haste
451.44	4.00	so we're gonna keep the haste off on the
453.36	4.00	side and when you have enough haste
455.44	3.76	we're gonna swap it in and you're gonna
457.36	3.92	have the best possible resto druid
459.20	4.16	healing set for phase three
461.28	4.48	all right so let's get to the first set
463.36	4.32	and like i just explained this is going
465.76	3.76	to be your maximum healing power set
467.68	4.88	this is the set you run until you have
469.52	4.96	113 spell haste on your rest of druid
472.56	3.84	until that point it doesn't make sense
474.48	3.36	to have spell haste remember you're not
476.40	3.92	going to get that extra life bloom roll
477.84	4.80	until you hit 113 or higher spell haste
480.32	4.40	and keep in mind we do want to go a
482.64	4.40	little bit higher than 113 like i said
484.72	4.24	because of things like ping you may end
487.04	3.92	up missing a life bloom roll if you have
488.96	3.92	for example really really bad internet
490.96	4.08	you're not going to want to just stay at
492.88	4.88	113. let's get a little bit higher we're
495.04	3.92	going to end up around 130. another
497.76	2.80	thing that's very important to note is
498.96	3.76	that the spell haste gems are not in the
500.56	5.36	game yet this means there is not a lot
502.72	4.64	of gearing options really realistically
505.92	3.76	everyone's going to pretty much run the
507.36	3.68	same things with small variations there
509.68	3.36	aren't a lot of options right now
511.04	3.44	because of the lack of spell haste gems
513.04	3.44	if we did have spell haze gems we could
