0.24	4.64	My previous video on the warlock created
2.64	4.16	a bunch of productive and useful
4.88	4.32	questions in the comments, and I figured
6.80	5.20	I would actually teach you what my
9.20	6.96	version of the warlock for TVC is. A
12.00	7.04	full build into the Shadowbolt only
16.16	5.76	warlock. The main question is, is
19.04	5.68	shadowbolt only the most optimal way to
21.92	5.20	play a warlock? H aside from pre-rade
24.72	5.04	bestining slot, the answer is usually
27.12	5.60	not. But as I showed in my previous
29.76	6.00	video, the gap between actually doing a
32.72	6.88	a fancy rotation or only shadowbolt is
35.76	6.64	between 15 and and 25 damage. So it is
39.60	5.04	not a DPS difference at all. And how
42.40	3.84	could you mess up shadow bolt? In my
44.64	4.08	opinion, unless you are going for an
46.24	4.80	unironical 99 parts because you're that
48.72	4.08	kind of person, you are doing yourself a
51.04	3.44	disservice doing anything else than
52.80	4.08	shadow bolt and shadow bolt and shadow
54.48	4.96	bolt. So this build is going to reflect
56.88	6.08	that. But yes, this is technically not
59.44	5.92	the highest DPS uh build in the game by
62.96	4.64	a difference of 15 DPS. So anyway, we're
65.36	4.24	going to take improved shadowbolt. Duh.
67.60	3.60	Then we are going to take Bane because
69.60	3.20	we're going to do more shadow bolts.
71.20	3.52	Then we are going to take Devastation
72.80	4.24	for free crit. We are going to take
74.72	4.88	destructive reach for more range. Right
77.04	5.12	here we have a little bit of choice. I
79.60	5.12	like taking shadoworn. It is like a
82.16	5.44	quick execute. It is really not worth
84.72	4.24	doing on cooldown unless the the boss is
87.60	3.60	is gonna die you know in that very
88.96	3.76	global or if you have to move. So for
91.20	3.76	the people that were asking like what do
92.72	4.32	you do if you have to move you do not
94.96	4.00	dot okay because corruption is not
97.04	3.92	instant. You need a talent for that and
98.96	4.64	we are not going to take it but you can
100.96	5.04	shadoworn and move for a global. So
103.60	4.48	that's why we take shadoworn to move two
106.00	4.80	more talents to spend. You can take
108.08	4.00	either h intensity to resist
110.80	3.52	interruption when you take damage.
112.08	3.92	That's pretty pretty useful. Then we are
114.32	3.68	going to take ruin. So our crease do
116.00	5.60	double damage instead of 50% more
118.00	7.04	damage. Absolutely crucial. And remember
121.60	6.80	we are shadow bolt only. We do not use
125.04	5.20	our brain to think things anymore. So we
128.40	4.24	are not going to take improved emulate
130.24	4.40	and we are not going to take conflrate.
132.64	4.48	You can you you can give up on that idea
134.64	5.76	in your head. No no no. And we are going
137.12	6.08	to take cataclysm not the expansion. We
140.40	5.52	are going to take all five points. There
143.20	5.12	is nothing really good anymore to take.
145.92	4.32	You can go for days aftermath, you know,
148.32	3.84	days in them. I'm going to go for nether
150.24	3.68	protection. Sometimes you're going to
152.16	3.68	take fire damage if you stay if you
153.92	4.40	stand on fire, you know, these procs and
155.84	4.08	you become immune to fire. Uh, you know,
158.32	3.92	if you're really stupid in Shade of
159.92	4.72	Aran, this might save you 30% of the
162.24	4.48	time every time. But but you can take
