0.56	5.20	so today we're going to do a full loop
2.64	5.92	prio breakdown comparing items for all
5.76	4.48	classes and talking about reasons why
8.56	3.44	people should get things for each
10.24	4.00	individual class
12.00	4.72	now this isn't
14.24	4.64	definitive for everyone because all of
16.72	4.00	your guilds are slightly different and
18.88	4.72	i'm gonna try to pose
20.72	4.48	the options of if you're in a speed run
23.60	3.68	guild if you're in a par skilled if
25.20	4.80	you're in a casual guild pretty much the
27.28	3.68	reasonings behind every major ticket
30.00	2.96	item
30.96	5.52	the interesting and good thing in tier
32.96	6.00	six is now there's actually alternative
36.48	4.72	options for everyone almost every class
38.96	4.32	has alternative options and you guessed
41.20	4.24	it boys obviously this is going to be
43.28	3.68	uploaded to youtube so if you're here in
45.44	4.24	the chat right now thank you for being
46.96	4.24	here a lot of the sim crafters are here
49.68	2.88	and i really appreciate you guys being
51.20	3.28	here i'm gonna
52.56	4.16	even pose you guys questions while we go
54.48	4.56	through this obviously
56.72	5.12	but if you like this video make sure to
59.04	4.16	like and subscribe because i'm a cheesy
61.84	5.20	youtuber now
63.20	6.24	okay let's dive in let's do this
67.04	2.40	okay
70.00	5.28	i'm so bad with like intros guys um i'm
73.44	3.52	so bad with intros i don't know if
75.28	3.76	veramos has made it back yet but it's
76.96	4.56	fine first thing we want to talk about
79.04	3.44	before we go through every single
81.52	3.12	boss
82.48	4.72	and everything right first thing we want
84.64	4.56	to talk about is our tear gear
87.20	4.16	now we do have
89.20	4.00	some sheets breaking down how everything
91.36	3.92	is comparing to each other
93.20	4.80	this is the one i just set up earlier
95.28	5.12	today and we have a really good one from
98.00	5.12	from beyonce that we will go through
100.40	5.12	also this is just gonna show everything
103.12	4.56	comparatively through all the sets i've
105.52	4.48	not dove through all the healer sets so
107.68	3.28	if you have insight there let me know i
110.00	3.36	think
110.96	3.76	healer theory crafting is a world that
113.36	3.36	i'm not necessarily
114.72	3.20	well versed in and therefore if i'm
116.72	5.76	giving
117.92	4.56	my own opinion it i don't know if it's
122.72	3.76	if it's valid if i'm the person you
124.56	5.12	should listen to for that perspective
126.48	4.88	per se right um
129.68	3.12	and the other thing i do want to say
131.36	2.80	right before as we're getting into it
132.80	4.40	thank you guys for the follows and the
134.16	5.36	subs by the way i really do appreciate
137.20	3.76	it i do have sounds turned off so that
139.52	3.84	it doesn't like
140.96	4.72	conflict at all but i will read out all
143.36	4.16	of the subs after after we finish this
145.68	4.16	and i really appreciate you guys and if
147.52	4.08	you sub your face will come up on the
149.84	3.60	screen during the youtube video cool
151.60	4.00	yeah
153.44	3.84	cheese is done cheese is done let's look
155.60	4.08	at the set bonuses
157.28	3.52	let's look at the set bonuses one by one
159.68	2.88	we're gonna look at all of the set
160.80	2.88	bonuses
162.56	3.68	warlocks
163.68	4.48	with their juicy juicy
166.24	4.24	new set
168.16	4.64	two set bonus is the most useless set
170.48	4.72	bonus we've ever seen we did just go
172.80	5.28	through a warlock guide right shout out
175.20	4.48	to our boy cricks the two set bonus each
178.08	4.88	time you get a tick of corruption and
179.68	6.24	emulate you heal yourself for 70 health
182.96	4.96	that is the most do do butter
185.92	4.64	set bonus
187.92	5.28	ever thanks tier vi
190.56	5.12	luckily the tier four or the four set
193.20	4.48	is kind of insane
195.68	3.28	six percent damage to your damage
197.68	3.20	dealing abilities which is just
198.96	4.56	shadowable and incinerate six percent
200.88	4.72	damage now that obviously scales really
203.52	3.68	well it's only single target dps but it
205.60	3.44	scales really well because you also have
207.20	4.56	like meta gems as well as talons that
209.04	3.68	make your crits hit even harder so this
211.76	3.92	is
212.72	5.36	more powerful than it seems and you get
215.68	4.48	some awesome [ __ ] wings
218.08	3.92	priests
220.16	3.92	increases the duration of shadow and
222.00	4.40	pain by three seconds
224.08	4.16	and increase the damage of mind blast by
226.40	4.16	10
228.24	4.64	both of these seem really powerful not
230.56	4.24	having to renew dots for three seconds
232.88	4.24	is like
234.80	3.44	always extremely juicy
237.12	2.88	right
