0.40	3.84	what's up guys welcome back to the
1.92	5.36	channel my name is sarth and today we're
4.24	5.92	finally gonna dive into some phase three
7.28	4.40	or tier six bis lists we're finally
10.16	4.08	gonna break down exactly what you wanna
11.68	4.56	be going for and what you wanna actually
14.24	3.84	prioritize because you can find a
16.24	3.60	business almost anywhere but to
18.08	4.32	understand your loot prio and what you
19.84	4.80	want to actually go for first is kind of
22.40	4.64	more of a thought process now i'm really
24.64	4.64	excited to share this with you guys and
27.04	4.80	if you like any sort of hunter content
29.28	5.76	any sort of tbc hunter content that is
31.84	4.80	or any sort of speedrun content and also
35.04	3.68	of course i've been making some classic
36.64	4.40	season mastery guides as well make sure
38.72	4.96	to like and subscribe or swing by my
41.04	4.32	twitch channel twitch.tv sarth just to
43.68	3.36	come say hi and ask me some questions
45.36	3.44	now really fast before i dive in i do
47.04	3.36	want to plug two content creators that i
48.80	3.44	think are really helpful if you also
50.40	3.60	want to learn anything or have other
52.24	3.12	questions and i'm not really available
54.00	3.44	or if you want to see some other
55.36	4.56	perspectives that are amazing for hunter
57.44	4.00	guides and those would be both vermos
59.92	3.60	who you probably know from the hunter
61.44	3.68	discord but he also streams as well as
63.52	3.20	has his own youtube channel and we're
65.12	3.84	actually going to use some of his best
66.72	4.08	list today he actually made like 50
68.96	3.44	different business so if you want to
70.80	3.68	like see every different situation on
72.40	4.24	this list check that out as well as
74.48	4.72	enthos who's pumping out some amazing
76.64	5.28	guides on youtube as well as on twitch
79.20	5.20	and he is a rank one hunter master
81.92	4.16	pumper as well anyways guys let's dive
84.40	2.96	right in one more time if you like the
86.08	3.60	video or if you want me to cover
87.36	3.84	anything for the hunter class you have
89.68	5.20	any questions just let me know in the
91.20	5.52	comments i'll try to get right to that
94.88	4.16	finally we're about to get some static
96.72	4.24	haste and armor penetration this is
99.04	4.24	going to be a ton of fun next phase
100.96	3.84	hunters are going to be pumping
103.28	3.92	basically every class gets a lot
104.80	4.32	stronger but it's going to feel amazing
107.20	4.00	but the first thing i want to touch on
109.12	4.96	is the thing that's probably on most of
111.20	4.88	your minds what is my weapon upgrade my
114.08	5.04	main weapon upgrade now there's
116.08	5.44	technically one bis one and one non-bis
119.12	4.24	one according to the sims and according
121.52	3.68	to a couple different situations and i'm
123.36	2.96	going to talk about both of those now
125.20	4.00	the bis
126.32	5.04	bow is actually not the one off illidan
129.20	4.48	it's actually straight off of archimonde
131.36	4.40	bristle blitz striker let me just show
133.68	5.28	it for you right here bristle blitz
135.76	5.84	striker now this is 28 stamina and 25
138.96	4.88	crit they're both 3.0 weapon speed and
141.60	5.60	they have the exact same dps as well as
143.84	5.52	top end and low end damage now the 25
147.20	4.32	crit actually adds up to be more of a
149.36	4.72	dps increase than what you're getting
151.52	4.56	from the bow off of illidan now if we go
154.08	4.16	over to illidan right here you can see
156.08	5.04	the black bow of the betrayer both of
158.24	4.80	these weapons look absolutely epic now
161.12	4.48	instead of having that crit as well as
163.04	6.32	stamina you get eight mana back on every
165.60	6.48	successful attack as well as 26 attack
169.36	5.28	power now situationally this could be
172.08	4.88	huge we obviously know that the issues
174.64	4.00	with mana really really stack up in some
176.96	3.76	of these longer fights especially if you
178.64	3.92	have issues with judgment of wisdom so
180.72	3.76	if your guilt not necessarily good with
182.56	4.24	getting judgment of wisdom i would
184.48	4.00	particularly choose to go with black bow
186.80	3.84	of the betrayer or if you're doing some
188.48	4.16	sort of like speed run situation but the
190.64	4.88	abyss is actually going to be from
192.64	4.24	archimonde so we're not absolutely
195.52	3.84	getting biss here from black beau the
196.88	6.08	betrayer it is actually a decent upgrade
199.36	5.52	almost 10 dps to go with the archimonde
202.96	3.76	upgrade instead all right now that i've
204.88	4.48	talked about the weapons let's look at
206.72	4.96	the exact bus list guides now there's
209.36	4.88	two important things that really happen
211.68	5.44	here that we're gonna focus on for the
214.24	5.28	next phase now bosses actually now have
217.12	6.88	two different sets of armor bosses will
219.52	6.40	either have 62 000 armor or 77 000 armor
224.00	4.64	and these two different armor sets will
225.92	4.64	actually lead to slightly different bis
228.64	4.24	sets but to utilize these sets you do
230.56	4.80	actually have to get 1850 in arenas and
232.88	3.92	get some pvp weapons so today we're not
235.36	3.60	really going to touch on that it's just
236.80	4.00	something to know the dps difference
238.96	4.24	between the two sets is
240.80	4.48	tiny so i wouldn't really worry too much
243.20	3.36	about it and then the last thing the
245.28	3.76	question that everyone's kind of
246.56	4.88	probably wondering is when can i switch
249.04	4.64	off of my tier 5 set when can i break my
251.44	5.60	tier 5 four piece and all you actually
253.68	5.44	need is two pieces of tier six to break
257.04	3.92	this set one of the pieces is going to
259.12	3.84	be static and the other one depends on
260.96	4.08	either of these two so first off is
262.96	4.32	going to be the shoulders the grand
265.04	3.84	stalker's shoulders these shoulders are
267.28	4.16	going to be one of the biggest upgrades
268.88	5.04	if not the biggest singular upgrade for
271.44	4.56	you this phase so make sure you
273.92	3.92	absolutely pry out these shoulders and
276.00	4.24	then it's going to be between the gloves
277.84	4.24	and the legs i would suggest the gloves
280.24	4.72	it is a slightly bigger upgrade than the
282.08	5.60	legs so these three pieces right here
284.96	4.64	the shoulders gloves and legs should
287.68	4.08	absolutely be very high on your prior
289.60	3.92	list because these are huge upgrades
291.76	3.36	even though you're fighting against the
293.52	3.04	other classes that may be wanting them
295.12	4.16	now you're not really gaining much of a
296.56	4.48	dps increase from the set bonus because
299.28	4.08	your two-piece set bonus actually gives
301.04	4.32	you more mana on aspect of the viper
303.36	4.88	it's the four-piece set bonus that gives
305.36	5.36	you a nice little actual damage dealt on
308.24	4.64	steady shot you get 10 more damage on
310.72	4.00	your steady shot this is really nice now
312.88	3.68	these are the most important pieces but
314.72	4.00	you do want to get your four piece very
316.56	5.04	quickly so the chess piece also a very
318.72	4.80	strong and very solid pickup right away
321.60	3.36	now the other piece that you're using
323.52	2.80	you were currently using the riff
324.96	4.00	stalker head that is actually going to
326.32	4.80	be replaced by cursed vision of sargeras
328.96	5.20	this is going to be a very highly sought
331.12	5.12	after item everyone wants this so you
334.16	3.92	might actually have to pry row this very
336.24	4.16	high outside of your tier sets this is
338.08	4.80	the next biggest upgrade actually almost
340.40	4.32	twice as big of an upgrade as upgrading
342.88	4.08	your weapon to one of these new weapons
344.72	5.60	so don't worry so much about the weapons
346.96	5.68	it is huge but getting this is actually
350.32	4.64	bigger or your tier set is actually much
352.64	4.16	bigger significantly bigger so make sure
354.96	4.64	you get cursed visions after you get
356.80	4.48	your four piece and then let's move down
359.60	3.92	in the list you're now going to have a
361.28	4.48	new necklace the choker of serrated
363.52	4.64	blades then we are actually still using
365.76	3.76	the thalassin wielder cloak so you don't
368.16	3.44	actually have to change your cloak
369.52	4.48	you've got this cloak off kt sitting
371.60	3.44	there looking juicy where our bracers
374.00	3.60	we're going to be using are the
375.04	5.12	insidious bracers and these are pretty
377.60	4.56	nice a decent upgrade but not something
380.16	4.48	i would aggressively prioritize
382.16	5.68	especially over your tier or your helm
384.64	5.28	or your weapon or your rings and belt
387.84	3.92	which i'll get to in a second now your
389.92	3.84	main hand and off hand weapons both are
391.76	4.96	going to be changing now to boundless
393.76	5.20	agony and blade of infamy and we're also
396.72	4.00	getting 20 agility enchant so that's
398.96	4.40	gonna be a nice little upgrade moving
400.72	4.64	away from your claws to daggers now
403.36	4.96	because we are moving from claws or fist
405.36	5.04	weapons to daggers you are losing out on
408.32	4.24	that bonus of using actually weight
410.40	3.84	stones but the increase in dps is
412.56	4.08	actually enough to make you actually
414.24	4.56	want to switch these weapons they aren't
