0.00	4.24	right guys sorry this one took so long
1.76	4.48	to well to edit i mean the unedited
4.24	3.60	version's been on the channel for
6.24	2.88	probably about two weeks before i've
7.84	2.80	actually got around to doing the edited
9.12	3.52	version for everyone so if you want to
10.64	3.44	see these class guides in depth i think
12.64	3.28	this one's about two and a half hours
14.08	3.76	long roughly obviously i've edited it
15.92	3.60	down massively just to make it more
17.84	3.52	digestible but if you want to actually
19.52	4.08	see the entire thing then join the
21.36	3.84	channel as a member all of these class
23.60	5.52	guides completely unedited so so far
25.20	6.88	there's feral dps feral tank warlock
29.12	4.64	uh prop warrior i feel like i'm missing
32.08	3.44	one but you know there's there's loads
33.76	3.84	of unedited footage that only members
35.52	3.68	get to see basically so let's say make
37.60	3.12	sure you join our channel um other than
39.20	3.20	that make sure you like subscribe and
40.72	3.44	let's get into the tank guide featuring
42.40	3.28	tauren so the first section we're going
44.16	3.36	to look at talents i'll keep nipping
45.68	4.08	backwards and forwards you know just to
47.52	4.24	give you my thoughts on any of this but
49.76	4.88	uh largely i'm just going to let it run
51.76	4.48	and i hope you enjoy okay so for those
54.64	2.96	obviously
56.24	2.96	well watching and watching back on
57.60	2.96	youtube when it's edited obviously we're
59.20	2.72	going to fly through these talents
60.56	3.76	because if you want a more sort of
61.92	3.92	in-depth look at the talents and why
64.32	4.32	you're taking them then watch the feral
65.84	4.72	dps video because not really a lot
68.64	3.92	changes you know as in my druid i'll
70.56	5.44	show you my druid spec in a minute i'm
72.56	5.04	using a spec basically which i can pve
76.00	4.32	pvp
77.60	4.80	as dps or tank in pve by the way i've
80.32	3.68	built a spec quite
82.40	4.72	quite similar to what we spoke about on
84.00	4.96	the feral dps one um it's not gonna work
87.12	3.84	in tier six but in tier four it's
88.96	3.76	perfectly viable and trust me yeah you
90.96	4.00	can do all three with it so we will have
92.72	4.40	a little look at that later um but let's
94.96	3.84	go down toronto let's so for a tank
97.12	4.08	purely tank you're not interested in
98.80	4.00	really anything else what are we going
101.20	3.36	with
102.80	3.44	well definitely five points into
104.56	2.88	ferocity
106.24	3.60	and
107.44	4.24	that leads us to another tier where we
109.84	3.92	can take five
111.68	4.96	i think three points uh just at the
113.76	6.40	moment i have the classic talents up
116.64	6.24	okay i've got tbc ones uh so ferocity uh
120.16	5.44	five points then three points in federal
122.88	4.56	instincts to get more threats on you
125.60	4.48	which is understandable and
127.44	5.20	self-explanable then take height uh one
130.08	4.08	to three points i you probably just take
132.64	3.92	three points in it
134.16	4.96	federal charge one point uh federal
136.56	4.32	swiftness you get four percent dodge for
139.12	4.24	repair not the movement speed for the
140.88	3.52	bear but still the four percent dodge
143.36	2.40	really nice
144.40	3.60	then you also want to get sharp and
145.76	4.24	close just more critical strike means
148.00	3.60	more threats and
150.00	3.92	you just want to take it
151.60	3.68	then primal fury which is increasingly
153.92	3.36	probably worth mentioning more rage as
155.28	4.32	well when it when you crit as well
157.28	5.28	yes yes exactly and that's from primal
159.60	5.60	fury that's when you crit you get five
162.56	5.44	rage and that also means that fell druid
165.20	4.48	never ever has issues with rage as
168.00	3.60	warrior thing might have
169.68	3.92	he just have rage constantly that's why
171.60	4.40	he's also one of the best of tanks since
173.60	5.04	he doesn't need to be hit and he still
176.00	5.76	can have a [ __ ] ton of rage
178.64	5.44	uh then predatory strikes again you take
181.76	3.92	them because it's just flat out
184.08	4.32	attack power
185.68	4.56	uh yeah moving on we got very fire you
188.40	3.52	want to take it even if you have a
190.24	3.60	boomkin in the raid and he's gonna use
191.92	4.00	his very fire but you still want to have
193.84	3.44	something range in your form so you
195.92	4.32	don't have to like pop up into human
197.28	5.12	form and do breath moonfire or starfire
200.24	3.92	it's something ranged it helps if the
202.40	4.32	the bomb king dies you want to have very
204.16	3.35	fire so definitely take that
206.72	2.16	then
207.51	3.37	[Music]
208.88	4.88	heart of the wild no-brainer get [ __ ]
210.88	6.56	done of that for your old forms so
213.76	5.92	no-brainer so remove the fittest uh also
217.44	3.68	all attributes and then it also reduces
219.68	4.56	the chance you'll be critically hit by
221.12	4.72	mello attacks by three percent in in the
224.24	4.88	in the end so that's really great
225.84	6.00	because you need five point six percent
229.12	3.52	crit immunity uh crate reduction to not
231.84	4.24	be
232.64	5.20	crit hit in a group from a boss
236.08	3.44	so this one gives you three percent so
237.84	3.52	more than half of it which you need
239.52	4.40	really great
241.36	4.32	uh then a leader of the pack increases
243.92	4.24	five percent credit for you and whole
245.68	5.12	your party really good take it
248.16	4.16	uh improve leader of the pack is a
250.80	3.04	healing mechanism so you can get
252.32	2.56	actually quite a lot of healing out of
253.84	3.28	it
254.88	4.72	it is definitely worth it as scott
257.12	4.32	mentioned right now in karazhan his
259.60	4.96	fellow druid has
261.44	5.60	19k hp and you can heal
264.56	3.84	for four percent of that every six
267.04	3.36	seconds
268.40	3.84	and more or less it is every six seconds
270.40	4.08	because six seconds is the internal
272.24	4.16	cooldown of it and you need to create
274.48	4.16	but as because you have like fifty
276.40	4.24	percent crit more or less you're gonna
278.64	4.16	be creating every time on the cooldown
280.64	4.48	of it so you're gonna get a lot of
282.80	5.04	healing out of it really good
285.12	4.80	then uh primal tenacity is resisting
287.84	3.84	your stun and fear it might help you i
289.92	3.44	would definitely put at least one point
291.68	3.36	there so we have at least that five
293.36	4.40	percent chance instead of zero percent
295.04	5.52	chance to resist uh fears and stuns like
297.76	5.04	for example night pain the fears
300.56	4.08	or on archimonde
302.80	3.84	of course there are more reliable ways a
304.64	3.84	sphere word or dispel but it's still
306.64	4.80	something that can help you can preserve
308.48	5.52	the fear the fearboard
311.44	4.08	then the predatory instincts uh it also
314.00	3.28	helps you a lot because it helps with
315.52	5.36	the threat
317.28	4.32	and also change the word area attacks
320.88	2.56	so
321.60	4.00	if if there is something it's also no
323.44	4.72	brain not really to think about it the
325.60	4.16	mangle really great thing maybe just
328.16	4.32	something to think about that the cat
329.76	5.36	form angle has no cooldown but the bear
332.48	4.08	mango has six second cooldown so there
335.12	3.84	might be a
336.56	4.32	possibility that the debuff won't be up
338.96	3.52	all the time because you might like miss
340.88	2.40	or dodge
342.48	2.56	so
343.28	3.76	just keep that in mind and then we move
345.04	3.92	on to restoration one
347.04	3.76	restoration three you would want to get
348.96	3.92	fewer even if you are not power shifting
350.80	4.16	you if you shift into bad form you still
352.88	4.40	want to get that 10 rage out of the
354.96	4.48	beginning to definitely take that
357.28	4.96	then naturalist because it's increasing
359.44	5.36	the damage of all your forms by 10
362.24	5.60	so that also increases your threat
364.80	5.76	nature shapeshifter is more of a
367.84	5.84	possibility not really a
370.56	4.56	necessity so i would maybe not
373.68	3.52	break
375.12	4.24	it's not required so let me put it like
377.20	3.84	that and then on enough clarity there's
379.36	3.20	also another thing which helps you
381.04	3.92	greatly when you're off thinking you
382.56	4.72	mean you are not being hit and you might
384.96	4.40	kind of be rage starved omen of clarity
387.28	4.80	is something that's gonna even further
389.36	5.20	help you with the rage and
392.08	4.40	being uh
394.56	4.80	football on your
396.48	5.28	full on your uh resources so that is
399.36	4.96	something which you have to get and rest
401.76	4.64	is pretty much just the
404.32	3.84	something what you might
406.40	2.72	um
408.16	2.88	get
409.12	3.36	based on your preferences
411.04	4.32	so i think what i would probably do as
412.48	4.64	well based on preferences if you agree
415.36	3.76	is like the primal tenacity so we put
417.12	3.68	one point in it yeah like you said it's
419.12	3.92	nice but you know you've got fear wards
420.80	3.84	you know you've got tremendous
423.04	4.72	so if we were to take one out of there
424.64	5.12	for now because it's probably not uh
427.76	3.76	like putting one in it is probably not
429.76	4.08	required you know it's not a necessity
431.52	4.96	but you know a nice to have
433.84	4.96	whereas the rest there's nothing else in
436.48	4.00	here that you would physically want to
438.80	2.56	remove
440.48	3.36	um
441.36	4.32	before we just carry on so uh griff you
443.84	4.72	found the savage fury chain change
445.68	4.80	please share what's this 2.0.1 savagery
448.56	3.84	no girl effects mangle bear no longer
450.48	4.40	applies to mall or swipe
452.40	4.64	so basically it was actually changed
454.88	4.32	if we get a pre-patch and we went in at
457.04	4.32	2.0 we might get it
459.20	4.64	is what we're saying in 2.4 but it
461.36	3.76	doesn't affect there
463.84	2.80	we'll get to that we'll get to that in a
465.12	4.16	minute ceo but thank you for finding
466.64	4.80	that griff really appreciate it
469.28	4.24	okay so what i would actually say then
471.44	5.44	there as well
473.52	5.28	is is savage fury for pure bear required
476.88	4.08	you know is there anywhere else we could
478.80	4.32	potentially put those two points there's
