3.80	4.44	Hey dudes, Solofasold here back again
5.88	3.72	with another TBC video.
8.24	3.12	Today, I'm continuing my quick
9.60	3.36	no-nonsense class guide series with a
11.36	3.52	beast of [music] a tank,
12.96	3.92	the highly agile and super beefy feral
14.88	4.24	druid.
16.88	4.04	Bears in vanilla were already solid with
19.12	3.48	great threat, high armor, [music] and
20.92	3.00	awesome utility.
22.60	3.40	Well, in The Burning Crusade, they
23.92	4.96	become even better, becoming the de
26.00	4.80	facto main tank of many a raid team.
28.88	3.60	Plus, they can swap into cat form and do
30.80	5.32	solid DPS when their tanking isn't
32.48	5.24	needed. A great bonus to rolling feral.
36.12	3.12	So, if you want to be the one that tanks
37.72	3.84	the big heavy hits while holding threat
39.24	4.12	for days, join me and let's discuss the
41.56	4.60	basics of how to play a feral druid in
43.36	2.80	The Burning Crusade.
49.96	3.88	As a feral tank, your job is simply to
52.00	3.28	generate massive threat and take the big
53.84	3.28	hits.
55.28	3.56	In addition, you provide party members
57.12	3.24	with leader of the pack,
58.84	3.44	a buff that gives your entire party an
60.36	3.76	extra 5% chance to crit with physical
62.28	3.44	attacks.
64.12	3.56	In raids, you're an amazing main tank
65.72	3.72	for bosses, but you can also serve as an
67.68	3.72	off tank that can easily shift to cat
69.44	3.40	form and do solid DPS without changing
71.40	4.44	talents or gear.
72.84	4.48	But, more of that in future videos.
75.84	4.84	In general, you're the best single
77.32	3.36	target tank in the expansion.
81.20	4.56	Now, let's talk about your talents.
83.60	4.96	For PvE tanking, the go-to build is
85.76	4.32	0/44/17.
88.56	4.12	This build lets you tank or DPS with
90.08	4.92	ease depending on what your group needs.
92.68	4.00	Here's the general path.
95.00	3.44	Start in the feral combat tree with five
96.68	3.44	points in ferocity to reduce the cost of
98.44	3.20	your core abilities,
100.12	3.56	then move down and put three points into
101.64	3.36	feral instinct for greater threat,
103.68	3.68	and three points into thick hide for
105.00	4.24	greater armor.
107.36	4.00	Fully max out the third and fourth tiers
109.24	4.32	with two points in feral swiftness, one
111.36	3.80	point in feral charge, three points in
113.56	3.64	sharpened claws,
115.16	4.24	two points in shredding attacks,
117.20	4.76	three points in predatory strikes,
119.40	4.72	and two points in primal fury.
121.96	4.32	Then, move down and put two points into
124.12	4.36	savage fury and one point into fairy
126.28	4.32	fire feral. An important ability that
128.48	3.36	allows you to pull from range and reduce
130.60	4.04	the armor of your target without
131.84	4.60	shifting out of form.
134.64	4.88	Continue down the tree by fully maxing
136.44	4.68	out everything except primal tenacity.
139.52	2.60	That means five points in heart of the
141.12	3.28	wild,
142.12	4.40	three points in survival of the fittest,
144.40	3.52	one point in leader of the pack,
146.52	2.56	two points in improved leader of the
147.92	3.60	pack,
149.08	5.52	five points in predatory instincts, and
151.52	4.76	one point in mangle.
154.60	3.28	Once your feral tree is finished, head
156.28	3.76	over to the restoration tree and put
157.88	4.28	five points into furor for instant rage
160.04	4.20	upon shifting into bear form.
162.16	3.24	Five points in naturalist for 10% bonus
164.24	3.20	damage,
165.40	5.16	and three points in natural shapeshifter
167.44	4.52	for cheaper shapeshifting.
170.56	4.00	Finish this tree off by putting three
171.96	4.84	points into intensity and one point into
174.56	3.88	omen of clarity. An amazing talent that
176.80	4.20	you'll want to have active on yourself
178.44	4.84	at all times.
181.00	7.12	There you have it. A standard feral
183.28	4.84	build for both tanking and DPS in TBC.
189.12	3.84	Next up, let's talk about your tanking
191.20	3.40	abilities.
192.96	5.16	When tanking as a bear, your single
194.60	5.28	target ability priority is very simple.
198.12	3.72	For the pull, always make sure that you
199.88	3.28	have omen of clarity active
201.84	3.24	as it'll aid you significantly in
203.16	4.40	generating threat.
205.08	4.48	Then, shift into dire bear form, use it
207.56	4.76	and rage to get some rage pulled,
209.56	6.16	pull using fairy fire feral,
