4.16	4.20	Hey dudes, So I told this here back
5.76	4.08	again with another TBC video.
8.36	3.28	Today, I'm continuing my quick
9.84	4.40	no-nonsense class guide series with
11.64	4.44	every raid team's de facto tank healer.
14.24	4.20	Blond-haired holy roller, that is the
16.08	3.72	holy paladin.
18.44	3.08	If you healed at all in classic, you
19.80	3.04	know just how strong and mana efficient
21.52	2.71	paladins were.
22.84	2.84	Spamming flash of light endlessly
24.23	3.17	[music] for the entire duration of every
25.68	4.00	single fight.
27.40	4.56	Well, in TBC, holy paladins continue
29.68	3.72	this trend in throughput.
31.96	3.24	So, after hitting those like and
33.40	3.36	subscribe buttons, let's dive right in
35.20	3.92	and go over how to play a holy paladin
36.76	5.12	decently [music] in the Burning Crusade.
39.12	2.76	Let's get into it.
44.52	4.00	Let's start by talking about your role.
46.88	3.36	Your job as a holy paladin is one of the
48.52	5.28	simplest in the game.
50.24	5.32	Keep the tank alive. No excuses.
53.80	3.28	Holy paladins excel at single target
55.56	3.16	tank healing.
57.08	4.20	You are not a raid healer. You're the
58.72	4.96	tank's best friend.
61.28	3.96	Next, let's talk about the spec.
63.68	5.72	For end-game dungeons and raids, holy
65.24	5.16	paladins will generally run 45 11 5.
69.40	2.68	Here's the general path that you'll
70.40	3.32	follow.
72.08	3.36	Start things off in the holy tree and
73.72	3.96	put five points into divine intellect
75.44	3.76	for a 10% boost to your intellect.
77.68	4.08	Followed by five points in spiritual
79.20	4.32	focus in the second tier.
81.76	3.44	Move down to the third tier of the tree
83.52	3.92	and put three points into healing light
85.20	4.36	to boost your main healing spells,
87.44	4.36	one point into aura mastery,
89.56	3.76	two points into improved lay on hands,
91.80	3.48	and just one point into unyielding
93.32	3.68	faith.
95.28	3.96	Continue down the tree and grab five out
97.00	4.52	of five illumination, your big mana
99.24	3.88	efficiency talent, and then put two out
101.52	4.24	of two in improved blessing of wisdom
103.12	4.60	for even more mana regen.
105.76	4.04	Then, move down to the fifth tier and
107.72	4.36	put a point in divine favor and three
109.80	5.36	points in sanctified light for a 6%
112.08	4.84	boost to your healing crit chance.
