0.08	3.36	hello my name is simoniz and welcome to
1.84	3.60	another simon as guide video
3.44	3.92	today i've got your rogue phase three
5.44	3.84	and four best and slot equipment guide
7.36	3.52	for the burning crusade
9.28	4.08	there's a video guide on the best
10.88	4.16	available equipment for rogues for pve
13.36	2.96	damage healing in phase three and four
15.04	3.84	of the burning crusade
16.32	4.48	phase four is merged in here because
18.88	3.76	there aren't a lot of relevant items
20.80	4.24	that get added so we're just making it
22.64	4.32	all in one video
25.04	5.12	i'll show the best equipment where to
26.96	5.12	get it and a few close alternatives
30.16	4.96	the item comparisons in this video are
32.08	5.20	based on my spreadsheet version 2.1.9
35.12	3.28	the rankings are not based on feelings
37.28	3.36	memories or
38.40	3.92	less accurate comparison systems like
40.64	3.60	equivalence points
42.32	3.36	there's a link to a video about how to
44.24	4.40	use the spreadsheet yourself
45.68	4.00	in the description of this video now
48.64	3.44	without further ado
49.68	3.04	let's get right to it into the helmet
52.08	2.16	slot
52.72	3.04	and we're going to want the cursed
54.24	3.44	vision of sargeras
55.76	4.24	from illidan stormrage in the black
57.68	4.80	temple this is a really good
60.00	4.00	helm item with a lot of stats that we
62.48	3.76	want on a rogue
64.00	6.56	is a good bit better than the slayers
66.24	4.32	helm from archimonde in hyjal summit
71.12	3.44	uh for the shoulders we're gonna want
72.80	4.00	slayer's shoulder pads which drop from
74.56	3.84	mother shahraz in the black temple
76.80	3.28	there's actually a lot of new shoulder
78.40	4.40	slot items added
80.08	3.92	in phase three and and none of them are
82.80	3.44	particularly
84.00	3.68	good other than slayer's shoulder pads
86.24	3.20	that's what you really want
87.68	3.36	and slayer's shoulder pads are what
89.44	2.00	you're going to use for the rest of the
91.04	2.48	game
91.44	3.92	they don't get replaced in phase 4 they
93.52	4.32	don't get replaced in phase 5.
95.36	6.00	these are your your final end game best
97.84	4.96	and slot shoulders
101.36	3.44	for the chest you're going to want
102.80	4.00	slayer's chest guard from illidan
104.80	4.00	stormrage in black temple
106.80	3.52	the midnight chest guard and nether
108.80	4.56	shadow tunic and
110.32	3.68	other things are noticeably worse as a
113.36	3.12	individual
114.00	5.04	item and they don't help you access the
116.48	2.96	powerful set bonuses of the slayer set
119.04	4.08	which
119.44	5.76	you really want for the hands
123.12	3.20	we have another easy choice in that the
125.20	3.60	slayer set item
126.32	4.88	is both the individually strongest item
128.80	5.92	and it helps us access the powerful set
131.20	6.32	bonuses so that's what we want
134.72	4.56	the legs is the same story slayer's leg
137.52	4.40	guards from the illidari council
139.28	3.04	in the black temple very strong item and
141.92	2.56	they'll
142.32	4.88	unlock our four piece bonus on the
144.48	5.84	slayer's set
147.20	5.28	now the step bonuses on this set the two
150.32	3.92	set is really the most important one
152.48	3.52	increases the haste from your slice and
154.24	3.76	dice ability by five percent
156.00	4.24	this is a pretty big boost to the damage
158.00	4.48	output of your character
160.24	3.36	the four set bonus increases the damage
162.48	2.96	dealt by your backstab
163.60	3.44	sinister strike mutilate and hemorrhage
165.44	3.60	abilities by six percent
167.04	3.68	so no matter what talent specialization
169.04	2.32	you are what combo point builder you're
170.72	3.04	using
171.36	4.24	this is going to be a strong boost to
173.76	4.64	your damage
175.60	3.76	now if you can't get the cursed vision
178.40	3.28	of sargeras
179.36	3.28	your next best setup is going to be just
181.68	3.76	five pieces of
182.64	4.64	slayer's armor and you can see if you
185.44	2.80	try to swap out for any of these other
187.28	2.80	items that are just
188.24	3.28	individually weaker than the slayer's
190.08	4.48	armor it's
191.52	5.52	even worse for you so really
194.56	3.52	it's a five piece layers or four piece
197.04	2.56	plus cursed vision
198.08	3.60	are the setups you're going to want and
199.60	6.08	you really pretty strongly prefer
201.68	4.00	the uh cursed vision setup
205.84	3.60	now for the offset items we're going to
207.60	2.40	start with the necklace and we finally
209.44	3.04	get an
210.00	4.40	upgrade over our choker vial intent in
212.48	3.52	the form of a choker of endless
214.40	3.68	nightmares from supremus
216.00	3.36	in the black temple the choker of
218.08	3.52	serrated blades is a
219.36	3.28	trash drop in hyjal summit it's also an
221.60	4.08	upgrade over that
222.64	5.12	but uh not really that substantial
225.68	3.76	i think it's still worth it to use the
227.76	3.44	braided eternium chain
