0.00	3.60	What's up everybody? Slash here, and in
2.08	3.60	today's video, I want to talk about one
3.60	4.24	of the newest crafting reagents we're
5.68	4.68	going to be finding in phase three of
7.84	4.72	TBC Classic Anniversary, and that is
10.36	3.28	Hearts of Darkness. Now, in this video,
12.56	3.52	what I want to do is I want to go over
13.64	5.12	what they are, what they can craft, and
16.08	4.68	what classes and specs will be really
18.76	4.32	looking for them for either their best
20.76	3.68	piece of gear or another really good
23.08	3.48	alternative before they get something to
24.44	3.80	drop out of Black Temple or Mount Hyjal.
26.56	3.52	So, so without further ado, let's check
28.24	3.52	it out. So, to get started, what exactly
30.08	3.60	are Hearts of Darkness? Well, as I
31.76	3.56	mentioned, they are used to craft a
33.68	3.40	bunch of different pieces of gear across
35.32	3.52	tailoring, leatherworking, and
37.08	5.24	blacksmithing. And in fact, they are a
38.84	5.36	reagent in nine tailoring patterns, 16
42.32	4.00	leatherworking patterns, and eight
44.20	4.04	blacksmithing patterns. In all, they are
46.32	3.44	reagent for 33 different items,
48.24	5.20	including different pieces of shadow
49.76	5.52	resist gear, bracers, and shoulders.
53.44	3.64	Similar to the Nether Vortexes where,
55.28	3.76	you know, some of the patterns are BOE
57.08	3.68	and some are BOEP,
59.04	3.00	this is sort of the same thing here with
60.76	2.68	the gear that's crafted with Hearts of
62.04	3.24	Darkness. So, you have the shoulders,
63.44	2.64	which are going to be always be BOP, so
65.28	2.00	you're going to need to be that
66.08	2.40	profession if you want to use those
67.28	2.92	shoulders. And then you have the
68.48	3.24	bracers, which are BOE, so you don't
70.20	2.48	need to necessarily be that profession.
71.72	2.52	You can have somebody else in your guild
72.68	3.60	craft them or simply just buy them off
74.24	3.08	the auction house. Where do they drop?
76.28	3.48	Well, they drop off of a bunch of
77.32	3.84	different trash in both Hyjal and Black
79.76	3.20	Temple. And according to Wowhead, the
81.16	4.12	frost worms have the highest drop rate
82.96	3.68	at 31%.
85.28	3.44	So, before we dig into the classes and
86.64	3.20	specs that actually care about these,
88.72	2.64	what about the ones that don't really
89.84	3.16	need to necessarily worry too much about
91.36	2.68	it? Of course, there's always a caveat,
93.00	3.12	right? Maybe you're coming back to the
94.04	3.52	game late, you're digging back in, and
96.12	3.04	you want to, you know, get some pieces
97.56	3.48	of gear to get caught up. Of course,
99.16	3.60	that's a different story, but in terms
101.04	3.00	of the classes that, you know, these
102.76	2.92	pieces of gear are going to be a little
104.04	3.36	blow further down on the business you
105.68	3.36	see at Wowhead or if you're checking out
107.40	4.16	class discords and they're talking about
109.04	5.32	them. That is the feral cats, the DPS
111.56	4.68	druids, any hunters, prot paladins, and
114.36	3.20	prot warriors. If you're any of those,
116.24	3.04	you really don't need to worry too much
117.56	3.12	about these in the gear that they offer
119.28	3.92	in general. Now, let's dig into the
120.68	4.32	classes and specs that do want to maybe
123.20	4.16	keep these in mind as they go through
125.00	4.36	the trash and will BT and Agile. First
127.36	3.40	up, we have the resto druid. Shoulder
129.36	2.88	pads of renewed life are going to be one
130.76	3.44	that you're going to want to go after.
132.24	4.16	They are your second best until you get
134.20	4.20	your tier six shoulders. And then
136.40	3.96	there's also the Swift teal wraps, which
138.40	4.40	are going to be your best in slot
140.36	3.96	bracers for this phase. There is, of
142.80	3.60	course, the bracers of renewed life,
144.32	3.56	which are pretty close, but really the
146.40	3.36	Swift teal wraps have two more
147.88	3.24	intellect, so they are only slightly
149.76	2.88	better. As for the balance druid, you're
151.12	3.12	going to want to go for those bracers of
152.64	3.60	nimble thought. These are going to be
154.24	3.84	your best bracers for the entire phase,
156.24	3.36	offering that spell haste. Of course,
158.08	3.12	there are some alternatives in Black
159.60	3.04	Temple if you need the hit rating, but
161.20	2.80	if you don't need the hit rating, then
162.64	3.76	definitely go for the bracers of nimble
164.00	4.44	thought. Next up, we have the feral bear
166.40	2.88	druid, and I was really not even I
168.44	2.32	really didn't even want to really
169.28	3.72	include them here in this section, but I
170.76	3.64	figured I would just in case. And that's
173.00	2.72	the Swift strike bracers. The only
174.40	2.56	problem with getting the Swift strike
175.72	4.04	bracers is that you could just go get
176.96	3.92	the season three honor bracers, you
179.76	3.08	know, those two different ones that you
180.88	3.48	could go and get, which according to
182.84	5.08	Wowhead, it's going to be for just over
184.36	5.16	11,000 honor and 10 marks of Warsong
187.92	3.08	Gulch. So, I really wouldn't worry about
189.52	3.36	these too too much, but I figured I'd
191.00	3.72	throw them on here just in case. Next
192.88	3.48	up, we have the arcane mage, and two
194.72	3.44	pieces that they could go after are the
