0.00	2.72	What's up, everybody? / here, and in
1.80	3.20	today's video, we're going to be
2.72	3.84	discussing tier six token and loot
5.00	4.04	priority because this is obviously going
6.56	4.40	to be a big decision come phase three on
9.04	3.84	August 27th when Black Temple and Mount
10.96	3.56	Hyjal are released. Of course, as we saw
12.88	3.44	in phase two, we did get an extra piece
14.52	4.20	of tier off bosses that drop tier and an
16.32	4.56	extra epic off of bosses that don't drop
18.72	4.08	tier, so I expect it to carry over. So,
20.88	3.52	loot and tier will be going out pretty
22.80	3.40	quickly, but nonetheless, you want to
24.40	3.92	make sure that these are going to the
26.20	3.76	best possible places. And of course, it
28.32	3.80	goes without saying, but obviously pick
29.96	3.60	player over class every single time, but
32.12	4.20	this is assuming all things are equal
33.56	4.68	how I would rank them as a GM, which I
36.32	3.16	am the GM of the guild <expletive> city
38.24	3.20	on the Darkspear server, if you haven't
39.48	3.24	heard. So, in this list here, I have
41.44	2.92	three tier lists. We're going to go over
42.72	3.68	each of them and how I would distribute
44.36	3.96	them assuming all things are equal. And
46.40	4.16	before we dig in, these are the new
48.32	4.12	class groupings for the tier tokens cuz
50.56	3.52	they do change here for phase three and
52.44	3.44	tier six, and that is Forgotten
54.08	3.44	Conqueror, our Paladin, Priest, Warlock.
55.88	3.24	Forgotten Vanquisher is Druid, Mage,
57.52	3.80	Rogue. And Forgotten Protector is
59.12	4.28	Hunter, Shaman, Warrior. So, with that,
61.32	3.36	let's dive in to the Conqueror set and
63.40	3.92	see who should get it first. Leading
64.68	5.16	things off at the top of my Conqueror
67.32	4.56	priority is going to be the Protection
69.84	3.56	Paladin. The four-piece bonus is going
71.88	3.52	to be pretty substantial. It's going to
73.40	4.20	be increasing your consecration damage
75.40	3.84	by 10%. So, with that, not only is that
77.60	3.48	obviously additional damage, but more
79.24	3.72	importantly for that Prot Paladin, it's
81.08	3.20	going to be even more threat from an
82.96	2.64	ability you're going to be using
84.28	3.52	constantly. Additionally, the
85.60	4.12	itemization across this tier six set for
87.80	3.92	Prot Paladins is awesome, balanced
89.72	3.84	really well for both threat and
91.72	3.56	mitigation. And with this setup, the
93.56	3.52	go-to off piece for like a more
95.28	3.36	mitigation-focused setup is going to be
97.08	3.32	the face plate of the impenetrable from
98.64	3.80	Illidan. So, between the strength of
100.40	3.76	that four-piece, the itemization, and
102.44	3.56	the overall importance of your
104.16	3.68	Protection Paladin in your raid, because
106.00	3.48	for a lot of raids such as mine, they
107.84	4.96	are going to be the go-to tank on
109.48	4.60	bosses, while the Druid tanks go cat,
112.80	3.88	this is going to be the first place that
114.08	4.16	I'm going to go to complete this set.
116.68	2.56	So, here we have the Demonology Warlock.
118.24	3.12	I'm just going to go ahead and put them
119.24	3.84	in the NA category because demonology is
121.36	3.84	not really a spec that's going to be
123.08	4.16	played a ton. Don't worry about them.
125.20	3.92	Coming in at number four is going to be
127.24	3.24	the holy paladin and I really like this
129.12	2.80	set. I mean, the two-piece is going to
130.48	3.92	be awesome because it increases your
131.92	3.84	crit chance on your holy light by 5%,
134.40	3.08	which in turn will give you back some
135.76	4.36	more mana thanks to the illumination
137.48	4.12	talent. The four-piece is solid as it
140.12	2.96	increases healing from your flash of
141.60	2.96	light, which is a nice little bonus, but
143.08	3.04	it isn't anywhere near as good as the
144.56	2.76	two-piece. Like, here's the thing,
146.12	3.84	right? Like, if there were more
147.32	4.60	haste-based pieces, I would just go with
149.96	3.44	two-piece here for the holy paladin, but
151.92	3.32	since there's really nothing like that
153.40	3.88	until Sunwell, the four-piece is
155.24	3.08	adequate, but that's more so because
157.28	2.60	those are the best pieces that are going
158.32	3.12	to be available, but it's really that
159.88	3.44	two-piece bonus that's going to drive
161.44	3.32	this home. Additionally, I was also
163.32	2.92	looking at the light club discord and
164.76	3.44	there are two kind of sets you can go
166.24	3.92	for here, which is more of a pure
168.20	3.60	healing gearing setup, which is going to
170.16	3.28	be going to be going for four-piece with
171.80	3.36	the off piece being the leggings of
173.44	3.60	eternity. Then, there's also like a more
175.16	3.20	int-based set, which is going to be
177.04	2.88	three-piece with the off pieces being
178.36	3.56	those leggings of eternity and the
179.92	3.56	botanist gloves of growth. So, holy
181.92	2.96	paladin coming in at number four. Next
183.48	2.60	up is the discipline priest and I'm
184.88	2.76	going to go ahead and put them in NA. I
186.08	3.08	mean, there's probably some niche, you
187.64	3.12	know, circumstances where they could be
189.16	3.64	useful, but in general, nobody's really
190.76	3.96	playing full-time discipline. Next up is
192.80	4.76	going to be warlocks and I will put
194.72	3.96	affliction and destro both at number two
197.56	2.64	here cuz according to one of my
198.68	3.76	guildmates who mains a warlock and is
200.20	4.08	one of the better affliction warlocks in
202.44	3.36	all of my server on Dream Sythe.
204.28	4.08	Four-piece tier six is going to be about
205.80	5.04	a 90-ish DPS increase for affliction and
208.36	4.44	around 180 for destruction. So, for that
210.84	3.40	four-piece bonus is going to be amazing
212.80	4.04	because what it does is it increases
214.24	4.32	your shadow bolt damage by 6%, which as
216.84	4.00	you know with warlocks, you're spamming
218.56	4.16	shadow bolt all the time. So, this is
220.84	4.52	going to be sort of a situation kind of
222.72	4.12	similar to hunters in tier five where
225.36	3.72	you really want to start, you know,
226.84	3.28	slamming somebody with that set. You
229.08	3.00	know, you don't want to like give with
230.12	3.96	somebody one piece, another person one
232.08	3.28	piece. Like, I would just fully commit
234.08	3.60	to one warlock like, "Okay, you're
235.36	4.08	getting the first batch of tier gear.
237.68	3.68	Boom, boom, boom, boom. Here you go."
239.44	3.52	And then you move on to the next person.
241.36	3.80	So, yeah, that completed set up is
242.96	4.60	really going to be where this tier set
245.16	4.24	shines. The two set is really nothing to
247.56	4.28	write home about, but the four set is
249.40	3.96	going to be amazing for your warlock's
251.84	2.84	damage. So, here we have the shadow
253.36	2.72	priest. I'm going to go and put them at
254.68	3.36	number three cuz of course this is a
256.08	3.64	class that isn't going to be, you know,
258.04	4.36	pumping a lot of damage or super high
259.72	3.96	priority on a lot of pieces of gear, but
262.40	3.00	you know, for them you do want to get
263.68	2.88	that four piece set up with the ideal
265.40	3.64	off piece being the leggings of
266.56	4.20	channeled elements off of Kaz'rogal. But
269.04	2.92	there is another quality leg option if
270.76	2.32	you know, you're lower on priority for
271.96	3.20	that and that is the leggings of
273.08	3.72	devastation off of Mother Shahraz. So,
275.16	2.76	the two piece bonus with shadow priest
276.80	2.76	is going to increase the duration of
277.92	2.96	your shadow word pain by three seconds,
279.56	2.60	which is pretty solid. Like I was
280.88	3.24	looking at some of our shadow priest
282.16	4.48	logs in SSC and again, I didn't do like
284.12	3.88	a full deep dive into everything, but I
286.64	3.80	consistently kind of noticed that shadow
288.00	4.48	word pain was about 20% of his overall
290.44	3.88	damage. So, that was cool to see. And
292.48	3.68	then the four piece is a flat 10%
294.32	3.32	increase on your mind blast damage,
296.16	3.88	which once again, you know, I was
297.64	5.12	looking at all 10 boss kills from SSC
300.04	5.12	and TK. There was about 460,000 damage
302.76	4.08	from mind blast. So, you do 10%
305.16	3.16	increase. Again, it's a nice little
306.84	2.64	chunk of damage there. Obviously,
308.32	3.96	they're not going to be pumping too too
309.48	4.32	much, but this is a nice way to kind of
312.28	3.36	give them something a little bit higher
313.80	3.76	than some other classes as they are
315.64	4.68	lower on priority traditionally and a
317.56	5.20	super helpful mana battery for your
320.32	3.20	raid. Next up is the ret paladin and and
322.76	2.88	they're actually going to go in the
323.52	4.00	doesn't use category because the thing
325.64	3.04	with the ret paladin is that you're not
327.52	3.76	going to want to use any tier six
328.68	4.88	really. Like your best set up is going
331.28	3.92	to be starting with helmet, Crown of
333.56	2.92	Destruction of Sargeras from Illidan,
335.20	3.24	Shoulderpads of the Stranger from
336.48	3.76	Hydross, Midnight Chestguard from
338.44	4.12	Archimonde, Gloves of Sealing Grip from
340.24	4.12	Al'ar, and the Bow-Stitched Leggings
342.56	2.92	from Azgalor. So, if you're a ret
344.36	3.28	paladin, you You have to worry about
345.48	4.32	tier six whatsoever. And so maybe hey,
347.64	3.80	maybe you can start lobbying for that
349.80	3.80	Cursemourne of Sargeras. I don't know
351.44	3.40	that's an option. Maybe start
353.60	3.84	Maybe start whispering in your loot
354.84	4.24	council's ear about that. Next up is the
357.44	2.72	holy priest, and this is an interesting
359.08	3.20	one, and they're going to obviously go
360.16	4.96	at number five here. The reason why is
362.28	5.00	because the overall set bonuses for holy
365.12	3.96	priest are not very good. They involve
367.28	3.28	bonuses to your prayer of healing and
369.08	3.96	greater heal, which are two spells that
370.56	5.52	are like barely ever used by your holy
373.04	5.64	priest. But, this is a nice set simply
376.08	4.00	because of the pure stats and healing
378.68	2.80	that are on them. All right, now that
380.08	4.32	forgotten conqueror is out of the way,
381.48	4.44	let's move over to forgotten vanquisher.
384.40	2.68	So, to start here we have frost mage.
385.92	2.92	We're going to have to put them in NA.
387.08	3.20	Nobody's going to be playing frost mage.
388.84	4.08	Fire mage, I'm going to also put them in
390.28	4.80	NA. We'll see fire mages come in to the
392.92	4.60	picture a little bit later, but not
395.08	4.44	right now, so they are NA for now. As
397.52	4.48	for the arcane mage, hey man, you're
399.52	4.32	kind of in the same boat as the ret
402.00	3.84	paladin. You're not really going to want
403.84	4.12	any tier six whatso- -ever. In fact,
405.84	3.84	you're going to be sticking to tier five
407.96	3.96	because of how powerful that set bonus
409.68	3.52	remains, with the off piece being the
411.92	2.92	leggings of channeled elements, of
413.20	3.08	course. But, of course, if you can't get
414.84	3.20	the leggings of channeled elements, you
416.28	4.12	could always go for the tier six legs as
418.04	4.32	a nice off piece. But, really as an
420.40	3.00	arcane mage, don't worry about tier.
422.36	3.28	They're going to be at my number five
423.40	3.36	spot. Next up we have the combat rogue,
425.64	3.36	and listen, I know that I'm a rogue
426.76	5.20	main, but there is no bias here. The
429.00	4.88	tier set bonuses for rogues is amazing,
431.96	3.64	with the two set increasing the haste
433.88	3.68	from your slice and dice by 5% and the
435.60	4.12	four piece increasing your sinister
437.56	3.64	strike damage by 6%. The ideal setup
439.72	3.20	here is going to be obviously the four
441.20	3.96	piece tier, but the off piece being
442.92	3.24	Cursemourne of Sargeras. Good luck with
445.16	2.64	that. It's going to be a heavily
446.16	4.08	contested piece. But, this is an
447.80	4.24	amazing, amazing tier set for rogues,
450.24	3.60	but they are not my number one. I'll put
452.04	3.52	them at number two. As for assassination
453.84	3.64	rogue, same thing here with the NA.
455.56	3.68	Nobody's playing assassination rogue.
457.48	4.20	And the same goes for subtlety rogue.
459.24	5.12	This isn't arena. This is raiding, okay?
461.68	4.04	Nobody's playing subtlety in raids. Next
464.36	2.96	up, we have the feral druid and this
465.72	3.28	kind of lumps in with cat here. It's
467.32	2.64	kind of a unique one. As for feral
469.00	3.24	bears, you're probably going to
469.96	4.16	primarily go for really five pieces of
472.24	3.04	tier six. There are some off pieces that
474.12	2.56	you could go for in certain
475.28	3.04	circumstances. That's the thing with
476.68	2.72	bear. It's kind of a
478.32	3.08	you know, there's a there's a lot of
479.40	3.96	nuance with their gearing, of course, as
481.40	3.20	you probably know if you play a bear.
483.36	3.16	But the two-piece bonus is going to
484.60	4.80	increase your threat generated by mangle
486.52	5.20	by 15% and the four-piece increases the
489.40	5.00	damage from rip, swipe of ferocious bite
491.72	3.92	by 15%. Of course, primarily which I'm
494.40	3.80	talking about there is swipe, but it's
495.64	4.00	overall a massive set for your bear. And
498.20	2.44	of course, with them being a tank, I'm
499.64	3.32	going to go ahead and put them at the
500.64	4.04	number one spot. As for feral cat, it's
502.96	3.64	it's a little bit more complicated, but
504.68	3.28	overall the TLDR here is that you're
506.60	3.80	going to be going for four-piece while
507.96	3.48	continuing to use wolf head's helm.
510.40	2.36	There's going to be various pieces that
511.44	2.56	you can trade around while building this
512.76	3.56	set, but here's another important
514.00	4.24	consideration. You want to make sure,
516.32	4.36	obviously, that your cat druid is
518.24	4.32	somebody who also tanks. If that's the
520.68	3.00	case, I would go ahead here and put them
522.56	3.08	in the number one spot because they're
523.68	3.80	kind of in that warden role if you're
525.64	3.88	looking at Warcraft logs. Somebody's
527.48	3.84	going to be swapping between the two
529.52	3.04	specs. And of course, for cat here, the
531.32	4.40	two-set is going to be reducing the
532.56	4.52	energy cost of your mangle by five. And
535.72	2.68	then once again, obviously, the
537.08	4.20	four-piece is going to be increasing
538.40	5.32	your damage from rip, swipe, and
541.28	4.56	ferocious bite by 15%. If you're a
543.72	3.92	person who is solely cat and they're not
545.84	3.32	moving off cat, they're like, "Hey man,
547.64	3.68	I'm not tanking whatsoever." I would go
549.16	3.80	ahead and put them below the combat
551.32	4.72	rogue. But for somebody who's playing
552.96	4.64	more of that warden hybrid role who is
556.04	3.28	going to be your third tank when you
557.60	4.12	need one, I would put them right
559.32	5.28	alongside your bear druids. So next
561.72	4.72	here, we have the resto druid. And
564.60	4.96	really, the ideal setup for them is
566.44	4.44	going to be three pieces of tier six.
569.56	2.80	It's going to be helm, shoulders, and
570.88	3.40	chest. They're going to be coming in at
572.36	3.56	number four here for me. The two-set
574.28	3.64	bonus is going to be be nice because it
575.92	3.88	reduces the cool down of swift mend by 2
577.92	4.64	seconds, but the four-piece isn't going
579.80	4.68	to be nearly as important or as valuable
582.56	4.12	because it affects Healing Touch, which
584.48	3.80	isn't an ability that resto druids use a
586.68	3.76	ton. So, really that third piece that
588.28	4.16	you're going for is going to be worn
590.44	3.72	strictly for the stats, but overall, if
592.44	2.88	I had to say which two are the best, the
594.16	3.44	chest and the shoulders are going to be
595.32	3.92	the ideal first two pieces to go for,
597.60	3.76	while the Cowl of Benevolence off of
599.24	4.00	Teron Gorefiend and the tier six helm
601.36	3.40	are fairly close. So, if you can go
603.24	3.12	ahead and get your hands on that, that's
604.76	3.52	totally fine, and then you can wait till
606.36	3.92	getting the tier six helm after your
608.28	3.40	other druids and your rogues are all
610.28	3.00	set. Number three, I'm going to go with
611.68	2.72	boomkin. This is another one kind of
613.28	2.52	similar to shadow priest, where they're
