0.48	4.40	Hey everyone. So today we're going to
2.16	5.52	talk about phase three bis gear for prop
4.88	4.88	paladins. And I'm going to start off by
7.68	4.08	just walking you through each slot
9.76	3.60	individually and then I'll show you a
11.76	4.00	bunch of different sets that I've put
13.36	5.44	together. And all of this stuff will be
15.76	6.24	in the description links for the 70
18.80	5.68	upgrades. And if I make any tweaks to
22.00	4.00	anything, I'll update that in a pinned
24.48	4.96	comment. So make sure you check the
26.00	8.72	comments. And let's just dive right in.
29.44	7.28	So, here we have our helm slot. We're
34.72	6.32	going to either be using Lightbringer
36.72	7.52	face guard, the tier six helm, or the
41.04	5.44	face plate of the impenetrable.
44.24	4.80	Um, Lightbringer face guard is a pretty
46.48	5.44	awesome piece. It's got a lot of stuff
49.04	5.92	you want. It's got some mitigation, some
51.92	5.28	spell power. Pretty great. Uh the face
54.96	5.44	plate of the impenetrable. It's more of
57.20	5.04	a just pure mitigation piece. Got a ton
60.40	4.40	of block rating. This is going to give
62.24	5.84	you a lot of stats for uncrushable.
64.80	7.04	And for Illan tanking, it'll give you a
68.08	5.92	ton of stats that will go towards uh
71.84	4.00	sheer tanking.
74.00	4.16	And
75.84	4.00	so both of those are great options.
78.16	3.12	It'll just kind of depend on what you're
79.84	4.40	doing.
81.28	4.72	Um, next we got our next slot, the
84.24	3.36	darkener's grasp. If you don't already
86.00	5.20	have that, definitely recommend picking
87.60	6.00	that up before the phase change because
91.20	5.68	that is super useful. I'm using it in a
93.60	5.04	lot of my phase three sets.
96.88	3.92	And
98.64	4.72	you have some other options here. The
100.80	5.52	translucent spell thread necklace. It's
103.36	6.96	a really crazy threat neck, but it has
106.32	9.04	zero stam. I'm not a huge fan of no stam
110.32	8.00	items on prop paladin, but after all the
115.36	5.36	casters get this, you might as well grab
118.32	5.04	it. You can maybe fit it into some of
120.72	5.84	your sets, but I wouldn't try to leap
123.36	6.00	frog anybody for that.
126.56	6.24	Uh, Vindicators pendant of dominance PvP
129.36	5.52	trinket or uh neck. Uh, pretty nice
132.80	4.24	neck. Gives you some pure spell damage,
134.88	4.72	some resilience. So, this is good for
137.04	4.32	like uncrit sets, trash sets, that kind
139.60	4.00	of stuff where you're just trying to get
141.36	5.44	uncrittable and get a little extra spell
143.60	5.04	damage in the process.
146.80	4.32	And
148.64	5.12	next, Lightbringer shoulder pads,
151.12	4.80	shoulder guards. Um,
153.76	3.92	this is really the only item in the slot
155.92	4.16	you're going to want. So, tier six
157.68	5.28	shoulders for sure. And I should talk
160.08	6.88	real quick about the set bonuses for
162.96	5.76	tier six also. So, the first set bonus
166.96	4.56	increases mana gained from spiritual
168.72	6.48	attunement by 10%. Just so you know,
171.52	5.68	that only takes it up to 11% total. It's
175.20	5.36	not going to take it from 10 to 20%.
177.20	6.08	It's multiplicative, not additive. So,
180.56	4.72	it's not as good as you might have
183.28	5.44	thought it was when you read it, but it
185.28	5.60	is still pretty nice. Get a extra little
188.72	6.40	mana there.
190.88	7.28	And the other bonus, the consecration
195.12	5.12	bonus, 10% more damage.
198.16	3.92	Theoretically, this will be 10% total
200.24	4.32	damage, but we don't know for sure until
202.08	4.40	we do some testing on this. If it ends
204.56	4.48	up being base damage, obviously that's
206.48	7.36	going to be a lot weaker, but hopefully
209.04	7.92	that's 10% total consecration damage.
213.84	5.36	Next, we've got our cloak. So, Ruby
216.96	5.20	Drape of the Mystic Ant. Really awesome
219.20	5.28	cloak. It's pretty much the best cloak
222.16	3.84	in the game for us through all the
224.48	3.52	phases.
