0.32	4.48	hello everyone and welcome to another
2.24	4.32	tbc classic hunter guide video in this
4.80	3.92	video we'll be going over pet builds for
6.56	3.68	phase three covering both black temple
8.72	3.36	and mount hydro
10.24	3.36	similar to phase two i would highly
12.08	2.80	recommend having two pets leveled and
13.60	2.96	raid ready and just switch to the stable
14.88	3.52	stablemaster in shattrath city in
16.56	3.52	between raids however this isn't
18.40	3.52	absolutely necessary and you can just
20.08	3.76	respect your pet between raids at any
21.92	3.68	major city at the pet trainer
23.84	3.28	for each raid in phase 3 there's a few
25.60	3.20	different builds you can go and what you
27.12	3.12	decide to choose will just be a personal
28.80	2.56	decision based on your own guild
30.24	2.56	situation
31.36	3.04	we will start off by taking a look at
32.80	3.28	black temple and there are two different
34.40	3.28	builds i would recommend depending again
36.08	3.12	on your own situation
37.68	3.76	the first will be your standard go to
39.20	5.84	build which includes byte rank 9 gore
41.44	6.56	rank 9 dash rank 3 natural armor rank 1
45.04	5.36	avoidance rank 2 cobra reflexes fire
48.00	5.12	resistance rank 5 shadow resistance rank
50.40	4.08	5 and frost resistance rank 2. the
53.12	2.88	reason for this build is that the vast
54.48	3.12	majority of damage dealt to your pet in
56.00	3.20	black temple that is dangerous enough to
57.60	3.52	be of concern is fire and shadow
59.20	4.00	abilities and a little bit of frost
61.12	3.92	damage from illidary council
63.20	3.60	the average hit taken from whirlwinds
65.04	3.60	and other physical damage
66.80	4.00	is just insignificant enough to be of
68.64	4.00	any concern and your pets have naturally
70.80	3.36	high armor as it is so spending a large
72.64	3.68	amount of points and additional armor
74.16	4.40	would see negligible results
76.32	3.92	for the fire damage the big concerns are
78.56	3.52	rainy chaos from illidari fear bringers
80.24	3.76	and defilers flame strikes from high
82.08	4.24	instruments reservoir during illidari
84.00	4.56	council flame crash from illidan
86.32	4.64	volcanic geysers from supremus and the
88.56	4.08	rain of fire from ashton elementalists
90.96	3.44	having rank 5 fire resist will be
92.64	3.52	crucial for mitigating as much damage as
94.40	3.68	possible from these abilities and when
96.16	4.16	you finally move from tier 5 to 36 and
98.08	3.68	lose your two-piece set bonus to assist
100.32	2.64	in healing your pet back to full health
101.76	3.44	you're really going to have to pay
102.96	3.68	attention to these aoe abilities
105.20	3.52	one major point i want to bring up is
106.64	3.92	volcanic geyser while the pet damage
108.72	3.92	taken from my ptr run shows it to be
110.56	4.32	quite low damage taken do not
112.64	3.84	underestimate the volcanoes i was paying
114.88	3.60	very close attention to my pet as well
116.48	4.40	as had very lucky rng on the volcano
118.48	3.76	spawns but these will kill your pet
120.88	2.64	extremely quick if you do not pay
122.24	3.28	attention
123.52	4.08	next we have shadow damage to look at
