0.24	4.24	hello everyone and welcome to my
1.92	3.84	survival phase 3 best and slot video in
4.48	2.96	this video we're going to be taking a
5.76	3.44	look at what is absolute best for phase
7.44	3.92	3 and some of the differences between
9.20	3.60	beast mastery and survival hunters
11.36	3.12	afterwards we'll take a look at when and
12.80	3.28	how you can transition from tier 5 to
14.48	3.44	tier 6 and then we'll take a look at
16.08	4.00	items individually in each gear slot and
17.92	3.68	discuss a few good high priority items
20.08	3.44	as well as a few good alternatives in
21.60	3.20	each slot and finally at the end of the
23.52	3.12	video we'll go over what you should
24.80	4.16	prioritize if your guild runs a wish
26.64	3.52	list or uses a website such as that like
28.96	3.04	base
30.16	3.12	in phase 3 we now have access to the
32.00	2.96	armor pen gear
33.28	3.04	one of the major differences compared to
34.96	3.04	the beast mastery hunters is that
36.32	3.68	unfortunately all the good armor pen
38.00	3.84	gear is bad for survival hunters outside
40.00	3.60	of tier 6 and madness of the betrayer as
41.84	3.20	it lacks a large amount of agility which
43.60	2.48	is going to be crucial for your exposed
45.04	2.32	weakness
46.08	3.20	one major thing i want to remind
47.36	4.24	everybody is that survival hunters are
49.28	4.00	not just a buff but you can do very good
51.60	3.28	personal dps while still providing
53.28	3.44	excellent exposed weakness values and
54.88	3.44	uptime with that being said we're going
56.72	4.08	to start taking a look at what is
58.32	4.24	absolute bis and for survival there's no
60.80	4.72	need to worry about swapping between 6
62.56	4.48	200 and 700 armored bosses
65.52	3.12	starting off now for the helm we have
67.04	3.44	ground stalkers helmet socketed with a
68.64	3.76	delica crimson spinal and relentless
70.48	4.24	snowstorm diamond for the neck we
72.40	3.60	continue to use talonicus's pendant for
74.72	2.88	the shoulders we have groundstalker
76.00	3.60	spaulders socketed with two delica
77.60	3.84	crimps and spinals for the cloak we
79.60	3.28	continue to use the lassien's wilder
81.44	3.04	cloak for the chest we use
82.88	3.36	groundstalkers chest guards socketed
84.48	3.76	with one delica crimson spinal and two
86.24	4.08	jagged sea spray emeralds for the
