0.56	3.76	hi everyone my name is tsw in this video
2.56	4.64	i'm going to be covering the business
4.32	3.92	from the fight club discord from banana
7.20	3.44	bianna
8.24	4.80	and uh on wowhead you can see the
10.64	4.72	results i'll link both links to the
13.04	5.76	discord and wow head in the description
15.36	5.92	as well as some original content for uh
18.80	4.80	threat and the amount of damage that dps
21.28	3.84	can deal before pulling threat as an
23.60	3.60	average from your
25.12	3.52	threat per second from the tank now all
27.20	3.76	the gear sets are warrior-based but this
28.64	3.68	spreadsheet works for any class tanking
30.96	3.76	or dpsing
32.32	5.20	just to go over the spreadsheet quickly
34.72	5.92	you dump in here your tank's average
37.52	5.12	threat and it shows the amount of
40.64	5.68	damage that the dps can deal before
42.64	5.76	pulling threat ranged need 30 extra
46.32	4.80	threat to polagro
48.40	5.36	and melee or anyone in melee range needs
51.12	4.08	10 more threat to pull aggro
53.76	3.36	so you can have a look at this play
55.20	3.44	about with it if you like
57.12	3.76	as an average
58.64	4.32	obviously that means as an average if
60.88	4.32	the tank is doing very little threat in
62.96	4.32	the first 10 seconds but loads of threat
65.20	5.12	in the rest of the fight or it averages
67.28	4.72	out um this can be misleading you might
70.32	4.88	think oh yeah my arcane mage can always
72.00	5.76	deal 3000 threat sorry 3000 damage per
75.20	5.36	second and be safe nope uh because it's
77.76	4.80	an average okay that's how averages work
80.56	4.40	um because the tank won't necessarily be
82.56	5.12	pumping out 1000 threat every second of
84.96	5.68	the fight it will ebbs and flows
87.68	5.60	same with dps but more so with tanking
90.64	3.52	if you get power power dodge or whatever
93.28	3.44	that
94.16	4.16	affects the tank more and that you know
96.72	3.60	you won't have an rk mage have a one
98.32	3.92	percent chance to resist three times in
100.32	3.52	a row like you potentially could have
102.24	3.68	avoidance from the tank anyway let's
103.84	4.08	move on we are going to go through the
105.92	3.52	gear sets very quickly initially and
107.92	3.52	then we're going to dive into the items
109.44	4.16	specifically okay there are lots of
111.44	4.48	people out there looking at these item
113.60	3.92	sets and going yes
115.92	3.84	face plate of the impenetrable oh yes
117.52	4.24	very good yeah but i'll try and provide
119.76	3.36	a bit more context to that
121.76	4.16	going forward
123.12	5.36	so this is the mitigation set without
125.92	5.44	arena gear with six percent hit let me
128.48	4.48	just rant once more um
131.36	3.20	there are sets here with nine percent
132.96	3.28	here and this is crazy to me i've played
134.56	3.68	tbc for
136.24	3.12	seven or eight years i've never done a
138.24	2.88	raid
139.36	4.08	well never intentionally done a raid
141.12	5.04	without improved very fire for the three
143.44	5.04	percent hit that reduces the hit cap
146.16	3.52	from nine to six for your special
148.48	3.28	attacks
149.68	3.92	it's crazy to me that people even
151.76	3.84	consider going to a raid without using
153.60	4.96	improved fire either from a moonkin or
155.60	5.44	from a dream state druid definitely need
158.56	4.80	improved fire in any raid
161.04	4.40	worth it assault in my opinion
163.36	4.96	okay so yeah this is very generic this
165.44	5.52	is the like go-to like uh boomer set
168.32	4.32	where it focuses on traditional uh tank
170.96	3.36	gear we'll go into more detail later
172.64	4.08	okay so this is the mitigation set
174.32	5.44	focusing on you know staying alive
176.72	4.96	next we have a balanced set with arena
179.76	4.00	gear and six percent hit so again the
181.68	3.76	first set was six percent hit as well so
183.76	4.00	this is focusing on a little bit of
185.44	4.72	arena gear we have the arena helmet we
187.76	4.64	have the uh arena
190.16	4.16	chest as well the arena chest is very
192.40	4.24	strong for dps as well
194.32	4.88	um but yeah it's very similar it's got
196.64	4.08	about four hundred deaths so maybe uh
199.20	3.84	keep an eye out for that if you haven't
200.72	3.76	got it already it's still very strong in
203.04	3.20	phase three for tanking as well as
204.48	4.16	dpsing
206.24	4.64	uh yeah not too many changes besides
208.64	4.08	those uh three items then we have a
210.88	4.80	balance set with nine percent hit
212.72	4.56	i'm not a fan of nine percent hit at all
215.68	2.96	um
217.28	4.56	i also
218.64	5.28	like the fortitude of the scourge is
221.84	5.08	a very powerful mitigation shoulder
223.92	3.00	enchant
226.96	3.44	yeah i mean this set is just clunky
228.80	3.52	because it's so much hit i don't really
230.40	4.24	like this just get a moonkin
232.32	3.76	and you'll be dealing way more threat
234.64	3.44	because look if you're having a balanced
236.08	4.16	set with arena nine cent hit then a
238.08	4.64	balanced set six percent hit we can see
240.24	4.00	here eighteen thousand sorry eighteen
242.72	3.92	hundred threat per second and then this
244.24	6.00	one is i guess it's not that much less
246.64	5.76	threat but it is um
250.24	4.80	it just compromises in so many ways just
252.40	4.00	having to find this extra threat and
255.04	2.32	it's the same for
256.40	3.12	your
257.36	4.56	an enhanced shaman your rhett your rogue
259.52	3.68	your hunter like loads of classes really
261.92	3.84	benefit from that extra three percent
263.20	6.56	hit and then we have a balanced no arena
265.76	5.20	gear six percent hit as well which is
269.76	3.52	kind of like
270.96	5.04	anyone can get this gear right
273.28	5.60	just grind out a few bgs um if you are
276.00	5.20	playing warrior tank in any way serious
278.88	5.20	like in nature you really want to just
281.20	5.44	get the uh the off pieces because they
284.08	4.80	are very powerful and they just uh
286.64	4.96	synergize very well with tanking
288.88	4.32	particularly for farm content where you
291.60	3.44	uh want to
293.20	3.44	deal significant threat okay let's go
295.04	3.12	back to the mitigation set and dive
296.64	4.32	deeper into it
298.16	4.72	so the spec here and i think for most of
300.96	4.32	them is
302.88	4.96	okay so this one isn't impale
305.28	4.00	it's five cruelty because your crit
307.84	2.64	isn't very high
309.28	4.00	let's just go down to the quick yeah the
310.48	4.16	melee quick chance is 15 so this is very
313.28	4.00	low crit
314.64	4.80	so you're not going for impale
317.28	3.04	and you have one point in deep wounds
319.44	2.80	okay
320.32	3.84	just checking the rest of the set
322.24	5.92	the rest of the talents rather yeah i
324.16	4.00	mean this is this is very nice
328.24	5.84	uh one thing you do have to keep in mind
330.88	5.96	is with this talent set you do need
334.08	5.04	someone in your raid to be providing the
336.84	4.36	additional reduced
339.12	3.84	uh attack power reduction
341.20	5.52	in the raid on the target particularly
342.96	6.32	if you're having a player with
346.72	4.32	or rather a warlock debuffing
349.28	3.68	because of recklessness because of
351.04	4.88	recklessness reduces the target's armor
352.96	4.88	and increases the target's attack power
355.92	3.92	you want to probably have your fury
357.84	4.72	warrior or arms warrior
359.84	5.28	uh dropping a five-five improved damage
362.56	5.12	out if you don't have
365.12	4.08	because of recklessness on the target
367.68	3.20	you still want somebody with two out of
369.20	4.16	five improved demo
370.88	4.24	to reduce the attack power
373.36	3.36	before the additional
375.12	3.68	increased attack power if you don't have
376.72	2.96	the case of recklessness
378.80	3.52	okay
379.68	5.76	so the spec is appropriate for the gear
382.32	5.36	set basically uh impale is dictated by
385.44	4.56	the amount of crit you have
387.68	4.56	so if you're getting up to kind of like
390.00	4.24	22 24
392.24	4.16	quit that's when impale starts to take
394.24	4.40	over and you take the hit
396.40	4.88	by reduced points in cruelty
