0.00	3.84	hello ladies and gentlemen willie here
1.76	4.08	so blizzard announced a few weeks back
3.84	4.48	they're going to be nerfing the tier 5 n
5.84	4.48	bosses and morogrim on the 14th of
8.32	4.32	december this has come ahead of any
10.32	3.84	announcement for phase 3 itself but i
12.64	3.20	reckon they want to ensure that as many
14.16	3.44	raiding guilds as possible have
15.84	3.52	completed it so that when the next phase
17.60	4.00	rolls around they will be able to get
19.36	4.88	straight into black temple as well as
21.60	4.72	mount hyjal as for phase 3 itself it
24.24	3.92	would be strange to put any content out
26.32	4.64	right around christmas so i would guess
28.16	4.80	phase 3 would be around the 12th or 19th
30.96	4.08	of january it's funny that classic has
32.96	3.60	global releases but retail doesn't yet
35.04	3.12	if you think about it this would also
36.56	3.52	mean guild's still struggling on the
38.16	3.44	final n bosses which is a larger
40.08	3.52	proportion than what you would think if
41.60	3.92	we look at warcraft logs will have had a
43.60	3.84	month to complete that content so it
45.52	4.16	seems like a pretty reasonable timeline
47.44	4.40	for me phase two of classic tbc did
49.68	4.00	release on the 15th of september now
51.84	4.32	yeah it's really been that long so that
53.68	4.64	would mean about a four month phase two
56.16	4.48	duration and in classic the time between
58.32	5.36	major tiers apart from the first one was
60.64	4.80	between 45 months total so that is our
63.68	3.92	predicted timeline at least for the
65.44	3.76	current phase so when phase 3 rolls
67.60	3.60	around what's new and what should we
69.20	4.56	expect from it honestly outside of the
71.20	4.56	raid and the arena season not all that
73.76	4.88	much blizzard has already put loads of
75.76	4.40	tbc content out early in phase one and
78.64	3.68	two that should have been put out in
80.16	4.48	phase three if we are following a launch
82.32	4.32	schedule similar to tbc for example we
84.64	4.24	already have skettis and aguilar katie
86.64	4.24	and magdrop items to turn in for gear
88.88	4.24	ruins of lordaeron arena epic flight
90.88	4.24	form upgraded engineering goggles new
93.12	4.16	flight paths and quest updates and just
95.12	3.84	so much more but our tbc is a bit of a
97.28	3.44	pick and mix between the original and
98.96	4.16	some things are just in way earlier and
100.72	4.40	that's the way it is so what is out then
103.12	3.52	the nether wing rep i assume if you like
105.12	3.28	the look of the mountain want to try and
106.64	3.04	grind it for your first time or perhaps
108.40	2.88	again and there's going to be a lot of
109.68	3.12	competition for the eggs this time
111.28	3.52	around i'd be willing to bear the
112.80	4.08	prequest for this called kindness is
114.80	4.00	already in the game and starts in shadow
116.88	3.92	moon valley this is required to get you
118.80	3.92	to neutral with the netherwing faction
120.80	3.28	and advance beyond it afterwards and of
122.72	2.80	course you're gonna need a flying out
124.08	2.96	for that for the first boss in mount
125.52	4.24	hydro you might consider using some
127.04	4.00	tricks that people used back in tbc he
129.76	3.20	doesn't have the most impactful
131.04	3.68	mechanics but one of them is ice bolt
132.96	3.84	which is a single target frost bolt
134.72	4.08	which does an absolutely enormous amount
136.80	4.32	of damage and will kill you in about two
138.80	4.56	to three seconds it's treated as a stun
141.12	3.92	so things like your blink your ice block
143.36	3.28	your bubble will be able to get you out
145.04	3.52	of it but for classes that don't have a
146.64	3.92	way to remove it people often use the
148.56	3.60	pvp trinket back in the day to remove
150.56	3.44	this stun and just guarantee that they
152.16	3.84	don't fall over on the first boss fight
154.00	3.20	you only need to get the red pvp trinket
156.00	3.28	if it's not really your thing which is
157.20	3.76	only 4 000 honor i believe and should be
159.28	3.36	extremely easy to get otherwise you
160.96	3.36	could use the living action potions i
162.64	3.20	don't see why those wouldn't work either
164.32	3.04	that would use your potion cooldown
165.84	2.96	alternatively you just hope your healers
167.36	2.80	are on the ball and can keep you up
168.80	3.52	there'll be loads of gear including
170.16	4.40	resistance gear required for tier six
172.32	4.00	mainly primal shadow water and life
174.56	4.08	which you should expect to go up in
176.32	4.16	price at least a little bit particularly
178.64	3.68	primal shadow now this is mainly for
180.48	4.08	mother shiraz where people may need to
182.32	4.40	wear up to cap that being 365 though
184.56	3.92	it's speculated 300 may work but we'll
186.72	3.44	see how things look when we get there
188.48	3.52	i'd imagine there are also a few bosses
190.16	4.00	in hydra which benefit from at least
192.00	3.60	wearing some shadow resist in terms of
194.16	3.20	sources of this and what you could
195.60	3.84	consider doing in advance there is
197.36	4.08	currently a discoverable transmute for
199.44	3.44	water to shadow shouldn't make you that
201.44	3.28	much gold but it's easy if you're not
202.88	3.04	using a cooldown on anything else and
204.72	3.04	this is of course available for
205.92	3.76	alchemists also for alchemists you want
207.76	4.16	somebody in your raid with the major
209.68	4.16	shadow protection cauldron as they are
211.92	4.16	vastly more efficient than crafting
213.84	4.16	individual potions and will be a huge
216.08	3.84	benefit to your entire raid group now
218.00	3.60	the recipe for major shadow protection
219.92	2.88	potions drops off shadow council
221.60	3.04	warlocks in
222.80	3.36	shadow moon valley count how many times
224.64	3.20	i'm going to say shadow and you need to
226.16	4.00	craft the major shadow protection
227.84	3.92	potions in order to proc the discovery
230.16	3.60	for the cauldron this is going to
231.76	3.68	involve a lot of mana thistle and primal
233.76	4.16	shadow you should consider getting it
235.44	4.32	done and yes in tbc protection potions
237.92	3.76	only do have a two minute duration now
239.76	3.52	that is correct but you can still
241.68	2.96	pre-pop and have some level of
243.28	3.52	protection heading into the more
244.64	3.84	dangerous fights in a similar vein take
246.80	3.76	a look at the auction household of
248.48	3.84	shadow protection gear this should be
250.56	3.28	needed early on before the shutter
252.32	4.40	resistance gear craftable through the
253.84	4.88	ashton death sworn rep becomes available
256.72	3.76	a few things to think about is don't buy
258.72	2.88	a shadow resistance neck they're a waste
260.48	2.56	of money you get one from the
261.60	3.36	achievement to black temple which will
263.04	4.16	give you 40. you should always assume
264.96	4.00	having 70 shadow resist from a priest so
267.20	5.28	going into black temple you will always
268.96	5.12	have at least 110 shadow resist baseline
272.48	3.60	work out what you need from that point
274.08	3.76	in time moreover the cloak should be the
276.08	3.52	first item that is crafted as you only
277.84	3.52	need one heart of darkness to do so it
279.60	3.92	gives a lot of shadow resist and you can
281.36	3.92	enchant it with a further 15 shadow
283.52	3.60	resist again base your shadow resist
285.28	3.76	needs off of that i'd keep a lookout for
287.12	3.52	any duplicate tier items that drop you
289.04	3.60	could always jam them with void spheres
290.64	3.76	which can be crafted through enchanters
292.64	2.96	just to give you an extra little bump in
294.40	2.80	shadow resist and they're going to be
295.60	3.20	much better than the alternatives you
297.20	3.28	can get your hands on early this is
298.80	3.44	particularly the case for mage lock
300.48	3.36	hunter tier as somebody at blizzard
302.24	3.92	decided to put three classes that can
303.84	4.00	only dps on the selling tier so thanks
306.16	3.60	blaze additionally there are shadow
307.84	4.00	armor kits which is a recipe that drops
309.76	3.60	of lost shadow mages in septic halls
311.84	3.52	this is made through leather working and
313.36	4.08	it's eight shadow resist for chest legs
315.36	4.40	or hands as well as a glyph of shadow
317.44	5.28	warding from lower city honored for 100
319.76	4.56	gold which is 20 shadow resist on your
322.72	3.20	helm i think that's about everything
324.32	3.52	with shadow resist moving on with the
325.92	4.08	raid content in tier six there's going
327.84	4.56	to be a lot of it like an absolutely
330.00	5.04	enormous amount both the raids are a
332.40	3.84	massive and b they just take a long time
335.04	4.08	if you think there's a lot of trash in
336.24	5.68	tier 5 oh boy just wait and see hydra
339.12	5.04	has been one of the uh less favorably
341.92	5.04	remembered raids if i'm being very nice
344.16	4.96	about it wave after wave after wave of
346.96	3.60	undead and then a boss four times in a
349.12	3.52	row and then you have our command at the
350.56	4.16	end of course imagine if they put an npc
352.64	3.28	we can talk to him to taunt the scourge
354.72	2.96	and make them come at you twice as
355.92	3.28	quickly just to speed it up a bit yeah i
357.68	3.44	know i'm dreaming but it's a bit of a
359.20	3.44	sleep parade especially on the reclairs
361.12	3.60	i'm looking forward to black temple a
362.64	3.44	lot more though and unlike binding runs
364.72	2.88	which you probably were still doing
366.08	4.00	towards the end of classic if you got
367.60	4.56	unlucky as we did there's no fast track
370.08	3.76	to illidan for those glades so good luck
372.16	4.16	to whoever is earmarked to be getting
373.84	4.32	those in your guilds moreover epic gems
376.32	4.08	will start dropping after the second
378.16	4.40	boss in hyjal has been defeated and from
380.40	3.76	black temple trash as far as i know they
382.56	3.20	should not be appearing from gem bags
384.16	3.28	which happen randomly at the start of
385.76	3.92	phase two if you remember or from badges
387.44	3.68	of justice until the final patch so if
389.68	3.68	you thought living rubies were already
391.12	4.00	expensive these are going to be quite a
393.36	3.76	bit more prepare your wallet for a good
395.12	4.24	old kicking in tier six on top of your
397.12	4.40	haste parts your destro parts dark rooms
399.36	4.00	mana potions the usual consumes you know
401.52	3.28	what your class needs by now stock up
403.36	3.76	don't wait to the patch day and then
404.80	4.72	have things be ridiculously expensive i
407.12	4.64	would also for your guild consider trash
409.52	3.92	runs a black temple in the first week or
411.76	3.28	two i know this seems pretty sweaty and
413.44	3.68	you might see it as excessive but they
415.04	4.08	are so beneficial to your raid you're
417.12	4.08	getting reputation for the shadow resist
419.12	4.56	gear hearts of darkness which also for
421.20	4.48	shadow rescue and tradable and for boes
423.68	3.20	you're getting epic gems from the trash
425.68	2.80	you're getting new blacksmithing
426.88	2.88	leatherworking and tailoring patterns
428.48	3.28	from the trash and finally you're
429.76	4.56	getting marks of the illidari which will
431.76	4.40	begin dropping from all tier 5 and 6
434.32	3.84	content these are a tradable token that
436.16	3.92	can be turned in at your older or scryes
438.16	3.68	rep depending which you took in exchange
440.08	4.16	for a flask that can be used in any
441.84	4.64	raiding content from tier 5 onwards you
444.24	4.48	need exalted with your shattrath rep
446.48	3.68	tsunami circle and the shatar to have
448.72	3.28	done this though if you're raiding tier
450.16	3.92	5 you've probably already got this
452.00	4.64	sorted out this should also have some
454.08	4.32	effect on flask prices so careful if you
456.64	3.76	have absolutely loads of them banked on
458.40	4.40	the release of tier 6 because people
460.40	4.40	these days on average raid and clear and
462.80	5.12	have alts much much more back than they
464.80	4.64	did in 2007 and 2008 so i'd expect this
467.92	3.28	to be the case so yeah try and get some
469.44	4.00	buddies pug it whatever it may be black
471.20	4.32	temple trash runs will be very solid
473.44	4.00	gold early on into the phase make the
475.52	3.44	most of it there is a new arena season
477.44	3.60	of course i have to give that a mention
478.96	3.84	the new mounts the new title as well as
481.04	4.16	those getting into the later stage of
482.80	4.16	tbc for class performance druids and
485.20	3.20	rogues only get better from here on out
486.96	3.12	you know as to warlocks i hear they
488.40	3.60	needed that little extra leg up in
490.08	4.00	resilience when this will be the longest
492.00	4.16	season in tbc as well as phase four and
494.08	3.52	zul'aman will not bring a new arena
496.16	3.20	season it was the longest one back in
497.60	3.20	the day actually as well so that's about
499.36	3.44	everything i could come up with thought
500.80	3.68	i'd still do the video as tradition even
502.80	3.28	though there isn't a huge amount outside
504.48	3.68	of raid or arena hopefully you have some
506.08	3.92	new ideas or found things useful here if
508.16	3.20	you think i missed off anything big do
510.00	3.04	drop it down below as always thank you
511.36	3.52	all so much for watching and listening
513.04	3.97	in and i shall see you on our next one
514.88	20.72	very soon
517.01	20.67	[Music]
535.60	2.08	you
