0.00	3.12	yo what's going on guys it's your boy 1d
1.68	3.12	i'm going to be bringing you a phase
3.12	3.36	three business this is gonna be
4.80	3.52	everything i'm gonna be using come phase
6.48	4.08	three there is things that you might
8.32	4.00	wanna change and that's okay that's okay
10.56	3.44	free free to do that but this is what
12.32	3.36	i'm gonna be rocking from phase three
14.00	3.04	and let's get right into it yo what's
15.68	3.76	going on guys it's your boy wendy this
17.04	4.40	is my phase three bis list i'm gonna go
19.44	4.08	through everything for my prop paladin
21.44	3.68	and what i'm gonna be looking for there
23.52	3.44	is some things that you might want to
25.12	4.16	change but this is just what i think
26.96	4.64	personally is for abyss so uh let's get
29.28	4.40	right into it okay and for the headpiece
31.60	3.92	we're gonna do lightbringer face guard
33.68	3.28	this one uh you know is a really really
35.52	3.44	good one you're gonna want to do spell
36.96	4.88	damage and spell hit rating for the
38.96	4.32	enchant spells um this set i'm really
41.84	3.84	gonna go spell hit rating and spell
43.28	4.32	damage on mostly everything and then the
45.68	3.76	meta jam i'm gonna go 18 stam and five
47.60	3.60	stun resist pop poundings are really
49.44	3.84	really gonna get their tier set this one
51.20	3.92	so you're gonna go five of five you want
53.28	3.04	your chest guard face hands legs
55.12	2.96	shoulders but we're gonna get into that
56.32	3.28	a little later okay and for the neck
58.08	3.20	we're going to do the darkeners grasp
59.60	3.44	this one is going to be best the whole
61.28	3.60	expansion this one you're not going to
63.04	4.32	want to take off it's amazing comes from
64.88	3.68	kt you get it from the verdant sphere so
67.36	2.56	you're really going to want to get this
68.56	2.72	one and just keep it on for the rest of
69.92	2.72	the time all right for the shoulders
71.28	2.88	we're gonna do light bring your shoulder
72.64	3.20	guards these ones again they look
74.16	3.84	amazing this whole tier i think looks
75.84	4.56	amazing for the paladins this one i went
78.00	5.04	with the 15 spell crit rating also with
80.40	4.64	the plus 12 spell damage in chant uh
83.04	4.24	this one again the gems are spell hit
85.04	3.68	rating and spell damage this is increase
87.28	2.80	everything so your threat's higher and
88.72	3.04	everything now onto the cloak this is
90.08	3.20	the royal cloak of the sunstriders this
91.76	3.68	one i just put a 12 dodge rating this
93.28	3.28	one again also comes from kt you're
95.44	2.96	gonna want to keep it because it's the
96.56	3.20	best in slot just for this phase and the
98.40	2.80	next phase you'll be ending up switching
99.76	2.88	it okay for the chess piece we're gonna
101.20	4.00	do a light bring your chest guard this
102.64	4.48	one i put six all stats again the gems
105.20	4.08	never changed uh this is gonna give you
107.12	3.60	the plus six stamina bonus for this
109.28	4.40	whole build you're actually gonna be
110.72	4.88	almost pushing 14k health which is very
113.68	4.32	good and your spell damage is just about
115.60	3.60	950 unbuffed so
118.00	2.40	you're going to be able to pull a bunch
119.20	3.36	of threat you're going to be able to do
120.40	4.08	a bunch damage you know you shouldn't
122.56	4.08	have no issue with having pumpers in
124.48	4.40	your group like warlocks and mages and
126.64	3.84	all the hunters if you want them to pump
128.88	3.20	you just have to be able to you know
130.48	2.96	hold that threat and get above everybody
132.08	2.88	else okay for the wrist piece i'm gonna
133.44	3.84	go with the seekers wrist guards this
134.96	3.60	one and i'm gonna put a plus 15 spell
137.28	3.36	damage on it
138.56	4.00	my defensive rating right now is 4.91
140.64	3.52	you only have to get to 490 so
142.56	3.52	everything i'm really focusing on right
144.16	3.20	now is just a bunch of spell damage try
146.08	3.12	to get my
147.36	4.56	my mitigation and everything i can get
149.20	4.48	for more threat as possible when i'm
151.92	3.60	trying to build my set all right and the
153.68	4.08	sword that everyone's gonna want uh this
155.52	4.32	one's the tempest of chaos this one is
157.76	4.16	amazing you know i'm gonna do a plus 40
159.84	3.76	spell damage and not only that it also
161.92	3.92	gives you increase
163.60	4.12	healing magical spells and effects which
165.84	4.72	is also your damage up by
167.72	5.00	259 which is unreal
170.56	3.92	right now i have the blood maul so this
172.72	4.08	will be a really big jump you know i've
174.48	3.84	been kind of just giving away the uh the
176.80	3.36	elder sword from
178.32	4.00	leo what's it called the fang leviathan
180.16	4.88	that one i've been kind of just uh just
182.32	4.32	letting it slide by maybe uh you want to
185.04	3.76	see this on your pattern as quick as
186.64	4.24	possible again this is going to be a
188.80	3.68	very very big increase in threat now for
190.88	4.64	the shield we're going to go bulwark of
192.48	5.36	azinoth this one again it has 60 stam
195.52	4.56	right off the bat so i'm putting plus 18
197.84	3.44	stam this can be 78 stam on just the
200.08	3.60	shield alone
201.28	4.32	like that's insane so you're going to
203.68	3.60	have so much more stamina just from the
205.60	4.40	shield alone that you might want to be
207.28	4.16	able to take off more stamp gems but if
210.00	2.80	you do need stamp jumps because say
211.44	3.36	you're getting hit hard you're getting
212.80	3.20	crushed you should be unquestionable but
214.80	2.72	if you're getting hit harder and
216.00	3.04	everything you might just want to you
217.52	3.44	know mess around with your gems maybe
219.04	3.36	you do need a little bit more stand but
220.96	3.20	me personally i'm probably not going to
222.40	3.12	rock with the stamp jumps all right for
224.16	3.52	the hands we're going to like bring your
225.52	3.52	hand guards this one again amazing piece
227.68	3.60	this is actually going to give you a
229.04	4.16	four set so you'll be increased damage
231.28	3.68	doubt by your consecration by 10
233.20	3.28	so not only is your spell damage going
234.96	3.60	up you're getting everything from the
236.48	4.00	set bonus uh you're also getting
238.56	4.48	consecration damage which is amazing uh
240.48	4.48	this one again spell damage and uh
243.04	3.44	stamina gem i'm gonna go two percent
244.96	3.20	threat just to increase that threat
246.48	3.44	bonus you know i'm just gonna keep
248.16	3.76	rocking with it for the waist we're
249.92	3.68	gonna go girdle of mighty resolve this
251.92	4.48	one again an amazing piece it gives you
253.60	4.88	56 stamps see this is why i'm kind of
256.40	4.08	shying away from stamp gems and trying
258.48	3.52	to get more spell damage and kind of a
260.48	3.12	little bit more stamina but you know
262.00	3.04	spell hit rating spell damage on every
263.60	3.28	one of my gems that you'll see in these
265.04	3.36	this whole video all right and for the
266.88	3.04	leggings this is gonna be the fifth
268.40	3.36	piece that you're gonna want to get for
269.92	4.16	your tier set this is gonna be your five
271.76	3.60	five i mean i know there is eight pieces
274.08	3.04	but you're just gonna wanna get these
275.36	3.28	five you can mess and you know mess
277.12	3.04	around with the other ones but these are
278.64	3.44	the only ones i'm gonna go for it's
280.16	4.08	gonna be light bring your leg guards
282.08	4.88	this one again all these pieces have
284.24	5.20	amazing stamina so i'm just adding uh 35
286.96	3.68	spell damage and 20 stam onto it plus a
289.44	3.12	12 defensive rating because i think
290.64	5.84	that's where i was lacking i think if i
292.56	5.60	take it off i had about 486 defensive um
296.48	4.00	and i really wanted to get over to that
298.16	3.60	490 cap that you need so i just threw a
300.48	3.44	defensive gem in there because it was
301.76	4.00	only a one gem spot and it also gave me
303.92	3.84	a plus two defensive rating just on top
305.76	4.16	of that so that one there's the only one
307.76	4.32	i have defensive gem in but uh it's
309.92	5.12	pretty good overall moving on to the
312.08	5.28	feet we have the tide stompers greaves
315.04	5.12	this one you know amazing again the
317.36	5.28	stamina is insane this phase this one is
320.16	4.48	56 damn i'm putting a 12 stem on top of
322.64	4.16	it and with the way i have my gem set up
324.64	4.24	it's also gonna give me four stem so not
326.80	3.84	only am i gonna be stacked with stam on
328.88	3.44	every one of my pieces i'm also getting
330.64	3.60	more spell damage and more hit rating
332.32	3.76	out of everything and for the first ring
334.24	3.44	i'm gonna have the band of eternal sage
336.08	4.08	you know this one's a very very good one
337.68	4.56	if you are enchanting i'm gonna switch
340.16	4.56	back over this uh expansion you're gonna
342.24	4.16	need 12 spell damage on both your rings
344.72	3.76	you know you want that extra spell
346.40	3.92	damage if not it's okay it's not gonna
348.48	3.36	you're still gonna be over 900 it's just
350.32	3.04	gonna push it down a little bit more and
351.84	3.68	then the second ring i'm going to go the
353.36	3.76	seal of danzala this one did come from
355.52	3.68	liquor below this one you should already
357.12	4.32	have it also has good armor as much
359.20	3.84	stamina you need and then again just
361.44	4.00	plus 12 spell damage is all you really
363.04	4.08	need on it okay for the trinkets they
365.44	4.16	don't really switch you've had them
367.12	3.76	since phase one phase two now now you're
369.60	2.64	actually just gonna keep them into phase
370.88	2.80	three it's gonna be icon of the silver
372.24	3.68	crescent you know a very very good
373.68	3.76	overall trinket it has a usability that
375.92	4.16	increases your magical spells and
377.44	4.32	effects by 155 for 20 seconds so if you
380.08	3.52	want to pull that threat right away
381.76	4.08	you're on a boss if you're maintaining
383.60	3.84	it grab it right away pop that you'll
385.84	4.24	have so much throughout the beginning
387.44	4.96	and then the imag this one
390.08	4.00	again an amazing it just grants 170
392.40	3.76	increased spell damage for 10 seconds
394.08	3.60	when your spells are resisted so if you
396.16	3.44	get do get resisted you do get that
397.68	3.84	increased bonus spell damage so this is
399.60	3.92	overall a very very good solid trinket
401.52	4.24	still all right for the last piece the
403.52	3.52	living room of repentance this one again
405.76	3.04	it just gives you that eight percent
407.04	3.44	from uncrushable so you're gonna get
408.80	3.76	increased block rating by 42 while holy
410.48	3.60	shield's active this one i mean i've had
412.56	3.28	it since the beginning and it's been
414.08	2.88	really really good to me so i don't
415.84	2.40	think i'm going to be taking it off but
416.96	3.68	if you do want to mess around with some
418.24	4.00	pieces in this set you want to get more
420.64	3.20	stam you want to switch your enchants
422.24	3.28	that is okay this is what i will be
423.84	3.20	rocking come phase three
425.52	2.80	but uh if you guys do want to see any
427.04	2.80	other videos if you have any other
428.32	3.12	questions please leave them below and
429.84	2.88	then don't forget to like comment and
431.44	3.92	subscribe and i hope you guys have a
432.72	2.64	great day
