2.96	3.80	Yo, what's going on everyone? It's You
4.96	6.00	Look Upset and I'm coming at you with a
6.76	7.76	quick little protection guide for SSC TK
10.96	5.36	phase two TBC anniversary servers. I get
14.52	5.04	asked quite a few questions, whether it
16.32	5.32	be on my stream or from random [music]
19.56	4.68	prot warriors who see me at the top of
21.64	4.92	the prot warrior leaderboards. Questions
24.24	4.36	whether it be rotation or which bosses
26.56	4.12	you can dual wield on, that sort of
28.60	3.88	thing. So, I'm going to make this guide,
30.68	5.12	a short and sweet little guide about
32.48	5.96	prot warriors and going over talents.
35.80	5.24	I'll give a quick rundown of stat
38.44	4.92	priority, both offensive and defensive.
41.04	5.00	I'll give a quick rundown of the
43.36	5.08	rotation for you guys. I'll talk about
46.04	5.24	gearing a little bit and I'll give a
48.44	4.80	quick little rundown of consumables and
51.28	3.12	that sort of thing. So, that being said,
53.24	3.60	let's jump right into it. I'm going to
54.40	6.64	start first by going over talents. This
56.84	5.68	is your basic protection cookie-cutter
61.04	3.76	prot warrior build, especially in
62.52	4.48	post-nerf content, all the way down to
64.80	4.00	devastate. I feel like you really don't
67.00	3.44	need three points in shield mastery. You
68.80	3.16	can just do one point to move into the
70.44	3.24	next tier
71.96	3.28	and then pump two extra points into
73.68	2.76	cruelty so you can have three points in
75.24	2.72	cruelty
76.44	5.32	and then all the way down to the bread
77.96	5.84	and butter of impale. With impale, you
81.76	3.68	are absolutely cranking threat per
83.80	3.97	second, especially when you are dual
85.44	4.96	wielding. In my opinion, there is
87.77	5.55	[music] no other class that can pump out
90.40	5.92	as much damage and as much threat as a
93.32	4.93	dual wielding protection spec warrior.
96.32	4.20	It's super fun to play, it's super
98.25	4.83	[music] easy to play, and we'll get into
100.52	5.24	that in a little bit. So, from there, we
103.08	4.36	will jump into quick little stat
105.76	4.40	priority. Now, as a protection warrior,
107.44	5.08	you're going to want to go with 6% hit
110.16	4.84	if you have a boomkin and [music] he's a
112.52	4.56	gamer putting fairy fire on the bosses
115.00	3.76	for you with 100% up time. If you don't
117.08	4.24	have a boomkin, let's say you play in a
118.76	5.04	more casual raid or you pug a lot and
121.32	4.28	you don't have a boomkin in your raid or
123.80	3.68	they're just not a gamer putting up
125.60	4.96	fairy fire, then you want this number to
127.48	4.60	say 9%. In a perfect world, you want 6%,
130.56	4.12	but if you don't have a boomkin and
132.08	4.36	fairy fire, you want 9%. As a protection
134.68	3.36	warrior, you can see all the gear in my
136.44	4.39	bags. You want to just make sure that
138.04	2.80	you carry around a gear set for both.
140.83	2.45	>> [music]
140.84	3.72	>> So, if you're doing a 10-man or whatever
143.28	3.28	and you don't have a boomkin, it's
144.56	4.52	always nice to throw on the gear with
146.56	4.88	extra hit and you have 9%, so you're
149.08	4.48	always capped. Now, the next stat and
151.44	4.72	the most important stat, in my opinion,
153.56	4.76	after your hit rating is expertise
156.16	4.48	rating. Now, I see a lot of warriors
158.32	4.96	almost forego this stat or don't really
160.64	4.44	prio it at all and that is a huge
163.28	4.20	mistake, in my opinion. Especially in
165.08	5.00	post-nerf content, you can get away with
167.48	4.60	going much less mitigation. The bosses
170.08	4.28	are pretty easy. They don't hit nearly
172.08	4.40	as hard, even dual-wielding on most of
174.36	3.92	the bosses, and you can gear for
176.48	3.80	expertise here. Now, what expertise is
178.28	4.48	going to do, it reduces your chance to
180.28	4.76	be dodged or parried by 6.5%, which
182.76	4.24	completely takes dodges and parries off
185.04	3.48	of the table. And this does two things.
187.00	3.56	The boss can't dodge or parry your
188.52	4.04	attacks, you are just ranking threat,
190.56	3.84	which is great if you have a raid full
192.56	3.52	of pumpers behind you. They don't have
194.40	3.40	to worry about ever pulling threat off
196.08	4.40	you and they can just pump to their
197.80	4.20	hearts content. It also removes parry
200.48	3.80	haste from [music] the table. If the
202.00	4.28	boss can no longer parry your attacks,
204.28	4.44	he can't be parry hasted and it it
206.28	4.56	mitigates those huge damage spikes that
208.72	3.88	can come out if you parry haste the boss
210.84	3.64	and it relieves a lot of pressure, your
212.60	3.84	health pool, and a lot of pressure off
214.48	4.12	of the healers. After that, I do see a
216.44	4.92	lot of warriors who stack [music] stam
218.60	6.16	after these two, but uh in my opinion, I
221.36	5.84	think agility is the third best stat on
224.76	3.92	the uh stat priority list. Agility is
227.20	3.68	like one of those triple threat stats.
228.68	5.12	It does a lot of things for for It gives
230.88	4.27	you more crit, which is phenomenal for
233.80	1.48	pumping out more threat.
235.15	2.65	>> [music]
235.28	4.64	>> It gives you more armor, which is great
237.80	5.32	for mitigation, and it gives you more
239.92	5.60	dodge, which is amazing for mitigation,
243.12	4.72	especially if you are wearing more of a
245.52	5.12	threat set, then you want as much
247.84	4.34	agility as you can get because if you're
250.64	3.84	pumping other stats like strength
252.18	5.74	[music] and critical strike rating, then
254.48	5.76	you lose a lot of dodge on the tanking
257.92	4.72	gear if you're swapping those for threat
260.24	5.40	gear. In my opinion, you want to go hit
262.64	6.04	rating, expertise, then agility, then
265.64	5.16	stam, then strength, and then crit.
268.68	4.04	If you follow that stat priority and
270.80	4.88	your healers are gamers,
272.72	5.68	you can absolutely crank threat and
275.68	4.56	damage on these bosses in phase two. And
278.40	3.64	I'll go over which bosses you can get
280.24	4.16	away with dual wielding. So, that's your
282.04	5.24	offensive stat priority. Now, I will get
284.40	5.08	into the defensive stat priority. I use
287.28	5.16	this extended character stats add-on,
289.48	4.96	and it tells me exactly what stats I
292.44	4.20	need. Your number one defensive stat
294.44	4.56	priority that you're looking for is to
296.64	4.76	be what's called uncrittable. And what
299.00	5.36	you want to do is get this melee crit
301.40	5.16	reduction to 5.6% or higher. Now, you
304.36	5.92	you cannot main tank or off tank in any
306.56	6.60	raid, heroic, 10-man, whatever it is,
310.28	6.32	unless this is 5.6%
313.16	5.48	or higher. Once this is over 5.6%, you
316.60	4.08	are uncrittable. If you don't have
318.64	3.88	extended character stats add-on, you can
320.68	4.16	calculate this stat here by adding your
322.52	3.92	resilience. You can see reduces periodic
324.84	4.56	damage and chance to be critically hit
326.44	5.68	by 2.87%,
329.40	5.12	and then take the same number from your
332.12	5.40	defense, decreases chance to be hit and
334.52	6.56	critically hit by 2.88%, and add those
337.52	6.80	together, which comes out to 5.75%.
341.08	6.08	We will jump right into the rotation.
344.32	5.52	Now, the rotation for dual wielding is
347.16	5.52	very, very, very simple. There We don't
349.84	4.84	have target dummies in vanilla or TBC
352.68	4.60	for some weird reason. I don't know why
354.68	4.84	they can't just add these in, but I will
357.28	4.32	use this uh mob that cannot die over
359.52	5.68	here to give you [music] a quick
361.60	6.04	breakdown. So, if I'm dual wielding,
365.20	4.12	I like to start with just a devastate
367.64	3.52	for that snap threat,
369.32	4.60	right?
371.16	4.72	Once you have snap threat,
373.92	4.00	and you get your five sunders up until
375.88	3.32	your rogue can put up expose armor for
377.92	3.48	the raid,
379.20	4.96	you're just spamming
381.40	5.68	devastates with heroic strike queued the
384.16	5.36	entire time. And this is basically the
387.08	3.84	entire rotation. Once you have a a huge
389.52	2.96	threat lead, make sure that you keep
390.92	2.84	thunderclap on the boss. Through
392.48	3.00	talents, we do have improved
393.76	4.08	thunderclap. This is a lot of
395.48	4.12	mitigation, a huge debuff to put up on
397.84	4.96	the boss. If you don't have an arms
399.60	5.04	warrior, you can also put up demo shout.
402.80	3.68	So, I have an arms warrior in my raid
404.64	4.00	who is a giga chad. Shoutout to you,
406.48	4.04	Craig. Since he goes down the fury tree
408.64	4.84	anyway, he specs into improved demo
410.52	4.88	shout. He gets an extra 40% on his demo
413.48	4.60	shout, so he keeps up demo shout for me,
415.40	5.28	which is a huge bonus. But, if you are
418.08	3.88	in like heroics or a 10-man,
420.68	3.28	and you don't have somebody putting it
421.96	5.12	up for you, then you want to make sure
423.96	4.92	that you thunderclap and demo shout once
427.08	3.52	you have the threat lead.
428.88	3.20	You want to use revenge when you get a
430.60	3.08	proc. When a mob is hitting you,
432.08	2.76	especially a boss, you will pretty much
433.68	2.88	have unlimited rage. You're going to
434.84	4.96	keep heroic strike queued the entire
436.56	5.32	time while spamming devastates. And this
439.80	3.28	is This I mean, look. Look at this
441.88	4.04	damage
443.08	4.44	when you are dual wielding.
445.92	3.44	The damage is insane, and I don't have
447.52	4.36	any I don't even have any CDs popped
449.36	4.40	right now. Keep up thunderclap,
451.88	3.04	and you are just keeping heroic strike
453.76	3.32	queued
454.92	3.28	and spamming devastates, revenge when
457.08	3.24	you get a proc. That's the whole
458.20	4.32	rotation. If there's two targets like
460.32	6.36	this, by the way, instead of heroic
462.52	5.84	striking, you want to keep cleave queued
466.68	2.84	and still spam
468.36	2.76	devastate.
469.52	3.60	So, it's the same rotation. If it's
471.12	4.08	single target, heroic strike. If there's
473.12	4.00	multiple targets, cleave
475.20	3.36	and spam devastates. Once all the
477.12	3.56	debuffs are on the boss, you have a huge
478.56	4.92	threat lead, and they call for lust, I
480.68	4.52	will pop my recklessness macro, and this
483.48	3.96	is what it's going to look like when you
485.20	4.04	pop recklessness, and you just start
487.44	3.40	cranking threat. You're going to pop the
489.24	3.24	macro,
490.84	3.84	I like to throw out a couple attacks, a
492.48	5.16	whirlwind,
494.68	4.76	and then jump back into D stance,
497.64	3.32	and just continue the rotation. Now,
499.44	3.36	look
500.96	5.12	at this damage when you have wreck
502.80	5.20	popped. There is no way anybody is
506.08	4.24	pulling threat off of you. You have all
508.00	4.60	your CDs popped,
510.32	5.52	and you are just absolutely cranking
512.60	5.56	damage and cranking threat into the mob.
515.84	4.60	That's the dual wield rotation,
518.16	4.76	and I will toss a shield on,
520.44	3.92	and then I will show you rotation when
522.92	4.32	you are wearing a shield. Now, the
524.36	5.08	rotation is basically exactly the same.
527.24	4.68	You want to get snap threat with
529.44	4.00	devastate, keep heroic strike queued if
531.92	2.88	you have the rage,
533.44	4.76	and then you are just going to use
534.80	5.96	shield slam on CD,
538.20	4.28	revenge when you have a proc,
540.76	3.56	keep up thunder clap.
542.48	3.80	If there's multiple targets, same thing,
544.32	3.44	you're going to cleave,
546.28	3.92	shield slam
547.76	5.16	on CD,
550.20	6.04	and that is the entire rotation. Very
552.92	6.20	easy, very simple, easy to replicate,
556.24	4.84	and you will be cranking threat for your
559.12	5.28	raid. One question I get asked quite a
561.08	5.40	bit is why,
564.40	4.60	if you look at my bars, you don't see
566.48	4.28	shield block anywhere, right? Well, what
569.00	4.16	a lot of people a lot of warriors don't
570.76	3.80	know is that shield block is off the
573.16	4.00	GCD.
574.56	6.48	So, I don't need to have shield block
577.16	8.00	anywhere on my bars because when I have
581.04	6.56	a shield on, I just macro it in to my
585.16	4.16	most spammed abilities like you can see
587.60	3.24	my devastate, I have shield block
589.32	3.96	macroed in.
590.84	3.28	Shield slam, I have shield block macroed
593.28	5.04	in.
594.12	4.20	And revenge,
598.92	4.40	I have shield block macroed in. It
600.88	5.36	completely takes the human error out of
603.32	5.00	it. It's up all the time. As you can
606.24	3.44	see, it's just
608.32	4.04	you can just set it and forget it. You
609.68	6.36	will never miss a shield block if you
612.36	5.84	have it in your macros. And all my
616.04	3.92	macros will be available to you guys in
618.20	4.60	my Discord. I will put that link in the
619.96	6.24	description. Or I usually try to stream
622.80	6.24	five days a week at ttv/youlookupset.
626.20	4.88	You guys can come by and say hey, what's
629.04	3.60	up, chill, and vibe with the boys. If
631.08	4.00	you have any questions, I'll answer them
632.64	5.64	as well and you can get any
635.08	5.44	of my macros or weak auras or whatever
638.28	3.63	it is you're interested in and
640.52	3.20	we'll get that knocked out for you.
641.91	4.33	[music] We've gone over talents, we've
643.72	4.32	gone over stat priority, offensive,
646.24	5.12	defensive, and we have gone over the
648.04	6.08	rotation. So now I will jump into the
651.36	5.40	consumable checklist. So as you can see,
654.12	6.13	as a prot warrior, you are going to have
656.76	5.72	a metric ton of gear and consumes
660.25	3.39	[music] in your bag. If I am the main
662.48	3.64	tank,
663.64	4.04	I will always have a scroll of strength
666.12	3.88	popped. I will always have a scroll of
667.68	4.32	agility popped. I will always have a
670.00	4.32	scroll [music] of protection popped. It
672.00	4.84	can go one of two ways. You can either
674.32	4.80	do flask of the of relentless assault if
676.84	4.36	the boss does not hit very hard. For
679.12	4.00	example, like Hydross,
681.20	5.20	that boss cannot crush you, so I'll pop
683.12	5.20	a flask. I will keep a adamantite
686.40	4.36	sharpening stone on my [music]
688.32	4.56	off hand. When I'm dual wielding,
690.76	4.96	I will use the strength food [music] for
692.88	5.44	more threat. In my frost resistance
695.72	4.56	here, I don't have quite enough hit.
698.32	4.36	So, I have to supplement with the hit
700.28	4.32	food instead. So, depending on
702.68	3.32	what set of gear you're in,
704.60	3.88	want to use strength
706.00	4.24	or hit. Stam is also not bad. I keep
708.48	4.32	stacks [music] of each depending on the
710.24	4.04	situation. When you pop lust, if you pop
712.80	3.68	wreck on the boss,
714.28	4.32	you can pop a haste potion and you are
716.48	4.03	absolutely cranking threat. Now, if it's
718.60	4.04	a boss that you need mitigation for like
720.51	4.49	[music] Tide Walker or Karathress, for
722.64	4.42	example, even a Lar, a Lar slaps as
725.00	3.68	well. Iron shield potions are also
727.06	2.66	[music] very good.
728.68	4.76	So, depending on your rating
729.72	5.92	environment, I would use iron shields or
733.44	5.04	haste potions if you are having trouble
735.64	5.84	holding threat. For professions, I go
738.48	6.04	blacksmithing. I think Dragon Strike is
741.48	5.08	the absolute best weapon for threat.
744.52	4.36	Also, it's really nice to have super
746.56	5.60	sappers for that snap threat on big AoE
748.88	5.03	packs and snap threat on bosses. I think
752.16	3.60	blacksmithing and engineering are
753.91	4.17	[music] best professions, especially if
755.76	3.39	you PvP. Also, then you get access to
758.08	1.24	stun herald,
759.15	2.37	>> [music]
759.32	5.28	>> which is an insane weapon. And now I'll
761.52	6.32	jump right into a little bit of gearing.
764.60	6.52	So, this week, I did get my four-piece.
767.84	4.84	The proc on the four-piece, you have a
771.12	4.40	chance
772.68	5.56	each time you are hit to gain 200 haste
775.52	4.32	rating, which is an absolutely insane
778.24	3.48	proc. I haven't tried it yet. I'm going
779.84	3.68	to try it this week. It says it's a
781.72	3.96	several percent chance, but if you can
783.52	4.60	get that to proc, especially at the same
785.68	3.92	time as your Dragon Strike and like a
788.12	2.96	DST,
789.60	3.48	I feel like the damage [music] is going
791.08	3.32	to be absolutely insane. I don't know if
793.08	3.56	it's going to be worth it, but I will
794.40	4.48	try it this week and [music] see how it
796.64	4.00	feels. Even if that doesn't feel that
798.88	4.28	great, pieces that you're always going
800.64	4.52	to wear is the Destroyer Great Helm. I
803.16	5.12	mean, look at the stats on this helm. 28
805.16	6.39	strength, 28 agility, 48 stamina, 30
808.28	6.48	defense, and 33 dodge. Like this helmet
811.55	5.85	[music] is absolutely insane. I usually
814.76	5.44	wear the veteran's pendant of triumph
817.40	5.00	for my neck piece. If you need more hit,
820.20	3.76	you could use the choker violent tent or
822.40	4.72	the wargon necklace. They're both very
823.96	6.12	good with the agi. The shoulders are not
827.12	5.60	stated quite as well as the helm,
830.08	4.48	especially if you are going to be dual
832.72	4.20	wielding. They do have 29 defense, but
834.56	4.84	shield block doesn't do a lot for you in
836.92	5.96	terms of dual wielding. So, [music] I
839.40	6.04	think if I don't like the four set here,
842.88	6.04	one piece that I will be swapping out
845.44	6.64	would be the shoulders, and I would be
848.92	4.72	using the PvP gear for that instead,
852.08	4.40	like the gladiators plate shoulders
853.64	4.96	here. I think the chest piece is stated
856.48	4.80	insanely well. I think that you would
858.60	4.64	use these two pieces, the helm and the
861.28	5.76	chest, no matter what gear set you're
863.24	5.92	going to use. I would swap out the legs
867.04	5.28	or PvP [music] legs so that you can get
869.16	4.84	two set with the extra 35 resilience.
872.32	5.36	These are a lot [music] more offensive
874.00	5.92	stats on both the shoulders and the legs
877.68	5.00	for PvP. Like I said, I'm going to see
879.92	5.16	how the four set feels.
882.68	4.08	And if it doesn't feel great, then these
885.08	4.40	are the two pieces [music] that I will
886.76	5.00	swap out. Main hand, dragon strike. The
889.48	3.96	shield would be of course the Aldor
891.76	5.08	shield. I don't have it. So, when I put
893.44	5.76	a shield on, I'm using an impenetrable
896.84	5.36	darkness, but most of these bosses you
899.20	4.96	can get away with dual wielding. So, I
902.20	4.12	use the fang of ash. So, like we talked
904.16	4.44	about the the stats [music] on this
906.32	4.00	dagger are absolutely insane. 21
908.60	3.44	expertise.
910.32	4.08	And then you can get expertise through
912.04	4.16	the shapeshifter signet, being exalted
914.40	2.48	with the cenarion rep, and then
916.20	3.00	expertise [music]
916.88	5.40	through the belt of 100 deaths,
919.20	5.28	which is an insane belt, and expertise
922.28	4.64	through my groups of deafness and that
924.48	6.44	puts me at the expertise cap. So, try to
926.92	6.24	get these expertise pieces as fast as
930.92	4.92	you can get. Obviously, [music] DST if
933.16	3.72	you can get it, insane for the entire
935.84	3.12	game.
936.88	4.40	Uh Bloodlust Brooch is insane when you
938.96	4.40	pop all your CDs for threat. I pretty
941.28	5.21	much never take these trinkets off. I
943.36	4.80	try to use trinkets and rings and
946.49	4.36	[music] neck
948.16	5.00	or threat pieces and then I'll swap
950.84	3.64	depending on like this is my mitigation
953.16	3.88	cloak here
954.48	5.92	and I have different sets. So, I have
957.04	5.44	like my frost set for tanking Hydros. Uh
960.40	3.92	this is my dual wield set for when I'm
962.48	3.32	dual wield tanking bosses
964.32	3.78	and then I also have just a
965.80	4.72	run-of-the-mill shield spec for tanking
968.10	5.06	[music] trash and bosses and then I have
970.52	5.44	a full-on mitigation set as well for
973.16	5.36	tanking bosses like Hydrowalker and
975.96	4.00	Fathom-Lord. Those are the two bosses
978.52	4.44	that [music] you absolutely have to have
979.96	6.08	a shield on for because they slap. Let
982.96	5.44	me just run that right into which bosses
986.04	4.32	that you can dual wield tank. [music]
988.40	4.68	I have successfully dual wield tanked
990.36	2.72	Hydros,
1000.96	2.80	the Lurker,
1011.36	3.00	Leotheras,
1021.60	3.28	and Lady Vashj.
1031.48	4.09	You can dual wield tank all of these
1033.68	3.40	bosses the entire time and they are
1035.57	3.83	[music] very simple and you can just
1037.08	4.12	crank threat and you're ready. It never
1039.40	4.64	has to worry about pulling threat off of
1041.20	5.12	you. I am consistently in the top five,
1044.04	3.96	usually in the world for prot warriors,
1046.32	4.68	and I am
1048.00	5.12	not even in a sweaty PvE guild. I'm in
1051.00	4.08	more of a casual guild. If you're in a
1053.12	4.16	guild on the sweatier side and you dual
1055.08	3.76	tank these bosses and follow the stat
1057.28	4.88	priority and the gearing [music]
1058.84	6.40	priority, you can easily pump rank one
1062.16	5.72	or high ranking 99 parses if you [music]
1065.24	4.08	are into that sort of thing. If you tank
1067.88	4.64	Fathom Lord,
1069.32	4.48	you can start off dual wielding and
1072.52	4.08	cleaving
1073.80	5.68	the ads, pop a sapper, thunderclap, go
1076.60	5.96	crazy. Once the two ads die, he gets a
1079.48	6.04	buff where he'll randomly do 25% more
1082.56	4.60	damage and 65% more damage, and he can
1085.52	4.00	have both of those proc at the same
1087.16	4.80	time. And when that happens, you
1089.52	4.76	definitely need to throw a shield on
1091.96	6.04	with a shield macro and be [music] ready
1094.28	5.68	to be popping your heal blocks and just
1098.00	3.20	mitigation to stay alive there. That's
1099.96	4.56	it for SSC. [music]
1101.20	4.88	So, you can dual wield for these bosses
1104.52	3.88	super easy.
1106.08	4.81	Throw some mitigation on for these two
1108.40	3.80	bosses, especially Morogrim. He is the
1110.89	3.43	[music] hardest hitting boss in the
1112.20	5.28	whole phase. You need to have a shield
1114.32	6.24	on the whole time, iron shield potions,
1117.48	4.84	keeping up elixir major agility and
1120.56	3.88	major defense as well as [music] the
1122.32	4.76	scroll protection and all debuffs on the
1124.44	4.88	boss. Mitigate as much damage as you can
1127.08	4.84	because he absolutely slaps. So, now
1129.32	4.76	we'll move into TK.
1131.92	4.84	And I have successfully dual wielded
1134.08	4.98	every single one of these bosses. Al'ar
1136.76	2.92	is the only boss that hits kind of hard.
1139.06	2.82	[music]
1139.68	5.00	Depending on your raid and your healers,
1141.88	4.72	he can crush you for 9 to 10k if you
1144.68	5.40	don't have a shield on. So, mitigate
1146.60	7.04	that with either an iron shield potion
1150.08	5.28	plus major agility, major defense,
1153.64	4.80	scroll protection.
1155.36	5.68	And honestly, he does hit hard, but it's
1158.44	5.12	not that big of a deal. Void Reaver is a
1161.04	4.68	joke. I have solo tanked this boss as a
1163.56	2.88	a dual-wielding prot warrior. You can
1165.72	3.96	pump [music]
1166.44	5.36	so much threat into this boss. Even if
1169.68	3.56	the threat knockback goes on you, it
1171.80	3.72	doesn't matter because you have such a
1173.24	4.16	high threat lead that no one can pull
1175.52	3.68	off you. It's a super fun fight to
1177.40	4.92	dual-wield. He doesn't hit very hard.
1179.20	5.04	Throw on a flask of relentless assault,
1182.32	4.32	pop your haste potions, and just go
1184.24	3.92	absolutely crazy. Salarian is the
1186.64	3.36	easiest boss in the game and will
1188.16	5.56	probably continue to be the easiest boss
1190.00	5.76	in the game. Just go absolutely crazy.
1193.72	4.29	You don't need any mitigation whatsoever
1195.76	7.28	other than to be uncrittable and just
1198.01	7.63	[music] absolutely smack her down. KT,
1203.04	4.36	I have dual-wielded this entire boss. I
1205.64	4.32	do recommend that you still pick up the
1207.40	4.40	shield so that you if you need to, you
1209.96	4.44	can throw it on.
1211.80	6.00	The on-use on the shield is very nice.
1214.40	5.60	Use the absorb. Absorbs 100,000 damage
1217.80	3.76	and will also get you out of fear if uh
1220.00	3.80	your priest forgets to fear ward you or
1221.56	4.40	you get a bad tremor or whatever when
1223.80	4.04	all the advisors are alive. It can be
1225.96	3.76	nice to get you out of the fear until
1227.84	3.60	the ads are dead. That being said, I
1229.72	3.88	think that's it, boys and girls. I just
1231.44	4.40	want to say, thanks everyone for
1233.60	3.88	watching and I hope this video sheds
1235.84	3.16	some information for you guys and helps
1237.48	3.60	you out and I hope to see some of you
1239.00	6.88	crankers at the uh top of the prot
1241.08	4.80	warrior leaderboards. So, peace.
