0.56	4.64	hey guys in this video i'm going to be
2.72	3.44	going over the black temple loot prio
5.20	2.24	there's gonna be a link in the
6.16	3.12	description and probably a pinned
7.44	5.12	comment too um
9.28	5.76	linking to the hyjal loot prio just
12.56	3.84	split it off into two videos to
15.04	3.20	split it out a little bit because it's
16.40	2.80	going to be a long one for black temple
18.24	4.32	here
19.20	6.00	so be sure to check that out and
22.56	4.56	there is going to be some references to
25.20	3.44	previous pryo in hydro that i'll go
27.12	4.24	through here as well so it might make
28.64	5.20	sense to watch that one uh first but
31.36	4.88	however you want to do it is fine
33.84	5.28	and lastly just a quick little
36.24	5.92	plug check out my twitch twitch.tv slash
39.12	5.28	zatar underscore wow to uh you know
42.16	3.68	further support me and check out my live
44.40	2.88	stream so
45.84	3.20	anyway
47.28	4.08	onward to
49.04	4.08	the tier six prior black temple
51.36	3.92	all right so we have first up the shroud
53.12	6.00	of the final stand now this is a nice
55.28	5.60	item obviously a healing cloak and uh it
59.12	4.32	doesn't have spirit on it and for that
60.88	3.92	reason the kale those cloak the sun
63.44	3.04	shower light cloak or whatever it's
64.80	3.92	called is is going to be better than
66.48	4.16	this for druids and priests because
68.72	3.68	that's just a really nice cloak
70.64	3.68	that cloak also does have more healing
72.40	4.24	than this but if your healers are
74.32	4.64	interested in that 11 mp5 this is a
76.64	4.16	better overall item for a paladin or a
78.96	3.60	shaman than that item
80.80	3.60	even though it isn't
82.56	3.76	higher in healing
84.40	4.00	now for holy paladins this is on some
86.32	3.84	bislists and
88.40	4.24	you do want to make sure and pryo this
90.16	5.28	to a holy paladin if they are running
92.64	4.24	the holy light build uh and you know
95.44	3.12	mainly focus on tank healing and
96.88	4.64	spamming holy lights because this is
98.56	4.32	considered best in slot in that build to
101.52	2.56	you know just have as much mana and
102.88	3.44	management
104.08	3.92	and sustain as possible to be able to
106.32	2.40	infinitely holy light to keep your tank
108.00	2.32	up
108.72	2.48	but um
110.32	2.88	you know
111.20	3.68	otherwise speaking if your holy paladin
113.20	3.44	just is really looking for max output
114.88	4.00	and spamming plus healing maybe this
116.64	3.68	would be better suited for a shaman
118.88	2.80	but the reason i would definitely say
120.32	2.72	give this to a holy paladin before a
121.68	4.08	shaman is because shamans are going to
123.04	6.16	be higher on the cloak that comes from
125.76	6.16	illidan the haste cloak so
129.20	3.84	nice item definitely a nice item
131.92	2.56	next we have the treads of the dead
133.04	3.76	mother not really much to talk about
134.48	5.84	here this item has really high armor it
136.80	5.68	is best in slot mitigation for a feral
