0.68	4.36	Hey guys, in this video I'm going to be
2.08	4.88	going over the tier six item prio for
5.04	3.88	Hyjal and Black Temple. If it runs long,
6.96	3.20	I might split it off into two videos.
8.92	4.00	But yeah, we're going to be covering the
10.16	4.00	gems, the crafted gear, the Hearts of
12.92	3.04	Darkness,
14.16	4.00	the trash loot, and then obviously all
15.96	5.20	of the bosses for Black Temple and Mount
18.16	5.96	Hyjal. Um appreciate everyone who helped
21.16	5.20	in the making of this list. I did a lot
24.12	5.24	of work on this sheet on stream live at
26.36	3.00	twitch.tv/zatharr_wow.
30.28	3.96	And yeah, appreciate all the people that
32.32	2.92	gave input in improving this list. And
34.24	4.00	this has been a project I've been
35.24	5.32	working on for quite some time. So,
38.24	5.00	um you know, pretty happy with how the
40.56	4.76	list has come out. Couple things to
43.24	3.96	mention. Number one, this list is not
45.32	3.48	made for speed running. So, when it
47.20	3.32	comes to some of the items, especially
48.80	4.44	those that are shared between healers
50.52	3.92	and DPS, you're going to see that a lot
53.24	3.64	of the healing items are going to be
54.44	4.20	going to healers. And and that's because
56.88	4.32	this isn't designed for speed running.
58.64	3.56	And this is designed with most guilds in
61.20	2.48	mind.
62.20	3.40	So, just keep that in mind that when we
63.68	4.00	do get to some of the options,
65.60	3.80	I will explain, you know, potentially
67.68	4.04	the avenue that you can go if you're
69.40	3.96	looking to speed run or do a lot of, you
71.72	3.72	know, just parse really high damage
73.36	3.88	numbers rather than
75.44	3.72	uh you know, spreading the loot between
77.24	4.32	the healers. But just keep that in mind
79.16	3.80	that this is designed for the majority
81.56	3.32	of the player base
82.96	3.76	when it comes to distributing the loot.
84.88	3.64	And there is going to be some decisions
86.72	3.60	that are based on fairness and spreading
88.52	4.48	out items. If there's one class that
90.32	4.20	doesn't get very much, I might move them
93.00	3.16	higher on an item.
94.52	3.88	And I'll I'll make sure to point that
96.16	4.24	out when that's happening.
98.40	3.76	Besides that, um
100.40	3.28	that's really that's really all. Make
102.16	3.76	sure to check the link in the
103.68	4.64	description to the actual page I have
105.92	4.12	here. You can follow this along. I
108.32	3.36	personally found the spreadsheet a
110.04	4.12	little a little cumbersome. So, this
111.68	5.16	time I've got pictures and words
114.16	4.16	here up on my site. So, for me at least
116.84	3.16	that's a lot easier.
118.32	3.12	So, check that out. I don't make any
120.00	3.56	money off the site. So, I'm not trying
121.44	4.92	to funnel people to the site. It's just
123.56	5.04	actually easier for me to go through
126.36	4.04	everything like this. And then also I
128.60	3.56	have a list
130.40	3.64	to all of the bis lists.
132.16	3.20	A little compilation of a bunch of
134.04	3.48	different bis lists if you guys are
135.36	3.80	interested in all the bis lists used
137.52	3.72	from all the different class discords.
139.16	3.64	Great resource there. That's also linked
141.24	3.32	on this page.
142.80	3.20	Last thing I guess there's a change log.
144.56	3.32	If I change anything, it'll go in the
146.00	3.68	change log. If you're watching this in
147.88	3.28	six months, check the change log. See if
149.68	3.56	anything changed.
151.16	4.24	While I'm confident with a lot of the
153.24	4.04	decisions made in the sheet, there's a
155.40	4.44	lot of bis lists that might change. And
157.28	4.32	obviously if a bis list changes and it
159.84	2.72	goes up on Wowhead and everyone looks at
161.60	2.32	it,
