0.56	3.84	hey guys in this video i'm going to be
2.08	4.80	going over the best items for rogue and
4.40	4.08	phase 3 the ones you should focus on
6.88	4.24	some of the items that maybe you should
8.48	4.08	just pass over and give to other classes
11.12	3.44	and just give you an understanding of
12.56	4.24	you know which items are the big big
14.56	4.40	heavy hitters and which items are the
16.80	3.92	stinkers right so
18.96	4.48	with that said let's get right into the
20.72	4.32	gear for black temple and mount hyjal
23.44	3.60	you know covering the new items coming
25.04	3.52	in in phase three
27.04	2.72	so the first thing is to talk about
28.56	3.28	glaives
29.76	4.00	english are really really good i think
31.84	3.52	everyone knows it but i guess maybe to
33.76	3.68	try and give you an idea of kind of how
35.36	4.32	to quantify how good they are if you are
37.44	5.20	able to get both glaives
39.68	4.96	as a rogue it is going to be
42.64	3.28	you know pretty similar damage increase
44.64	3.76	to uh
45.92	3.60	every other item from tier 6 combined
48.40	2.80	so
49.52	3.92	you know if you were to compare the
51.20	4.00	damage of a rogue with just glaives and
53.44	3.84	the damage of a rogue with all of the
55.20	3.92	gear minus the glaives they would be
57.28	3.84	pretty neck and neck so that kind of
59.12	6.24	gives you an idea of roughly how good
61.12	6.48	glaves are they are insanely good
65.36	4.72	besides that right obviously that demon
67.60	4.56	effect is is really good but that's not
70.08	3.92	the main part of what makes glaives
72.16	3.76	really good obviously
74.00	2.80	kind of crazy when
75.92	3.12	you're
76.80	4.40	setting aside a 200 attack power damage
79.04	3.68	increase against demon's common enemy
81.20	3.68	but that's really not what makes glaives
82.72	4.56	insane what makes them so powerful is
84.88	4.64	the main hand being so incredibly slow
87.28	4.16	the off hand being so incredibly fast
89.52	3.76	both very important characteristics for
91.44	5.04	rogue
93.28	5.12	both items having you know good stats
96.48	4.72	and high agility you know offensive
98.40	4.24	stats and that two-set bonus that gives
101.20	3.84	you that haste
102.64	4.16	haste is insane for rogue so all those
105.04	5.04	things combined with just really high
106.80	4.88	dps make these perfect rogue weapons so
110.08	3.36	very very good
111.68	3.36	and obviously everyone knows how good
113.44	3.12	they are but wanted to maybe put into
115.04	3.52	perspective just how good they are for
116.56	4.24	rogue so obviously if you can get
118.56	3.92	glaives try and get them but we all know
120.80	3.52	that not only can it be tricky to get
122.48	3.52	them within a guild because multiple
124.32	4.24	people might want them
126.00	4.48	but they also uh you know have to drop
128.56	4.40	and you might not see them drop but just
130.48	4.64	keep in mind that uh you know the off
132.96	4.16	hand is individually best in slot the
135.12	4.00	main hand is individually best in slot
137.12	4.32	um you know
139.12	3.92	claves are incredibly powerful together
141.44	5.84	they're best in slot the entire game for
143.04	4.24	rogue and yeah really really great item
147.36	4.08	now once we move away from glaives we
149.28	3.76	still got some pretty great items and
151.44	3.04	some pretty exciting stuff
153.04	2.72	but obviously glaives kind of blow
154.48	3.04	everything out of the water so they're
155.76	4.00	in a tier of their own
157.52	4.08	but here we have the big upgrades and we
159.76	5.28	have uh first up we have cursed vision
161.60	5.76	of sargeras now on paper this is the
165.04	4.96	one of the biggest upgrades that you can
167.36	5.44	get outside of glaives technically it is
170.00	6.40	the biggest upgrade besides the offhand
172.80	5.92	um and the offhand you know is an item
176.40	4.08	that not only would you eventually hope
178.72	3.28	to replace with the glaive
180.48	4.32	but is an item that doesn't have as much
182.00	5.04	competition meanwhile the helmet is best
184.80	4.00	in slot for every physical damage dealer
187.04	3.44	except for a feral because they still
188.80	3.20	use the wolf's head helm
190.48	4.16	so every physical damage dealer wants
192.00	4.24	this helmet a lot of competition and so
194.64	3.92	definitely an item that is going to be
196.24	4.72	tricky to get but if you can get it
198.56	5.76	it looks really cool it covers your eyes
200.96	5.36	you know this little bandanna and it is
204.32	4.24	extremely powerful a huge increase to
206.32	3.36	damage so
208.56	2.80	definitely something to keep your eyes
209.68	3.20	on the only caveat with the cursed
211.36	3.20	vision of sargeras
212.88	3.20	is that um
214.56	3.68	potentially
216.08	5.52	you might get this item and it might
218.24	5.68	cause your uh tier five four set to
221.60	3.92	break you would still be upgrading your
223.92	3.28	character by using this helmet that's
225.52	2.72	how powerful it is
227.20	3.36	but
228.24	4.08	you know the upgrade is smaller if it's
230.56	3.44	like the first item you get and it
232.32	3.44	immediately breaks your set but that's
234.00	3.36	really uh i wouldn't worry too much
235.76	3.84	about it because at the end of the day
237.36	4.56	it's a really powerful item
239.60	4.64	significantly better than the tier helm
241.92	4.48	and it is going to
244.24	5.28	be a massive upgrade over to your five
246.40	4.64	home when you do get it so
249.52	4.08	really great item
251.04	4.16	next we've got the ring so both the ring
253.60	3.52	and the neck are both pretty pretty
255.20	4.00	tough decisions on which one you would
257.12	3.68	want to go for more
259.20	4.56	they're both really big increases to
260.80	5.76	damage the ring is a little bigger of an
263.76	6.16	increase when it comes to the damage but
266.56	5.92	the necklace is going to be
269.92	5.20	an item that has a little bit more
272.48	2.64	competition
275.84	4.24	you might see some classes
278.00	3.52	shying away from the ring if they have
280.08	2.32	too much hit
281.52	2.64	whereas
