0.08	4.24	in vanilla holy priests were considered
1.92	4.40	the strongest healer by most but in tbc
4.32	3.04	they face much deeper competition and it
6.32	2.80	begs the question
7.36	3.12	what makes holy priest worthy of being
9.12	2.40	your main that's what we'll try to
10.48	2.72	answer in this video
11.52	4.00	we'll start off with the two distinct
13.20	2.88	variations of the holy specialization in
15.52	2.72	tbc
16.08	4.00	the first is the deep holy build this
18.24	3.60	features an incredibly powerful talent
20.08	3.68	called circle of healing a spell that
21.84	2.80	drastically improves your aoe healing
23.76	2.72	capabilities
24.64	3.84	this build makes holy priests one of the
26.48	2.48	strongest flex healers in the game group
28.48	2.40	healing
28.96	3.52	raid healing tank healing and just about
30.88	3.12	everything in between the circle of
32.48	2.32	healing priests can do it and they can
34.00	3.12	do it well
34.80	4.40	improved divine spirit is the informal
37.12	4.32	name for the other variant of the holy
39.20	4.16	specialization while it's less versatile
41.44	3.92	than its circle of healing counterpart
43.36	4.08	it's just as desirable in most of the
45.36	3.92	expansion this build sacrifices some
47.44	3.84	throughput talents in the holy tree
49.28	3.84	to gain the divine spirit talent as well
51.28	3.04	as the improved divine spirit complement
53.12	2.88	we'll take a deeper look at the
54.32	3.20	differences between these two builds in
56.00	3.28	a later section but first
57.52	3.60	let's take a look at the healing spells
59.28	4.64	available to the holy priest
61.12	4.88	first up is renew this healing over time
63.92	4.08	spell saw limited usage in vanilla
66.00	3.68	because of its poor mana efficiency
68.00	3.44	and relatively low throughput that
69.68	3.76	changes in the burning crusade this was
71.44	4.48	largely due in part to the changes made
73.44	4.48	to hot in patch 2.0.1
75.92	3.12	the first of which gave bonus healing
77.92	3.52	effects from gear
79.04	3.68	and talent a much higher contribution to
81.44	3.44	the amount of healing
82.72	4.08	produced by healing over time effects
84.88	3.92	the second change made it possible for
86.80	3.12	multiple priests to have an active renew
88.80	3.52	on the same target
89.92	4.48	at the same time so renew has value in
92.32	3.76	just about every healing situation but
94.40	2.72	there's a few healing assignments where
96.08	2.72	it really shines
97.12	3.60	like when you're tank healing renew
98.80	4.00	helps to smooth out the incoming damage
100.72	4.00	as well as stabilizes the tank's health
102.80	3.68	during periods where tank killers are
104.72	3.84	either on the move or crowd control
106.48	3.20	an example of this would be refreshing
108.56	3.20	your tank's renew
109.68	3.84	before the raid wide fear mechanic on
111.76	2.32	the archimonde encounter from mount
113.52	2.80	hyjal
114.08	3.28	renew is also an excellent tool for raid
116.32	3.20	healing duties
117.36	4.40	you'll use it for healing up targets who
119.52	4.40	have recently received moderate damage
121.76	4.56	but don't need to be topped off quickly
123.92	4.08	fur of mending is a new instant cast
126.32	3.76	healing spell in tbc
128.00	3.04	with a 10 second cooldown the spell
130.08	3.36	works by first
131.04	4.40	placing a 5 charge buff on your target
133.44	3.92	whenever that target takes damage
135.44	3.44	a charge of the buff is consumed
137.36	3.36	immediately healing the target
138.88	4.32	and bouncing to another nearby raid
140.72	3.92	member this cycle continues until all
143.20	3.60	five charges are consumed
144.64	4.56	or charged has not been consumed in 30
146.80	4.24	seconds on paper this is an incredibly
149.20	4.16	efficient spell for healing sustained
151.04	3.52	damage on stacked targets with seemingly
153.36	3.28	no downsides
154.56	3.92	and that's pretty much true but it can
156.64	2.56	get annoying if the buff bounces to a
158.48	2.24	target that
159.20	3.44	isn't taking damage while there's
160.72	3.92	several nearby raid members that are
162.64	3.76	taking damage right next to the guy but
164.64	2.16	that's just a minor gripe there is a
166.40	2.08	pretty
166.80	3.76	interesting use for this spell that
168.48	3.60	isn't obvious from reading the tool tip
170.56	3.52	that i felt was worth mentioning
172.08	3.92	basically whenever a player is healed by
174.08	3.84	prayer of mending the threat generated
176.00	3.60	by that heal belongs to them
177.92	3.60	and not the priest that casted prayer
179.60	2.80	mending therefore you might find it
181.52	2.48	useful to put
182.40	3.68	prayer of mending on the main tank
184.00	2.88	before a pull so they get an immediate
186.08	2.64	burst of threat
186.88	3.68	in the first few seconds of the fight
188.72	3.84	that threat can mean all the difference
190.56	3.52	if the tank gets unlucky with a string
192.56	3.68	of misses or parries
194.08	3.84	fun fact a protection paladin generates
196.24	2.08	extra threat from the prayer of mending
197.92	2.16	heal
198.32	4.08	since righteous fury increases their
200.08	4.72	threat with holy spells by 90
202.40	4.32	power ward shield it's an instant cast
204.80	3.76	spell that grants your target a very
206.72	4.00	strong absorption shield despite its
208.56	3.44	high mana cost this spell actually sees
210.72	3.28	regular use in raids
212.00	4.08	because of its unique ability to prevent
214.00	3.92	damage before it actually happens
216.08	3.28	making it great to use on players at
217.92	2.00	full health when they're about to
219.36	2.48	receive
219.92	3.84	a hard-hitting mechanic and since the
221.84	4.24	shield prevents spell pushback while
223.76	4.48	it's active it works incredibly well on
226.08	3.44	casters who are taking a small amount of
228.24	3.76	periodic damage
229.52	3.36	flash heal is your fast but inefficient
232.00	2.64	casted heal
232.88	4.08	the healing coefficient for this spell
234.64	4.24	is relatively weak so it scales quite
236.96	3.52	poorly as you gear up but that doesn't
238.88	3.04	mean you'll never use it things don't
240.48	3.44	always go according to plan and
241.92	3.44	progression rating and flash heal is
243.92	3.84	really good when crappy
245.36	4.08	fans just aim to only use this heal when
247.76	3.20	a target would otherwise die
249.44	3.60	before you could cast something more
250.96	4.08	mana efficient binding heal is another
253.04	4.00	inefficient fast cast heel
255.04	4.08	it works by healing the priest and his
257.04	2.80	target for about as much as a flash heal
259.12	2.48	this can be
259.84	4.08	really useful when you need to heal
261.60	3.84	yourself but several other raid members
263.92	3.36	are critically injured and you just
265.44	2.56	don't have the time to be mana efficient
267.28	2.32	this situation
268.00	3.52	typically occurs when one or more
269.60	2.96	healers have died during an encounter
271.52	3.28	and you're trying to cover
272.56	4.16	multiple healing assignments at once
274.80	3.36	like with flash heal don't be afraid to
276.72	3.44	use it just don't abuse it because
278.16	4.08	you'll go out of mana very quickly
280.16	3.20	greater heal is your relatively long
282.24	3.12	casted heel with
283.36	3.28	excellent mana efficiency and high
285.36	3.52	throughput like renew
286.64	4.00	greater heal excels in both tank and
288.88	3.04	raid healing but there are a couple of
290.64	2.88	nuances with this heal
291.92	3.44	that you'll need to understand before
293.52	3.68	getting the most out of it i'll mention
295.36	3.84	one here and i'll get to the other in
297.20	4.08	the healing assignment section the first
299.20	3.04	is the concept of downranking for those
301.28	2.96	of you unaware
302.24	3.92	spell down ranking is a tactic where
304.24	4.00	players use a lower rank of a spell
306.16	4.24	because it produces the desired effect
308.24	4.16	at a much lower mana cost druids for
310.40	4.00	example use the rank 1 version of
312.40	3.60	entangling roots in arena since root
314.40	2.96	effects are capped to a 10 second
316.00	3.28	duration in pvp
317.36	3.28	and the extra damage at max rank is
319.28	3.44	actually counterproductive
320.64	3.44	since roots break on damage priests
322.72	3.52	downrank greater heal
324.08	3.44	because the max rank often heals for
326.24	3.36	substantially more
327.52	4.48	than we need it to for example suppose
329.60	4.40	your target is missing 2 000 hit points
332.00	2.24	and your max rank greater heal heals for
334.00	2.40	an
334.24	4.16	average of 5 000. if your target doesn't
336.40	4.16	take any additional damage during the
338.40	3.76	cast your overhealing exceeded your
340.56	3.52	effective healing to get around this
342.16	4.32	we'll use the rank 1 version of greater
344.08	4.40	heal which heals for an average of 2500
346.48	3.68	and costs half the mana so in this
348.48	3.60	example you've effectively healed the
350.16	2.64	target for the same amount at half the
352.08	2.24	mana cost
352.80	3.60	and that's the whole idea behind
354.32	4.00	downranking moving on we have circle of
356.40	3.68	healing an ability exclusive to that
358.32	3.76	deep holy build that i mentioned at the
360.08	2.48	start of this video the spell is instant
362.08	2.64	cast
362.56	4.24	has no cooldown and works by healing
364.72	2.88	your target and all of their nearby
366.80	2.40	group members
367.60	4.00	speaking of healing your nearby group
369.20	4.24	members please subscribe to my channel
371.60	4.00	it really does help me in producing
373.44	5.76	content in a more time efficient manner
375.60	5.44	please subscribe to my channel
379.20	4.24	back to circle of healing the lack of a
381.04	4.32	cool down or cast time on this ability
383.44	3.84	makes it exceptional for healing groups
385.36	3.84	of players taking sustained
387.28	3.76	periodic damage one of the best
389.20	3.76	showcases for circle of healing
391.04	3.84	comes during the blood boil encounter in
392.96	4.48	black temple every 10 seconds
394.88	5.28	blood boil applies a 24 second debuff
397.44	4.32	that deals 600 dps to an entire group
400.16	3.12	from the raid with circle of healing
401.76	3.12	priests can efficiently keep these
403.28	3.12	groups topped without breaking a sweat
404.88	3.12	prayer of healing is another group
406.40	3.44	healing spell that often gets
408.00	2.72	disregarded when a priest picks up
409.84	3.52	circle of healing
410.72	4.40	and at first glance it's easy to see why
413.36	4.00	prayer of healing has a three second
415.12	4.00	cast time and absurdly high mana cost
417.36	2.72	and it's only usable on the group that
419.12	2.88	the priest is
420.08	3.84	in on the other hand prayer of healing
422.00	2.80	produces more healing per second than
423.92	2.96	circle of healing
424.80	3.92	and it has double the radius but that's
426.88	3.92	still not really a convincing argument
428.72	3.44	for using prayer of healing over circle
430.80	3.44	of healing since circle of healing is
432.16	3.84	just so much more mana efficient the one
434.24	3.68	definitive case for using prayer
436.00	4.00	of healing over circle of healing is
437.92	4.00	when there's huge but predictable bursts
440.00	2.80	of incoming damage that you need to heal
441.92	2.64	very quickly
442.80	4.32	a great example of this comes during the
444.56	3.44	title shield mechanic on high warlord
447.12	2.88	magentis
448.00	4.40	when the title shield breaks the whole
450.00	4.00	raid takes 8 500 frost damage
452.40	3.84	and early on in your black temple
454.00	4.40	progression that's a near fatal blow to
456.24	2.88	the majority of the raid but priests can
458.40	2.64	precast
459.12	4.00	prayer of healing a few seconds before
461.04	4.40	the shield breaks so that it goes off
463.12	4.24	right as the damage comes in that takes
465.44	2.40	five players out of the critical health
467.36	2.64	range
467.84	4.64	way faster than circle of healing could
470.00	4.40	so don't take this ability off your bars
472.48	3.20	there are a few situations where it does
474.40	3.12	come in handy so
475.68	3.60	what healing assignments are typically
477.52	4.64	given to the holy priest
479.28	4.08	well that depends as i mentioned at the
482.16	3.60	start of this video
483.36	4.48	holy priests have two viable builds and
485.76	3.44	your assignment largely depends on which
487.84	3.20	of those builds you're using
489.20	3.44	as improved divine spirit you don't have
491.04	2.96	circle of healing and while prayer of
492.64	3.60	mending does have its niche
494.00	4.56	it's far too restrictive for general use
496.24	3.44	so aoe in group healing is definitely
498.56	2.96	off the table for you
499.68	3.92	you may get assigned to non-group rate
501.52	3.76	healing also known as spot rate healing
503.60	3.44	but it really depends on the encounter
505.28	3.92	holy priests can fill this role very
507.04	4.48	well when the damage on the encounter is
509.20	4.00	relatively predictable and not too spiky
511.52	3.68	this allows them to take advantage of
513.20	2.80	their efficient spells like greater heal
515.20	2.72	and renew
516.00	4.24	but on encounters where the damage is
517.92	4.56	very random and spiky the priest lacks
520.24	4.16	an efficient means of responding quickly
522.48	3.60	take the illidari council fight for
524.40	3.60	example at any given moment
526.08	4.08	a random raid member can be brought to
528.00	4.24	30 health by divine wrath
530.16	3.20	the player needs to be topped as quickly
532.24	3.04	as possible since
533.36	4.08	at any time they can be chosen for
