1.72	3.68	Resto shamans were considered an
3.20	4.16	extremely valuable healer in vanilla.
5.40	3.92	However, much of their appeal came from
7.36	3.56	their raid utility spells rather than
9.32	3.64	their healing output. But, things are
10.92	3.96	different in Burning Crusade and resto
12.96	3.64	shamans have become a different beast
14.88	4.24	entirely. And I'm sure you've heard that
16.60	4.56	already, but what else? What else makes
19.12	3.80	shaman a compelling choice compared to
21.16	3.68	the other three healers? That's what
22.92	3.76	we'll explore in this video. We'll start
24.84	4.52	off by looking at the spells that you'll
26.68	4.64	be regularly using as a resto shaman.
29.36	3.88	The first is chain heal. This iconic
31.32	3.84	ability heals your initial target for a
33.24	4.60	fairly large amount and then attempts to
35.16	4.92	jump to two nearby injured targets. Each
37.84	5.04	time chain heal jumps, the effectiveness
40.08	4.68	of the heal is reduced by 50%. There are
42.88	4.00	three requirements for chain heal to
44.76	3.68	jump after it heals its initial target.
46.88	3.32	There has to be at least one player
48.44	5.00	who's a part of the initial chain heal
50.20	5.24	target's group below 100% HP and within
53.44	4.16	15 yards of the initial chain heal
55.44	4.28	target. But, what if there are multiple
57.60	4.88	group members within 15 yards of the
59.72	4.80	initial target and below 100% HP? Who
62.48	4.08	does it go to? Well, chain heal is a
64.52	4.36	smart heal, so it will always jump to
66.56	4.64	the target with the lowest HP when given
68.88	4.32	the choice. After that first jump, chain
71.20	4.32	heal can jump a second time to heal a
73.20	5.32	third target. The heal on the first jump
75.52	4.92	target is reduced by 50% and the heal on
78.52	4.44	the second jump target is reduced by
80.44	4.56	25%. I know that's a little confusing,
82.96	5.32	so I put together an example. Suppose
85.00	5.32	that player A, player B, and player C
88.28	4.32	belong to the same group and are all
90.32	5.24	within 15 yards of each other. Player A
92.60	6.16	is missing 1,500 HP, player B is missing
95.56	4.96	1,000, and player C is missing 750. For
98.76	3.84	the sake of this example, assume that
100.52	4.52	your chain heal heals for an average of
102.60	4.60	2,000. In this scenario, you should cast
105.04	4.40	chain heal on player A since they're
107.20	4.92	missing the most HP and the initial hit
109.44	4.80	is always 100% effective. If you've been
112.12	4.72	following along so far, you'll know that
114.24	5.00	chain heal will then jump from player A
116.84	4.48	to player B. Since player B is missing
119.24	4.80	more hit points than player C, chain
121.32	5.08	heal heals player B for 1,000 and then
124.04	4.88	jumps to player C. Player C is then
126.40	4.16	healed for 500 and the chain ends there.
128.92	3.84	It's important to note here that the
130.56	4.60	initial heal and the subsequent jumps
132.76	3.88	are all occurring simultaneously. I know
135.16	3.68	that I'm making it seem like there's a
136.64	4.00	delay between the heals, but that's just
138.84	3.68	so you can visualize what's going on
140.64	3.56	behind the scenes. There are a couple of
142.52	3.48	smaller things that I wanted to mention
144.20	3.76	before moving on. If there are no
146.00	3.96	targets to jump to after the initial
147.96	4.76	heal and the Shaman that casted it is
149.96	5.00	below 100% HP, chain heal can actually
152.72	4.40	jump back to the Shaman regardless of
154.96	4.76	their proximity to the last link in the
157.12	4.44	chain. Also, all heals in the chain have
159.72	3.64	an independent chance to critically
161.56	3.56	strike. So, if your chain heal hits
163.36	3.40	three targets, there's a good chance
165.12	3.32	that at least one of those hits will be
166.76	3.36	a critical strike. And that's great for
168.44	3.68	Shaman since they have a talent that
170.12	4.44	causes their critical heals to leave a
172.12	4.00	powerful armor buff on their target.
174.56	3.80	We'll go into more detail about the
176.12	4.32	technical stuff associated with chain
178.36	3.96	heal in the last section. But first,
180.44	4.20	despite what you may have heard, Shamans
182.32	4.76	do in fact have other healing spells.
184.64	5.20	Healing Wave is their big single target
187.08	4.68	heal with a 2.5 second cast time thanks
189.84	4.12	to improved healing wave. The throughput
191.76	4.44	of this spell is greatly increased when
193.96	4.20	you take advantage of healing way. This
196.20	4.28	talent causes your successful healing
198.16	4.24	waves to apply a buff to the target that
200.48	4.32	increases the effect of subsequent
202.40	4.68	healing waves by 6%. This effect can
204.80	4.72	stack up to three times for a total of
207.08	4.60	18% increased effectiveness with healing
209.52	4.52	wave. This makes healing wave a much
211.68	4.80	more mana efficient spell when focusing
214.04	4.24	a single target. Healing Wave can also
216.48	4.08	function as an incredibly powerful
218.28	4.28	emergency heal when paired with Nature's
