,,"DISCLAIMER:  PLEASE REMEMBER EP VALUES AND STAT WEIGHTS FLUCTUATE DEPENDING ON THE GEAR YOU HAVE.  I TRIED MY BEST TO USE THE EP VALUE OF BEST IN SLOT GEAR.    WHILE THE WEIGHTS DO NOT USUALLY FLUCTUATE TOO MUCH, PLEASE USE MORE AS A GENERAL GUIDE AND NOT GOSPEL. Contact Fazers#1963 on Discord for changes."
Phase,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Col66<=3
,,Stam,Int,Agi,Str,Spirit,AP,ArP,SP,Heal,Crit,SpCrit,Haste,SpHaste,Hit,SpHit,Exp,Mp5,Resil,Dodge,Parry,Defense,Shield Block,Block Rating,Meta,Red,Yellow,Blue,Armor,DPS,ODPS,Spd,OSpd,Credit
Unused rows have been hidden
,Mage
,Arcane,0.0,0.6,0.0,0.0,0.3,0.0,0.0,0.6,0.0,0.0,0.4,0.0,1.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,30.0,6.7,6.7,6.7,0.0,0.0,,,,https://cheesehyvel.github.io/magesim-tbc2/
,Fire,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.9,0.0,1.1,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,14.5,14.5,14.5,0.0,0.0,,,,Elitist Jerks Mage Guide + RAWR b16.1
,Frost,,0.2,,,,-1.0,,1.0,,,0.7,,1.1,,1.5,,,,,,,,,25.0,10.0,10.0,10.0,,,,,,Elitist Jerks Mage Guide
,Warlock
,Affliction,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.6,0.0,1.1,0.0,1.5,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,50.0,12.8,12.8,11.0,0.0,0.0,,,,https://kristoferhh.github.io/WarlockSimulatorTBC/
,Demonology,,0.4,,,,,,1.0,,,0.7,,0.7,,1.2,,,,,,,,,16.0,9.8,9.8,9.0,,,,,,TBC_sim.xlsm
,Destruction,0.1,0.5,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.8,0.0,1.4,0.0,1.5,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,50.0,14.8,14.8,14.2,0.0,0.0,,,,https://kristoferhh.github.io/WarlockSimulatorTBC/
,Warrior
,Arms,0.0,0.0,0.7,1.0,0.0,0.5,0.2,0.0,0.0,0.9,0.0,0.5,0.0,0.7,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,10.0,10.0,10.0,0.0,9.0,,,,2.4.3 - Gear Ranking - TBC https://docs.google.com/spreadsheets/d/11E1k1Di_enrJHOvH992EKBqCoAU7IQPpba6tQJkkQ9M/edit#gid=2013064318
,Fury,0.0,0.0,0.7,1.0,0.0,0.4,0.2,0.0,0.0,1.0,0.0,1.2,0.0,0.6,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,10.2,10.2,10.2,0.0,4.7,,,,Discord: Easy#4385
,Prot,1.0,0.0,0.6,0.5,0.0,0.2,0.1,0.0,0.0,0.5,0.0,0.5,0.0,1.1,0.0,1.2,0.0,0.0,0.1,0.2,0.2,0.7,0.0,18.0,12.0,12.0,12.0,0.0,2.6,,,,TPS 1.2:1 DTPS// Fight Club Discord // https://discord.com/channels/383596811517952002/784258089284927518/857628398116143104
,Priest
,Disc,0.0,0.5,0.0,0.0,1.1,0.0,0.0,1.0,0.0,0.8,0.8,0.0,1.2,0.0,1.5,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,23.8,9.0,12.3,8.7,0.0,0.0,,,,http://tbcwowaddons.weebly.com/pawn.html
,Holy,0.0,1.5,0.0,0.0,1.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.1,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,60.0,16.3,15.1,16.3,0.0,0.0,,,,TBC Priest Gear Scores: Knade-Pagle https://docs.google.com/spreadsheets/d/1p_7OSqFV-wXPFtFAfFlePsmTJNmX2BnQ9fwzB8da4-c/edit#gid=1556108463
,Shadow,0.0,0.1,0.0,0.0,0.1,0.0,0.0,1.0,0.0,0.0,0.2,0.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.9,12.0,12.0,12.0,0.0,0.0,,,,https://web.archive.org/web/20080211090143/http://www.shadowpriest.com/viewtopic.php?t=9844
,Paladin
,Holy,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,1.6,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,33.7,22.0,22.0,22.0,0.0,0.0,,,,Holy Paladin - TBC Classic Sheet https://docs.google.com/spreadsheets/d/1qyhnntH3Mb8skxqZj2Bco3Z6Czt_na1jcn-gfxC5S9Y/edit#gid=286655111
,Prot,0.9,0.1,0.3,0.0,0.0,0.1,0.0,0.7,0.0,0.2,0.0,0.2,0.0,0.1,0.0,0.2,0.0,0.1,0.6,0.5,0.4,0.3,0.6,18.0,10.8,10.8,10.8,0.1,1.9,,,,Custom + RAWR b16.1
,Ret,0.0,0.0,0.6,0.7,0.0,0.3,0.1,0.1,0.0,0.6,0.0,0.8,0.0,0.3,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.4,7.4,7.4,7.4,0.0,2.0,,,,Baranor's TBC Retribution DPS Spreadsheet https://docs.google.com/spreadsheets/d/1TFoIQ8MvBQUGJ2cz7MFxGAim3hUwxRRfxda9LuivssY/edit#gid=973000119
,Shaman
,Ele,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8,0.0,1.2,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,37.8,12.0,9.7,5.0,0.0,0.0,,,,https://wowsims.github.io/tbc/elemental_shaman/
,Enh,0.0,0.1,1.4,2.2,0.1,1.0,0.3,0.5,0.0,1.5,0.2,1.8,0.0,1.7,1.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.5,17.6,14.8,11.0,0.0,7.3,,,,NIJannon's Shaman https://docs.google.com/spreadsheets/d/1uD7an1IgVpt0Z5efdCQbXTA8956jvTCmgijiWqcHLPk/edit#gid=1826091692
,Resto,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0.0,2.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,34.6,22.0,19.9,13.0,0.0,0.0,,,,Egregious TBC https://docs.google.com/spreadsheets/d/187Bg7MxwStZldbL1faFD3JXUMlgEBYmYd7G9uEaDcJI/edit#gid=729770934
,Druid
,Owl,0.0,0.4,0.0,0.0,0.3,0.0,0.0,1.0,0.0,0.0,0.6,0.0,0.8,,1.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,34.2,12.0,12.0,12.0,0.0,0.0,,,,http://tbcwowaddons.weebly.com/pawn.html & boomkin sims
,Bear,2.9,0.0,3.8,2.3,0.0,1.0,0.3,0.0,0.0,1.9,0.0,1.6,0.0,3.0,0.0,6.0,0.0,0.0,1.1,0.0,0.7,0.0,0.0,115.6,33.0,34.4,38.4,0.5,6.6,,,,TBC Bear Preliminary Stat Weights Calculator https://docs.google.com/spreadsheets/d/1n2GkboHGUiQII7ofRlJhjHSgUzbv3P2Rd-lfGKuVYWo/edit#gid=1748312112
,Cat,0.0,0.0,3.5,2.3,0.0,1.0,0.5,0.0,0.0,2.4,0.0,1.4,0.0,3.2,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,35.0,0.0,3.3,,,,Discord: NerdEgghead#6940
,Tree,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,26.0,22.0,22.0,22.0,0.0,0.0,,,,Discord: emihir0#3963 // Druid Discord // https://discord.com/channels/253205420225724416/780185688855019561/857206150462308402
,Rogue
,Assassination,0.0,0.0,2.1,1.1,0.0,1.0,0.3,0.0,0.0,1.7,0.0,1.9,0.0,2.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.7,21.4,21.4,21.4,,,,,,Elitist Jerks Rogue Guide + https://legacy-wow.com/tbc-rogue-guide/ Author: Vulajin + https://docs.google.com/spreadsheets/d/11E1k1Di_enrJHOvH992EKBqCoAU7IQPpba6tQJkkQ9M/edit#gid=2013064318
