tier,zone,npc_id,boss,item_id,item_name,slot,armor_type,quality,db_phase,url
T4,Gruul's Lair,19044,Gruul the Dragonkiller,28825,Aldori Legacy Defender,Weapon,,Epic,1,https://www.wowhead.com/tbc/item=28825
T4,Gruul's Lair,19044,Gruul the Dragonkiller,28794,Axe of the Gronn Lords,Weapon,,Epic,1,https://www.wowhead.com/tbc/item=28794
T4,Gruul's Lair,19044,Gruul the Dragonkiller,28802,Bloodmaw Magus-Blade,Weapon,,Epic,1,https://www.wowhead.com/tbc/item=28802
T4,Gruul's Lair,19044,Gruul the Dragonkiller,28804,Collar of Cho'gall,Head,Cloth,Epic,1,https://www.wowhead.com/tbc/item=28804
T4,Gruul's Lair,19044,Gruul the Dragonkiller,28803,Cowl of Nature's Breath,Head,Leather,Epic,1,https://www.wowhead.com/tbc/item=28803
T4,Gruul's Lair,19044,Gruul the Dragonkiller,28830,Dragonspine Trophy,Trinket,,Epic,1,https://www.wowhead.com/tbc/item=28830
T4,Gruul's Lair,19044,Gruul the Dragonkiller,28823,Eye of Gruul,Trinket,,Epic,1,https://www.wowhead.com/tbc/item=28823
T4,Gruul's Lair,19044,Gruul the Dragonkiller,28824,Gauntlets of Martial Perfection,Hands,Plate,Epic,1,https://www.wowhead.com/tbc/item=28824
T4,Gruul's Lair,19044,Gruul the Dragonkiller,28827,Gauntlets of the Dragonslayer,Hands,Mail,Epic,1,https://www.wowhead.com/tbc/item=28827
T4,Gruul's Lair,19044,Gruul the Dragonkiller,28828,Gronn-Stitched Girdle,Waist,Leather,Epic,1,https://www.wowhead.com/tbc/item=28828
T4,Gruul's Lair,19044,Gruul the Dragonkiller,28826,Shuriken of Negation,Ranged,,Epic,1,https://www.wowhead.com/tbc/item=28826
T4,Gruul's Lair,19044,Gruul the Dragonkiller,28822,Teeth of Gruul,Neck,,Epic,1,https://www.wowhead.com/tbc/item=28822
T4,Gruul's Lair,19044,Gruul the Dragonkiller,28810,Windshear Boots,Feet,Mail,Epic,1,https://www.wowhead.com/tbc/item=28810
T4,Gruul's Lair,18831,High King Maulgar,28799,Belt of Divine Inspiration,Waist,Cloth,Epic,1,https://www.wowhead.com/tbc/item=28799
